time,open,close,high,low,volume
1533852240000,0.00010464,0.00010464,0.00010464,0.00010464,140.0
1533853620000,0.00010545,0.00010545,0.00010545,0.00010545,703.95448079
1533856440000,0.00010465,0.00010228,0.00010465,0.0001,13007.53596898
1533856500000,0.00010337,0.00010337,0.00010337,0.00010337,562.69451109
1533856560000,0.00010337,0.00010441,0.00010441,0.00010337,849.0
1533856620000,0.00010356,0.00010044,0.00010356,0.00010044,8584.70645548
1533856860000,9.951e-05,9.95e-05,9.951e-05,9.95e-05,42490.0
1533858000000,9.95e-05,9.826e-05,9.95e-05,9.745e-05,3563.0
1533865800000,9.745e-05,9.36e-05,9.745e-05,9.36e-05,4031.17
1533865860000,9.443e-05,9.631e-05,9.631e-05,9.443e-05,2545.24898764
1533866460000,9.553e-05,9.346e-05,9.553e-05,9.176e-05,5296.99979693
1533866820000,9.267e-05,9.267e-05,9.267e-05,9.267e-05,6553.0
1533867120000,9.264e-05,9.264e-05,9.264e-05,9.264e-05,920.0
1533874680000,9.264e-05,9.082e-05,9.264e-05,9.082e-05,963.93464595
1533874740000,9.161e-05,9.161e-05,9.161e-05,9.161e-05,878.0
1533879540000,9.161e-05,9.251e-05,9.251e-05,9.161e-05,1054.0
1533879840000,9.346e-05,9.552e-05,9.726e-05,9.346e-05,4903.0
1533879900000,9.631e-05,9.927e-05,9.927e-05,9.631e-05,2648.0
1533881580000,9.927e-05,9.927e-05,9.927e-05,9.927e-05,0.00020307
1533888780000,0.0001,9.746e-05,0.0001,9.746e-05,3804.99979693
1533888960000,9.65e-05,9.361e-05,9.65e-05,9.361e-05,4580.0
1533890880000,9.356e-05,9.076e-05,9.356e-05,9.076e-05,3894.0
1533891180000,9.067e-05,9.259e-05,9.259e-05,9.067e-05,2773.0
1533891360000,9.348e-05,9.355e-05,9.355e-05,9.348e-05,1090.0
1533892020000,9.444e-05,9.533e-05,9.533e-05,9.444e-05,4798.521
1533895740000,9.551e-05,9.533e-05,9.551e-05,9.533e-05,2000.0
1533901560000,9.535e-05,9.536e-05,9.536e-05,9.535e-05,1723.84563024
1533901620000,9.536e-05,9.536e-05,9.536e-05,9.536e-05,270.15436976
1533903420000,9.551e-05,9.268e-05,9.551e-05,9.268e-05,5266.78301225
1533903480000,9.251e-05,9.268e-05,9.268e-05,9.251e-05,2637.28657746
1533903600000,9.263e-05,9.263e-05,9.263e-05,9.263e-05,916.0
1533914940000,9.171e-05,9.171e-05,9.171e-05,9.171e-05,954.0
1533915060000,9.08e-05,8.723e-05,9.08e-05,8.723e-05,10142.36182669
1533915120000,8.632e-05,8.547e-05,8.632e-05,8.547e-05,1053.26
1533919620000,8.629e-05,8.629e-05,8.629e-05,8.629e-05,278.0
1533919680000,8.629e-05,8.629e-05,8.629e-05,8.629e-05,278.0
1533919920000,8.629e-05,8.629e-05,8.629e-05,8.629e-05,299.85106037
1533920040000,8.629e-05,8.629e-05,8.629e-05,8.629e-05,162.14893963
1533927900000,8.714e-05,8.714e-05,8.714e-05,8.714e-05,1062.999995
1533933540000,8.638e-05,8.635e-05,8.638e-05,8.635e-05,5060.59525666
1533935160000,8.63e-05,8.635e-05,8.635e-05,8.122e-05,26323.18354755
1533935220000,8.635e-05,8.551e-05,8.635e-05,8.288e-05,14107.52608525
1533935280000,8.377e-05,8.289e-05,8.377e-05,8.289e-05,2255.87638881
1533935400000,8.289e-05,8.211e-05,8.289e-05,8.211e-05,1107.9280474000002
1533935520000,8.211e-05,8.125e-05,8.211e-05,8.125e-05,1163.93316394
1533935880000,8.125e-05,8.04e-05,8.125e-05,8.04e-05,994.52686518
1533936000000,8.04e-05,8.043e-05,8.043e-05,7.966e-05,2024.92505939
1533937200000,8.041e-05,8.041e-05,8.041e-05,8.041e-05,555.74788817
1533938160000,8.043e-05,8.212e-05,8.212e-05,8.043e-05,4686.07102801
1533938220000,8.289e-05,8.289e-05,8.289e-05,8.289e-05,1190.0
1533938400000,8.369e-05,8.375e-05,8.375e-05,8.295e-05,6869.842809000001
1533938460000,8.375e-05,8.375e-05,8.375e-05,8.375e-05,300.0
1533950820000,8.295e-05,8.208e-05,8.295e-05,8.208e-05,556.01410378
1533957660000,8.288e-05,8.635e-05,8.635e-05,8.288e-05,29815.534337
1533957780000,8.633e-05,8.633e-05,8.633e-05,8.633e-05,986.0
1533961680000,8.633e-05,8.373e-05,8.633e-05,8.373e-05,3200.0
1533961980000,8.373e-05,8.373e-05,8.373e-05,8.373e-05,89.0
