time,open,close,high,low,volume
1523118300000,0.155,0.165,0.165,0.155,2840.55864525
1523118360000,0.165,0.125,0.165,0.125,2084.43004963
1523118780000,0.13999,0.13999,0.13999,0.13999,150.0
1523119020000,0.13999,0.13999,0.13999,0.13999,700.0
1523119080000,0.13999,0.13999,0.13999,0.13999,999.46629044
1523119560000,0.12300000000000001,0.12300000000000001,0.12300000000000001,0.12300000000000001,200.0
1523119620000,0.122,0.122,0.122,0.122,6.02768237
1523119680000,0.121,0.121,0.121,0.121,1016.3859884999999
1523120340000,0.1395,0.13968,0.13968,0.1395,2000.0
1523120580000,0.13789,0.13968,0.13968,0.13789,100.16067684
1523124780000,0.13,0.13,0.13,0.13,7714.57893893
1523125860000,0.13968,0.13968,0.13968,0.13968,332.28465299
1523126040000,0.13967000000000002,0.13967000000000002,0.13967000000000002,0.13967000000000002,1602.04971807
1523128080000,0.131,0.13099,0.131,0.13099,198.8128
1523130840000,0.13099,0.1309,0.13099,0.1309,434.03501435
1523132040000,0.1309,0.1309,0.1309,0.1309,1e-08
1523132580000,0.138,0.138,0.138,0.138,75.0
1523132700000,0.138,0.138,0.138,0.138,350.0
1523133240000,0.13788,0.13788,0.13788,0.13788,1200.0
1523133300000,0.1309,0.1309,0.1309,0.1309,424.575
1523134620000,0.13777999999999999,0.13777999999999999,0.13777999999999999,0.13777999999999999,1544.28688713
1523134860000,0.13777999999999999,0.13777999999999999,0.13777999999999999,0.13777999999999999,143.63783940000002
1523135400000,0.1309,0.1309,0.1309,0.1309,575.42499999
1523136300000,0.13769,0.1392,0.1392,0.13769,9810.94895733
1523136600000,0.13,0.13,0.13,0.13,149.7
1523139600000,0.1392,0.1392,0.1392,0.1392,2653.84714166
1523139960000,0.1392,0.1392,0.1392,0.1392,50.0
1523143620000,0.1392,0.1392,0.1392,0.1392,4500.0
1523151420000,0.135,0.135,0.135,0.135,202.44044896
1523151660000,0.13,0.13,0.13,0.13,3100.0
1523151720000,0.13,0.13,0.13,0.13,6374.86517253
1523151840000,0.13,0.13,0.13,0.13,1558.09969908
1523152020000,0.13,0.13,0.13,0.13,100.38223049
1523167560000,0.13899,0.13899,0.13899,0.13899,1000.0
1523167740000,0.13899,0.139,0.139,0.13899,100.0
1523168220000,0.139,0.1302,0.139,0.1302,263.49468811
1523171280000,0.139,0.139,0.139,0.139,86.0
1523176800000,0.1303,0.1303,0.1303,0.1303,2556.87
1523177880000,0.1303,0.13,0.1303,0.13,4281.6090164100015
1523178480000,0.13898,0.13,0.13898,0.13,1411.29981824
1523178540000,0.13,0.13,0.13,0.13,525.83643495
