time,open,close,high,low,volume
1516810920000,0.000197,0.000197,0.000197,0.000197,85.48709251
1516811340000,3.01e-05,3.01e-05,3.01e-05,3.01e-05,2500.0
1516811640000,3.3299999999999996e-05,3.3299999999999996e-05,3.3299999999999996e-05,3.3299999999999996e-05,2000.0
1516812000000,0.000147,0.000147,0.000147,0.000147,1077.0
1516812360000,0.000139,0.000139,0.000139,0.000139,900.0
1516812540000,0.000139,0.000139,0.000139,0.000139,7217.50748201
1516812660000,4.001e-05,4.001e-05,4.001e-05,4.001e-05,800.0
1516812720000,0.000139,0.000139,0.000139,0.000139,300.0
1516812840000,0.00013899,4.3e-05,0.00013899,4.3e-05,10070.0
1516812960000,0.0001347,0.0001347,0.0001347,0.0001347,3000.0
1516813680000,7.903e-05,5.1e-05,7.903e-05,5.1e-05,286.87693413
1516813800000,5.429999999999999e-05,5.429999999999999e-05,5.429999999999999e-05,5.429999999999999e-05,300.0
1516813920000,5.501e-05,4.9e-05,5.501e-05,4.9e-05,3919.0
1516813980000,8.99e-05,8.99e-05,8.99e-05,8.99e-05,1600.0
1516814520000,6.500000000000001e-05,9.990000000000002e-05,9.990000000000002e-05,6.500000000000001e-05,9000.0
1516814580000,5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,80.21483022
1516814640000,5.9e-05,5.9e-05,5.9e-05,5.9e-05,70.79961318
1516814760000,5.9e-05,4.701e-05,5.9e-05,4.701e-05,11000.0
1516814820000,7.999e-05,9.470000000000001e-05,9.470000000000001e-05,7.999e-05,4684.0
1516814940000,6.8e-05,8.4e-05,8.4e-05,6.8e-05,3842.64006419
1516815120000,5e-05,4.801e-05,5e-05,4.801e-05,7805.244784060002
1516815480000,7.3e-05,7.3e-05,7.3e-05,7.3e-05,100.0
1516815600000,7.3e-05,7.3e-05,7.3e-05,7.3e-05,100.0
1516815720000,7.2e-05,5.999e-05,7.3e-05,5.999e-05,3824.14585043
1516815840000,7.3e-05,7.399e-05,7.399e-05,7.3e-05,1077.32689189
1516815900000,5.7999999999999994e-05,5.501e-05,5.7999999999999994e-05,5.501e-05,189.20623594
1516816080000,6.9e-05,7e-05,7e-05,6.9e-05,1962.06185714
1516816380000,5.6999999999999996e-05,5.6999999999999996e-05,5.6999999999999996e-05,5.6999999999999996e-05,280.0
1516816560000,5.6999999999999996e-05,5.6000000000000006e-05,5.6999999999999996e-05,5.6000000000000006e-05,982.48047575
1516816920000,6.3e-05,6.3e-05,6.3e-05,6.3e-05,100.0
1516817280000,5.5e-05,5.201e-05,5.5e-05,5.201e-05,5967.29932175
1516817340000,5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,299.4
1516817460000,5.201e-05,5.2000000000000004e-05,5.201e-05,5.2000000000000004e-05,1257.04177136
1516817820000,5.6000000000000006e-05,5.6999999999999996e-05,5.6999999999999996e-05,5.6000000000000006e-05,1306.77806851
1516817880000,5.79e-05,5.7999999999999994e-05,5.7999999999999994e-05,5.79e-05,1316.4122034000002
1516818480000,5.7999999999999994e-05,7.47e-05,7.47e-05,5.7999999999999994e-05,4523.0
1516818540000,5.7999999999999994e-05,5.7999999999999994e-05,5.7999999999999994e-05,5.7999999999999994e-05,140.0
1516818900000,7e-05,7e-05,7e-05,7e-05,80.71515562
1516818960000,7e-05,7e-05,7e-05,7e-05,1011.0
1516819140000,5.36e-05,5.012e-05,5.36e-05,5.012e-05,34356.0
1516819200000,6.97e-05,7.2e-05,7.2e-05,6.97e-05,4321.0
1516819500000,6.9e-05,7.47e-05,7.47e-05,6.9e-05,16785.0
1516819740000,5.9999999999999995e-05,5.9999999999999995e-05,6.01e-05,5.9999999999999995e-05,5000.0
1516819800000,7.3e-05,7.47e-05,7.47e-05,7.3e-05,2568.6687013
1516819920000,7.47e-05,7.47e-05,7.47e-05,7.47e-05,3552.0
1516819980000,6.0299999999999995e-05,5.121e-05,6.0299999999999995e-05,5.121e-05,22413.0
1516820340000,7e-05,7.18e-05,7.18e-05,7e-05,1086.83769124
1516820520000,7.170000000000001e-05,7.170000000000001e-05,7.170000000000001e-05,7.170000000000001e-05,577.0
1516820580000,7.149e-05,7.2e-05,7.2e-05,7.149e-05,19741.01917071
1516820700000,7.329e-05,7.329e-05,7.329e-05,7.329e-05,70.0
1516820880000,7.3e-05,7.3e-05,7.3e-05,7.3e-05,70.0
1516820940000,7.3e-05,7.3e-05,7.3e-05,7.3e-05,70.0
1516821420000,7.299e-05,6.603e-05,7.299e-05,6.603e-05,99.7002
1516821660000,6.601e-05,6.601e-05,6.601e-05,6.601e-05,1188.99068269
1516821720000,7.269999999999999e-05,7.269999999999999e-05,7.269999999999999e-05,7.269999999999999e-05,577.1341027799998
1516821840000,7.259e-05,7.259e-05,7.259e-05,7.259e-05,550.0
1516822200000,7.198e-05,6.479e-05,7.199e-05,6.479e-05,3457.53070395
1516822440000,6.487e-05,6.484e-05,6.487e-05,6.484e-05,10702.79937752
1516822500000,6.485e-05,6.485e-05,6.485e-05,6.485e-05,840.0
1516822560000,6.486e-05,7.075e-05,7.075e-05,6.485e-05,3959.22725134
1516822680000,6.478e-05,6.478e-05,6.478e-05,6.478e-05,359.3785586900001
1516823040000,6.748e-05,6.748e-05,6.748e-05,6.748e-05,106.47592236
1516823280000,6.485e-05,6.114e-05,6.485e-05,6.114e-05,7427.85584948
1516823460000,6.115e-05,6.115e-05,6.115e-05,6.115e-05,102.65384948
1516823520000,6.116e-05,6.112e-05,6.116e-05,6.112e-05,9967.67
1516823700000,7.037e-05,7.037e-05,7.037e-05,7.037e-05,776.33408769
1516824660000,7e-05,7e-05,7e-05,7e-05,707.13440909
1516824720000,7e-05,7.074e-05,7.074e-05,7e-05,1376.62884353
1516824840000,7.074e-05,7.074e-05,7.074e-05,7.074e-05,502.73257951
1516824900000,7.074e-05,7.074e-05,7.074e-05,7.074e-05,81.55566676
1516825080000,7.075e-05,7.699e-05,7.699e-05,7.075e-05,2746.2249024999996
1516825500000,7.645e-05,6.500000000000001e-05,7.645e-05,6.500000000000001e-05,140.74303563
1516826400000,6.803e-05,7.677e-05,7.677e-05,6.620000000000001e-05,13070.81185145
1516826460000,6.64e-05,6.64e-05,6.64e-05,6.64e-05,275.141302
1516826580000,6.641e-05,6.500000000000001e-05,6.641e-05,6.500000000000001e-05,5808.23836517
1516826640000,6.21e-05,6.102e-05,6.21e-05,6.102e-05,1302.36229535
1516827540000,6.103e-05,6.1e-05,6.103e-05,6.1e-05,81.922885
1516827840000,6.102e-05,5.9999999999999995e-05,6.102e-05,5.9999999999999995e-05,600.0
1516830360000,6.809999999999999e-05,6.809999999999999e-05,6.809999999999999e-05,6.809999999999999e-05,100.0
1516830660000,6.8e-05,6.8e-05,6.8e-05,6.8e-05,70.0
1516830960000,6.794e-05,6.794e-05,6.794e-05,6.794e-05,562.15235294
1516831380000,6.3e-05,5.504e-05,6.3e-05,5.504e-05,1301.81851219
1516831440000,6.809999999999999e-05,6.822e-05,6.822e-05,6.809999999999999e-05,1138.73428111
1516831980000,6.796e-05,6.823e-05,6.823e-05,6.796e-05,16509.72565722
1516832400000,6.792e-05,6.792e-05,6.792e-05,6.792e-05,944.0
1516832940000,6.65e-05,6.65e-05,6.65e-05,6.65e-05,929.85457232
1516833120000,6.829e-05,6.829e-05,6.829e-05,6.829e-05,270.59268973
1516833240000,6.828e-05,6.828e-05,6.828e-05,6.828e-05,100.0
1516833300000,6.826e-05,6.826e-05,6.827e-05,6.826e-05,3161.5375731
1516833360000,6.826e-05,6.829e-05,6.829e-05,6.826e-05,353.33892069
1516833480000,6.879999999999999e-05,6.879999999999999e-05,6.879999999999999e-05,6.879999999999999e-05,492.11031976
1516833720000,6.879e-05,6.879999999999999e-05,6.879999999999999e-05,6.879e-05,364.03929544
1516833780000,7e-05,7e-05,7e-05,7e-05,5420.96237305
1516834020000,7e-05,7e-05,7e-05,7e-05,199.8
1516834200000,7.275e-05,7.276e-05,7.276e-05,7.275e-05,190.31129742
1516835040000,7.272e-05,7.273e-05,7.273e-05,7.272e-05,1107.11618314
1516835160000,6.956e-05,6.501e-05,6.956e-05,6.501e-05,5059.20953057
1516835700000,7.269999999999999e-05,7.269999999999999e-05,7.269999999999999e-05,7.269999999999999e-05,221.86618072
1516836120000,7.269e-05,7.269e-05,7.269e-05,7.269e-05,5985.44061606
1516836660000,7.265e-05,7.277e-05,7.277e-05,7.265e-05,3016.89323526
1516836720000,7.263e-05,7.263e-05,7.263e-05,7.263e-05,500.0
1516836900000,6.857e-05,6.857e-05,6.857e-05,6.857e-05,534.919
1516837500000,7.277e-05,7.277e-05,7.277e-05,7.277e-05,130.0
1516837680000,7.277e-05,7.277e-05,7.277e-05,7.277e-05,2018.046
1516837980000,6.911e-05,6.911e-05,6.911e-05,6.911e-05,459.037616
1516838520000,7.272e-05,7.272e-05,7.272e-05,7.272e-05,100.0
1516838760000,7.264e-05,7.264e-05,7.264e-05,7.264e-05,137.64624914
1516839480000,6.923e-05,6.923e-05,6.923e-05,6.923e-05,300.0
