time,open,close,high,low,volume
1516809960000,0.1,0.3,0.3,0.1,570.0
1516810020000,0.3,0.3,0.3,0.3,43900.15691766
1516810080000,0.3,0.3,0.3,0.3,49657.83448939
1516810140000,0.3,0.35,0.35,0.3,105942.00859295
1516810200000,0.7777,0.7777,0.7777,0.7777,1811.29375001
1516810260000,0.7777,0.7777,0.7777,0.7777,564.14147265
1516810320000,0.7777,0.7777,0.7777,0.7777,223.26815618
1516810440000,0.777,0.2201,0.7777,0.2201,46775.88546159
1516810500000,0.2201,0.2201,0.2201,0.2201,2905.24327954
1516810560000,0.6970000000000001,0.6970000000000001,0.6970000000000001,0.6970000000000001,1000.0
1516810620000,0.69,0.69,0.69,0.69,1000.0
1516810680000,0.5,0.42,0.5,0.42,259.156554
1516810800000,0.659,0.44,0.659,0.44,472.82161987
1516810860000,0.639,0.639,0.639,0.639,1737.25772362
1516811100000,0.51,0.569,0.569,0.501,1273.91205244
1516811220000,0.569,0.569,0.569,0.569,100.0
1516811280000,0.569,0.6,0.6,0.569,5988.95430708
1516811340000,0.638,0.847,0.847,0.638,3881.05688062
1516811400000,0.847,0.847,0.847,0.847,453.84256658
1516811520000,0.8270000000000001,0.8270000000000001,0.8270000000000001,0.8270000000000001,1273.0
1516811580000,0.8270000000000001,0.8270000000000001,0.8270000000000001,0.8270000000000001,1162.63146336
1516811700000,0.66,0.75,0.75,0.65,1267.6
1516811760000,0.74,0.74,0.74,0.74,104.55711381
1516811820000,0.71,0.71,0.71,0.71,560.0
1516811880000,0.66,0.66,0.66,0.66,399.98278787
1516811940000,0.67,0.7,0.7,0.67,2475.0
1516812060000,0.7,0.7,0.7,0.7,777.54350261
1516812120000,0.7,0.73,0.73,0.7,1000.0
1516812180000,0.73,0.74,0.74,0.73,1100.0
1516812240000,0.73,0.73,0.73,0.73,435.0
1516812300000,0.73,0.73,0.73,0.73,565.0
1516812360000,0.73,0.698,0.73,0.698,1246.59691766
1516812420000,0.635,0.631,0.635,0.631,3000.0
1516812480000,0.631,0.631,0.631,0.631,231.03944549
1516812540000,0.6202,0.63,0.63,0.6202,2541.72262301
1516812660000,0.63,0.63,0.63,0.63,208.60779579
1516812720000,0.63,0.68,0.68,0.63,3454.78576312
1516812780000,0.68,0.72,0.72,0.68,13091.32082934
1516812960000,0.6990000000000001,0.6990000000000001,0.6990000000000001,0.6990000000000001,500.0
1516813020000,0.63005,0.63,0.63005,0.63,1662.98416706
1516813080000,0.63,0.63,0.63,0.6,1729.77030271
1516813140000,0.58,0.5534,0.58,0.5534,1364.35
1516813500000,0.6,0.6,0.6,0.6,70.0
1516813620000,0.6,0.6,0.6,0.6,6095.40215922
1516813680000,0.6,0.611,0.611,0.6,12963.77232914
1516813740000,0.612,0.612,0.612,0.612,589.13726686
1516813800000,0.612,0.612,0.612,0.612,108.33982900000001
1516813860000,0.612,0.613,0.613,0.612,18101.72290414
1516813920000,0.65,0.68,0.68,0.64999,2571.39477666
1516813980000,0.68,0.65,0.68,0.65,1666.59630737
1516814100000,0.679,0.679,0.679,0.679,135.0
1516814160000,0.65,0.65,0.65,0.65,142.49003653
1516814220000,0.68,0.68,0.68,0.614,14363.12016801
1516814280000,0.614,0.66,0.66,0.614,319.75
1516814340000,0.655,0.615,0.655,0.614,358.89508029
1516814460000,0.62,0.62,0.62,0.62,335.0
1516814520000,0.62,0.614,0.62,0.614,3500.0
1516814580000,0.62,0.62,0.62,0.62,411.65102183
1516814640000,0.614,0.64,0.64,0.61,383.33328992
1516814700000,0.62,0.62,0.62,0.62,70.0
1516814760000,0.59,0.638,0.638,0.5521,3613.72652579
1516814880000,0.6,0.6399,0.6399,0.6,2359.01752041
