time,open,close,high,low,volume
1523116800000,4.3,4.3,4.3,4.3,40.44023521
1523116980000,3.97,3.97,3.97,3.97,3.58600618
1523117280000,3.77,3.77,3.77,3.77,2.0
1523117700000,3.2,3.2,3.2,3.2,300.0
1523118900000,2.565,2.565,2.565,2.565,40.0
1523119620000,2.58,2.58,2.58,2.58,0.001
1523119800000,2.5799,2.5799,2.5799,2.5799,0.001
1523120160000,2.58,2.58,2.58,2.58,0.001
1523120220000,2.577,2.58,2.58,2.577,200.0
1523120280000,2.58,2.679,2.679,2.58,500.0
1523120640000,2.2,2.2,2.2,2.2,39.92
1523120700000,2.679,2.679,2.679,2.679,10.0
1523122200000,2.22,2.22,2.22,2.22,556.0
1523122260000,2.22,2.2,2.22,2.2,291.7
1523124780000,2.5,2.5,2.5,2.5,100.0
1523124840000,2.1,2.1,2.1,2.1,99.8
1523124900000,2.3,2.5,2.5,2.3,100.0
1523125320000,2.5,2.5,2.5,2.5,200.0
1523125800000,2.498,2.498,2.498,2.498,25.0
1523128260000,2.2,2.2,2.2,2.2,10.0
1523128320000,2.1101,2.11,2.1101,2.11,2.1100000000000003
1523134620000,2.11,2.11,2.11,2.11,16.12452365
1523137680000,2.1,2.1,2.1,2.1,182.92314562
1523139720000,2.1,2.1,2.1,2.1,5.0
1523141280000,2.1,2.0,2.1,2.0,32.07685438
1523141700000,2.34,2.34,2.34,2.34,10.0
1523142300000,2.11,2.11,2.11,2.11,10.0
1523144820000,2.34,2.45,2.45,2.34,15.0
1523146080000,2.45,2.45,2.45,2.45,1.24477037
1523164800000,2.1212,1.76,2.1212,1.76,205.25118999999998
1523168280000,2.4497,2.4497,2.4497,2.4497,6.67447922
1523169240000,2.44,2.44,2.44,2.44,4.0
1523174460000,2.4,2.4,2.4,2.4,54.0
1523175120000,2.4,2.4,2.4,2.4,10.56836998
1523177940000,2.39,2.39,2.39,2.39,83.33509808
1523178060000,2.39,2.39,2.39,2.39,15.0
1523183760000,2.37,2.37,2.37,2.37,15.42271056
1523190180000,2.05,2.05,2.05,2.05,58.81567157
1523190240000,2.05,1.8005,2.05,1.8005,550.0
1523190780000,1.9006,1.9003,1.9006,1.9003,258.86
1523191740000,2.3589,1.9006,2.3599,1.9006,134.94732934
1523192580000,2.0552,2.0551,2.0552,2.0551,7.7844
1523192640000,2.0488,2.0488,2.0488,2.0488,116.65323
1523197620000,2.2099,2.59,2.59,2.2099,808.02286076
1523198400000,2.0301,1.8119999999999998,2.0301,1.8119999999999998,806.40681504
1523203680000,2.0,2.0,2.0,2.0,236.85965496
1523205540000,2.2,2.2,2.2,2.2,4.0
1523205600000,2.2,2.2,2.2,2.2,9.09090909
1523205780000,2.2,2.2,2.2,2.2,36.90909091
1523206200000,2.2,2.2,2.2,2.2,26.32069119
1523206500000,2.42,2.42,2.42,2.42,50.0
1523210340000,2.4,2.4,2.4,2.4,42.0
1523210820000,2.318,2.218,2.318,2.1,173.74842769
1523212320000,2.06,2.06,2.06,2.06,85.89500000000002
1523212980000,2.0601,2.0601,2.0601,2.0601,15.39186514
1523235600000,2.121,2.121,2.121,2.121,10.0
1523241660000,2.301,2.301,2.301,2.301,9.92633573
1523242800000,2.301,2.301,2.301,2.301,444.0
1523243640000,2.301,2.301,2.301,2.301,9.07272727
1523243820000,2.301,2.301,2.301,2.301,1229.443784
1523243880000,2.301,2.301,2.301,2.301,52.235299
1523244060000,2.301,2.301,2.301,2.301,461.026034
1523246460000,2.3,2.45,2.45,2.3,560.18929591
1523252880000,2.41,2.41,2.41,2.41,93.13227251
1523255280000,2.41,2.41,2.41,2.41,5.797729400000001
1523256960000,2.41,2.41,2.41,2.41,10.0
1523257140000,2.41,2.41,2.41,2.41,15.0
1523260620000,2.41,2.41,2.41,2.41,50.0
1523261460000,2.2195,2.219,2.2195,2.219,136.28125719000002
1523266200000,2.2035,2.2035,2.2035,2.2035,5.78613394
1523269140000,2.2035,2.2,2.2035,2.2,1163.21386606
1523271180000,2.1044,2.101,2.1044,2.101,30.26828457
1523271660000,2.101,2.1,2.101,2.1,917.27946061
1523271720000,2.121,2.121,2.121,2.121,40.0
1523271780000,2.072,2.072,2.072,2.072,100.17918115
1523276400000,2.1830000000000003,2.1830000000000003,2.1830000000000003,2.1830000000000003,39.92
1523276760000,2.398,2.398,2.398,2.398,100.0
1523277540000,2.398,2.398,2.398,2.398,50.0
1523277660000,2.1516,2.1652,2.1652,2.1516,387.824
1523277780000,2.398,2.398,2.398,2.398,60.0
1523278020000,2.166,2.166,2.166,2.166,199.6
1523278560000,2.166,2.109,2.166,2.109,1003.80749321
1523278620000,2.109,2.109,2.109,2.1081,1251.64668045
1523279220000,2.1081,2.065,2.1081,2.065,201.79709563
1523279280000,2.066,2.065,2.066,2.065,283.44913949
1523279340000,2.065,2.065,2.065,2.065,50.36988327
1523279400000,2.065,2.065,2.065,2.065,95.66074245
1523279460000,2.065,2.065,2.065,2.065,49.89978148
1523279700000,2.065,2.065,2.065,2.065,118.30465409
1523279880000,2.065,2.065,2.065,2.065,27.92184364
1523280180000,2.065,2.065,2.065,2.065,28.93886646
1523280360000,2.065,2.065,2.065,2.065,160.32569352000004
1523280420000,2.065,2.065,2.065,2.065,281.91830980000003
1523280660000,2.065,2.065,2.065,2.065,28.93709739
1523281020000,2.065,2.065,2.065,2.065,28.86671154
1523281440000,2.065,2.065,2.065,2.065,89.14025358
1523281560000,2.065,2.065,2.065,2.065,447.83597674
1523282460000,2.051,2.051,2.051,2.051,57.14775436
1523282520000,2.051,2.051,2.051,2.051,104.0
1523282580000,2.051,2.051,2.051,2.051,77.13858301
1523282760000,2.051,2.051,2.051,2.051,16.0
1523283000000,2.051,2.051,2.051,2.051,152.0
1523284560000,2.035,2.035,2.035,2.035,85.83800000000002
1523284800000,2.036,2.036,2.036,2.036,55.0
1523289060000,2.0709999999999997,2.0709999999999997,2.0709999999999997,2.0709999999999997,296.0
1523289300000,2.0709999999999997,2.0709999999999997,2.0709999999999997,2.0709999999999997,265.00221316
1523289360000,2.0709999999999997,2.0709999999999997,2.0709999999999997,2.0709999999999997,138.71494172
1523289480000,2.0709999999999997,2.0709999999999997,2.0709999999999997,2.0709999999999997,37.92210491
1523289540000,2.072,2.072,2.072,2.072,256.63302066
1523289600000,2.072,2.072,2.072,2.072,215.38343199999997
1523290440000,2.0709999999999997,2.0709999999999997,2.0709999999999997,2.0709999999999997,255.48724168
1523295000000,2.0709999999999997,2.07,2.0709999999999997,2.07,865.90394985
1523295180000,2.07,2.07,2.07,2.07,80.83616398
1523295480000,2.0709999999999997,2.0709999999999997,2.0709999999999997,2.0709999999999997,63.84149218
1523296620000,2.075,2.075,2.075,2.075,449.03094913
1523296860000,2.0669999999999997,2.0669999999999997,2.0669999999999997,2.0669999999999997,177.80200000000002
1523296920000,2.0645,2.0617,2.0648,2.0617,104.0
1523297040000,2.0617,2.0617,2.0617,2.0617,136.8738
1523300460000,2.063,2.063,2.063,2.063,48.0
1523302680000,2.036,2.036,2.036,2.036,9.999967
1523303700000,2.036,2.0219,2.036,2.0219,871.21887728
1523306040000,2.02,1.8721,2.02,1.8721,1108.41746667
1523306520000,2.0459,2.046,2.046,2.0459,75.0
1523306700000,1.9981,1.9981,1.9981,1.9981,74.85
1523307180000,2.025,2.025,2.025,2.025,51.0
1523307480000,2.011,2.0077,2.011,2.0077,74.90100000000001
1523313660000,2.022,2.022,2.022,2.022,56.57505306
1523318640000,2.0002,2.0002,2.0002,2.0002,56.46190295
1523327460000,2.0186,2.0186,2.0186,2.0186,150.0
1523329320000,2.0186,2.0186,2.0186,2.0186,100.0
1523330160000,2.0186,2.0186,2.0186,2.0186,339.999995
1523330280000,2.187,2.187,2.187,2.187,230.0
1523332920000,2.0764,2.077,2.0780000000000003,2.0764,1505.06004403
1523333520000,2.0771,2.077,2.0771,2.077,149.6943135
1523333580000,2.0780000000000003,2.077,2.0780000000000003,2.077,1394.2536847000001
1523334240000,2.077,2.077,2.077,2.077,99.8
1523334420000,2.077,2.077,2.077,2.077,498.58228753
1523336640000,2.1685,2.1685,2.1685,2.1685,12.0
1523338140000,2.146,2.146,2.146,2.146,200.0
1523341200000,2.0103,2.01,2.0103,2.01,12.0
1523347320000,2.0745,2.0748,2.0748,2.0745,100.0
1523357520000,2.05,2.05,2.05,2.05,40.85232638
1523364660000,2.076,2.076,2.076,2.076,282.18858435
1523381820000,2.0445,2.0445,2.0445,2.0445,16.25958772
1523383500000,2.044,2.044,2.044,2.044,49.94885079
1523383620000,2.044,2.044,2.044,2.044,0.00114921
1523384580000,2.045,2.045,2.045,2.045,40.79328482
1523384820000,2.045,2.045,2.045,2.045,0.01818923
1523388540000,2.0434,2.0434,2.0434,2.0434,7.18335918
1523390160000,2.077,2.077,2.077,2.077,100.0
1523398680000,2.077,2.439,2.44,2.077,1510.0
1523403480000,2.437,2.437,2.437,2.437,300.0
1523405160000,2.0805,2.0805,2.0805,2.0805,46.31992235
1523405460000,2.08,2.08,2.08,2.08,38.84844753
1523405640000,2.0791,2.0791,2.0791,2.0791,38.46100000000001
1523410080000,2.0985,2.099,2.099,2.0985,551.29918939
1523413860000,2.0632,2.063,2.0632,2.063,299.0
1523418540000,2.0645,2.063,2.0645,2.063,281.62420718
1523423940000,2.2675,2.269,2.269,2.2675,1500.0
1523426220000,2.1125,2.1125,2.1125,2.1125,50.65155855
1523427360000,2.1125,2.1125,2.1125,2.1125,28.0
1523428380000,2.1125,2.1109999999999998,2.1125,2.1109999999999998,540.0
1523428800000,2.1112,2.1109999999999998,2.1112,2.1109999999999998,150.4747093
1523428920000,2.1109999999999998,2.11,2.1111,2.11,207.75652
1523428980000,2.112,2.112,2.112,2.112,68.0
1523430480000,2.0682,2.0682,2.0682,2.0682,32.0
1523430540000,2.0682,2.0682,2.0682,2.0682,72.0
1523432940000,2.1109999999999998,2.1109999999999998,2.1109999999999998,2.1109999999999998,4.0
1523433240000,2.112,2.112,2.112,2.112,32.0
1523433300000,2.112,2.112,2.112,2.112,80.0
1523433360000,2.112,2.112,2.112,2.112,1344.0
1523433420000,2.112,2.112,2.112,2.112,152.0
1523433840000,2.113,2.113,2.113,2.113,448.0
1523434800000,2.1125,2.1125,2.1125,2.1125,31.84594567
1523434860000,2.1125,2.112,2.1125,2.112,148.0
1523434980000,2.112,2.112,2.112,2.112,72.0
1523444520000,2.186,2.186,2.186,2.186,196.80299499999998
1523448960000,2.2485,2.2485,2.2485,2.2485,108.83903694
1523452260000,2.2115,2.2115,2.2115,2.2115,25.0
1523454720000,2.2585,2.2585,2.2585,2.2585,233.14794884
1523457960000,2.249,2.249,2.249,2.249,19.6634178
1523458680000,2.249,2.249,2.249,2.249,24.02687451
1523458860000,2.258,2.258,2.258,2.258,4.0
1523459640000,2.258,2.258,2.258,2.258,34.8719862
1523460180000,2.258,2.258,2.258,2.258,45.70270152
1523460840000,2.258,2.258,2.258,2.258,114.58555392
1523461140000,2.258,2.258,2.258,2.258,385.41167743
1523461560000,2.2585,2.2585,2.2585,2.2585,180.0
1523464860000,2.259,2.259,2.259,2.259,4.0
