time,open,close,high,low,volume
1561633140000,4.8,1.1,4.8,1.1,2042.22324019
1561633200000,1.2,1.79,1.9,1.2,22289.77943779146
1561633260000,1.79,1.78,1.9,1.6,40965.167808519465
1561633320000,1.78,1.64,1.78,1.6,19588.32055475265
1561633380000,1.699,1.651,1.699,1.64,12156.20347785
1561633440000,1.65,1.64,1.65,1.5971,17728.00930486256
1561633500000,1.5928,1.5873,1.63,1.5873,1057.08567282
1561633560000,1.599,1.52,1.599,1.5,8204.6867211662
1561633620000,1.52,1.31,1.52,1.31,9412.9617809538
1561633680000,1.31,1.3,1.31,1.3,8892.775443817456
1561633740000,1.32,1.45,1.45,1.32,1188.8484016
1561633800000,1.351,1.45,1.45,1.351,731.0088000000002
1561633860000,1.3730000000000002,1.3439,1.4,1.3439,2591.650581698665
1561633920000,1.3439,1.3041,1.3439,1.3,778.99999402
1561633980000,1.3041,1.3,1.3041,1.2802,638.00004296
1561634040000,1.3,1.2689,1.3,1.2689,689.62332342
1561634100000,1.2689,1.2581,1.2689,1.2581,393.47512199
1561634160000,1.2581,1.2262,1.2581,1.2162,5595.04194342
1561634220000,1.2262,1.1725,1.24,1.1725,4689.0
1561634280000,1.1688,1.11,1.1688,1.11,524.42
1561634340000,1.1368,1.1,1.19,1.1,2726.946439679828
1561634400000,1.097,1.09,1.1,1.011,1766.56660629
1561634460000,1.0736,1.1,1.1,1.0698,2636.0
1561634520000,1.1,1.1,1.1,1.1,529.1409370886789
1561634580000,1.1,1.1,1.1,1.1,75.192949086635
1561634640000,1.1,1.1357,1.1357,1.1,642.149908113365
1561634700000,1.1393,1.2,1.2,1.1393,890.0
1561634760000,1.1999,1.1999,1.2,1.1999,3006.95198917
1561634820000,1.1999,1.2089,1.2089,1.1999,604.80622826
1561634880000,1.2375,1.2759,1.4,1.2375,1839.08284931
1561634940000,1.3,1.3,1.3,1.3,374.70308253
1561635060000,1.31,1.3614,1.3659999999999999,1.31,334.46
1561635120000,1.3737,1.4,1.4,1.3405,5855.409453060001
1561635180000,1.443,1.4689,1.469,1.443,1148.563532837387
1561635240000,1.4689,1.4689,1.4689,1.4689,132.71368216
1561635300000,1.46,1.4689,1.469,1.46,3057.674146873969
1561635360000,1.4689,1.5,1.5,1.4689,143.0
1561635420000,1.4999,1.5,1.5,1.4999,591.30145821
1561635480000,1.49,1.5,1.5,1.49,1692.35112508
1561635540000,1.46,1.455,1.46,1.455,5630.9028571
1561635600000,1.46,1.4,1.46,1.4,1360.31955409
1561635660000,1.35,1.35,1.35,1.35,291.26692369999995
1561635720000,1.35,1.45,1.45,1.35,2470.15478283
1561635780000,1.4445,1.444,1.4445,1.444,3035.34446285
1561635840000,1.444,1.4448,1.4480000000000002,1.4387,1508.67970864
1561635900000,1.454,1.4588,1.492,1.454,1366.29205025
1561635960000,1.4588,1.4938,1.5,1.4588,3270.334160486999
1561636020000,1.4967,1.5348,1.5349,1.4678,2173.48885197
1561636080000,1.5348,1.4926,1.5348,1.4926,533.68519907
1561636140000,1.5,1.5059,1.5399,1.5,745.844712241589
1561636200000,1.5059,1.54,1.54,1.5059,1254.547543241788
1561636260000,1.506,1.48,1.506,1.48,1237.586212819545
1561636320000,1.48,1.4448,1.4854,1.4448,2522.11189259
1561636380000,1.4888,1.4857,1.4913,1.4591,70.60756682
1561636440000,1.4681,1.4681,1.4681,1.4681,19.43410511
