time,open,close,high,low,volume
1524754140000,4.1,4.1,4.1,4.1,165.22383069999998
1524754980000,4.5,4.5,4.5,4.5,2.5
1524755760000,4.4,4.4,4.4,4.4,10.1
1524755940000,4.4,4.4,4.4,4.4,5.0
1524756540000,4.4,4.4,4.4,4.4,147.0
1524759540000,4.4,4.7,4.7,4.4,2.0
1524761280000,4.7,4.7,4.7,4.7,50.0
1524761640000,4.45,4.45,4.45,4.45,205.47589474
1524765120000,4.55,4.55,4.55,4.55,50.0
1524765360000,4.4503,4.4503,4.4503,4.4503,30.0
1524765840000,4.4503,4.4503,4.4503,4.4503,8.982000000000001
1524765900000,4.4502,4.45,4.4502,4.45,456.8
1524773340000,4.5489999999999995,4.5489999999999995,4.5489999999999995,4.5489999999999995,6.1
1524777420000,4.5489999999999995,4.5999,4.5999,4.5489999999999995,437.18770983
1524777780000,4.59,4.59,4.59,4.59,22.0
1524777840000,4.59,4.59,4.59,4.59,10.0
1524784860000,4.5889999999999995,4.5889999999999995,4.5889999999999995,4.5889999999999995,5.09554847
1524786540000,4.5889999999999995,4.5889999999999995,4.5889999999999995,4.5889999999999995,4.0
1524789960000,4.5889999999999995,4.5889999999999995,4.5889999999999995,4.5889999999999995,2.0
1524790620000,4.5889999999999995,4.5889999999999995,4.5889999999999995,4.5889999999999995,60.0
1524790680000,4.5889999999999995,4.5889999999999995,4.5889999999999995,4.5889999999999995,5.0
1524794580000,4.5889999999999995,4.5889999999999995,4.5889999999999995,4.5889999999999995,2.37434653
1524796800000,4.503,4.5021,4.503,4.5021,403.58599816
1524805920000,4.503,4.503,4.503,4.503,10.0798
1524808380000,4.503,4.2665,4.503,4.2665,458.79587730000003
1524812700000,4.5472,4.5473,4.5473,4.5472,247.64159656
1524815520000,4.5462,4.5462,4.5462,4.5462,35.0
1524822360000,4.5,4.5,4.5,4.5,3.992
1524823500000,4.548,4.548,4.548,4.548,20.0
1524825240000,4.548,4.7,4.7,4.548,15.99736803
1524825420000,4.7,4.7,4.7,4.7,22.39361701
1524826500000,4.7,4.7,4.7,4.7,16.19794179
1524828240000,4.7,4.5,4.7,4.5,113.81005821
1524831840000,4.5,4.5,4.5,4.5,35.0
1524832620000,4.5,4.5,4.5,4.5,25.71492858
1524836880000,4.84,4.84,4.84,4.84,25.0
1524841200000,4.84,4.84,4.84,4.84,32.59964045
1524842580000,4.84,4.84,4.84,4.84,4.0
1524843960000,4.7,4.4041,4.7,4.4041,16.21711928
1524844020000,4.7,4.6,4.7,4.6,15.72701273
1524864960000,4.67,4.67,4.67,4.67,2.0
