time,open,close,high,low,volume
1531410960000,3e-06,1.9e-05,1.9e-05,3e-06,17251.43054042
1531428780000,7.88e-06,7.88e-06,7.88e-06,7.88e-06,334.0
1531530300000,7.79e-06,7.79e-06,7.79e-06,7.79e-06,5000.0
1531752000000,5.6e-06,5.6e-06,5.6e-06,5.6e-06,578.84205111
1531788360000,5.2e-06,5.2e-06,5.2e-06,5.2e-06,9600.0
1531859640000,5.02e-06,3.3e-06,5.02e-06,3.3e-06,638.4679301599998
1531860000000,4.99e-06,4.99e-06,4.99e-06,4.99e-06,316.87599424
1531860120000,4.98e-06,4.98e-06,4.98e-06,4.9000000000000005e-06,6998.89648685
1531860240000,4.95e-06,4.95e-06,4.95e-06,4.95e-06,8000.0
1531943820000,4.59e-06,4.59e-06,4.59e-06,4.59e-06,15000.0
1531943880000,4.59e-06,4.59e-06,4.59e-06,4.59e-06,7500.0
1532096280000,4e-06,4e-06,4e-06,4e-06,1998.74874875
1532096340000,6.79e-06,6.79e-06,6.79e-06,6.79e-06,1000.0
1532096520000,4e-06,4e-06,4e-06,4e-06,1.25125125
1532096640000,3.63e-06,3.63e-06,3.63e-06,3.63e-06,996.74
1532096700000,6.69e-06,6.69e-06,6.69e-06,6.69e-06,500.0
1532096760000,3.55e-06,3.55e-06,6.69e-06,3.55e-06,1298.0
1532304600000,3.56e-06,3.56e-06,3.56e-06,3.56e-06,2245.69101124
1532304660000,3.18e-06,3.18e-06,3.18e-06,3.18e-06,6904.10298876
1532541060000,1.14e-06,1.14e-06,1.14e-06,1.14e-06,380.0
1532556420000,1.13e-06,1.13e-06,1.13e-06,1.13e-06,10000.0
1532579940000,1.17e-06,1.17e-06,1.17e-06,1.17e-06,5000.0
1532604300000,1.55e-06,1.55e-06,1.55e-06,1.55e-06,4430.0
1532714700000,4.07e-06,4.07e-06,4.07e-06,4.07e-06,380.0
1532917080000,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,1397.9
1532926860000,3.54e-06,3.54e-06,3.54e-06,3.54e-06,6136.42128432
1533211980000,2.21e-06,2.21e-06,2.21e-06,2.21e-06,843.91498772
1533305880000,2.2e-06,2.2e-06,2.2e-06,2.2e-06,14250.0
1533502020000,4e-06,4e-06,4e-06,4e-06,2000.0
1533535560000,1.56e-06,1.51e-06,1.56e-06,1.51e-06,1500.0
1533536040000,1.55e-06,1.55e-06,1.55e-06,1.55e-06,498.0
1533651480000,4.97e-06,4.97e-06,4.97e-06,4.97e-06,700.0
1533667920000,4.99e-06,4.99e-06,4.99e-06,4.99e-06,10000.0
1533667980000,1.87e-06,2.87e-06,4.87e-06,1.87e-06,18234.48527746
1533668040000,4.76e-06,4.47e-06,4.87e-06,4.47e-06,7295.064965989999
1533668100000,2.88e-06,2.68e-06,2.88e-06,2.68e-06,7280.47483605
1533668220000,4.48e-06,4.48e-06,4.48e-06,4.48e-06,2774.91388638
1533668280000,4.64e-06,2.7000000000000004e-06,5e-06,2.48e-06,46141.746849
1533901140000,2e-06,2e-06,2e-06,2e-06,5000.0
1533905580000,2.36e-06,2.38e-06,2.38e-06,2.36e-06,7740.0
1533905700000,2.44e-06,2.44e-06,2.44e-06,2.44e-06,516.0
1533906300000,2.5e-06,2.49e-06,2.51e-06,2.49e-06,1039.23387203
1533906360000,2.47e-06,2.47e-06,2.47e-06,2.47e-06,516.0
1533907320000,2.49e-06,2.49e-06,2.49e-06,2.49e-06,516.0
1533907380000,2.47e-06,2.47e-06,2.47e-06,2.47e-06,516.0
1533907620000,2.44e-06,2.48e-06,2.48e-06,2.44e-06,29928.0
1533910980000,2.39e-06,2.4e-06,2.4e-06,2.39e-06,1032.0
1533911160000,2.39e-06,2.37e-06,2.39e-06,2.36e-06,4193.4893741
1533911220000,2.37e-06,2.37e-06,2.37e-06,2.37e-06,526.25842837
1533911340000,2.37e-06,2.37e-06,2.37e-06,2.37e-06,516.0
1533911400000,2.37e-06,2.39e-06,2.39e-06,2.37e-06,5676.0
1533911460000,2.39e-06,2.39e-06,2.39e-06,2.39e-06,516.0
1533911580000,2.42e-06,2.43e-06,2.44e-06,2.42e-06,2198.4127572
