time,open,close,high,low,volume
1531406400000,0.00010700000000000001,0.0001,0.00010700000000000001,0.0001,9500.0
1531406460000,0.0001,0.0001,0.0001,0.0001,7975.0
1531406520000,0.0001,0.0001,0.0001,0.0001,2025.0
1531406640000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,766.66666666
1531407300000,7.526e-05,7.526e-05,7.526e-05,7.526e-05,8360.0
1531407360000,7.526e-05,7.525e-05,7.526e-05,7.525e-05,9435.74029986
1531407840000,8.8e-05,8.8e-05,8.8e-05,8.8e-05,9435.88905654
1531408260000,9.1e-05,9.1e-05,9.1e-05,9.1e-05,10000.0
1531408320000,9.1e-05,9.1e-05,9.1e-05,9.1e-05,635.88905654
1531408380000,9.2e-05,9.2e-05,9.2e-05,9.2e-05,5002.03419711
1531408500000,9.1e-05,9e-05,9.1e-05,9e-05,15000.0
1531408740000,9.09e-05,9.09e-05,9.09e-05,9.09e-05,11751.8294
1531408800000,9.1e-05,9.1e-05,9.1e-05,9.1e-05,10000.0
1531408860000,9.2e-05,9.2e-05,9.2e-05,9.2e-05,9997.96580289
1531408980000,9.329999999999999e-05,9.499999999999999e-05,9.499999999999999e-05,9.329999999999999e-05,6100.0
1531409280000,9.25e-05,9.25e-05,9.25e-05,9.25e-05,5000.0
1531409340000,9.2e-05,9.2e-05,9.2e-05,9.2e-05,9426.10869685
1531409400000,9.2e-05,9.2e-05,9.2e-05,9.2e-05,1647.35554228
1531409760000,8.8e-05,8.8e-05,8.8e-05,8.8e-05,7000.0
1531409880000,8.8e-05,8.8e-05,8.8e-05,8.8e-05,8523.54445771
1531409940000,8.8e-05,8.625e-05,8.8e-05,8.625e-05,19583.91557078
1531410000000,8.25e-05,8e-05,8.25e-05,8e-05,210985.52324470002
1531410120000,8.65e-05,7.631e-05,8.65e-05,7.631e-05,83573.9323979
1531410300000,7.63e-05,8.6e-05,8.6e-05,7.63e-05,52000.0
1531410420000,7.63e-05,7.52e-05,7.63e-05,7.52e-05,24284.57446808
1531410600000,7.5e-05,7.4e-05,7.5e-05,7.4e-05,271770.27027027
1531410660000,7.5e-05,7.5e-05,7.5e-05,7.5e-05,9434.60184391
1531410720000,7.4e-05,7.3e-05,7.4e-05,7.3e-05,112611.0
1531410840000,7.4e-05,7.001e-05,7.4e-05,7.001e-05,134000.0
1531410960000,6.857e-05,5.9999999999999995e-05,6.857e-05,5.9999999999999995e-05,56730.08769752
1531411020000,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,15384.0
1531411200000,7e-05,6.3e-05,7e-05,6.3e-05,105210.61757106
1531411320000,6.3e-05,6.2e-05,6.3e-05,6.2e-05,110289.38242894
1531411500000,6.25e-05,5.9999999999999995e-05,6.25e-05,5.9999999999999995e-05,103376.96
1531411560000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,50000.0
1531411680000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,75000.0
1531411740000,5.6999999999999996e-05,5.6999999999999996e-05,5.6999999999999996e-05,5.6999999999999996e-05,200000.0
1531411800000,6.1e-05,5.6999999999999996e-05,6.1e-05,5.6999999999999996e-05,122000.0
1531411920000,6.3e-05,5.7999999999999994e-05,6.3e-05,5.7999999999999994e-05,73000.0
1531412100000,6.21e-05,6.21e-05,6.21e-05,6.21e-05,160103.30740741
1531412160000,6.21e-05,6.21e-05,6.21e-05,6.21e-05,66249.39735437
1531412280000,6.7e-05,6.7e-05,6.7e-05,6.7e-05,14916.63417196
1531412460000,8.499999999999999e-05,8.499999999999999e-05,8.499999999999999e-05,8.499999999999999e-05,10000.0
1531412520000,8e-05,8.37e-05,8.37e-05,8e-05,50000.0
1531412580000,7e-05,7e-05,7e-05,7e-05,10000.0
1531412640000,6.826e-05,6.719e-05,6.826e-05,6.719e-05,170145.49972469002
1531412880000,6.755e-05,6.657e-05,6.755e-05,6.657e-05,579000.0
1531412940000,6.45e-05,6.4e-05,6.45e-05,6.4e-05,49500.0
1531413000000,6.75e-05,6.75e-05,6.75e-05,6.75e-05,4500.0
1531413120000,7.75e-05,7.75e-05,7.75e-05,7.75e-05,1.0
1531413180000,7.2e-05,7.2e-05,7.2e-05,7.2e-05,8000.0
1531413240000,6.7e-05,6.57e-05,6.7e-05,6.57e-05,74268.65671642
1531413720000,7.31e-05,7.31e-05,7.31e-05,7.31e-05,20951.10369357
1531413840000,7.31e-05,7.099999999999999e-05,7.31e-05,7.099999999999999e-05,15000.0
1531414020000,7.099999999999999e-05,7e-05,7.099999999999999e-05,7e-05,13757.4555066
1531414320000,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,8310.0
1531414800000,7.7e-05,7.75e-05,7.75e-05,7.7e-05,44142.71017892
1531414860000,7.752e-05,7.752e-05,7.752e-05,7.752e-05,8799.2634203
1531414920000,7.8e-05,7.8e-05,7.8e-05,7.8e-05,10151.25589743
1531414980000,7.8e-05,7.8e-05,7.8e-05,7.8e-05,19848.74410257
1531415040000,7.8e-05,7.8e-05,7.8e-05,7.8e-05,70000.0
1531415220000,7.998e-05,8.36e-05,8.36e-05,7.998e-05,147500.0
1531415280000,8.37e-05,8.37e-05,8.37e-05,8.37e-05,14925.0
1531416480000,7.900000000000001e-05,7.900000000000001e-05,7.900000000000001e-05,7.900000000000001e-05,7132.77
1531416540000,8.36e-05,8.36e-05,8.36e-05,8.36e-05,8022.50598086
1531416720000,8.36e-05,8.36e-05,8.36e-05,8.36e-05,2477.49401914
1531416960000,8.36e-05,8e-05,8.36e-05,8e-05,509222.50598086
1531418220000,7.72e-05,7.72e-05,7.72e-05,7.72e-05,4940.0
1531419720000,7.730000000000001e-05,7.730000000000001e-05,7.730000000000001e-05,7.730000000000001e-05,9500.0
1531421160000,7.733e-05,7.622e-05,7.733e-05,7.622e-05,39960.0
1531422120000,7.301e-05,7.253e-05,7.301e-05,7.253e-05,87299.10075349
1531422180000,7.251e-05,7.25e-05,7.251e-05,7.25e-05,129111.40143860002
1531422420000,7.112e-05,7e-05,7.112e-05,7e-05,315109.18820517
1531422480000,6.903e-05,6.9e-05,6.903e-05,6.9e-05,500000.0
1531422540000,7e-05,7e-05,7e-05,7e-05,114122.68188302
1531422660000,6.901e-05,6.9e-05,6.901e-05,6.9e-05,500000.0
1531422720000,6.99e-05,6.9e-05,7.001e-05,6.9e-05,680475.797
1531422780000,6.901e-05,6.901e-05,6.901e-05,6.901e-05,147.03539038
1531422840000,6.902e-05,6.9e-05,6.902e-05,6.9e-05,487126.97933713
1531422900000,6.801e-05,6.8e-05,6.801e-05,6.8e-05,35733.8801986
1531423200000,7.011e-05,7.001e-05,7.011e-05,7.001e-05,105000.0
1531423260000,7.001e-05,7.001e-05,7.001e-05,7.001e-05,23000.0
1531423320000,7.001e-05,7.001e-05,7.001e-05,7.001e-05,372000.0
1531423500000,7.011e-05,7e-05,7.011e-05,7e-05,16673.85712092
1531423560000,6.801e-05,6.8e-05,6.801e-05,6.8e-05,103937.53453847
1531423620000,6.8e-05,6.8e-05,6.8e-05,6.8e-05,370144.27661765
1531423680000,6.8e-05,6.8e-05,6.8e-05,6.8e-05,9500.0
1531423800000,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,116185.35246619
1531423860000,6.801e-05,6.571e-05,6.801e-05,6.571e-05,213090.52291821
1531423980000,6.576e-05,6.296e-05,6.576e-05,6.296e-05,408783.28303515
1531424040000,7.2e-05,7.2e-05,7.2e-05,6.211e-05,599900.0
1531424100000,7.2e-05,7.099999999999999e-05,7.2e-05,7.099999999999999e-05,340000.0
1531424160000,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,1200000.0
1531424220000,7.099999999999999e-05,7.2e-05,7.2e-05,7.099999999999999e-05,1450000.0
1531424340000,7.2e-05,7.2e-05,7.2e-05,7.2e-05,140000.0
