time,open,close,high,low,volume
1556197440000,3.4,3.4,3.4,3.4,1000.0
1556197680000,3.4,3.4,3.4,3.4,73.18
1556197980000,3.4,3.4,3.4,3.4,943.06280726
1556199180000,3.5,3.5,3.5,3.5,1.99999622
1556201220000,3.6489999999999996,3.6489999999999996,3.6489999999999996,3.6489999999999996,8.21555929
1556203620000,3.5846,3.5846,3.5846,3.5846,8.41967879
1556203920000,3.5824,3.5824,3.5824,3.5824,4.0
1556204340000,3.5802,3.5802,3.5802,3.5802,30.0
1556204700000,3.5780000000000003,3.5780000000000003,3.5780000000000003,3.5780000000000003,2.95896756
1556206620000,3.4610000000000003,3.446,3.4610000000000003,3.446,169.45804367
1556207220000,3.446,3.445,3.446,3.445,62.4
1556207340000,3.44,3.4001,3.44,3.4001,13.49
1556207460000,3.4001,3.3938,3.4001,3.3938,22.22
1556208420000,4.194,4.1941,4.1941,4.194,20.0
1556208660000,4.1919,4.1919,4.1919,4.1919,20.0
1556209200000,3.4019999999999997,3.4,3.4019999999999997,3.4,110.83
1556209320000,3.27,3.2695,3.27,3.2695,19.96
1556214600000,3.4983,3.4983,3.4983,3.4983,24.95
1556214660000,3.5,3.5,3.5,3.5,105.67081835
1556214720000,3.5584,3.5584,3.5584,3.5584,61.70928619
1556215140000,3.5241,3.5241,3.5241,3.5241,32.115
1556215800000,3.4885,3.4885,3.4885,3.4885,10.0
1556217720000,3.5174,3.5174,3.5174,3.5174,20.0
1556218200000,3.5010000000000003,3.5010000000000003,3.5010000000000003,3.5010000000000003,236.3636
1556218260000,3.5010000000000003,3.5010000000000003,3.5010000000000003,3.5010000000000003,62.57911628
1556218680000,3.5486,3.5487,3.5487,3.5486,314.32011876
1556220540000,3.569,3.569,3.569,3.569,50.0
1556220720000,3.5613,3.5613,3.5613,3.5613,120.0
1556221680000,3.511,3.511,3.511,3.511,50.0
1556222400000,3.6006,3.6006,3.6006,3.6006,20.0
1556222880000,3.5,3.5,3.5,3.5,96.29132506
1556222940000,3.5,3.5,3.5,3.5,50.0
1556224980000,3.5,3.5,3.5,3.5,45.72694324
1556225760000,3.55,3.55,3.55,3.55,25.0
1556225880000,3.5481,3.5481,3.5481,3.5481,11.20364816
1556227860000,3.5672,3.5672,3.5672,3.5672,3.15912839
1556228640000,3.5732,3.5732,3.5732,3.5732,841.49160302
1556229540000,3.5107,3.5,3.5107,3.5,94.65
1556229660000,3.5,3.5,3.5,3.5,0.0044
1556229720000,3.5,3.5,3.5,3.5,0.00252511
1556229780000,3.4151,3.415,3.4151,3.415,16.328199230000006
1556229840000,3.3567,3.3566,3.3567,3.3566,25.78
1556229900000,3.3566,3.3566,3.3566,3.3566,0.0024
1556230140000,3.313,3.2739999999999996,3.313,3.2739999999999996,12.052999999999999
1556230200000,3.2739999999999996,3.2739999999999996,3.2739999999999996,3.2739999999999996,8.1779
1556230260000,3.2739999999999996,3.2739999999999996,3.2739999999999996,3.2739999999999996,0.3584
1556230440000,3.3697,3.2739999999999996,3.39,3.2739999999999996,100.10948175
1556230800000,3.25,3.25,3.25,3.25,34.5
1556230860000,3.23,3.23,3.23,3.23,0.0093618
1556230980000,3.23,3.23,3.23,3.23,3.0
1556231040000,3.23,3.23,3.23,3.23,9.36383835
1556231220000,3.2299,3.2299,3.2299,3.2299,18.5
1556231280000,3.23,3.23,3.23,3.23,50.0
1556231580000,3.2289999999999996,3.2285,3.2289999999999996,3.2285,0.00713048
1556231940000,3.19,3.19,3.19,3.19,58.2762437
1556232000000,3.23,3.19,3.23,3.19,154.1037563
1556232240000,3.23,3.23,3.23,3.23,0.0036
1556233620000,3.2,3.2,3.2,3.2,20.0
1556233740000,3.23,3.23,3.23,3.23,0.001
1556235000000,3.23,3.23,3.23,3.23,0.001176
1556238480000,3.1723,3.1436,3.1723,3.1436,92.7289965
1556240400000,3.3073,3.3074,3.3074,3.3073,1047.99726673
1556240820000,3.3546,3.3546,3.3546,3.3546,15.0
1556240880000,3.3,3.3,3.3,3.3,1472.7253
1556240940000,3.3,3.3,3.3,3.3,20.8414
1556241000000,3.3,3.3,3.3,3.3,3.3093
1556241060000,3.3,3.3,3.3,3.3,1.6066
1556241120000,3.3,3.3,3.3,3.3,1.2679
1556241420000,3.3,3.3,3.3,3.3,0.1283
1556241540000,3.3,3.21,3.3,3.21,145.0
