time,open,close,high,low,volume
1529008560000,4.7e-05,4.7e-05,4.7e-05,4.7e-05,20.0
1529017680000,4.6500000000000005e-05,4.6500000000000005e-05,4.6500000000000005e-05,4.6500000000000005e-05,70.96774194
1529067600000,2.249e-05,2.249e-05,2.249e-05,2.249e-05,1429.92573665
1529212320000,4.355e-05,4.355e-05,4.355e-05,4.355e-05,88.0
1529378640000,2.5300000000000002e-05,2.5300000000000002e-05,2.5300000000000002e-05,2.5300000000000002e-05,90.0
1529467080000,4.355e-05,4.355e-05,4.355e-05,4.355e-05,44.0
1529521920000,4.355e-05,4.355e-05,4.355e-05,4.355e-05,49.83195592
1529523420000,2.245e-05,2.245e-05,2.245e-05,2.245e-05,3092.89856534
1529532960000,4.355e-05,4.355e-05,4.355e-05,4.355e-05,227.40362283
1529741040000,4e-05,4e-05,4e-05,4e-05,60.0
1529783460000,3.987e-05,3.987e-05,3.987e-05,3.987e-05,123.3425
1529883060000,3.987e-05,3.987e-05,3.987e-05,3.987e-05,100.0
1530072660000,2.457e-05,2.457e-05,2.457e-05,2.457e-05,61.0
1530082560000,2.611e-05,2.611e-05,2.611e-05,2.611e-05,666.66666666
1530119280000,2.252e-05,2.252e-05,2.252e-05,2.252e-05,68.0
1530119340000,2.251e-05,2.251e-05,2.251e-05,2.251e-05,150.0
1530119400000,2.249e-05,2.249e-05,2.249e-05,2.249e-05,150.0
1530119640000,2.245e-05,2.245e-05,2.245e-05,2.245e-05,10000.0
1530212220000,2.433e-05,2.434e-05,2.434e-05,2.433e-05,374.99344774
1530213900000,2.434e-05,4.319e-05,4.319e-05,2.434e-05,424.39476312
1530263400000,2.612e-05,2.613e-05,2.613e-05,2.612e-05,977.3489651000001
1530511500000,2.705e-05,2.705e-05,2.705e-05,2.705e-05,125.0
1530621060000,1.325e-05,1.365e-05,1.365e-05,1.325e-05,2800.0
1531034760000,2.365e-05,2.365e-05,2.365e-05,2.365e-05,808.26454262
1531318800000,2.436e-05,2.441e-05,2.441e-05,2.436e-05,2097.85853405
1531428840000,4.05e-05,4.05e-05,4.05e-05,4.05e-05,58.0
1531801620000,2.531e-05,2.531e-05,2.531e-05,2.531e-05,250.0
1531893180000,2.34e-05,2.34e-05,2.34e-05,2.34e-05,772.01737778
1532021460000,2.3e-05,2.3e-05,2.3e-05,2.3e-05,20000.0
1532022900000,3.002e-05,3.002e-05,3.002e-05,3.002e-05,68.9
1532023140000,2.847e-05,2.843e-05,2.847e-05,2.843e-05,275.9
1532023200000,1.758e-05,1.758e-05,1.758e-05,1.758e-05,344.1104
1532023560000,2.671e-05,1.968e-05,2.671e-05,1.968e-05,352.5386
1532023620000,2.632e-05,2.021e-05,2.632e-05,2.021e-05,194.9134
1532023680000,2.579e-05,2.579e-05,2.579e-05,2.579e-05,126.8134
1532023740000,2.068e-05,2.068e-05,2.547e-05,2.068e-05,271.4402
1532023860000,2.511e-05,2.092e-05,2.511e-05,2.092e-05,139.6268
1532023920000,2.468e-05,2.468e-05,2.468e-05,2.468e-05,69.8134
1532039880000,2.05e-05,2.05e-05,2.05e-05,2.05e-05,126.0788928
1532097120000,2.175e-05,2.175e-05,2.175e-05,2.175e-05,2392.49
1532102820000,2.18e-05,2.18e-05,2.18e-05,2.18e-05,587.8489
1532102940000,2.179e-05,2.179e-05,2.179e-05,2.179e-05,989.15
1532276220000,2.362e-05,2.362e-05,2.362e-05,2.362e-05,98.98602878
1532455200000,2.4e-05,2.4e-05,2.4e-05,2.4e-05,359.245
1533019260000,1.95e-05,1.95e-05,1.95e-05,1.95e-05,199.45128205
1533035100000,1.86e-05,1.86e-05,1.86e-05,1.86e-05,536.18134264
1533213060000,1.86e-05,1.86e-05,1.86e-05,1.86e-05,0.31798228
