time,open,close,high,low,volume
1555063500000,267.0,267.0,267.0,267.0,0.1
1555134780000,279.1,279.1,279.1,279.1,0.98880983
1555150800000,272.0,272.0,272.0,272.0,0.04346557
1555206840000,276.29,276.29,276.29,276.29,0.01533263
1555248180000,282.39,282.39,282.39,282.39,3.2239999999999998
1555287840000,289.0,289.0,289.0,289.0,0.38637577
1555290240000,300.59,300.59,300.59,300.59,11.001
1555290300000,300.59,300.59,300.59,300.59,0.20488
1555290360000,299.21,299.21,299.21,299.21,6.843999999999999
1555291620000,304.03,303.28,304.03,303.28,33.79729682
1555333320000,297.34,297.34,297.34,297.34,0.01
1555338540000,310.36,310.9,310.9,310.36,2.61047096
1555338600000,310.9,310.9,310.9,310.9,4.76167373
1555338660000,313.84,313.84,313.84,313.84,4.90753
1555338900000,323.8,323.8,323.8,323.8,0.65595084
1555338960000,323.8,323.8,323.8,323.8,8.77664994
1555339020000,319.25,319.25,319.25,319.25,0.43527
1555339920000,316.68,316.68,316.68,316.68,1.42685015
1555339980000,316.91,316.91,316.91,316.91,0.4756318
1555341780000,323.5,323.5,323.5,323.5,15.88993387
1555341900000,322.91,322.91,322.91,322.91,1.09947708
1555343400000,322.0,322.0,322.0,322.0,0.07983968
1555344480000,322.58,322.58,322.58,322.58,0.19
1555349400000,309.6,309.6,309.6,309.6,1.44049999
1555351140000,309.03,309.74,309.74,309.03,6.76617595
1555351440000,309.52,309.52,309.52,309.52,7.72058819
1555351740000,308.59,308.59,308.59,308.59,0.80383267
1555351800000,310.32,310.32,310.32,310.32,0.03161072
1555353660000,306.55,306.55,306.55,306.55,1.46794977
1555358940000,306.29,306.3,306.3,306.29,4.15370696
1555361400000,311.69,311.69,311.69,311.69,1.82347123
1555362780000,310.47,310.47,310.47,310.47,0.48418335
1555363680000,311.16,311.16,311.16,311.16,1.56461337
1555363980000,308.7,308.59,308.7,308.59,13.20678522
1555364160000,307.01,307.01,307.01,307.01,6.8359999999999985
1555365120000,307.13,307.13,307.13,307.13,0.81185964
1555366560000,312.11,312.11,312.11,312.11,0.79845419
1555369740000,314.78,315.52,315.52,314.78,0.67484202
1555369800000,316.13,316.33,316.33,316.13,0.77681482
1555378380000,318.23,318.23,318.23,318.23,0.47182902
1555392660000,315.23,315.23,315.23,315.23,3.97941341
1555393680000,313.1,313.1,313.1,313.1,0.7947861999999999
1555393920000,312.83,312.83,312.83,312.83,0.46667348
1555395060000,312.14,312.14,312.14,312.14,0.38663449
1555399560000,313.64,313.64,313.64,313.64,0.46600086
1555402020000,317.37,317.37,317.37,317.37,5.73044453
1555402140000,317.37,317.37,317.37,317.37,0.4466
1555410180000,315.74,317.0,317.0,315.74,33.0
1555425060000,307.87,307.87,307.87,307.87,1.95542857
1555431960000,307.32,307.16,307.32,307.16,8.66
1555432260000,309.79,310.65,310.65,309.79,8.559999999999999
1555435920000,315.32,315.31,315.32,315.31,1.3779625
1555447440000,315.5,315.5,315.5,315.5,0.04
1555447560000,316.08,316.08,316.08,316.08,0.04
1555448400000,316.1,316.1,316.1,316.1,0.18917265
1555448640000,316.01,316.01,316.01,316.01,0.1
1555448820000,315.8,315.8,315.8,315.8,0.17827916
1555456140000,317.55,317.55,317.55,317.55,6.14819784
1555464780000,313.3,313.3,313.3,313.3,0.9311
1555464840000,312.75,312.75,312.75,312.75,0.4657
1555501440000,313.7,313.7,313.7,313.7,0.78651838
1555501800000,313.12,313.12,313.12,313.12,0.78789751
1555515120000,306.79,307.98,307.98,306.79,5.40582007
1555516260000,307.14,307.14,307.14,307.14,0.08000908
1555516320000,306.9,306.9,306.9,306.9,0.08
1555516440000,305.43,305.43,305.43,305.43,0.15967998
1555617120000,308.83,308.85,308.85,308.83,4.40946614
1555637580000,295.0,295.0,295.0,295.0,0.19
1555637700000,294.56,294.23,294.56,294.23,1.49579999
1555637760000,294.23,294.23,294.23,294.23,1e-08
1555674600000,297.89,297.89,297.89,297.89,3.33790773
1555690500000,298.94,298.94,298.94,298.94,5.50968966
1555690860000,307.52,307.52,307.52,307.52,1.46790188
1555690920000,306.67,306.67,306.67,306.67,0.4788
1555741620000,305.23,305.23,305.23,305.23,0.47862329
1555757880000,301.53,301.53,301.53,301.53,0.07957222
1555819620000,299.12,299.12,299.12,299.12,0.04
1555853580000,284.56,284.56,284.56,284.56,0.06226927
1555860180000,282.24,282.24,282.24,282.24,2.71399999
1555861200000,281.89,281.89,281.89,281.89,1.0388781999999999
1555861260000,281.84,281.84,281.84,281.84,0.29
1555861440000,283.2,283.95,283.95,283.2,2.22105544
1555861560000,283.01,283.01,283.01,283.01,12.09287544
1555873380000,281.2,281.2,281.2,281.2,4.48219283
1555880460000,283.33,283.33,283.35,283.33,4.4
1555880520000,283.52,283.33,283.52,283.33,4.4
1555880580000,283.47,283.33,283.47,283.33,13.2
1555880640000,283.52,283.46,283.52,283.45,12.1
1555880700000,283.68,283.33,283.68,283.33,6.6000000000000005
1555886220000,286.73,286.74,286.74,286.73,13.978
1555893780000,290.09,290.55,290.55,290.09,1.03258236
1555896300000,289.78,289.78,289.78,289.78,0.12769169
1555897560000,289.93,289.96,289.96,289.93,6.65045225
1555897620000,290.6,290.6,290.6,290.6,11.814
1555901160000,286.73,286.66,286.73,286.66,8.22229421
1555943220000,289.94,289.94,289.94,289.94,0.59471928
1555955160000,290.13,290.13,290.13,290.13,2.94289964
1555960260000,289.38,289.38,289.38,289.38,1.13237474
1556019660000,299.04,299.04,299.04,299.04,1.50632173
1556019720000,299.04,299.04,299.04,299.04,7.89996101
1556033880000,296.66,296.66,296.66,296.66,0.49465668
1556068920000,276.81,276.81,276.81,276.81,0.21562215
1556070180000,283.44,283.37,283.45,283.37,4.43316864
1556084580000,284.84,284.83,284.84,284.83,5.61051741
1556092320000,273.55,273.55,273.55,273.55,14.95978914
1556158500000,279.81,279.8,279.81,279.8,14.51612904
1556162280000,274.75,274.75,274.75,274.75,0.07981
1556162820000,276.15,275.87,276.15,275.87,31.11241924
1556177040000,274.79,274.53,274.79,274.53,5.53228001
1556191500000,280.63,280.63,280.63,280.63,0.523
1556229720000,272.55,272.55,272.55,272.55,0.02
1556229900000,270.67,270.67,270.67,270.67,0.18327102
