time,open,close,high,low,volume
1515447480000,1.0,1.0,1.0,1.0,113.20637771
1515447600000,1.0,2.0,2.0,1.0,86.79362229
1515447660000,1.0,1.0,1.0,1.0,30.0
1515447720000,1.0,1.0,1.0,0.98,2018.35443735
1515447780000,1.0,1.0,1.0,1.0,22245.62232699
1515447840000,1.0,1.0,1.0,0.92,6426.79362229
1515447900000,0.99,1.0,1.0,0.99,1361.27551743
1515447960000,1.0,1.0,1.0,1.0,8651.808984250001
1515448020000,1.5,1.3,1.5,1.0,2606.8600217000007
1515448080000,1.1,1.0,1.3,1.0,3894.33468891
1515448140000,1.0,1.0,1.35,0.85,9639.50736725
1515448200000,1.2,1.0,1.2,0.8408,9053.54632663
1515448260000,0.9,0.9899,0.9899,0.8337,2044.01002439
1515448320000,0.9879,0.85,0.9879,0.85,6444.0
1515448380000,0.9798,0.86,0.9798,0.85,6739.07693331
1515448440000,0.86,0.8999,0.9697,0.86,3339.40802774
1515448500000,0.8999,0.9488,0.95,0.8574,8864.29684063
1515448560000,0.871,0.87,0.9696,0.87,10596.85877061
1515448620000,0.86,0.9299,0.9399,0.86,5559.88908739
1515448680000,0.9295,0.89,1.499,0.863,125061.81652151
1515448740000,0.9999,0.9999,0.9999,0.8671,25898.83583375
1515448800000,0.9999,0.9489,1.3,0.85,22142.99532648
1515448860000,0.9399,0.9299,0.9489,0.865,31008.23489317
1515448920000,0.87,0.865,0.92,0.865,32915.34135306
1515448980000,0.875,0.8998,0.91,0.865,19872.37953104
1515449040000,0.87,0.87,0.8998,0.865,6807.67997828
1515449100000,0.89,0.87,0.8989,0.87,2559.7217891
1515449160000,0.8983,0.8897,0.8987,0.86,21026.27352969
1515449220000,0.888,0.889,0.8981,0.86,29530.35089109
1515449280000,0.8879,0.88,0.8889,0.86,35099.55925805
1515449340000,0.86,0.8699,0.875,0.82,19473.79074989
1515449400000,0.8691,0.835,0.8698,0.835,19074.96413759
1515449460000,0.835,0.8399,0.8498,0.8213,11438.0059041
1515449520000,0.8374,0.83,0.8374,0.8294,6244.04340974
1515449580000,0.8479,0.8471,0.848,0.83,8840.82301825
1515449640000,0.8471,0.835,0.848,0.8190000000000001,16845.92696967
1515449700000,0.82,0.84,0.8452,0.8101,11773.78826752
1515449760000,0.82,0.8391,0.84,0.8109999999999999,10159.24497755
1515449820000,0.8391,0.846,0.846,0.8391,9627.39839453
1515449880000,0.846,0.846,0.846,0.846,2732.41648135
1515449940000,0.846,0.8477,0.8477,0.8415,1366.74098376
1515450000000,0.8477,0.88,0.88,0.8477,6386.56840803
1515450060000,0.88,0.88,0.92,0.86,31475.175136060006
1515450120000,0.88,0.935,0.94,0.88,28537.05542688
