time,open,close,high,low,volume
1535046300000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,10000.0
1535288700000,5.7999999999999994e-05,5.7999999999999994e-05,5.7999999999999994e-05,5.7999999999999994e-05,22781.17366667
1535427540000,5.499e-05,5.499e-05,5.499e-05,5.499e-05,999.0
1535555160000,5e-05,5e-05,5e-05,5e-05,6544.82827176
1535574180000,4.2e-05,4.2e-05,4.2e-05,4.2e-05,49933.448
1535576100000,4.2e-05,4.2e-05,4.2e-05,4.199e-05,53663.448
1535785200000,5.797e-05,5.7999999999999994e-05,5.7999999999999994e-05,5.797e-05,25000.0
1535833080000,5.799e-05,5.7999999999999994e-05,5.7999999999999994e-05,5.799e-05,4300.0
1535834880000,2.004e-05,2.002e-05,2.004e-05,2.002e-05,4291.4
1535988120000,2.22e-05,2.168e-05,2.22e-05,2.168e-05,22662.21530442
1536424680000,5.5e-05,5.5e-05,5.5e-05,5.5e-05,9235.77741379
1537342260000,3.3100000000000005e-05,3.391e-05,3.391e-05,3.3100000000000005e-05,42161.0
1537342320000,3.41e-05,3.488e-05,3.488e-05,3.41e-05,102782.99598624
1537342380000,3.487e-05,3.532e-05,3.532e-05,3.487e-05,87550.28698291
1537342440000,3.588e-05,3.811e-05,3.811e-05,3.588e-05,201809.02083968
1537355280000,3.819e-05,3.86e-05,3.86e-05,3.819e-05,117376.0
1537423320000,3.86e-05,3.87e-05,3.87e-05,3.86e-05,54258.62758679
1537423440000,3.8799999999999994e-05,3.91e-05,3.91e-05,3.8799999999999994e-05,78616.39705524
1537423560000,3.9200000000000004e-05,3.9399999999999995e-05,3.9399999999999995e-05,3.9200000000000004e-05,70767.42005076
1537424520000,3.9399999999999995e-05,4.1e-05,4.1e-05,3.9399999999999995e-05,65696.05824246
1537424580000,4.1e-05,4.1e-05,4.1e-05,4.1e-05,107228.91506814
1537434480000,4.11e-05,4.3e-05,4.3e-05,4.11e-05,30000.0
1537434540000,4.33e-05,4.4e-05,4.4e-05,4.33e-05,36615.16477273
1537466100000,4.399e-05,4.399e-05,4.399e-05,4.399e-05,2282.18812035
1537466460000,4.5e-05,4.5e-05,4.5e-05,4.5e-05,6014.24982709
1537466520000,4.5e-05,4.5e-05,4.5e-05,4.5e-05,3985.75017291
1537467420000,4.6e-05,4.6e-05,4.6e-05,4.6e-05,5906.42688944
1537467480000,4.6e-05,5.489e-05,5.489e-05,4.6e-05,9937.76424585
1537467540000,5.7999999999999994e-05,5.7999999999999994e-05,5.7999999999999994e-05,5.7999999999999994e-05,1879.33893273
1537467720000,8e-05,8e-05,8e-05,8e-05,2000.0
1537467960000,7.001e-05,7.001e-05,7.001e-05,7.001e-05,10000.0
1537468140000,6.002e-05,6.002e-05,6.002e-05,6.002e-05,1923.73704269
1537468560000,5e-05,5e-05,5e-05,5e-05,1998.52815456
1537469640000,5.001e-05,5.001e-05,5.001e-05,5.001e-05,2000.0
1537470120000,4.205e-05,4.205e-05,4.205e-05,4.205e-05,10000.0
1537523940000,3.558e-05,3.558e-05,3.558e-05,3.558e-05,11721.367
1537689120000,0.0001,0.0001,0.0001,0.0001,9980.0
1537689780000,0.0001,0.0001,0.0001,0.0001,2994.0
1537715400000,3.304e-05,3.304e-05,3.304e-05,3.304e-05,2190.8694800000003
1538290380000,3.3e-05,3.3e-05,3.3e-05,3.3e-05,2000.0
1538312400000,3.121e-05,3.121e-05,3.121e-05,3.121e-05,1998.0
1538332740000,2.397e-05,2.397e-05,2.397e-05,2.397e-05,9260.06550947
1538584800000,2.01e-05,2.01e-05,2.01e-05,2.01e-05,3740.0
1538584920000,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2000.0
1538988420000,3.229999999999999e-05,3.229999999999999e-05,3.229999999999999e-05,3.229999999999999e-05,1740.0
1538988480000,3.6e-05,3.6e-05,3.6e-05,3.6e-05,1740.0
1539173340000,5.7999999999999994e-05,5.7999999999999994e-05,5.7999999999999994e-05,5.7999999999999994e-05,1869.74
1539265320000,4e-05,4e-05,4e-05,4e-05,1740.0
1539711600000,5.736e-05,5.736e-05,5.736e-05,5.736e-05,2000.0
1539939660000,5e-05,5e-05,5e-05,5e-05,10128.98475248
1539940200000,3.889e-05,3.889e-05,3.889e-05,3.889e-05,7070.16970507
1540140720000,5.6999999999999996e-05,5.809e-05,5.809e-05,5.6999999999999996e-05,5840.24124096
1540141200000,5.989e-05,5.989e-05,5.989e-05,5.989e-05,1920.99999999
1540143180000,5.005e-05,5.005e-05,5.005e-05,5.005e-05,2065.76603396
1540452180000,3.8900000000000004e-05,3.8900000000000004e-05,3.8900000000000004e-05,3.8900000000000004e-05,1007.04293223
1540497240000,3.999e-05,3.999e-05,3.999e-05,3.999e-05,5000.0
1540497300000,3.551e-05,3.47e-05,3.551e-05,3.47e-05,1800.0
1540762860000,5.379999999999999e-05,5.389e-05,5.389e-05,5.379999999999999e-05,4000.0
1541093460000,4e-05,4e-05,4e-05,4e-05,15000.0
1541597460000,3.48e-05,3.48e-05,3.48e-05,3.48e-05,6177.87327586
1541835720000,3.106e-05,3.106e-05,3.106e-05,3.106e-05,5623.16421305
1542128640000,3.164e-05,3.164e-05,3.164e-05,3.164e-05,1801.6256899999998
1542210600000,3.394e-05,3.394e-05,3.394e-05,3.394e-05,42070.84914554
1542214080000,3.01e-05,3.01e-05,3.01e-05,3.01e-05,2500.0
1542289440000,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,9000.0
1542335520000,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,6353.32498938
1542345000000,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,3592.8
1542348660000,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,1746.5
1542379260000,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,1740.0
1542650700000,2.95e-05,2.8999999999999997e-05,2.95e-05,2.8999999999999997e-05,7784.12012235
1542650760000,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,1936.37585445
1542650820000,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,3895.14570971
1542650880000,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,2.8999999999999997e-05,9151.04583461
1542652860000,2.8499999999999998e-05,2.8499999999999998e-05,2.8499999999999998e-05,2.8499999999999998e-05,14026.06108346
1542652920000,2.8499999999999998e-05,2.8000000000000003e-05,2.8499999999999998e-05,2.8000000000000003e-05,25973.93891654
1542652980000,2.75e-05,2.75e-05,2.75e-05,2.75e-05,12843.30505333
