time,open,close,high,low,volume
1532619660000,3.1,3.1,3.1,3.1,25.74607404
1532619840000,2.5,2.5,2.5,2.5,5.0
1532621700000,2.5,2.5,2.5,2.5,1.0
1532621820000,2.5,2.5,2.5,2.5,1.0
1532622300000,2.5,2.5,2.5,2.5,2.0
1532623380000,2.49,2.49,2.49,2.49,7.24700642
1532623500000,2.491,2.491,2.491,2.491,1.52437031
1532623560000,2.491,2.491,2.491,2.491,0.25028802
1532624700000,2.5,2.5,2.5,2.5,75.0
1532625360000,2.49,2.49,2.49,2.49,3.94340772
1532625780000,2.49,2.49,2.49,2.49,2.0
1532626020000,2.49,2.49,2.49,2.49,1.0
1532626080000,2.49,2.49,2.49,2.49,1.0
1532626260000,2.49,2.49,2.49,2.49,4.29898462
1532628420000,2.48,2.48,2.48,2.48,0.5
1532628840000,2.36,2.3,2.36,2.3,8.98259536
1532638980000,2.29,2.29,2.29,2.29,3.9355209
1532639460000,2.3,2.3,2.3,2.3,15.8860899
1532645040000,2.29,2.2867,2.29,2.2867,4.96171835
1532645280000,2.2867,2.25,2.2867,2.25,18.01627624
1532645520000,2.25,2.0103,2.25,2.0103,0.04
1532677200000,2.0403,2.04,2.0403,2.04,72.34824614
1532679120000,2.2489,2.2489,2.2489,2.2489,0.0499
1532680740000,2.2489,2.2489,2.2489,2.2489,43.82899999999999
1532680800000,2.2489,2.2489,2.2489,2.2489,0.4601
1532681280000,2.2489,2.2489,2.2489,2.2489,43.258
1532681340000,2.2489,2.2489,2.2489,2.2489,43.825
1532681400000,2.2489,2.2489,2.2489,2.2489,32.0822
1532681460000,2.2489,2.2489,2.2489,2.2489,0.3323
1532687580000,2.07,2.07,2.07,2.07,0.01
1532695560000,2.23,2.23,2.23,2.23,44.2
1532695620000,2.23,2.23,2.23,2.23,0.44
1532697120000,2.23,2.23,2.23,2.23,45.21
1532697180000,2.23,2.23,2.23,2.23,26.74563974
1532698980000,2.0501,2.0501,2.0501,2.0501,0.009940000000000001
1532706000000,2.2489,2.2489,2.2489,2.2489,1.0
1532706060000,2.2489,2.2489,2.2489,2.2489,1.0
1532724420000,2.25,2.25,2.25,2.25,44.97
1532724480000,2.25,2.25,2.25,2.25,43.53
1532724540000,2.25,2.25,2.25,2.25,43.52
1532724600000,2.25,2.26,2.26,2.25,42.91
1532724660000,2.26,2.26,2.26,2.26,43.41
1532724720000,2.26,2.26,2.26,2.26,31.66
1532729760000,2.298,2.298,2.298,2.298,24.85478179
1532778180000,2.3499,2.3499,2.3499,2.3499,8.014
1532801700000,2.3480000000000003,2.3480000000000003,2.3480000000000003,2.3480000000000003,1.0
1532803200000,2.3480000000000003,2.3499,2.3499,2.3480000000000003,5.0
1532809800000,2.3499,2.3499,2.3499,2.3499,0.1
1532817540000,2.3499,2.3499,2.3499,2.3499,5.22447271
1532905920000,2.3132,2.3132,2.3132,2.3132,25.69458189
1532942100000,2.3274,2.3274,2.3274,2.3274,20.0
1532957220000,2.3275,2.3275,2.3275,2.3275,40.0
1532957280000,2.3299,2.3274,2.3299,2.3274,75.38135
1532957940000,2.3298,2.3298,2.3298,2.3298,54.56803533
1532965380000,2.3251,2.325,2.3251,2.325,57.6157988
1532979600000,2.231,2.231,2.231,2.231,15.87020381
1533034800000,2.2032,2.2031,2.2032,2.2031,26.209
1533039900000,2.106,2.1058,2.106,2.1058,101.796
1533054300000,2.1069999999999998,2.1069999999999998,2.1069999999999998,2.1069999999999998,11.97061276
1533058320000,2.247,2.3429,2.3429,2.247,294.29576935
1533058620000,2.106,2.106,2.106,2.106,48.63
1533058680000,2.106,2.106,2.106,2.106,241.37
1533058740000,2.2,2.2,2.2,2.2,45.31818181
1533058800000,2.2099,2.2099,2.2099,2.2099,100.0
1533088680000,2.1058,2.1058,2.1058,2.1058,10.25578625
1533088800000,2.158,2.157,2.158,2.157,103.508
1533128640000,2.1799,2.1799,2.1799,2.1799,12.4926
1533128760000,2.0539,2.0539,2.0539,2.0539,12.4676
1533143460000,2.1793,2.1793,2.1793,2.1793,6.11
1533208140000,2.0967,2.0967,2.0967,2.0967,12.32764121
1533208200000,1.9178,1.9178,1.9178,1.9178,12.30298593
1533299940000,2.0198,2.1058,2.1058,2.0198,50.0
1533325200000,2.1109999999999998,2.1109999999999998,2.1109999999999998,2.1109999999999998,10.0
1533325440000,2.1122,2.1122,2.1122,2.1122,12.37407331
1533366960000,2.023,2.023,2.023,2.023,13.65453844
1533519600000,2.0799,2.0799,2.0799,2.0799,6.0
1533560040000,2.0,2.0,2.0,2.0,49.9
1533571260000,2.0777,2.0777,2.0777,2.0777,24.063000000000002
1533586740000,2.0,2.0,2.0,2.0,49.79932523
1533595260000,2.0221,2.0221,2.0221,2.0221,7.0
1533608400000,2.0799,2.0799,2.0799,2.0799,200.0
1533629040000,2.0407,2.1284,2.1284,2.0407,40.0
1533629100000,2.0,1.9706,2.0,1.9706,39.92
1533656880000,2.1337,2.1337,2.1337,2.1337,6.0
1533657000000,2.1338,2.1338,2.1338,2.1338,6.0
1533672240000,1.9821,1.9821,1.9821,1.9821,11.23
1533672300000,1.97,1.97,1.97,1.97,28.57
1533672360000,1.97,1.97,1.97,1.97,71.43
1533676440000,1.9729,1.973,1.973,1.9729,46.77200000000001
1533676920000,1.9,1.9,1.9,1.9,6.0
1533746640000,1.8019999999999998,1.78,1.8019999999999998,1.78,33.6
1533746700000,1.78,1.78,1.78,1.78,10.95
1533798960000,1.8704,1.8704,1.8704,1.8704,6.0
1533799620000,1.8704,1.8704,1.8704,1.8704,6.0
1533810960000,1.8784,1.8784,1.8784,1.8784,7.90055828
1533820260000,1.6639,1.6639,1.6639,1.6639,38.06232359
1533820320000,1.6639,1.6639,1.6639,1.6639,39.25072867
1533820380000,1.5736,1.5736,1.5736,1.5736,43.7841464
1533848640000,1.855,1.855,1.855,1.855,19.94
1533914400000,1.6737,1.6737,1.6737,1.6737,18.1542392
1533959520000,1.6646,1.6646,1.6646,1.6646,15.5
1533964140000,1.65,1.65,1.65,1.65,6.09
1533964260000,1.65,1.64,1.65,1.64,567.99
1533965580000,1.64,1.64,1.64,1.64,404.92
1533965700000,1.64,1.64,1.64,1.64,27.09
1533990480000,1.64,1.64,1.64,1.64,0.00310261
1534001640000,1.5776,1.5776,1.5776,1.5776,43.16117227
1534014240000,1.681,1.681,1.681,1.681,6.0
1534165980000,1.6867,1.6867,1.6867,1.6867,50.0
1534178700000,1.6130000000000002,1.6130000000000002,1.6130000000000002,1.6130000000000002,26.590999999999998
1534205880000,1.5,1.5,1.5,1.5,100.0
1534207200000,1.4881,1.4881,1.4881,1.4881,20.781999999999996
1534207260000,1.4881,1.4880000000000002,1.4881,1.4880000000000002,67.581
1534207380000,1.4879,1.4879,1.4879,1.4879,27.64
1534210920000,1.4536,1.4535,1.4536,1.4535,60.628
1534211460000,1.4377,1.4377,1.4377,1.4377,30.281999999999996
1534240620000,1.2714,1.2714,1.2714,1.2714,29.0616
1534272240000,1.2996,1.2996,1.2996,1.2996,115.90572349
1534273080000,1.3189,1.319,1.319,1.3189,163.631
1534273200000,1.3192,1.3192,1.3192,1.3192,233.42760319999996
1534273500000,1.4280000000000002,1.4296,1.4296,1.4280000000000002,100.0
1534273740000,1.3238,1.3224,1.3238,1.3224,123.07836167
1534273800000,1.3224,1.3224,1.3224,1.3224,30.15324178
1534276260000,1.4604,1.4604,1.4604,1.4604,50.51610026
1534349640000,1.454,1.454,1.454,1.454,28.69
1534349700000,1.454,1.454,1.454,1.454,28.69
1534349760000,1.454,1.5713,1.5713,1.454,40.59840317
1534403940000,1.5655,1.5655,1.5655,1.5655,25.0
1534415880000,1.5656,1.5656,1.5656,1.5656,26.82908925
1534522200000,1.5792,1.5792,1.5792,1.5792,24.95
1534525440000,1.6499,1.6499,1.6499,1.6499,7.75859227
1534525680000,1.6499,1.65,1.65,1.6499,20.49248696
1534550640000,1.7398,1.7398,1.7398,1.7398,15.45
1534849680000,1.649,1.649,1.649,1.649,9.84405198
1534957380000,1.5246,1.5242,1.5246,1.5236,951.17333738
1534957440000,1.5256,1.5266,1.5266,1.5245,441.80700529
1534957500000,1.5253,1.5266,1.5266,1.5253,244.74518198
1534957560000,1.5256,1.5257,1.5257,1.5256,348.0247338000001
1534957620000,1.5266,1.5266,1.5266,1.5266,48.93268196
1534958100000,1.5036,1.5136,1.5136,1.5036,231.73579181
1534958340000,1.5146,1.5130000000000001,1.5146,1.5130000000000001,147.25790868
1534958460000,1.5156,1.5156,1.5156,1.5139,329.05452352
1534958520000,1.5156,1.5156,1.5156,1.5156,73.62895434
1534958580000,1.5156,1.5156,1.5156,1.5156,547.3731937000001
1534958640000,1.5156,1.5145,1.5156,1.5145,797.7907789200002
1534958700000,1.5148,1.5151,1.5166,1.5148,220.88686302
1534958760000,1.5166,1.5166,1.5166,1.5166,273.58756081
1534972620000,1.5197,1.517,1.5197,1.517,154.05885963
1534972680000,1.5196,1.5196,1.5196,1.5196,470.51087313
1534973520000,1.5147,1.5147,1.5147,1.5147,55.38
1535026260000,1.53,1.53,1.53,1.53,200.0
1535094240000,1.5683,1.5683,1.5683,1.5683,25.63
1535095080000,1.5683,1.5683,1.5683,1.5683,0.00482601
1535259180000,1.6269999999999998,1.6269999999999998,1.6269999999999998,1.6269999999999998,25.0
1535259240000,1.5667,1.5667,1.5667,1.5667,6.0
1535259300000,1.4797,1.4797,1.4797,1.4797,30.938000000000002
1535262540000,1.5456,1.5456,1.5456,1.5456,30.938000000000002
1535467980000,1.6955,1.6955,1.6955,1.6955,8.31123811
1535471760000,1.7021,1.7021,1.7021,1.7021,14.475
1535475060000,1.7021,1.7021,1.7021,1.7021,46.9
1535475120000,1.7018,1.7015,1.7018,1.7015,125.1246682
1535475240000,1.7012,1.7012,1.7012,1.7012,58.77508114
1535483520000,1.7037,1.7037,1.7037,1.7037,16.79
1535519460000,1.7711,1.7711,1.7711,1.7711,20.0
1535553180000,1.7898,1.7898,1.7898,1.7898,200.0
1535629620000,1.6878,1.6878,1.6878,1.6878,6.0
1535630820000,1.5388,1.5388,1.5388,1.5388,7.70912104
1535631360000,1.6084,1.6084,1.6084,1.6084,7.70912104
1535702520000,1.713,1.713,1.713,1.713,58.0
1535980860000,1.68,1.68,1.68,1.68,67.18642009999999
1536141240000,1.62,1.62,1.62,1.62,60.00483537
1536141900000,1.6478,1.6275,1.6478,1.6275,136.659
1536141960000,1.6272,1.6275,1.6275,1.6272,372.186
1536142080000,1.6275,1.6275,1.6275,1.6275,104.699
1536142140000,1.6275,1.6275,1.6275,1.6275,32.388000000000005
1536142680000,1.6264,1.6264,1.6264,1.6264,449.867
1536144600000,1.5534,1.5534,1.5534,1.5534,22.0
1536191400000,1.3857,1.3856,1.3857,1.3856,34.88643641
1536193620000,1.2981,1.2981,1.2981,1.2981,24.40710849
1536201960000,1.4317,1.4317,1.4317,1.4317,39.664
1536428880000,1.2957,1.2957,1.2957,1.2957,26.62
1536434280000,1.2807,1.2807,1.2807,1.2807,10.3
1536435840000,1.2752,1.2752,1.2752,1.2752,722.56
1536438720000,1.236,1.236,1.236,1.236,6.0
1536456120000,1.2499,1.2499,1.2499,1.2499,20.0
1536461820000,1.162,1.162,1.162,1.162,10.04
1536485460000,1.2149,1.2149,1.2149,1.2149,10.0
1536524100000,1.26,1.26,1.26,1.26,8.14637302
1536598920000,1.2195,1.2195,1.2195,1.2195,8.65999403
1536600240000,1.2271,1.2271,1.2271,1.2271,10.63112358
1536600420000,1.2352,1.2352,1.2352,1.2352,13.96590159
1536651900000,1.2022,1.2022,1.2022,1.2022,11.3782
1536675480000,1.4606,1.4606,1.4606,1.4606,8.0
1536721320000,1.17,1.17,1.17,1.17,61.4374
1536721380000,1.17,1.1597,1.17,1.1597,42.00363038
1536723900000,1.1489,1.1477,1.1489,1.1477,45.14
1536741900000,1.0838,1.0838,1.0838,1.0838,20.634
1536742020000,1.0836,1.0836,1.0836,1.0836,10.04
1536742320000,1.0812,1.0811,1.0812,1.0811,668.0069522900002
1536761160000,1.1319,1.1319,1.1319,1.1319,80.33531218
1536777720000,1.1324,1.1324,1.1324,1.1324,10.0
1536798300000,1.2321,1.2321,1.2321,1.2321,42.60955905
1536823740000,1.1163,1.1163,1.1163,1.1163,80.17464156
1536838920000,1.2409,1.2409,1.2409,1.2409,46.299
1536840780000,1.2424,1.2421,1.2424,1.2421,119.34146299999999
1536841680000,1.2522,1.2856,1.2856,1.2521,735.3725999899998
1536844440000,1.2929,1.2929,1.2929,1.2929,21.14424956
1536844920000,1.2929,1.2929,1.2929,1.2929,74.53
1536845940000,1.2975,1.2975,1.2975,1.2975,24.78
1536846000000,1.2986,1.2986,1.2986,1.2986,214.7
1536847440000,1.3711,1.3711,1.3711,1.3711,67.24
1536912780000,1.2571,1.2571,1.2571,1.2571,12.57651776
1536916620000,1.2605,1.2596,1.2605,1.2596,1013.7667529999999
1536916680000,1.3151,1.3111,1.3151,1.3111,414.220557
1536924540000,1.3292,1.3289,1.3293,1.3289,297.012668
1536924600000,1.3292,1.3292,1.3292,1.3292,55.165353
1536924660000,1.3293,1.3294,1.3294,1.3293,76.27960599999999
1536931620000,1.3201,1.3201,1.3201,1.3201,138.10580686
1536932040000,1.3198,1.3198,1.3198,1.3198,144.39247312
1536932340000,1.3653,1.3653,1.3653,1.3653,149.91630500000005
1536932520000,1.3846,1.3846,1.3846,1.3846,40.547087
1536933720000,1.3088,1.3088,1.3088,1.3088,145.66299991
1536933780000,1.3056,1.3056,1.3056,1.3056,98.974731
1536934440000,1.2869,1.2869,1.2869,1.2869,18.907239
1536941760000,1.3293,1.3293,1.3293,1.3293,10.683369
1536942360000,1.3575,1.3595,1.3595,1.3575,89.72
1536956340000,1.3971,1.3971,1.3971,1.3971,38.27712342
1536959700000,1.3829,1.3829,1.3829,1.3829,94.73468148
1536992340000,1.3588,1.3588,1.3588,1.3588,128.79673933
1537085340000,1.38,1.38,1.38,1.38,10.0
1537085460000,1.39,1.39,1.39,1.39,30.0
1537086000000,1.38,1.38,1.38,1.38,10.0
1537086060000,1.36,1.36,1.36,1.36,10.0
1537086540000,1.3699,1.37,1.37,1.3699,20.11
1537086660000,1.37,1.37,1.37,1.37,0.00480082
1537095060000,1.3999,1.4,1.4,1.3999,23.49
1537095180000,1.4,1.4025,1.4025,1.4,73.18849382
1537095480000,1.4049,1.405,1.405,1.4049,38.6
1537121160000,1.4085,1.4085,1.4085,1.4085,8.16
1537121220000,1.2585,1.3849,1.3849,1.2585,28.10256394
1537126440000,1.4096,1.41,1.41,1.4096,86.84945273
1537474080000,1.3714,1.3714,1.3714,1.3714,12.54330043
1537474140000,1.3714,1.3714,1.3714,1.3714,87.65086234
1537480440000,1.4233,1.4233,1.4233,1.4233,400.0
1537484460000,1.4241,1.4241,1.4241,1.4241,12.26
1537487040000,1.4241,1.4241,1.4241,1.4241,0.00417
1537498560000,1.3206,1.3206,1.3206,1.3206,13.180841000000001
1537517340000,1.4691,1.4691,1.4691,1.4691,16.86500089
1537517880000,1.45,1.45,1.45,1.45,132.67938554
1537531320000,1.5182,1.5182,1.5182,1.5182,30.0
1537555740000,1.4931,1.4931,1.4931,1.4931,81.95864401
1537556160000,1.5217,1.5241,1.5241,1.5217,69.42999999999999
1537556940000,1.5642,1.5665,1.5665,1.5642,63.72626099
1537563180000,1.5585,1.5585,1.5585,1.5585,34.40324029
1537563660000,1.5562,1.5562,1.5562,1.5562,195.87587982
1537626900000,1.5686,1.5686,1.5686,1.5686,37.20567245
1537864380000,1.3624,1.3624,1.3624,1.3624,24.144838
1537875300000,1.3612,1.3612,1.3612,1.3612,22.26563487
1538079120000,1.3516,1.3516,1.3516,1.3516,13.57713951
1538184900000,1.45,1.45,1.45,1.45,15.28997697
1538220300000,1.5086,1.5086,1.5086,1.5086,21.34
1538375280000,1.5559,1.5559,1.5559,1.5559,125.21814778
1538447400000,1.4337,1.4337,1.4337,1.4337,52.4059481
1538586480000,1.5216,1.5217,1.5217,1.5216,160.0
1538939040000,1.4153,1.4153,1.4153,1.4153,149.01118104
1539007200000,1.4772,1.5390000000000001,1.5390000000000001,1.4772,20.0
1539007260000,1.4787,1.5388,1.5388,1.4787,20.00996
1539219780000,1.4476,1.4476,1.4476,1.4476,599.17368755
1539219840000,1.4476,1.4476,1.4476,1.4476,278.19339796
1539220200000,1.4246,1.4246,1.4246,1.4246,204.64496499999998
1539220440000,1.3967,1.3952,1.3967,1.3952,147.15329494
1539255240000,1.2998,1.2998,1.2998,1.2998,10.0
1539607380000,1.3061,1.3061,1.3061,1.3061,159.684
1539637380000,1.3418,1.3418,1.3418,1.3418,8.30003417
1539717660000,1.3816,1.3816,1.3816,1.3816,30.0
1539875220000,1.3125,1.3125,1.3125,1.3125,23.68668959
1539877500000,1.3551,1.3551,1.3551,1.3551,13.2732
1539877560000,1.3552,1.3552,1.3552,1.3552,41.94196691
1539877800000,1.3612,1.3612,1.3612,1.3612,75.47093177
1539881460000,1.3318,1.3318,1.3318,1.3318,40.93237516
1539881760000,1.3244,1.3247,1.3247,1.3244,51.79650676
1539881940000,1.3247,1.3247,1.3247,1.3247,13.70825272
1539884700000,1.2911,1.291,1.2911,1.291,399.53289728
1539897540000,1.2887,1.2887,1.2887,1.2887,11.85187053
1539897900000,1.2872,1.2872,1.2872,1.2872,11.502366
1539938700000,1.2777,1.2777,1.2777,1.2777,8.0
1539938760000,1.2924,1.2924,1.2924,1.2924,25.1
1539959760000,1.2823,1.2823,1.2823,1.2823,18.97101
1539981300000,1.2806,1.2806,1.2806,1.2806,11.75399912
1540036500000,1.2967,1.2967,1.2967,1.2967,40.85051041
1540065180000,1.265,1.265,1.265,1.265,47.870025
1540065840000,1.273,1.273,1.273,1.273,124.96771148
1540065900000,1.2951,1.2951,1.2951,1.2951,43.94605629
1540103760000,1.3107,1.3107,1.3107,1.3107,13.1342
1540108320000,1.3048,1.3051,1.3051,1.3048,114.59
1540108380000,1.3048,1.3048,1.3048,1.3048,93.06
1540360680000,1.3245,1.3245,1.3245,1.3245,70.0
1540786260000,1.3191,1.3191,1.3191,1.3191,30.22587215
1540788660000,1.27,1.27,1.27,1.27,12.0
1540933320000,1.2790000000000001,1.2790000000000001,1.2790000000000001,1.2790000000000001,9.77549999
1541005200000,1.3,1.3,1.3,1.3,56.7133
1541083920000,1.3084,1.3084,1.3084,1.3084,92.0
1541160000000,1.3258,1.3258,1.3258,1.3258,23.34
1541433900000,1.3762,1.4324,1.4324,1.3762,24.04705889
1541434020000,1.3151,1.3151,1.3151,1.3151,22.56470495
1541479440000,1.4291,1.4291,1.4291,1.4291,79.31065709
1541529780000,1.4291,1.4291,1.4291,1.4291,59.02627346
1541529840000,1.4291,1.4291,1.4291,1.4291,33.74345449
1541619780000,1.3361,1.3361,1.3361,1.3361,92.67695823
1541673960000,1.4277,1.4277,1.4277,1.4277,203.29765021
1541750940000,1.3338,1.3338,1.3338,1.3338,79.55
1541770920000,1.35,1.35,1.35,1.35,127.34134528
1541779560000,1.35,1.35,1.35,1.35,134.86070739000002
1541785500000,1.35,1.35,1.35,1.35,8.55855
1541787840000,1.35,1.35,1.35,1.35,137.08812019
1541787900000,1.35,1.35,1.35,1.35,171.95604719999997
1541797560000,1.35,1.35,1.35,1.35,1000.0
1541797620000,1.35,1.35,1.35,1.35,816.82
1541797740000,1.35,1.35,1.35,1.35,541.37522994
1541858520000,1.3492,1.3492,1.3492,1.3492,22.18160316
1541858700000,1.349,1.349,1.349,1.349,142.99429738
1541861040000,1.349,1.349,1.349,1.349,143.81100371
1541861880000,1.349,1.349,1.349,1.349,143.19108612
1541867400000,1.349,1.349,1.349,1.349,346.00697579999996
1541867700000,1.349,1.349,1.349,1.349,171.3677607
1541868060000,1.349,1.349,1.349,1.349,286.75784992
1541868180000,1.349,1.349,1.349,1.349,318.76984814
1541870280000,1.349,1.349,1.349,1.349,143.03987239
1541871240000,1.349,1.349,1.349,1.349,367.2
1541871300000,1.349,1.349,1.349,1.349,368.63
1541871360000,1.349,1.349,1.349,1.349,368.4
1541871420000,1.349,1.349,1.349,1.349,113.28970268
1541936640000,1.3386,1.3386,1.3386,1.3386,44.92845513
1541937840000,1.3386,1.3386,1.3386,1.3386,25.8065
1541952060000,1.3386,1.33,1.3386,1.33,64.26504487
1541971200000,1.3386,1.3386,1.3386,1.3386,9.3939
1541991720000,1.32,1.32,1.32,1.32,20.1
1542135540000,1.3145,1.3145,1.3145,1.3145,25.13785254
1542143280000,1.3054,1.3054,1.3054,1.3054,9.98
1542162360000,1.3054,1.2849,1.3054,1.2849,78.95415568
1542210840000,1.1936,1.1936,1.1936,1.1936,21.88892641
1542212460000,1.1329,1.1328,1.1329,1.1328,463.28228608
1542213120000,1.1263,1.1263,1.1263,1.1263,11.0
1542221880000,1.1175,1.1102,1.1175,1.1102,586.06332755
1542224160000,1.0838,1.0838,1.0838,1.0838,73.0839864
1542227580000,1.0916,1.0627,1.0916,1.0627,150.83064591000004
1542276780000,1.0895,1.0895,1.0895,1.0895,29.42
1542293160000,1.0759,1.0759,1.0759,1.0759,40.0
1542398400000,1.0745,1.0745,1.0745,1.0745,28.2903
1542466140000,1.08,1.08,1.08,1.08,194.93513602
1542466200000,1.08,1.08,1.08,1.08,489.87200218
1542466260000,1.08,1.08,1.08,1.08,126.0
1542466320000,1.08,1.08,1.08,1.08,89.83
1542466500000,1.08,1.08,1.08,1.08,64.04
1542602940000,1.0278,1.0278,1.0278,1.0278,30.12596035
1542606420000,1.011,1.011,1.011,1.011,50.0
1542611400000,0.95,0.95,0.95,0.95,2759.29
1542614760000,0.94745,0.94745,0.94745,0.94745,33.67135847
1542652140000,0.9061,0.9059999999999999,0.9061,0.9059999999999999,420.45818269
1542652200000,0.9061,0.9061,0.9061,0.9061,59.27696383
1542664200000,0.8802,0.8802,0.8802,0.8802,200.0
1542664680000,0.91,0.91,0.91,0.91,105.99904715
1542693420000,0.8625,0.8625,0.8625,0.8625,200.0
1542694200000,0.8386299999999999,0.8386299999999999,0.8386299999999999,0.8386299999999999,200.0
1542695880000,0.8378,0.8378,0.8378,0.8378,170.21065413
1542700860000,0.82463,0.82463,0.82463,0.82463,37.07202459
1542701820000,0.8096,0.8096,0.8096,0.8096,20.86
1542702420000,0.8096,0.8096,0.8096,0.8096,126.12685394
1542702480000,0.8096,0.8096,0.8096,0.8096,53.01314606
1542703560000,0.7779,0.7779,0.7779,0.7779,199.99999999
1542725640000,0.8190000000000001,0.8190000000000001,0.8190000000000001,0.8190000000000001,161.34163123
1542732000000,0.8775,0.8775,0.8775,0.8775,138.22
1542763920000,0.7497,0.7497,0.7497,0.7497,200.0
1542799740000,0.8256399999999999,0.8256399999999999,0.8256399999999999,0.8256399999999999,14.0
1542837660000,0.8499,0.8499,0.8499,0.8499,74.53496392
1542905760000,0.78859,0.78859,0.78859,0.78859,13.985999999999999
1542908940000,0.7887,0.7887,0.7887,0.7887,135.59203946
