time,open,close,high,low,volume
1550578140000,2.6e-07,2.6e-07,2.6e-07,2.6e-07,43436.62688715
1550578860000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,12000.0
1550579160000,2.7e-07,2.7e-07,2.7e-07,2.7e-07,10300.0
1550588640000,5e-07,5e-07,5e-07,5e-07,18529.5965
1550598420000,3.62e-06,3.5000000000000004e-06,3.62e-06,3.5000000000000004e-06,16518.01639671
1550599800000,3.63e-06,3.5000000000000004e-06,3.63e-06,3.5000000000000004e-06,47023.29654642
1550600520000,3.73e-06,3.63e-06,3.73e-06,3.63e-06,164764.0
1550625660000,4.1e-06,4.1e-06,4.1e-06,4.1e-06,11922.0
1550632740000,5e-06,5e-06,5e-06,5e-06,10000.0
1550633220000,5e-06,5e-06,5e-06,5e-06,13343.323999999999
1550642460000,5e-06,5e-06,5e-06,5e-06,11030.696000000002
1550667120000,4.76e-06,4.89e-06,4.89e-06,4.76e-06,11361.784
1550679780000,2.54e-06,2.5e-06,2.54e-06,2.5e-06,127608.16
1550748120000,4.74e-06,4.74e-06,4.74e-06,4.74e-06,31965.0
1550748360000,2.55e-06,2.55e-06,2.55e-06,2.55e-06,12385.0
1550748720000,4.74e-06,4.74e-06,4.74e-06,4.74e-06,15010.0
1550748780000,4.74e-06,4.74e-06,4.74e-06,4.74e-06,10100.0
1550750220000,2.55e-06,2.55e-06,2.55e-06,2.55e-06,50061.001685450006
1550760420000,2.6e-06,2.6e-06,2.6e-06,2.6e-06,11800.0
1550802720000,4.65e-06,4.65e-06,4.65e-06,4.65e-06,10000.0
1550806260000,4.65e-06,4.7e-06,4.7e-06,4.65e-06,92000.0
1550829600000,4.49e-06,4.49e-06,4.49e-06,4.49e-06,10010.01001002
1550839560000,4.49e-06,4.5e-06,4.5e-06,4.49e-06,43904.82679212
1550856840000,4.5e-06,1.3000000000000001e-05,1.3000000000000001e-05,4.5e-06,80118.76089016
1550936280000,5.69e-06,5.69e-06,5.69e-06,5.69e-06,10000.0
1550936460000,7.87e-06,7.87e-06,7.87e-06,7.87e-06,10000.0
1550936640000,5.85e-06,5.85e-06,5.85e-06,5.85e-06,11000.0
1550937720000,5.42e-06,5.42e-06,5.42e-06,5.42e-06,10000.0
1550938440000,3.68e-06,3.68e-06,3.68e-06,3.68e-06,68869.63447949999
1550938800000,5e-06,5e-06,5e-06,5e-06,20000.0
