time,open,close,high,low,volume
1528996200000,2.4e-06,2.3e-06,2.4e-06,2.3e-06,5202.0
1529010960000,2.1e-05,2.1e-05,2.1e-05,2.1e-05,111.24799999999999
1529011080000,2.1e-05,2.1e-05,2.1e-05,2.1e-05,597.63733333
1529011320000,2.1e-05,2.1e-05,2.1e-05,2.1e-05,793.05022222
1529017980000,3.72e-06,3.72e-06,3.72e-06,3.72e-06,499.0
1529019540000,1.4800000000000002e-05,1.4800000000000002e-05,1.4800000000000002e-05,1.4800000000000002e-05,35.0
1529024820000,1.4000000000000001e-05,1.4000000000000001e-05,1.4000000000000001e-05,1.4000000000000001e-05,252.0
1529050980000,9.89e-06,9.89e-06,9.89e-06,9.89e-06,1000.0
1529051040000,9.89e-06,9.89e-06,9.89e-06,9.89e-06,15000.0
1529053020000,9e-06,9e-06,9e-06,9e-06,300.0
1529053560000,7.89e-06,7.89e-06,7.89e-06,7.89e-06,1217.45875
1529054220000,4.55e-06,4.55e-06,4.55e-06,4.55e-06,330.0
1529082360000,8.98e-06,8.98e-06,8.98e-06,8.98e-06,400.0
1529147100000,5.21e-06,5.19e-06,5.21e-06,5.19e-06,12735.60916601
1529154780000,5.05e-06,5.05e-06,5.05e-06,5.05e-06,3762.57445565
1529187840000,5.04e-06,5.04e-06,5.04e-06,5.04e-06,3972.19463754
1529210340000,5.04e-06,5.04e-06,5.04e-06,5.04e-06,1764.0
1529210520000,5.04e-06,5.04e-06,5.04e-06,5.04e-06,3528.0
1529231460000,5.04e-06,5.04e-06,5.04e-06,5.04e-06,334.0
1529400240000,5e-06,5e-06,5e-06,5e-06,1400.0
1529433420000,5.400000000000001e-06,5.400000000000001e-06,5.400000000000001e-06,5.400000000000001e-06,1000.0
1529441640000,6e-06,6e-06,6e-06,6e-06,1633.41696969
1529459520000,5.59e-06,5.59e-06,5.59e-06,5.59e-06,3928.54021847
1529673060000,5.2e-06,5.2e-06,5.2e-06,5.2e-06,3985.0125
1529675340000,5.2e-06,5.2e-06,5.2e-06,5.2e-06,17532.34615384
1530027420000,3.68e-06,3.65e-06,3.68e-06,3.65e-06,37211.11
1530027480000,3.87e-06,3.87e-06,3.87e-06,3.87e-06,10048.0
1530274200000,3.67e-06,3.67e-06,3.67e-06,3.67e-06,5000.0
1530289320000,3.66e-06,3.66e-06,3.66e-06,3.66e-06,41211.01
1530325440000,3.51e-06,3.51e-06,3.51e-06,3.51e-06,10640.0
1530573120000,3.22e-06,3.22e-06,3.22e-06,3.22e-06,3485.4730507
1530602340000,3.43e-06,3.43e-06,3.43e-06,3.43e-06,760.0
1530645180000,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,8000.0
1530648780000,3.21e-06,3.21e-06,3.21e-06,3.21e-06,3800.0
1530654540000,3.21e-06,3.21e-06,3.21e-06,3.21e-06,408.15705
1530655140000,5.18e-06,5.18e-06,5.18e-06,3.21e-06,1599.2
1530655200000,3.3e-06,3.3e-06,3.3e-06,3.3e-06,798.4
1530655260000,5.0999999999999995e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,1592.74118892
1530655320000,5.0999999999999995e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,1586.37659514
1530655380000,5.18e-06,5.18e-06,5.18e-06,5.18e-06,1500.0
1530655440000,3.3e-06,5.0999999999999995e-06,5.0999999999999995e-06,3.3e-06,3781.0
1530655500000,3.3e-06,5.0999999999999995e-06,5.0999999999999995e-06,3.3e-06,4555.12066266
1530655560000,3.3e-06,5.0999999999999995e-06,5.0999999999999995e-06,3.3e-06,4537.73229609
1530655620000,3.3e-06,5.0999999999999995e-06,5.0999999999999995e-06,3.3e-06,4519.59951784
1530655680000,3.3e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,6745.558741500001
1530655740000,5.0999999999999995e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,8931.28745346
1530655800000,5.0999999999999995e-06,5.0999999999999995e-06,5.0999999999999995e-06,3.3e-06,6651.68566109
1530655860000,3.3e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,6611.85531414
1530655920000,5.0999999999999995e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,2921.0759999999996
1530655980000,5.0999999999999995e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,1882.116
1530656280000,5.0999999999999995e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,2425.572
1530656340000,5.0999999999999995e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,1564.434
1530656400000,5.0999999999999995e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,4349.646000000002
1530656460000,5.0999999999999995e-06,5.0999999999999995e-06,5.0999999999999995e-06,5.0999999999999995e-06,1773.0
1530656520000,3.3e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,4053.168
1530656580000,5.0999999999999995e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,1471.47120783
1530657000000,5.0999999999999995e-06,5.0999999999999995e-06,5.0999999999999995e-06,3.3e-06,6449.345496960002
1530657060000,3.3e-06,5.0999999999999995e-06,5.0999999999999995e-06,3.3e-06,4278.44165556
1530657120000,3.3e-06,5.0999999999999995e-06,5.0999999999999995e-06,3.3e-06,8505.6616708
1530657180000,3.3e-06,5.0999999999999995e-06,5.0999999999999995e-06,3.3e-06,8437.82024129
1530657240000,3.3e-06,5.18e-06,5.18e-06,3.3e-06,8374.70097931
1530657300000,5.0999999999999995e-06,5.0999999999999995e-06,5.0999999999999995e-06,5.0999999999999995e-06,2086.35000302
1530657360000,3.3e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,12480.06222945
1530657420000,5.0999999999999995e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,16524.612184049998
1530657480000,5.0999999999999995e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,16392.81134878
1530657540000,5.0999999999999995e-06,5.0999999999999995e-06,5.0999999999999995e-06,3.3e-06,12013.2052828
1530657600000,3.3e-06,3.3e-06,5.0999999999999995e-06,3.3e-06,8836.11468626
1530657660000,5.09e-06,5.09e-06,5.09e-06,5.09e-06,1605.68431373
1530657720000,3.31e-06,3.31e-06,3.31e-06,3.31e-06,1602.4729450999998
1530657780000,3.31e-06,3.21e-06,3.31e-06,3.21e-06,4045.98959538
1530884940000,5.18e-06,5.18e-06,5.18e-06,5.18e-06,444.0
1530885180000,5.18e-06,5.18e-06,5.18e-06,5.18e-06,888.0
1530908280000,5.18e-06,5.18e-06,5.18e-06,5.18e-06,440.0
1530908400000,3.51e-06,3.51e-06,3.51e-06,3.51e-06,450.0
1530965400000,3.56e-06,3.56e-06,3.56e-06,3.56e-06,550.0
1530984000000,3.54e-06,3.54e-06,3.54e-06,3.54e-06,853.84745763
1530998760000,4.5e-06,4.5e-06,4.5e-06,4.5e-06,450.0
1531006200000,3.37e-06,3.37e-06,3.37e-06,3.37e-06,2670.0
1531014060000,3.37e-06,3.37e-06,3.37e-06,3.37e-06,1366.3709
1531014240000,3.35e-06,3.35e-06,3.35e-06,3.35e-06,550.0
1531065360000,3.21e-06,3.21e-06,3.21e-06,3.21e-06,12601.0
1531132740000,3.32e-06,3.32e-06,3.32e-06,3.32e-06,499.5
1531133640000,4.45e-06,3.46e-06,4.45e-06,3.46e-06,928.9039
1531227360000,4.43e-06,4.5e-06,4.5e-06,4.43e-06,4508.0
1531227420000,4.99e-06,4.99e-06,4.99e-06,4.99e-06,2500.0
1531227540000,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,30000.0
1531229820000,3.51e-06,3.5000000000000004e-06,3.51e-06,3.5000000000000004e-06,5356.57653047
1531249380000,3.46e-06,3.46e-06,3.46e-06,3.46e-06,501.7061
1531766160000,2.71e-06,2.71e-06,2.71e-06,2.71e-06,7992.0
1531789380000,2.74e-06,2.74e-06,2.74e-06,2.74e-06,744.50187377
1531802940000,3.75e-06,3.75e-06,3.75e-06,3.75e-06,848.0
1531850880000,2.7000000000000004e-06,2.7000000000000004e-06,2.7000000000000004e-06,2.7000000000000004e-06,1110.0
1531869300000,2.7000000000000004e-06,2.65e-06,2.7000000000000004e-06,2.65e-06,1860.0968311
1531911900000,2.65e-06,2.65e-06,2.65e-06,2.65e-06,3450.01872947
1531916040000,2.66e-06,2.66e-06,2.66e-06,2.66e-06,782.17702954
1531964700000,2.65e-06,2.65e-06,2.65e-06,2.65e-06,89437.22
1531990800000,2.66e-06,2.65e-06,2.66e-06,2.65e-06,3372.66443943
1532397240000,2.38e-06,2.38e-06,2.38e-06,2.38e-06,1217.69837815
1532787480000,4.2000000000000004e-06,4.2000000000000004e-06,4.2000000000000004e-06,4.2000000000000004e-06,1502.0
1533166140000,1.02e-06,1.02e-06,1.02e-06,1.02e-06,4385.9890000000005
1533176100000,4.17e-06,4.17e-06,4.17e-06,4.17e-06,2000.0
1533176220000,1.39e-06,1.39e-06,1.39e-06,1.39e-06,562.0
1533305520000,4.18e-06,1.17e-06,4.18e-06,1.17e-06,5328.33
1533305580000,4.11e-06,4.25e-06,4.25e-06,4.11e-06,5491.58156212
1533305640000,1.17e-06,4.5e-06,5.18e-06,1.17e-06,21368.46893485
1533305700000,1.17e-06,1.17e-06,4.17e-06,1.17e-06,46681.0
1533305760000,4.17e-06,4.17e-06,4.17e-06,4.17e-06,14970.0
1533305820000,1.21e-06,2.19e-06,4.19e-06,1.19e-06,45693.0
1533305880000,4.19e-06,4.19e-06,4.19e-06,4.19e-06,14936.0
1533305940000,2.19e-06,4.19e-06,4.19e-06,2.19e-06,25132.0
1533306000000,2.19e-06,4.19e-06,4.19e-06,2.19e-06,23612.0
1533306120000,4.19e-06,4.19e-06,4.19e-06,2.19e-06,35957.0
1533306180000,2.19e-06,4.19e-06,4.19e-06,2.19e-06,47662.0
1533306240000,2.19e-06,2.19e-06,2.19e-06,2.19e-06,11863.0
1533306540000,4.19e-06,2.19e-06,4.19e-06,2.19e-06,12889.0
1533306600000,4.19e-06,4.19e-06,4.19e-06,2.19e-06,8457.0
1533313200000,5e-06,5e-06,5e-06,5e-06,1200.0
1533313260000,5e-06,5e-06,5e-06,5e-06,2000.0
1533313320000,5e-06,5e-06,5e-06,5e-06,3000.0
1533313380000,2.25e-06,2.25e-06,2.25e-06,2.25e-06,6187.0
1533313500000,4.25e-06,4.25e-06,4.25e-06,4.25e-06,4000.0
1533313560000,2.25e-06,2.25e-06,2.25e-06,2.25e-06,3992.0
1533313620000,5e-06,5e-06,5e-06,5e-06,2000.0
1533313680000,5e-06,2.72e-06,5e-06,2.72e-06,2017.13
1533314220000,4.81e-06,4.81e-06,4.81e-06,4.81e-06,1000.0
1533314280000,4.25e-06,4.25e-06,4.25e-06,4.25e-06,5000.0
1533314340000,2.8e-06,2.8e-06,2.8e-06,2.8e-06,1000.0
1533314400000,3e-06,3e-06,3e-06,3e-06,4000.0
1533314460000,3e-06,3e-06,3e-06,3e-06,900.0
1533314520000,4.25e-06,4.25e-06,4.25e-06,4.25e-06,4000.0
1533314580000,3e-06,4.25e-06,4.25e-06,3e-06,7132.49647058
1533314640000,2.8e-06,3e-06,3e-06,2.8e-06,3000.0
1533314700000,4.25e-06,4.25e-06,4.25e-06,4.25e-06,2000.0
1533314760000,3e-06,3e-06,3e-06,3e-06,2200.0
1533315480000,4.25e-06,4.25e-06,4.25e-06,4.25e-06,6000.0
1533315540000,3e-06,4.25e-06,4.25e-06,3e-06,7988.0
1533315600000,4.25e-06,4.25e-06,4.25e-06,4.25e-06,4000.0
1533315660000,3e-06,4.25e-06,4.25e-06,3e-06,11492.48235294
1533315720000,3e-06,4.25e-06,4.25e-06,3e-06,8181.45882352
1533315780000,3e-06,3e-06,4.25e-06,3e-06,8014.0
1533316800000,4.25e-06,3e-06,4.25e-06,3e-06,11988.0
1533316860000,4.25e-06,3e-06,4.25e-06,3e-06,12466.01935269
1533316920000,3e-06,3e-06,4.25e-06,3e-06,8663.06456887
1533316980000,4.25e-06,4.25e-06,4.25e-06,4.25e-06,4668.08823529
1533330780000,4.15e-06,4.15e-06,4.15e-06,4.15e-06,707.0
1533339840000,3.1e-06,3e-06,3.1e-06,3e-06,30426.57698248
1533374100000,2.43e-06,2.43e-06,2.43e-06,2.43e-06,2849.086197
1533489780000,4.07e-06,4.12e-06,4.12e-06,4.07e-06,16000.0
1533489900000,2.44e-06,2.03e-06,2.44e-06,2.03e-06,15700.0
1533489960000,4.03e-06,2.03e-06,4.03e-06,2.03e-06,89910.0
1533490020000,4.03e-06,2.04e-06,4.03e-06,2.04e-06,29970.0
1533490080000,4e-06,4e-06,4e-06,4e-06,15000.0
1533490200000,2.42e-06,2.04e-06,2.42e-06,2.04e-06,30014.24
1533491040000,3.73e-06,4.17e-06,4.17e-06,3.73e-06,31700.44676511
1533491100000,4.5e-06,4.5e-06,4.51e-06,4.5e-06,29927.76859774
1533491160000,2.61e-06,2.61e-06,4.61e-06,2.61e-06,87541.0
1533491220000,4.19e-06,4.4e-06,4.4e-06,4.19e-06,57455.85777778
1533491280000,2.83e-06,2.8999999999999998e-06,4.33e-06,2.83e-06,74950.0
1533491340000,2.93e-06,5.19e-06,5.19e-06,2.93e-06,78651.93243834
1533491400000,5.2e-06,5.27e-06,5.27e-06,3.27e-06,51639.69035
1533491460000,3.27e-06,5.18e-06,5.27e-06,3.27e-06,124900.0
1533491520000,5.07e-06,3.6000000000000003e-06,7.499999999999999e-06,3.6000000000000003e-06,85778.47777778
1533491580000,3.81e-06,3.81e-06,5.81e-06,3.81e-06,149900.0
1533491640000,5.3e-06,5.04e-06,5.3e-06,5.04e-06,49899.57969231
1533491700000,7.2999999999999996e-06,1.118e-05,1.118e-05,4.18e-06,148658.36677289
1533491760000,5.18e-06,5.18e-06,1.118e-05,5.18e-06,198991.0
1533491820000,1e-05,6.38e-06,1e-05,6.38e-06,98840.0
1533491880000,9.800000000000001e-06,3.3e-06,9.800000000000001e-06,3.3e-06,90098.1524419
1533491940000,9.4e-06,3.3e-06,9.4e-06,3.3e-06,35234.73
1533492540000,8.8e-06,8.8e-06,8.8e-06,8.8e-06,562.0
1533492660000,3.4e-06,3.4e-06,3.4e-06,3.4e-06,562.0
1533497280000,8.400000000000001e-06,8.400000000000001e-06,8.400000000000001e-06,8.400000000000001e-06,562.0
1533497340000,7.18e-06,7.18e-06,7.18e-06,7.18e-06,3441.0
1533497400000,3.6000000000000003e-06,3.7000000000000006e-06,8.400000000000001e-06,3.5000000000000004e-06,18119.134
1533497460000,6.89e-06,5.08e-06,6.89e-06,4.08e-06,15989.0
1533497520000,4.1e-06,4.1e-06,4.1e-06,4.1e-06,5600.0
1533502800000,3.65e-06,3.66e-06,3.66e-06,3.56e-06,6586.64682409
1533521160000,3e-06,3e-06,3.01e-06,3e-06,13141.96462285
1533521280000,3e-06,3e-06,3e-06,3e-06,3547.23439135
1533532680000,3e-06,3e-06,3e-06,3e-06,6188.32
1533538440000,3.45e-06,3.45e-06,3.45e-06,3.45e-06,564.0
1533544020000,3.01e-06,3.01e-06,3.01e-06,3.01e-06,1320.25713422
1533549900000,3e-06,3e-06,3e-06,3e-06,636.6383
1533570540000,3e-06,3e-06,3e-06,3e-06,3934.0
1533570840000,3e-06,3e-06,3e-06,3e-06,1092.7594261
1533579960000,3e-06,3e-06,3e-06,3e-06,5620.0
1533583140000,4.14e-06,6.75e-06,6.75e-06,4.13e-06,15351.75754506
1533583200000,7.699999999999999e-06,3.8e-06,7.78e-06,3.8e-06,19392.54499366
1533583260000,5.7999999999999995e-06,3.96e-06,5.7999999999999995e-06,3.96e-06,21675.0
1533583320000,4.1e-06,4.32e-06,5.2e-06,4.1e-06,38759.99229588
1533583380000,4.99e-06,4.8e-06,5e-06,4.2999999999999995e-06,17976.0
