time,open,close,high,low,volume
1552388460000,1e-05,1e-05,1e-05,1e-05,1.0
1552390500000,1.21e-06,1.21e-06,1.21e-06,1.21e-06,666.0
1552390560000,1.22e-06,1.23e-06,1.23e-06,1.22e-06,1332.0
1552392000000,1.39e-06,1.39e-06,1.39e-06,1.39e-06,100.0
1552395060000,1.21e-06,1.21e-06,1.21e-06,1.21e-06,2.01485263
1552397580000,1.21e-06,1.21e-06,1.21e-06,1.21e-06,909.9090909
1552398120000,1.21e-06,1.22e-06,1.22e-06,1.21e-06,1088.07605646
1552398840000,1.22e-06,1.22e-06,1.22e-06,1.22e-06,1e-08
1552399740000,1.23e-06,1.19e-06,1.23e-06,1.19e-06,3000.0
1552399800000,1.24e-06,1.18e-06,1.24e-06,1.18e-06,3389.999995
1552400820000,1.18e-06,1.18e-06,1.18e-06,1.18e-06,999.99999999
1552400940000,1.18e-06,1.18e-06,1.18e-06,1.18e-06,6999.99222405
1552401180000,1.18e-06,1.25e-06,1.25e-06,1.18e-06,517.73867762
1552403100000,1.25e-06,1.25e-06,1.25e-06,1.25e-06,482.26909810000006
1552403340000,1.25e-06,1.26e-06,1.26e-06,1.25e-06,207.15435307
1552405560000,1.25e-06,1.25e-06,1.25e-06,1.25e-06,49499.99999408
1552405800000,1.25e-06,1.26e-06,1.26e-06,1.25e-06,42474.39598799
1552407300000,1.26e-06,1.26e-06,1.26e-06,1.26e-06,10.65555555
1552428240000,1.19e-06,1.19e-06,1.19e-06,1.19e-06,500.0
1552429020000,1.22e-06,1.22e-06,1.22e-06,1.22e-06,1501.0
1552429080000,1.22e-06,1.22e-06,1.22e-06,1.22e-06,3499.0
1552430700000,1.23e-06,1.23e-06,1.23e-06,1.23e-06,198.12979904
1552453980000,1.14e-06,1.14e-06,1.14e-06,1.14e-06,50000.0
1552454040000,1.13e-06,1.13e-06,1.13e-06,1.13e-06,34010.0
1552455780000,1.13e-06,1.13e-06,1.13e-06,1.13e-06,16000.0
1552455840000,1.13e-06,1.11e-06,1.13e-06,1.11e-06,3822.0
1552456200000,1.11e-06,1.11e-06,1.11e-06,1.11e-06,166.0
1552464540000,1.06e-06,1.05e-06,1.06e-06,1.05e-06,19823.25471698
1552464960000,1.05e-06,1.05e-06,1.05e-06,1.05e-06,36428.82188458
1552465020000,1.05e-06,1.04e-06,1.05e-06,1.04e-06,27000.0
1552465380000,1.04e-06,1.04e-06,1.04e-06,1.04e-06,23961.17811542
1552465440000,1.04e-06,1.03e-06,1.04e-06,1.03e-06,55038.82188458
1552465500000,1.03e-06,1.05e-06,1.05e-06,1.02e-06,87958.86361904
1552465560000,1.05e-06,1.05e-06,1.05e-06,1.05e-06,4033.04761904
1552466040000,1.02e-06,1.02e-06,1.02e-06,1.02e-06,20000.0
1552466100000,1.03e-06,1.02e-06,1.03e-06,1.02e-06,39960.0
1552466160000,1.03e-06,1.06e-06,1.06e-06,1.03e-06,40007.9998203
1552466220000,1.06e-06,1.06e-06,1.06e-06,1.06e-06,20000.0
1552466280000,1.06e-06,1.06e-06,1.06e-06,1.06e-06,109940.0
1552466340000,1.06e-06,1.06e-06,1.06e-06,1.06e-06,12434.66037735
1552466400000,1.04e-06,1.04e-06,1.04e-06,1.04e-06,18349.01923076
1552466520000,1.02e-06,1.02e-06,1.02e-06,1.02e-06,5958.06539292
1552466580000,1.01e-06,1.01e-06,1.01e-06,1.01e-06,50000.0
1552466640000,1.01e-06,1e-06,1.01e-06,1e-06,138573.38
1552466760000,9.9e-07,9.9e-07,9.9e-07,9.9e-07,50100.0
1552466820000,1e-06,9.9e-07,1e-06,9.9e-07,69960.0
1552466880000,9.9e-07,9.9e-07,9.9e-07,9.9e-07,100000.0
1552467060000,1e-06,1.01e-06,1.01e-06,1e-06,94714.96394059
1552470060000,1.09e-06,1.09e-06,1.09e-06,1.09e-06,11926.88990825
1552470360000,1.09e-06,1.09e-06,1.09e-06,1.09e-06,10000.0
1552470480000,1.09e-06,1.09e-06,1.09e-06,1.09e-06,50000.0
1552470540000,1.09e-06,1.11e-06,1.11e-06,1.09e-06,32748.88182741
1552470600000,1.08e-06,1.08e-06,1.08e-06,1.08e-06,5000.0
1552470660000,1.08e-06,1.08e-06,1.08e-06,1.08e-06,2900.0
1552470720000,1.08e-06,1.07e-06,1.08e-06,1.07e-06,3.0
1552476060000,1.05e-06,1.05e-06,1.05e-06,1.05e-06,71891.33830498
1552476120000,1.03e-06,1.03e-06,1.03e-06,1.03e-06,42069.46121446
1552476180000,1.01e-06,1.01e-06,1.01e-06,1.01e-06,68546.54048058
1552478820000,1.02e-06,1.02e-06,1.02e-06,1.02e-06,0.001
1552479000000,1.02e-06,1.18e-06,1.18e-06,1.02e-06,1.85714286
1552479240000,1.18e-06,1.18e-06,1.18e-06,1.18e-06,0.00840336
1552487460000,1.02e-06,1.02e-06,1.02e-06,1.02e-06,100.0
1552487520000,1.18e-06,1.18e-06,1.18e-06,1.18e-06,1.0
1552487640000,1.16e-06,1.16e-06,1.16e-06,1.16e-06,1.0
1552487700000,1.16e-06,1.16e-06,1.16e-06,1.16e-06,1.0
1552488000000,1.16e-06,1.16e-06,1.16e-06,1.16e-06,1.0
1552488060000,1.16e-06,1.16e-06,1.16e-06,1.16e-06,3.0
1552488480000,1.15e-06,1.1e-06,1.15e-06,1.1e-06,6.0
1552490040000,1.16e-06,1.16e-06,1.16e-06,1.16e-06,1.0
1552493400000,1.03e-06,1.03e-06,1.03e-06,1.03e-06,32168.5428619
1552553700000,1.08e-06,1.03e-06,1.08e-06,1.03e-06,13450.48543689
1552553760000,1.04e-06,1.04e-06,1.04e-06,1.04e-06,5769.23076923
1552553880000,1.03e-06,1.02e-06,1.03e-06,1.02e-06,20660.28379388
1552560960000,1.17e-06,1.2e-06,1.2e-06,1.17e-06,27601.27661318
1552564680000,1.01e-06,1.01e-06,1.01e-06,1.01e-06,100000.0
1552564740000,1.01e-06,1.01e-06,1.01e-06,1.01e-06,290919.80197507003
1552564800000,1e-06,1e-06,1e-06,1e-06,64462.151313400005
1552564980000,9.4e-07,9.3e-07,9.4e-07,9.3e-07,29759.39863119
1552565040000,9.2e-07,9.2e-07,9.2e-07,9.2e-07,4000.0
1552565100000,9.000000000000001e-07,9.000000000000001e-07,9.000000000000001e-07,9.000000000000001e-07,17985.81172933
1552565160000,9.000000000000001e-07,9.000000000000001e-07,9.000000000000001e-07,9.000000000000001e-07,6762.21777777
1552570440000,8.4e-07,8.4e-07,8.4e-07,8.4e-07,5450.0
1552570500000,1.15e-06,1.15e-06,1.15e-06,1.15e-06,3942.60344828
1552571160000,1.13e-06,1.13e-06,1.13e-06,1.13e-06,3938.69827586
1552582200000,9.4e-07,9.4e-07,9.4e-07,9.4e-07,39832.12
1552582260000,9.4e-07,9.3e-07,9.4e-07,9.3e-07,39832.12
1552582320000,9.3e-07,9.3e-07,9.3e-07,9.3e-07,10167.87827957
1552582380000,9.2e-07,9.2e-07,9.2e-07,9.2e-07,50000.0
1552582440000,9.1e-07,9.000000000000001e-07,9.1e-07,9.000000000000001e-07,54985.82063172
1552592400000,1.09e-06,1.09e-06,1.09e-06,1.09e-06,22112.65567766
1552600500000,1.03e-06,1.05e-06,1.05e-06,1.03e-06,10377.51794872
1552642140000,1.02e-06,1.02e-06,1.02e-06,1.02e-06,10396.47572816
1552646760000,9.7e-07,9.7e-07,9.7e-07,9.7e-07,2274.0
1552740240000,1e-06,1e-06,1e-06,1e-06,2987.68789887
1552740300000,1e-06,1e-06,1e-06,1e-06,2987.68789887
1552740360000,1e-06,1e-06,1e-06,1e-06,28375.4744458
1552740420000,1e-06,1.1e-06,1.1e-06,1e-06,18636.83765533
1552752000000,9.4e-07,9.4e-07,9.4e-07,9.4e-07,2724.87910024
1552810380000,9.3e-07,9.000000000000001e-07,9.3e-07,9.000000000000001e-07,39999.0
1552810440000,9.000000000000001e-07,8.7e-07,9.000000000000001e-07,8.7e-07,12620.0
1552810860000,8.6e-07,8.6e-07,8.6e-07,8.6e-07,2620.0
1552834020000,9.9e-07,1e-06,1e-06,9.9e-07,25000.0
1552934400000,9.2e-07,9.2e-07,9.2e-07,9.2e-07,7313.5
1552942200000,9.2e-07,9.2e-07,9.2e-07,9.2e-07,15531.34218804
1552959600000,9.2e-07,9.2e-07,9.2e-07,9.2e-07,11092.42186412
1552959780000,9.3e-07,9.3e-07,9.3e-07,9.3e-07,40000.0
1552960020000,9.3e-07,9.3e-07,9.3e-07,9.3e-07,7727.66666666
1553084760000,1e-06,1e-06,1e-06,1e-06,16627.329999999998
1553094240000,1e-06,1e-06,1e-06,1e-06,25761.06
1553166480000,8.9e-07,8.7e-07,8.9e-07,8.7e-07,54885.66092073
1553166540000,8.6e-07,8.6e-07,8.6e-07,8.6e-07,23147.27586207
1553253600000,9.1e-07,8.5e-07,9.1e-07,8.5e-07,131951.37096005
1553264820000,9.8e-07,9.8e-07,9.8e-07,9.8e-07,7000.0
1553364840000,9.2e-07,9.2e-07,9.2e-07,9.2e-07,5984.09170522
1553384280000,9.6e-07,9.6e-07,9.6e-07,9.6e-07,25415.78125
1553417640000,9.3e-07,9.3e-07,9.3e-07,9.3e-07,50000.0
1553417700000,9.3e-07,9.3e-07,9.3e-07,9.3e-07,50000.0
1553417880000,9.3e-07,9.3e-07,9.3e-07,9.3e-07,50000.0
1553418000000,9.3e-07,9.3e-07,9.3e-07,9.3e-07,24407.21505376
1553420820000,9.8e-07,9.8e-07,9.8e-07,9.8e-07,16000.0
1553421780000,9.3e-07,9.3e-07,9.3e-07,9.3e-07,10662.100322799999
1553438040000,9.3e-07,9.3e-07,9.3e-07,9.3e-07,50000.0
1553472720000,9.9e-07,9.9e-07,9.9e-07,9.9e-07,4212.782999999999
1553583060000,9.3e-07,9.3e-07,9.3e-07,9.3e-07,24797.60215053
1553583120000,9.2e-07,8.9e-07,9.2e-07,8.9e-07,20854.39784947
1553681820000,8.9e-07,8.9e-07,8.9e-07,8.9e-07,44343.98419978
1553681940000,8.8e-07,8.8e-07,8.8e-07,8.8e-07,5656.01580022
1553682000000,8.8e-07,8.8e-07,8.8e-07,8.8e-07,36120.0
1553682180000,8.8e-07,8.7e-07,8.8e-07,8.7e-07,49989.72437577
1553682240000,8.7e-07,8.7e-07,8.7e-07,8.6e-07,32986.58094794
1553754480000,1e-06,1e-06,1e-06,1e-06,15285.843027500001
1553754540000,1.1e-06,1.11e-06,1.11e-06,1.1e-06,15261.56134476
1553765880000,8.6e-07,8.6e-07,8.6e-07,8.6e-07,2636.0
1553780220000,8.8e-07,7.5e-07,8.8e-07,7.5e-07,114421.76976999
1553780280000,7.2e-07,7.2e-07,7.2e-07,7.2e-07,34592.86981001
1553797260000,9.3e-07,9.3e-07,9.3e-07,9.3e-07,9444.73297326
1553818740000,9.3e-07,9.3e-07,9.3e-07,9.3e-07,10555.26702674
1553834700000,8.6e-07,8.5e-07,8.6e-07,8.5e-07,10048.99916
1553881020000,8.7e-07,8.7e-07,8.7e-07,8.7e-07,3000.0
1553881140000,8.7e-07,8.7e-07,8.7e-07,8.7e-07,36980.96796814
1553882880000,8.6e-07,8.5e-07,8.6e-07,8.5e-07,46927.74502605
1553932200000,7.4e-07,1.04e-06,1.04e-06,7.4e-07,8063.22366759
1554009720000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,4796.0
1554009780000,1.03e-06,1.03e-06,1.03e-06,1.03e-06,3628.53398058
1554097140000,8.1e-07,8.1e-07,8.1e-07,8.1e-07,50000.0
1554097440000,8.1e-07,8.1e-07,8.1e-07,8.1e-07,50000.0
1554097500000,8.1e-07,8.1e-07,8.1e-07,8.1e-07,16571.28700581
1554127860000,8.5e-07,8.5e-07,8.5e-07,8.5e-07,49950.0
1554181920000,8.5e-07,8.5e-07,8.5e-07,8.5e-07,50.0
1554182220000,8.4e-07,8.4e-07,8.4e-07,8.4e-07,7819.77479392
1554182280000,8.4e-07,8.4e-07,8.4e-07,8.4e-07,16599.822242500002
1554202020000,8.2e-07,1e-06,1e-06,8.2e-07,6604.73386439
1554205500000,8.2e-07,8.2e-07,8.2e-07,8.2e-07,1039.02613561
1554221400000,9.000000000000001e-07,9.000000000000001e-07,9.000000000000001e-07,9.000000000000001e-07,25477.544728999997
1554223320000,7.8e-07,9.5e-07,9.5e-07,7.8e-07,29454.536
1554320880000,8e-07,7.8e-07,8e-07,7.8e-07,16151.56863062
1554546960000,7.8e-07,7.8e-07,7.8e-07,7.8e-07,6693.4245753
1554677760000,7.8e-07,7.8e-07,7.8e-07,7.8e-07,50000.0
1554677820000,7.8e-07,7.8e-07,7.8e-07,7.8e-07,50000.0
1554678540000,7.8e-07,7.8e-07,7.8e-07,7.8e-07,60801.0
1554707760000,7.8e-07,7.8e-07,7.8e-07,7.8e-07,3748.248
1554725460000,8.4e-07,8.5e-07,8.5e-07,8.4e-07,30000.0
1554729180000,8.5e-07,8.5e-07,8.5e-07,8.5e-07,9614.36670361
1554736320000,8.1e-07,8e-07,8.1e-07,8e-07,11887.92592592
1554757080000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,3374.0
1554774360000,7.7e-07,7.7e-07,7.7e-07,7.7e-07,23000.0
1554774420000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,12000.0
1554774480000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,8000.0
1554774540000,7.7e-07,7.7e-07,7.7e-07,7.7e-07,10000.0
1554774600000,7.7e-07,7.7e-07,7.7e-07,7.7e-07,2752.0
1554793440000,7.6e-07,7.6e-07,7.6e-07,7.6e-07,8000.0
1554793500000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,26279.0
1554795720000,7.7e-07,7.7e-07,7.7e-07,7.7e-07,3044.65273886
1554816120000,7.6e-07,7.6e-07,7.6e-07,7.6e-07,4383.53799999
1554818280000,7.7e-07,7.7e-07,7.7e-07,7.7e-07,42469.5233433
1554818820000,7.8e-07,7.8e-07,7.8e-07,7.8e-07,22231.12859647
1554821520000,7.7e-07,7.6e-07,7.7e-07,7.6e-07,38886.4766567
1554821940000,7.6e-07,7.6e-07,7.6e-07,7.6e-07,0.65789473
1554824880000,7.8e-07,7.8e-07,7.8e-07,7.8e-07,73120.86544857
1554824940000,8.4e-07,8.4e-07,8.4e-07,8.4e-07,3387.76190476
1554826140000,8.4e-07,8.5e-07,8.5e-07,8.4e-07,7464.69691876
1554835320000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,347.0
1554860520000,7.2e-07,7.3e-07,7.3e-07,7.2e-07,6000.0
1554886200000,7.6e-07,7.6e-07,7.6e-07,7.6e-07,5646.2368421
1554902280000,7.4e-07,7.4e-07,7.4e-07,7.4e-07,5989.65986458
1554910140000,7.3e-07,7.3e-07,7.3e-07,7.3e-07,6986.0
1554921720000,7.3e-07,7.2e-07,7.3e-07,7.2e-07,20774.98117918
1554927420000,7.3e-07,7.3e-07,7.3e-07,7.3e-07,27919.00000608
1554927480000,7.3e-07,7.3e-07,7.3e-07,7.3e-07,38685.60816794
1554934200000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,5670.0
1554940740000,7.3e-07,7.3e-07,7.3e-07,7.3e-07,23000.0
1554955200000,7.5e-07,7.8e-07,7.8e-07,7.5e-07,73652.32051282
1554963060000,7.4e-07,7.3e-07,7.4e-07,7.3e-07,72263.04936023
1554963600000,7.2e-07,7.2e-07,7.2e-07,7.2e-07,8505.00290977
1554973140000,7.3e-07,7.3e-07,7.3e-07,7.3e-07,4415.84940811
1554975060000,7.3e-07,7.3e-07,7.3e-07,7.3e-07,5381.15059189
1554975120000,7.2e-07,7.2e-07,7.2e-07,7.2e-07,30717.84940811
1554988080000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,5000.0
1555010820000,7.5e-07,7.7e-07,7.7e-07,7.5e-07,100000.0
1555010880000,7.7e-07,7.9e-07,7.9e-07,7.7e-07,50000.0
1555018380000,7.4e-07,7.4e-07,7.4e-07,7.4e-07,5592.0
1555018440000,7.3e-07,7.3e-07,7.3e-07,7.3e-07,15000.0
1555018500000,7.9e-07,7.9e-07,7.9e-07,7.9e-07,19000.0
1555019340000,7.4e-07,7.9e-07,7.9e-07,7.4e-07,83699.56416438
1555024140000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,50000.0
1555040580000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,4732.01333333
1555045020000,7.4e-07,7.4e-07,7.4e-07,7.4e-07,50000.0
1555056120000,7.6e-07,7.6e-07,7.6e-07,7.6e-07,17141.93421052
1555056480000,7.3e-07,7.3e-07,7.3e-07,7.3e-07,10000.0
1555056540000,7.3e-07,7.3e-07,7.3e-07,7.3e-07,10000.0
1555057680000,7.3e-07,7.3e-07,7.3e-07,7.3e-07,36628.0
1555057860000,7.3e-07,7.3e-07,7.3e-07,7.3e-07,6000.0
1555059180000,7.3e-07,7.3e-07,7.3e-07,7.3e-07,4262.0
1555068180000,7.2e-07,7.2e-07,7.2e-07,7.2e-07,227927.72222222
1555073400000,7.4e-07,7.4e-07,7.4e-07,7.4e-07,4100.0
1555149060000,7e-07,7e-07,7e-07,7e-07,28699.0
1555173960000,7.4e-07,7.4e-07,7.4e-07,7.4e-07,3290.075525
1555208160000,7.1e-07,7.1e-07,7.1e-07,7.1e-07,3020.0
1555235640000,7.2e-07,7.2e-07,7.2e-07,7.2e-07,27499.0
1555295640000,7.4e-07,7.4e-07,7.4e-07,7.4e-07,2800.0
1555319280000,7e-07,7e-07,7e-07,7e-07,3509.45637395
1555397700000,7.1e-07,6.6e-07,7.1e-07,6.6e-07,222220.54362605
1555397760000,6.6e-07,6.6e-07,6.6e-07,6.6e-07,277940.75237395
1555426500000,7.1e-07,7.1e-07,7.1e-07,7.1e-07,4620.0
1555427040000,7.1e-07,7.1e-07,7.1e-07,7.1e-07,29398.04225
1555428180000,7.1e-07,7.1e-07,7.1e-07,7.1e-07,7000.0
1555428240000,7.1e-07,7.1e-07,7.1e-07,7.1e-07,10110.0
1555430820000,7e-07,7e-07,7e-07,7e-07,36041.555982
1555448880000,6.9e-07,6.9e-07,6.9e-07,6.9e-07,50000.0
1555481880000,6.7e-07,6.5e-07,6.7e-07,6.5e-07,6618.0
1555498860000,6.6e-07,6.5e-07,6.6e-07,6.5e-07,119451.0
1555564080000,6.9e-07,6.9e-07,6.9e-07,6.9e-07,5902.11594202
1555578120000,6.8e-07,6.8e-07,6.8e-07,6.8e-07,4727.28132
1555578180000,6.9e-07,6.9e-07,6.9e-07,6.9e-07,3484.33333333
1555596000000,6.9e-07,6.9e-07,6.9e-07,6.9e-07,28404.46376811
1555640700000,6.9e-07,6.9e-07,6.9e-07,6.9e-07,3100.0
1555895460000,6.2e-07,6.2e-07,6.2e-07,6.2e-07,8000.0
1555948080000,6.5e-07,6.6e-07,6.6e-07,6.5e-07,31893.34848484
1556001900000,5.9e-07,5.9e-07,5.9e-07,5.9e-07,5429.0
1556009280000,5.9e-07,5.7e-07,5.9e-07,5.7e-07,6000.0
1556009460000,5.8e-07,5.8e-07,5.8e-07,5.8e-07,2794.0
1556074080000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,15000.0
1556074140000,5.2e-07,3.4e-07,5.2e-07,3.4e-07,155351.42307692
1556074200000,3.3e-07,2.2e-07,3.3e-07,2.2e-07,122200.0
1556074260000,2.1e-07,2.1e-07,2.1e-07,2.1e-07,38178.49492308
1556100300000,6.2e-07,6.2e-07,6.2e-07,6.2e-07,3500.0
1556163420000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,6821.66420973
1556181000000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,14705.33579027
1556220600000,5.3e-07,5.3e-07,5.3e-07,5.3e-07,4990.0
1556231340000,5.3e-07,5.3e-07,5.3e-07,5.3e-07,2895.0
1556263980000,5.1e-07,5.1e-07,5.1e-07,5.1e-07,3000.0
1556343840000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,2237.49090909
1556364600000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,2453.63636364
1556416440000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,3944.0
1556416860000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,3944.0
1556417280000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,3944.0
1556417520000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,3944.0
1556417880000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,3944.0
1556418300000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,3944.0
1556418540000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,3944.0
1556437920000,5.4e-07,5.2e-07,5.4e-07,5.2e-07,12281.0
1556452320000,5.1e-07,5.1e-07,5.1e-07,5.1e-07,5424.79874
1556526840000,5.1e-07,5e-07,5.1e-07,5e-07,15157.0
1556526900000,5e-07,4.9e-07,5e-07,4.9e-07,13354.0
1556536500000,5e-07,5e-07,5e-07,5e-07,36983.49191405
1556538420000,5e-07,5e-07,5e-07,5e-07,21632.72114305
1556543640000,5e-07,5e-07,5e-07,5e-07,2700.0
1556596920000,5.1e-07,5.4e-07,5.4e-07,5.1e-07,153825.5652867
1556636040000,5.2e-07,5.2e-07,5.2e-07,5.2e-07,6611.45559716
1556640600000,5.2e-07,5.2e-07,5.2e-07,5.2e-07,1612.0
1556706660000,5e-07,5e-07,5e-07,5e-07,4799.37
1556723280000,5e-07,5e-07,5e-07,5e-07,26200.0
1556725320000,5.2e-07,5.2e-07,5.2e-07,5.2e-07,20805.807692299997
