time,open,close,high,low,volume
1530255360000,1e-06,1e-06,1e-06,1e-06,2994.0
1530438120000,3.71e-05,3.71e-05,3.71e-05,3.71e-05,904.04820513
1530438360000,1.38e-06,1.38e-06,1.38e-06,1.38e-06,902.24010872
1530486240000,6.1e-06,6.1e-06,6.1e-06,6.1e-06,1588.41679999
1530506820000,7.699999999999999e-06,7.699999999999999e-06,7.699999999999999e-06,7.699999999999999e-06,737.66233766
1530521580000,5.5e-06,5.5e-06,5.5e-06,5.5e-06,2060.0
1530616740000,3.11e-05,3.11e-05,3.11e-05,3.11e-05,1934.97942857
1530617460000,3.101e-05,3.11e-05,3.11e-05,3.101e-05,3733.86893221
1530617640000,6e-06,6e-06,6e-06,6e-06,2000.0
1530618120000,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,4540.277981470002
1530621300000,1.2e-05,1.2e-05,1.2e-05,1.2e-05,2640.27997039
1530995880000,2e-05,2e-05,2e-05,2e-05,4624.59541489
1531027080000,4.11e-06,4.11e-06,4.11e-06,4.11e-06,1063.6716
1531048320000,1.8e-05,1.8e-05,1.8e-05,1.8e-05,444.0
1531068660000,5.35e-06,5.35e-06,5.35e-06,5.35e-06,515.21495327
1531071360000,5.35e-06,5.35e-06,5.35e-06,5.35e-06,490.3346933
1531071660000,5.35e-06,5.35e-06,5.35e-06,5.35e-06,348.0
1531071720000,5.35e-06,5.35e-06,5.35e-06,5.35e-06,696.0
1531279380000,5.34e-06,5.34e-06,5.34e-06,5.34e-06,708.44145481
1531310160000,3.71e-06,3.71e-06,3.71e-06,3.71e-06,12400.0
1531340760000,3.71e-06,3.71e-06,3.71e-06,3.71e-06,9000.0
1531397580000,3.71e-06,3.71e-06,3.71e-06,3.71e-06,514.69973832
1531428900000,5.34e-06,5.34e-06,5.34e-06,5.34e-06,348.0
1531438980000,4.13e-06,4.17e-06,4.17e-06,4.13e-06,63925.0084
1531440000000,3.99e-06,3.99e-06,3.99e-06,3.99e-06,3132.0
1531535880000,4.65e-06,4.66e-06,4.66e-06,4.65e-06,5411.600399999998
1531539240000,4.72e-06,4.73e-06,4.73e-06,4.72e-06,4177.80103833
1531681860000,4.73e-06,4.73e-06,4.73e-06,4.73e-06,4839.15
1531806300000,4.72e-06,4.72e-06,4.72e-06,4.72e-06,1818.55123523
