time,open,close,high,low,volume
1541173500000,4.5e-06,4.5e-06,4.5e-06,4.5e-06,2000.0
1541174100000,3e-06,3e-06,3e-06,3e-06,1282.55
1541178360000,4.29e-06,4.29e-06,4.29e-06,4.29e-06,422.43875278
1541179200000,4.2000000000000004e-06,4.2000000000000004e-06,4.2000000000000004e-06,4.2000000000000004e-06,500.0
1541196900000,3.79e-06,3.79e-06,3.79e-06,3.79e-06,800.0
1541197980000,3.79e-06,3.79e-06,3.79e-06,3.79e-06,1658.79419525
1541199060000,3.77e-06,3.77e-06,3.77e-06,3.77e-06,266.37994723
1541210760000,3.35e-06,3.34e-06,3.35e-06,3.34e-06,1655.47660686
1541228820000,3.42e-06,3.42e-06,3.42e-06,3.42e-06,1190.33110424
1541267400000,3.34e-06,3.34e-06,3.34e-06,3.34e-06,8419.84075803
1541276160000,3.68e-06,3.68e-06,3.68e-06,3.68e-06,2000.0
1541279700000,3.34e-06,3.34e-06,3.34e-06,3.34e-06,595.661743
1541308200000,3.65e-06,3.65e-06,3.65e-06,3.65e-06,530.94789041
1541313060000,3.65e-06,3.65e-06,3.65e-06,3.65e-06,10000.0
1541313120000,3.26e-06,3.26e-06,3.26e-06,3.26e-06,9900.0
1541313180000,3.65e-06,3.65e-06,3.65e-06,3.65e-06,11000.0
1541313240000,3.21e-06,3.22e-06,3.22e-06,3.21e-06,11058.0
1541318340000,3.34e-06,3.33e-06,3.34e-06,3.33e-06,117536.36208900002
1541318580000,3.35e-06,3.35e-06,3.35e-06,3.35e-06,4624.5925433
1541339700000,3.38e-06,3.38e-06,3.38e-06,3.38e-06,1585.4409489
1541346840000,3.41e-06,3.41e-06,3.41e-06,3.41e-06,2000.0
1541347860000,3.41e-06,3.41e-06,3.41e-06,3.41e-06,10000.0
1541362740000,4.21e-06,4.21e-06,4.21e-06,4.21e-06,3000.0
1541364960000,3.41e-06,3.41e-06,3.41e-06,3.41e-06,577.487882
1541368980000,3.41e-06,3.41e-06,3.41e-06,3.41e-06,1281.26745
1541375880000,3.4e-06,3.4e-06,3.4e-06,3.4e-06,4825.0
1541383020000,3.38e-06,3.38e-06,3.38e-06,3.38e-06,3082.02075447
1541384520000,3.37e-06,3.37e-06,3.37e-06,3.37e-06,7743.56168375
1541384640000,3.38e-06,3.37e-06,3.38e-06,3.37e-06,6520.83409508
1541385540000,3.4e-06,3.4e-06,3.4e-06,3.4e-06,6401.84826608
1541386320000,3.37e-06,3.37e-06,3.37e-06,3.37e-06,6389.04644608
1541387340000,3.37e-06,3.37e-06,3.37e-06,3.37e-06,2328.94387471
1541387400000,3.36e-06,3.36e-06,3.36e-06,3.36e-06,2332.77047896
1541387520000,3.37e-06,3.37e-06,3.37e-06,3.37e-06,6021.91986169
1541389620000,3.37e-06,3.37e-06,3.37e-06,3.37e-06,1980.95580397
1541390220000,3.44e-06,3.44e-06,3.44e-06,3.44e-06,4000.0
1541401320000,3.35e-06,3.35e-06,3.35e-06,3.35e-06,1158.02904611
1541435100000,3.27e-06,3.27e-06,3.27e-06,3.27e-06,1308.18173985
1541443860000,3.36e-06,3.36e-06,3.36e-06,3.36e-06,569.44345238
1541451720000,3.34e-06,3.34e-06,3.34e-06,3.34e-06,1414.71
1541452980000,3.32e-06,3.32e-06,3.32e-06,3.32e-06,2733.01
1541456340000,3.38e-06,3.38e-06,3.38e-06,3.38e-06,9319.822485200002
1541456640000,3.32e-06,3.32e-06,3.32e-06,3.32e-06,1126.55
1541456880000,3.36e-06,3.36e-06,3.36e-06,3.36e-06,715.08875739
1541457720000,3.36e-06,3.36e-06,3.36e-06,3.36e-06,1718.56
1541459580000,3.29e-06,3.28e-06,3.29e-06,3.28e-06,1031.08407194
1541476620000,3.36e-06,3.36e-06,3.36e-06,3.36e-06,446.56022535
