time,open,close,high,low,volume
1531409220000,1e-05,1e-05,1e-05,1e-05,10.2
1531409760000,1.99e-06,1.99e-06,1.99e-06,1.99e-06,8.04020101
1531409880000,1.99e-06,1.99e-06,1.99e-06,1.99e-06,3436.03999907
1531411140000,1.02e-06,1e-06,1.02e-06,1e-06,69261.53765329
1531412160000,1e-06,1e-06,1e-06,1e-06,866.28
1531429020000,1.41e-06,1.41e-06,1.41e-06,1.41e-06,1013.0
1531438740000,1.02e-06,1.01e-06,1.02e-06,1.01e-06,29380.5564
1531438800000,1.01e-06,1.01e-06,1.01e-06,1.01e-06,7882.7523
1531438860000,1e-06,1e-06,1e-06,1e-06,12758.47429335
1531443780000,1.33e-06,1.33e-06,1.33e-06,1.33e-06,180000.0
1531444020000,1.34e-06,1.37e-06,1.37e-06,1.34e-06,116809.2555
1531444080000,1.39e-06,1.41e-06,1.41e-06,1.39e-06,76020.42795834
1531454400000,1.4e-06,1.4e-06,1.4e-06,1.4e-06,12464.2
1531458600000,1.02e-06,1.02e-06,1.02e-06,1.02e-06,52433.9366
1531459500000,1.04e-06,1.02e-06,1.04e-06,1.02e-06,13332.7675
1531459620000,1.02e-06,1.02e-06,1.02e-06,1.02e-06,11208.5448
1531460220000,1.02e-06,1.02e-06,1.02e-06,1.02e-06,14858.8927
1531460700000,1.01e-06,1.01e-06,1.01e-06,1.01e-06,26321.43875612
1531461300000,1.01e-06,1.01e-06,1.01e-06,1.01e-06,126867.8036
1531462740000,1.01e-06,1.01e-06,1.01e-06,1.01e-06,25464.6809
1531462800000,1.01e-06,1.01e-06,1.01e-06,1.01e-06,50000.0
1531463460000,1.01e-06,1.01e-06,1.01e-06,1.01e-06,109728.54070999999
1531463520000,1.01e-06,1.01e-06,1.01e-06,1.01e-06,158740.62224
1531463580000,1.02e-06,1.02e-06,1.02e-06,1.02e-06,97292.63945
1531464240000,1e-06,1e-06,1e-06,1e-06,17523.31570665
1531481580000,1e-06,1e-06,1e-06,1e-06,75000.0
1531481640000,1.02e-06,1.02e-06,1.02e-06,1.02e-06,75000.0
1531481700000,1.02e-06,1.04e-06,1.04e-06,1.02e-06,225000.0
1531481760000,1.05e-06,1.05e-06,1.05e-06,1.05e-06,143500.0
1531481820000,1.06e-06,1.06e-06,1.06e-06,1.06e-06,175000.0
1531486980000,1.02e-06,1.02e-06,1.03e-06,1.02e-06,120496.0786
1531487040000,1.03e-06,1.03e-06,1.03e-06,1.03e-06,146491.28218524
1531487160000,1.03e-06,1.03e-06,1.03e-06,1.03e-06,100000.0
1531487220000,1.03e-06,1.03e-06,1.03e-06,1.03e-06,75000.0
1531487340000,1.03e-06,1.03e-06,1.03e-06,1.03e-06,100000.0
1531487400000,1.03e-06,1.03e-06,1.03e-06,1.03e-06,113590.89852
1531496940000,1.03e-06,1.03e-06,1.03e-06,1.03e-06,733566.35554
1531504080000,1.02e-06,1.03e-06,1.03e-06,1.02e-06,91038.29901532
