time,open,close,high,low,volume
1524753540000,1.9399999999999997e-05,1.93e-05,1.9399999999999997e-05,1.93e-05,1000.0
1524753600000,1.92e-05,1.9e-05,1.92e-05,1.9e-05,350.0
1524753720000,1.83e-05,1.85e-05,1.85e-05,1.83e-05,27034.34216216
1524753780000,1.85e-05,1.85e-05,1.85e-05,1.85e-05,200.0
1524753900000,1.7899999999999998e-05,1.7899999999999998e-05,1.7899999999999998e-05,1.7899999999999998e-05,2000.0
1524753960000,1.7800000000000002e-05,1.7800000000000002e-05,1.7800000000000002e-05,1.7800000000000002e-05,290.0
1524754320000,1.6e-05,1.6e-05,1.6e-05,1.6e-05,9746.74638554
1524754380000,1.52e-05,1.52e-05,1.52e-05,1.52e-05,37671.51006611
1524754440000,1.4800000000000002e-05,1.4300000000000002e-05,1.4800000000000002e-05,1.4300000000000002e-05,25136.03700646
1524754500000,1.42e-05,1.42e-05,1.42e-05,1.42e-05,24543.94622323
1524754560000,1.42e-05,1.42e-05,1.42e-05,1.42e-05,90.0
1524754620000,1.42e-05,1.42e-05,1.42e-05,1.42e-05,20909.99970192
1524754680000,1.42e-05,1.4300000000000002e-05,1.4300000000000002e-05,1.42e-05,8999.999994999998
1524754740000,1.4300000000000002e-05,1.47e-05,1.47e-05,1.4300000000000002e-05,1001.00100101
1524754800000,1.47e-05,1.47e-05,1.47e-05,1.47e-05,2346.82201607
1524755100000,1.47e-05,1.47e-05,1.47e-05,1.47e-05,173.09640719
1524755340000,1.47e-05,1.47e-05,1.47e-05,1.47e-05,4102.34693877
1524755400000,1.47e-05,1.67e-05,1.67e-05,1.47e-05,18333.0
1524755460000,1.67e-05,1.67e-05,1.67e-05,1.67e-05,2124.88802395
1524755940000,1.67e-05,1.67e-05,1.67e-05,1.67e-05,597.60718085
1524756000000,1.67e-05,1.67e-05,1.67e-05,1.67e-05,13531.74729249
1524756060000,1.67e-05,1.67e-05,1.67e-05,1.67e-05,1122.0
1524756120000,1.67e-05,1.76e-05,1.76e-05,1.67e-05,1027.8838323399998
1524758760000,1.494e-05,1.494e-05,1.494e-05,1.494e-05,669.51266568
1524760200000,1.687e-05,1.688e-05,1.688e-05,1.687e-05,550.0
1524761100000,1.688e-05,1.6899999999999997e-05,1.6899999999999997e-05,1.688e-05,7000.0
1524761280000,1.6899999999999997e-05,1.6899999999999997e-05,1.6899999999999997e-05,1.6899999999999997e-05,2599.35147456
1524761340000,1.6899999999999997e-05,1.6899999999999997e-05,1.6899999999999997e-05,1.6899999999999997e-05,4834.79913114
1524761520000,1.58e-05,1.76e-05,1.76e-05,1.58e-05,11867.88838333
1524761580000,1.76e-05,1.76e-05,1.76e-05,1.76e-05,1586.71923824
1524762240000,1.76e-05,1.85e-05,1.85e-05,1.76e-05,3424.28068325
1524762660000,1.874e-05,1.874e-05,1.874e-05,1.874e-05,150.0
1524763140000,1.874e-05,1.874e-05,1.874e-05,1.874e-05,1763.5298825999998
1524763980000,1.868e-05,1.873e-05,1.873e-05,1.868e-05,10000.0
1524764040000,1.87e-05,1.87e-05,1.87e-05,1.87e-05,2000.0
1524764160000,1.872e-05,1.92e-05,1.92e-05,1.872e-05,68988.66461538
1524764700000,1.919e-05,1.919e-05,1.919e-05,1.919e-05,520.0
1524764760000,1.919e-05,1.92e-05,1.92e-05,1.919e-05,6000.0
1524764940000,1.92e-05,1.92e-05,1.92e-05,1.92e-05,1500.0
1524766380000,1.917e-05,1.919e-05,1.919e-05,1.917e-05,20000.0
1524768240000,1.905e-05,1.905e-05,1.905e-05,1.905e-05,1320.0
1524768720000,1.675e-05,1.655e-05,1.675e-05,1.655e-05,14270.696163499999
1524769320000,1.87e-05,1.87e-05,1.87e-05,1.87e-05,90.0
1524769500000,1.656e-05,1.655e-05,1.656e-05,1.655e-05,5843.10246876
1524769620000,1.799e-05,1.799e-05,1.799e-05,1.799e-05,10000.0
1524769680000,1.797e-05,1.799e-05,1.799e-05,1.797e-05,10000.0
1524769860000,1.655e-05,1.65e-05,1.655e-05,1.65e-05,1317.0
1524770460000,1.65e-05,1.511e-05,1.65e-05,1.511e-05,908.51471596
1524772440000,1.7800000000000002e-05,1.7800000000000002e-05,1.7800000000000002e-05,1.7800000000000002e-05,311.51235955
1524775200000,1.693e-05,1.693e-05,1.693e-05,1.693e-05,2000.0
1524777240000,1.562e-05,1.562e-05,1.562e-05,1.562e-05,193.29193341
1524777960000,1.558e-05,1.558e-05,1.558e-05,1.558e-05,3000.0
1524778680000,1.501e-05,1.501e-05,1.501e-05,1.501e-05,100.0
1524778980000,1.554e-05,1.554e-05,1.554e-05,1.554e-05,96.39639639
1524779280000,1.502e-05,1.438e-05,1.502e-05,1.438e-05,19387.06701515
1524779760000,1.499e-05,1.499e-05,1.499e-05,1.499e-05,1184.58972647
1524784260000,1.215e-05,1.215e-05,1.215e-05,1.215e-05,92.809905
1524786420000,1.469e-05,1.469e-05,1.469e-05,1.469e-05,1000.0
1524789720000,1.456e-05,1.456e-05,1.456e-05,1.456e-05,1286.29023393
1524792060000,1.456e-05,1.456e-05,1.456e-05,1.456e-05,183.55975274
1524792600000,1.456e-05,1.456e-05,1.456e-05,1.456e-05,6652.35989011
1524805800000,1.474e-05,1.474e-05,1.474e-05,1.474e-05,494.0
1524808680000,1.586e-05,1.586e-05,1.586e-05,1.586e-05,1300.0
1524808980000,1.586e-05,1.586e-05,1.586e-05,1.586e-05,1162.59184027
1524809040000,1.586e-05,1.586e-05,1.586e-05,1.586e-05,1333.3333332999996
1524809220000,1.586e-05,1.586e-05,1.586e-05,1.586e-05,1170.21299584
1524809880000,1.586e-05,1.586e-05,1.586e-05,1.586e-05,2500.69608574
1524810840000,1.586e-05,1.586e-05,1.586e-05,1.586e-05,1431.15005802
1524811800000,1.586e-05,1.646e-05,1.646e-05,1.586e-05,7000.0
1524815460000,1.635e-05,1.472e-05,1.635e-05,1.472e-05,9768.16406589
1524816120000,1.64e-05,1.64e-05,1.64e-05,1.64e-05,100.0
1524820020000,1.64e-05,1.64e-05,1.64e-05,1.64e-05,5000.0
1524822300000,1.515e-05,1.515e-05,1.515e-05,1.515e-05,99.8
1524825780000,1.521e-05,1.515e-05,1.521e-05,1.515e-05,1773.38220045
1524826740000,1.521e-05,1.521e-05,1.521e-05,1.521e-05,189.15294411
1524828000000,1.55e-05,1.515e-05,1.55e-05,1.515e-05,12017.91644974
1524829440000,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,498.00199999999995
1524831480000,1.64e-05,1.64e-05,1.64e-05,1.64e-05,412.0
1524831840000,1.64e-05,1.64e-05,1.64e-05,1.64e-05,300.0
1524835800000,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.4999999999999999e-05,90.02465897
1524838020000,1.6e-05,1.6e-05,1.6e-05,1.6e-05,10500.0
1524838080000,1.64e-05,1.64e-05,1.64e-05,1.64e-05,14288.0
1524843120000,1.51e-05,1.51e-05,1.51e-05,1.51e-05,119.0
1524843540000,1.51e-05,1.51e-05,1.51e-05,1.51e-05,17238.0
1524843600000,1.51e-05,1.51e-05,1.51e-05,1.51e-05,12547.0
1524843900000,1.644e-05,1.644e-05,1.644e-05,1.644e-05,541.09975669
1524849660000,1.646e-05,1.646e-05,1.646e-05,1.646e-05,6512.31446204
1524851640000,1.646e-05,1.646e-05,1.646e-05,1.646e-05,2619.0
1524854220000,1.643e-05,1.643e-05,1.643e-05,1.643e-05,136.79708384
1524854340000,1.643e-05,1.643e-05,1.643e-05,1.643e-05,7920.73295556
1524855240000,1.646e-05,1.646e-05,1.646e-05,1.646e-05,20000.0
1524855420000,1.665e-05,1.665e-05,1.665e-05,1.665e-05,136.71111111
1524856440000,1.665e-05,1.665e-05,1.665e-05,1.665e-05,450.7275212
1524863400000,1.696e-05,1.696e-05,1.696e-05,1.696e-05,5276.3945334
1524864780000,1.696e-05,1.7e-05,1.7e-05,1.696e-05,15487.42463343
1524866040000,1.7e-05,1.795e-05,1.795e-05,1.7e-05,442.39364654
1524867120000,1.795e-05,1.851e-05,1.851e-05,1.795e-05,2637.78718663
1524867180000,1.91e-05,1.91e-05,1.91e-05,1.91e-05,557.77277486
1524870360000,1.66e-05,1.66e-05,1.66e-05,1.66e-05,2000.0
1524870420000,1.66e-05,1.66e-05,1.66e-05,1.66e-05,3500.0
1524870540000,1.66e-05,1.66e-05,1.66e-05,1.66e-05,200.0
1524872160000,1.66e-05,1.66e-05,1.66e-05,1.66e-05,5000.0
1524872460000,1.66e-05,1.66e-05,1.66e-05,1.66e-05,1000.0
1524872520000,1.66e-05,1.66e-05,1.66e-05,1.66e-05,4100.0
1524873120000,1.66e-05,1.66e-05,1.66e-05,1.66e-05,1700.0
1524873180000,1.66e-05,1.66e-05,1.66e-05,1.65e-05,398.98062723
1524893400000,1.524e-05,1.524e-05,1.524e-05,1.524e-05,157.37704918
1524905760000,1.65e-05,1.66e-05,1.66e-05,1.65e-05,44970.0
1524906000000,1.65e-05,1.521e-05,1.66e-05,1.521e-05,21044.57831325
1524906060000,1.65e-05,1.66e-05,1.66e-05,1.65e-05,2858.95737907
1524906120000,1.666e-05,1.666e-05,1.666e-05,1.666e-05,15000.0
1524910200000,1.55e-05,1.55e-05,1.55e-05,1.55e-05,391.55284317
1524918180000,1.55e-05,1.55e-05,1.55e-05,1.55e-05,630.0
1524918240000,1.55e-05,1.55e-05,1.55e-05,1.55e-05,5850.0
1524921900000,1.55e-05,1.55e-05,1.55e-05,1.55e-05,18270.0
1524922080000,1.55e-05,1.55e-05,1.55e-05,1.55e-05,22353.06274016
1524924300000,1.55e-05,1.55e-05,1.55e-05,1.55e-05,900.0
1524924600000,1.55e-05,1.521e-05,1.55e-05,1.521e-05,360.0
1524925680000,1.521e-05,1.521e-05,1.521e-05,1.521e-05,270.0
1524936780000,1.531e-05,1.528e-05,1.531e-05,1.528e-05,2490.01
1524940140000,1.521e-05,1.528e-05,1.528e-05,1.52e-05,11955.5
1524946200000,1.52e-05,1.472e-05,1.52e-05,1.472e-05,2000.0
1524946620000,1.573e-05,1.575e-05,1.575e-05,1.573e-05,5882.09306758
1524946980000,1.472e-05,1.464e-05,1.472e-05,1.464e-05,250.0
1524962520000,1.464e-05,1.464e-05,1.464e-05,1.464e-05,279.55846094
1524962580000,1.421e-05,1.421e-05,1.421e-05,1.421e-05,621.11908299
1524984360000,1.421e-05,1.421e-05,1.421e-05,1.421e-05,4882.0
1524984480000,1.434e-05,1.434e-05,1.434e-05,1.434e-05,5000.0
1524984600000,1.422e-05,1.422e-05,1.422e-05,1.422e-05,1700.0
1524984720000,1.42e-05,1.26e-05,1.42e-05,1.26e-05,90.64722313
1524994980000,1.398e-05,1.398e-05,1.398e-05,1.398e-05,119.77892652
1525024440000,1.49e-05,1.4999999999999999e-05,1.4999999999999999e-05,1.49e-05,923.74466667
1525032960000,1.289e-05,1.271e-05,1.289e-05,1.271e-05,20000.0
1525038000000,1.4599999999999999e-05,1.4599999999999999e-05,1.4599999999999999e-05,1.4599999999999999e-05,8004.16438356
1525047300000,1.283e-05,1.283e-05,1.283e-05,1.283e-05,90.0
1525048740000,1.299e-05,1.299e-05,1.299e-05,1.299e-05,2258.0
1525053720000,1.433e-05,1.433e-05,1.433e-05,1.433e-05,8100.0
1525053840000,1.433e-05,1.433e-05,1.433e-05,1.433e-05,4400.0
1525077360000,1.433e-05,1.433e-05,1.433e-05,1.433e-05,1260.0
1525099620000,1.291e-05,1.291e-05,1.291e-05,1.291e-05,1000.0
1525101180000,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,122.31328919
1525102740000,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,877.68671081
1525105860000,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,90.0
1525112040000,1.29e-05,1.27e-05,1.29e-05,1.27e-05,1514.31817491
1525119960000,1.288e-05,1.291e-05,1.291e-05,1.288e-05,50148.0
1525120260000,1.409e-05,1.409e-05,1.409e-05,1.409e-05,5320.56068133
1525129320000,1.286e-05,1.286e-05,1.286e-05,1.286e-05,90.0
1525134840000,1.287e-05,1.287e-05,1.287e-05,1.287e-05,1785.0
1525163040000,1.286e-05,1.399e-05,1.399e-05,1.286e-05,771.47248034
1525164660000,1.27e-05,1.251e-05,1.27e-05,1.251e-05,1470.20825359
1525166520000,1.23e-05,1.219e-05,1.23e-05,1.219e-05,543.66
1525167240000,1.204e-05,1.201e-05,1.204e-05,1.201e-05,13384.443000000001
1525169160000,1.201e-05,1.201e-05,1.201e-05,1.201e-05,3870.0
1525174920000,1.201e-05,1.201e-05,1.201e-05,1.201e-05,450.0
1525175280000,1.201e-05,1.201e-05,1.201e-05,1.201e-05,450.0
1525175340000,1.382e-05,1.382e-05,1.382e-05,1.382e-05,372.51736614
1525176360000,1.201e-05,1.2e-05,1.201e-05,1.2e-05,4252.86241822
1525180440000,1.1900000000000001e-05,1.1900000000000001e-05,1.1900000000000001e-05,1.1900000000000001e-05,3780.0
1525180620000,1.202e-05,1.202e-05,1.202e-05,1.202e-05,90.0
1525184040000,1.205e-05,1.205e-05,1.205e-05,1.205e-05,499.50365304
1525188060000,1.205e-05,1.1900000000000001e-05,1.205e-05,1.1900000000000001e-05,4125.86127699
1525188480000,1.1900000000000001e-05,1.1900000000000001e-05,1.1900000000000001e-05,1.1900000000000001e-05,1080.0
1525189380000,1.1900000000000001e-05,1.1900000000000001e-05,1.1900000000000001e-05,1.1900000000000001e-05,990.0
1525192740000,1.177e-05,1.15e-05,1.177e-05,1.15e-05,16504.19826279
1525210020000,1.152e-05,1.152e-05,1.152e-05,1.152e-05,38160.0
1525210500000,1.152e-05,1.152e-05,1.152e-05,1.152e-05,127.58552632
1525210800000,1.152e-05,1.152e-05,1.152e-05,1.152e-05,11712.41447368
1525224060000,1.294e-05,1.294e-05,1.294e-05,1.294e-05,2311.0
1525224120000,1.295e-05,1.295e-05,1.295e-05,1.295e-05,2617.73792
1525224180000,1.296e-05,1.297e-05,1.297e-05,1.181e-05,5182.7379200000005
1525224240000,1.297e-05,1.297e-05,1.297e-05,1.297e-05,2269.0
1525224300000,1.298e-05,1.298e-05,1.298e-05,1.298e-05,499.5
1525224540000,1.299e-05,1.299e-05,1.299e-05,1.299e-05,5100.0
1525228860000,1.182e-05,1.182e-05,1.182e-05,1.182e-05,500.0
1525229280000,1.182e-05,1.182e-05,1.182e-05,1.182e-05,1269.03553299
1525230120000,1.182e-05,1.182e-05,1.182e-05,1.182e-05,33750.0
1525230360000,1.182e-05,1.182e-05,1.182e-05,1.182e-05,10726.961981
1525231080000,1.297e-05,1.297e-05,1.297e-05,1.297e-05,1971.18658442
1525234680000,1.298e-05,1.298e-05,1.298e-05,1.298e-05,313.67898383
1525252920000,1.181e-05,1.15e-05,1.181e-05,1.15e-05,5831.334800029998
1525254600000,1.159e-05,1.159e-05,1.159e-05,1.159e-05,127.33035527
1525257480000,1.158e-05,1.158e-05,1.158e-05,1.158e-05,800.0
1525257780000,1.15e-05,1.15e-05,1.15e-05,1.15e-05,13184.85565876
1525258080000,1.144e-05,1.144e-05,1.144e-05,1.144e-05,990.0
1525258140000,1.143e-05,1.143e-05,1.143e-05,1.143e-05,516.0
1525258260000,1.13e-05,1.128e-05,1.13e-05,1.128e-05,4157.89633172
