time,open,close,high,low,volume
1565976780000,5.0,5.0,5.0,5.0,0.0023
1565976840000,5.0,5.0,5.0,5.0,0.0045
1565976900000,5.0,5.0,5.0,5.0,0.0072
1565977020000,4.998,4.998,4.998,4.998,0.0023
1565977080000,4.998,4.998,4.998,4.998,0.0023
1565977140000,4.998,4.998,4.998,4.998,0.0013
1565977200000,4.998,4.998,4.998,4.998,0.0036
1565977260000,4.998,4.998,4.998,4.998,0.0012
1565977320000,4.998,4.998,4.998,4.998,0.0024
1565977380000,4.998,4.998,4.998,4.998,0.0019
1565977440000,4.998,4.998,4.998,4.998,0.0012
1565977980000,5.008,5.008,5.008,5.008,0.0029
1565978340000,5.008,5.008,5.008,5.008,0.002
1565978640000,5.008,5.008,5.008,5.008,0.0018
1565979000000,5.007,5.007,5.007,5.007,0.0016
1565979360000,5.007,5.007,5.007,5.007,0.0021
1565979660000,5.007,5.007,5.007,5.007,0.0023
1565980020000,5.007,5.007,5.007,5.007,0.0024
1565980320000,5.007,5.007,5.007,5.007,0.001
1565980620000,5.004,5.004,5.004,5.004,0.0024
1565980980000,5.005,5.005,5.005,5.005,0.0025
1565981340000,5.004,5.004,5.004,5.004,0.0018
1565981700000,5.005,5.005,5.005,5.005,0.0015
1565982000000,5.005,5.005,5.005,5.005,0.0013
1565982300000,5.005,5.005,5.005,5.005,0.0023
1565982660000,5.005,5.005,5.005,5.005,0.0012
1565983020000,5.005,5.005,5.005,5.005,0.002
1565983380000,5.005,5.005,5.005,5.005,0.0025
1565983680000,5.005,5.005,5.005,5.005,0.0018
1565984040000,5.004,5.004,5.004,5.004,0.0021
1565984340000,5.004,5.004,5.004,5.004,0.0017
1565984700000,5.005,5.005,5.005,5.005,0.0015
1565985000000,5.005,5.005,5.005,5.005,0.002
1565985360000,5.005,5.005,5.005,5.005,0.0015
1565985660000,5.005,5.005,5.005,5.005,0.0023
1565986020000,5.005,5.005,5.005,5.005,0.0013
1565986320000,5.005,5.005,5.005,5.005,0.0017
1565986680000,5.004,5.004,5.004,5.004,0.0012
1565986980000,5.004,5.004,5.004,5.004,0.0022
1565987280000,5.004,5.004,5.004,5.004,0.002
1565987640000,5.004,5.004,5.004,5.004,0.0024
1565988000000,5.004,5.004,5.004,5.004,0.0015
1565988300000,5.005,5.005,5.005,5.005,0.0023
1565988660000,5.005,5.005,5.005,5.005,0.0019
1565988960000,5.005,5.005,5.005,5.005,0.0022
1565989320000,5.005,5.005,5.005,5.005,0.0014
1565989620000,5.004,5.004,5.004,5.004,0.0014
1565989980000,5.004,5.004,5.004,5.004,0.0019
1565990280000,5.004,5.004,5.004,5.004,0.001
1565990640000,5.004,5.004,5.004,5.004,0.0012
1565990940000,5.004,5.004,5.004,5.004,0.0021
1565991300000,5.004,5.004,5.004,5.004,0.0018
1565991660000,5.004,5.004,5.004,5.004,0.0024
1565992020000,5.004,5.004,5.004,5.004,0.0014
1565992380000,5.004,5.004,5.004,5.004,0.0021
1565992680000,5.004,5.004,5.004,5.004,0.0023
1565993040000,5.004,5.004,5.004,5.004,0.0016
1565993400000,5.004,5.004,5.004,5.004,0.001
1565993700000,5.004,5.004,5.004,5.004,0.0014
1565994060000,5.004,5.004,5.004,5.004,0.0023
1565994360000,5.004,5.004,5.004,5.004,0.0016
1565994720000,5.004,5.004,5.004,5.004,0.0011
1565995020000,5.004,5.004,5.004,5.004,0.0023
1565995320000,5.004,5.004,5.004,5.004,0.0016
1565995680000,5.004,5.004,5.004,5.004,0.0021
1565996040000,5.004,5.004,5.004,5.004,0.0019
1565996400000,5.005,5.005,5.005,5.005,0.0013
1565996700000,5.005,5.005,5.005,5.005,0.0025
1565997000000,5.005,5.005,5.005,5.005,0.0015
1565997360000,5.005,5.005,5.005,5.005,0.0019
1565997660000,5.005,5.005,5.005,5.005,0.0021
1565998020000,5.005,5.005,5.005,5.005,0.0014
1565998320000,5.005,5.005,5.005,5.005,0.0024
1565998620000,5.005,5.005,5.005,5.005,0.0022
1565998980000,5.005,5.005,5.005,5.005,0.0011
1565999340000,5.005,5.005,5.005,5.005,0.0021
1565999700000,5.005,5.005,5.005,5.005,0.0012
1566000000000,5.005,5.005,5.005,5.005,0.0016
1566000360000,5.005,5.005,5.005,5.005,0.0028
1566000780000,5.005,5.005,5.005,5.005,0.0029
1566005820000,4.981,4.981,4.981,4.981,0.6756
1566006120000,4.98,4.98,4.98,4.98,0.6529
1566006480000,4.98,4.98,4.98,4.98,0.6272
1566006780000,4.98,4.98,4.98,4.98,0.7041
1566007200000,4.98,4.98,4.98,4.98,0.6436
1566007560000,4.9801,4.9801,4.9801,4.9801,0.6173
1566007920000,4.9801,4.9801,4.9801,4.9801,0.6565
1566008220000,4.98,4.98,4.98,4.98,0.6441
1566008580000,4.974,4.974,4.974,4.974,0.6717
1566008880000,4.9741,4.9741,4.9741,4.9741,0.7529
1566009180000,4.9741,4.9741,4.9741,4.9741,0.6215
1566009540000,4.9741,4.9741,4.9741,4.9741,0.7147
1566009840000,4.9741,4.9741,4.9741,4.9741,0.7299
1566010200000,4.974,4.974,4.974,4.974,0.7812
1566010560000,4.9741,4.9741,4.9741,4.9741,0.6759
1566010920000,4.974,4.974,4.974,4.974,0.7248
1566011220000,4.9741,4.9741,4.9741,4.9741,0.677
1566011580000,4.974,4.974,4.974,4.974,0.6869
1566011880000,4.975,4.975,4.975,4.975,0.6924
1566012240000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6286
1566012600000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6929
1566012900000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.7058
1566013200000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.7253
1566013500000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6848
1566013860000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6788
1566014160000,4.9721,4.9721,4.9721,4.9721,0.6472
1566014520000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.7371
1566014880000,4.9721,4.9721,4.9721,4.9721,0.6667
1566015180000,4.9721,4.9721,4.9721,4.9721,0.639
1566015540000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6799
1566015840000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6553
1566016200000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.7528
1566016500000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.6711
1566016860000,4.9719999999999995,4.9719999999999995,4.9719999999999995,4.9719999999999995,0.7618
1566017220000,4.961,4.961,4.961,4.961,0.7752
1566017580000,4.944,4.944,4.944,4.944,0.6275
1566017880000,4.944,4.944,4.944,4.944,0.6289
1566018240000,4.94,4.94,4.94,4.94,0.6639
1566018600000,4.935,4.935,4.935,4.935,0.6837
1566018960000,4.901,4.901,4.901,4.901,0.6237
1566019260000,4.901,4.901,4.901,4.901,0.6111
1566019560000,4.901,4.901,4.901,4.901,0.6384
1566019980000,4.879,4.879,4.879,4.879,0.6852
1566020280000,4.879,4.879,4.879,4.879,0.6959
1566020580000,4.8791,4.8791,4.8791,4.8791,0.7436
1566020940000,4.89,4.89,4.89,4.89,0.7344
1566021300000,4.919,4.919,4.919,4.919,0.6733
1566021660000,4.926,4.926,4.926,4.926,0.6779999999999999
1566022020000,4.927,4.927,4.927,4.927,0.613
1566022320000,4.927,4.927,4.927,4.927,0.6283
1566022680000,4.927,4.927,4.927,4.927,0.7278
1566023040000,4.927,4.927,4.927,4.927,0.6574
1566023340000,4.927,4.927,4.927,4.927,0.6145
1566023700000,4.927,4.927,4.927,4.927,0.6948
1566024060000,4.927,4.927,4.927,4.927,0.6069
1566024420000,4.9271,4.9271,4.9271,4.9271,0.7112
1566024720000,4.927,4.927,4.927,4.927,0.728
1566025080000,4.9271,4.9271,4.9271,4.9271,0.6432
1566025380000,4.9271,4.9271,4.9271,4.9271,0.7323
1566025740000,4.9271,4.9271,4.9271,4.9271,0.654
1566026040000,4.927,4.927,4.927,4.927,0.6994
1566026400000,4.927,4.927,4.927,4.927,0.6539
1566026700000,4.927,4.927,4.927,4.927,0.6849
1566027060000,4.927,4.927,4.927,4.927,0.6411
1566027420000,4.927,4.927,4.927,4.927,0.6226
1566027720000,4.928,4.928,4.928,4.928,0.7232
1566028020000,4.9281,4.9281,4.9281,4.9281,0.7461
1566028380000,4.928,4.928,4.928,4.928,0.747
1566028680000,4.9319999999999995,4.9319999999999995,4.9319999999999995,4.9319999999999995,0.7568
1566029040000,4.9321,4.9321,4.9321,4.9321,0.6927
1566029400000,4.9351,4.9351,4.9351,4.9351,0.6204
1566029760000,4.9421,4.9421,4.9421,4.9421,0.6218
1566030060000,4.9451,4.9451,4.9451,4.9451,0.6375
1566030420000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6155
1566030780000,4.9461,4.9461,4.9461,4.9461,0.6293
1566031080000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.7549
1566031440000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6071
1566031800000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.71
1566032100000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6589
1566032460000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6778
1566032820000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6291
1566033120000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6525
1566033480000,4.9461,4.9461,4.9461,4.9461,0.6386
1566033780000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6
1566034140000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6985
1566034440000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.7536
1566034800000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.7459
1566035100000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6297
1566035460000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.7409
1566035820000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6585
1566036120000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6971
1566036480000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.73
1566036840000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.653
1566037200000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.7240000000000001
1566037500000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.615
1566037860000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.7299
1566038160000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6235
1566038580000,4.9461,4.9461,4.9461,4.9461,0.7193
1566038880000,4.9471,4.9471,4.9471,4.9471,0.7402
1566039240000,4.947,4.947,4.947,4.947,0.6577
1566039600000,4.946000000000001,4.946000000000001,4.946000000000001,4.946000000000001,0.6289
1566039900000,4.947,4.947,4.947,4.947,0.7140000000000001
1566040260000,4.947,4.947,4.947,4.947,0.6653
1566040560000,4.947,4.947,4.947,4.947,0.6355
1566040920000,4.947,4.947,4.947,4.947,0.6481
1566041220000,4.947,4.947,4.947,4.947,0.6978
1566041520000,4.947,4.947,4.947,4.947,0.7486
1566041880000,4.945,4.945,4.945,4.945,0.7214
1566042240000,4.945,4.945,4.945,4.945,0.7241
1566042600000,4.945,4.945,4.945,4.945,0.6273
1566042960000,4.942,4.942,4.942,4.942,0.7562
1566043260000,4.942,4.942,4.942,4.942,0.6451
1566043620000,4.942,4.942,4.942,4.942,0.6385
1566043920000,4.942,4.942,4.942,4.942,0.6194
1566044280000,4.942,4.942,4.942,4.942,0.6826
1566044580000,4.941,4.941,4.941,4.941,0.6224
1566044940000,4.94,4.94,4.94,4.94,0.6096
1566045240000,4.941,4.941,4.941,4.941,0.6095
1566045600000,4.941,4.941,4.941,4.941,0.6621
1566045960000,4.941,4.941,4.941,4.941,0.7148
1566046320000,4.941,4.941,4.941,4.941,0.7101
1566046620000,4.941,4.941,4.941,4.941,0.7142
1566046980000,4.941,4.941,4.941,4.941,0.716
1566047340000,4.941,4.941,4.941,4.941,0.608
1566047640000,4.941,4.941,4.941,4.941,0.6602
1566048000000,4.941,4.941,4.941,4.941,0.6217
1566048360000,4.941,4.941,4.941,4.941,0.6751
1566048720000,4.941,4.941,4.941,4.941,0.696
1566049020000,4.941,4.941,4.941,4.941,0.6612
1566049380000,4.94,4.94,4.94,4.94,0.6792
1566049740000,4.94,4.94,4.94,4.94,0.6589
1566050040000,4.94,4.94,4.94,4.94,0.7161
1566050340000,4.94,4.94,4.94,4.94,0.7085
1566050700000,4.94,4.94,4.94,4.94,0.6699
1566051000000,4.94,4.94,4.94,4.94,0.6727
1566051300000,4.94,4.94,4.94,4.94,0.6779
1566051660000,4.937,4.937,4.937,4.937,0.6735
1566051960000,4.937,4.937,4.937,4.937,0.6545
1566052320000,4.9319999999999995,4.9319999999999995,4.9319999999999995,4.9319999999999995,0.6288
1566052620000,4.928,4.928,4.928,4.928,0.6668
1566052980000,4.926,4.926,4.926,4.926,0.6595
1566053280000,4.926,4.926,4.926,4.926,0.6121
1566053640000,4.926,4.926,4.926,4.926,0.7443
1566054000000,4.926,4.926,4.926,4.926,0.7411
1566054300000,4.926,4.926,4.926,4.926,0.6712
1566054660000,4.926,4.926,4.926,4.926,0.6204
1566054960000,4.926,4.926,4.926,4.926,0.7374
1566055320000,4.925,4.925,4.925,4.925,0.6577
1566055680000,4.925,4.925,4.925,4.925,0.7446
1566055980000,4.92,4.92,4.92,4.92,0.6445
1566056340000,4.908,4.908,4.908,4.908,0.6971
1566056640000,4.905,4.905,4.905,4.905,0.7093
1566057000000,4.9,4.9,4.9,4.9,0.7147
1566057360000,4.894,4.894,4.894,4.894,0.7145
1566057660000,4.894,4.894,4.894,4.894,0.667
1566057960000,4.885,4.885,4.885,4.885,0.7446
1566058260000,4.885,4.885,4.885,4.885,0.6514
1566058620000,4.885,4.885,4.885,4.885,0.6038
1566058920000,4.885,4.885,4.885,4.885,0.7566
1566059280000,4.885,4.885,4.885,4.885,0.728
1566059640000,4.885,4.885,4.885,4.885,0.6993
1566060000000,4.885,4.885,4.885,4.885,0.6728
1566060300000,4.885,4.885,4.885,4.885,0.6551
1566060660000,4.885,4.885,4.885,4.885,0.7388
1566060960000,4.885,4.885,4.885,4.885,0.6009
1566061320000,4.883,4.883,4.883,4.883,0.6224
1566061620000,4.874,4.874,4.874,4.874,0.7271
1566061980000,4.874,4.874,4.874,4.874,0.6036
1566062280000,4.874,4.874,4.874,4.874,0.6817
1566062640000,4.87,4.87,4.87,4.87,0.6729
1566063000000,4.8660000000000005,4.8660000000000005,4.8660000000000005,4.8660000000000005,0.7129
1566063360000,4.865,4.865,4.865,4.865,0.6045
1566063720000,4.865,4.865,4.865,4.865,0.6256
1566064080000,4.865,4.865,4.865,4.865,0.7536
1566064380000,4.865,4.865,4.865,4.865,0.6277
1566064680000,4.865,4.865,4.865,4.865,0.6747
1566065040000,4.86,4.86,4.86,4.86,0.6393
1566065340000,4.86,4.86,4.86,4.86,0.6684
1566065700000,4.86,4.86,4.86,4.86,0.7037
1566066060000,4.86,4.86,4.86,4.86,0.7105
1566066420000,4.86,4.86,4.86,4.86,0.6199
1566066720000,4.86,4.86,4.86,4.86,0.7391
1566067020000,4.86,4.86,4.86,4.86,0.6871
1566067440000,4.86,4.86,4.86,4.86,0.7054
1566067740000,4.86,4.86,4.86,4.86,0.7425
1566068100000,4.86,4.86,4.86,4.86,0.6408
1566068400000,4.86,4.86,4.86,4.86,0.6596
1566068760000,4.8601,4.8601,4.8601,4.8601,0.7347
1566069060000,4.8601,4.8601,4.8601,4.8601,0.6261
1566069360000,4.86,4.86,4.86,4.86,0.6637
1566069720000,4.8601,4.8601,4.8601,4.8601,0.7319
1566070020000,4.86,4.86,4.86,4.86,0.6987
1566070320000,4.86,4.86,4.86,4.86,0.7141
1566070680000,4.8601,4.8601,4.8601,4.8601,0.7193
1566071040000,4.8601,4.8601,4.8601,4.8601,0.6953
1566071400000,4.86,4.86,4.86,4.86,0.6606
1566071760000,4.8601,4.8601,4.8601,4.8601,0.6914
1566072060000,4.8601,4.8601,4.8601,4.8601,0.6738
1566072300000,4.908,4.9324,4.9324,4.908,536.29826732
1566072420000,4.8601,4.8601,4.8601,4.8601,0.7076
1566072780000,4.8601,4.8601,4.8601,4.8601,0.6321
1566073140000,4.86,4.86,4.86,4.86,0.6622
1566073440000,4.86,4.86,4.86,4.86,0.7018
1566073800000,4.86,4.86,4.86,4.86,0.74
1566074160000,4.8601,4.8601,4.8601,4.8601,0.682
1566074520000,4.86,4.86,4.86,4.86,0.7314
1566074880000,4.86,4.86,4.86,4.86,0.6538
1566075180000,4.86,4.86,4.86,4.86,0.7104
1566075480000,4.86,4.86,4.86,4.86,0.6144
1566075840000,4.862,4.862,4.862,4.862,0.6139
1566076140000,4.862,4.862,4.862,4.862,0.6649
1566076440000,4.862,4.862,4.862,4.862,0.7531
1566076800000,4.863,4.863,4.863,4.863,0.75
1566077160000,4.863,4.863,4.863,4.863,0.7588
1566077460000,4.863,4.863,4.863,4.863,0.7117
1566077820000,4.8631,4.8631,4.8631,4.8631,0.6276
1566078120000,4.8631,4.8631,4.8631,4.8631,0.6445
1566078480000,4.863,4.863,4.863,4.863,0.6219
1566078840000,4.8631,4.8631,4.8631,4.8631,0.7079
1566079140000,4.8631,4.8631,4.8631,4.8631,0.7192
1566079500000,4.8631,4.8631,4.8631,4.8631,0.6671
1566079800000,4.8631,4.8631,4.8631,4.8631,0.6239
1566080160000,4.8631,4.8631,4.8631,4.8631,0.6945
1566080460000,4.8631,4.8631,4.8631,4.8631,0.7344
1566080820000,4.864,4.864,4.864,4.864,0.6418
1566081180000,4.8641,4.8641,4.8641,4.8641,0.6624
1566081480000,4.864,4.864,4.864,4.864,0.6954
1566081840000,4.864,4.864,4.864,4.864,0.7421
1566082260000,4.865,4.865,4.865,4.865,0.737
1566082620000,4.8660000000000005,4.8660000000000005,4.8660000000000005,4.8660000000000005,0.7125
1566082920000,4.8671,4.8671,4.8671,4.8671,0.6451
