time,open,close,high,low,volume
1555063320000,5.3485,5.3485,5.3485,5.3485,5.0
1555076520000,5.3461,5.3461,5.3461,5.3461,1695.05067737
1555076580000,5.3462,5.3322,5.3462,5.3322,2259.87164772
1555077060000,5.3456,5.3456,5.3456,5.3456,38.411
1555084500000,5.3155,5.3154,5.3155,5.3154,209.80212875
1555084860000,5.2965,5.2965,5.2965,5.2965,300.93363076
1555085220000,5.3136,5.3136,5.3136,5.3136,105.76453177
1555086180000,5.3376,5.3376,5.3376,5.3376,38.06733934
1555089660000,5.325,5.325,5.325,5.325,27.27797324
1555150260000,5.2744,5.2743,5.2744,5.2743,480.24364867
1555150680000,5.2399,5.2399,5.2399,5.2399,410.18190007
1555151700000,5.211,5.2,5.211,5.2,21.91517942
1555218900000,5.2445,5.2445,5.2445,5.2445,213.64970997
1555228020000,5.2695,5.2695,5.2695,5.2695,304.23931025
1555236540000,5.2944,5.2944,5.2944,5.2944,212.00582642
1555237560000,5.2932,5.2932,5.2932,5.2932,92.45838026
1555245180000,5.2798,5.2798,5.2798,5.2798,309.07347691
1555256160000,5.2806,5.2806,5.2806,5.2806,234.99747542
1555258620000,5.3052,5.3052,5.3052,5.3052,604.83847901
1555261800000,5.2883,5.2883,5.2883,5.2883,212.39062475
1555264500000,5.2862,5.2862,5.2862,5.2862,3.93486088
1555264560000,5.2862,5.2844,5.2862,5.2844,10.27732468
1555279740000,5.3372,5.3372,5.3372,5.3372,105.51317466
1555282080000,5.4528,5.4534,5.4534,5.4528,228.03223030000004
1555282140000,5.5107,5.5261,5.5261,5.5107,306.01374730000003
1555282200000,5.546,5.546,5.546,5.546,580.44203823
1555287060000,5.5616,5.5616,5.5616,5.5616,644.80204619
1555287480000,5.5339,5.5339,5.5339,5.5339,44.68954175
1555287600000,5.5268,5.5268,5.5268,5.5268,44.69673266
1555287720000,5.5246,5.5246,5.5246,5.5246,44.74833536
1555293360000,5.5726,5.5726,5.5726,5.5726,532.15056601
1555312980000,5.5145,5.5145,5.5145,5.5145,32.17370608
1555323540000,5.4649,5.4649,5.4649,5.4649,64.94330473
1555324920000,5.4262,5.4262,5.4262,5.4262,517.12325246
1555338420000,5.4398,5.4398,5.4398,5.4398,310.35914613
1555349460000,5.3278,5.3278,5.3278,5.3278,0.003
1555349580000,5.2765,5.2573,5.277,5.2573,1354.19161622
1555349640000,5.2498,5.2498,5.2498,5.2498,460.780295
1555349760000,5.2247,5.2247,5.2247,5.2247,5.7312
1555355640000,5.2822,5.2773,5.2822,5.2773,505.5066055
1555377120000,5.3773,5.3773,5.3773,5.3773,101.65675192
1555395900000,5.3513,5.3513,5.3513,5.3513,2.20421206
1555404900000,5.3878,5.3878,5.3878,5.3878,2.0
1555404960000,5.3871,5.3871,5.3871,5.3871,2.0
1555406340000,5.3873,5.3873,5.3873,5.3873,86.9199
1555412640000,5.3337,5.3202,5.3337,5.3202,343.9069218
1555413000000,5.3394,5.3239,5.3394,5.3236,2720.96628796
1555423020000,5.2877,5.2877,5.2877,5.2877,82.8293
1555435740000,5.428999999999999,5.428999999999999,5.428999999999999,5.428999999999999,321.56331587
1555435980000,5.4354,5.4354,5.4354,5.4354,82.9711642
1555436760000,5.4658,5.4658,5.4658,5.4658,300.93724147
1555447740000,5.4523,5.4523,5.4523,5.4523,4.62278577
1555448460000,5.4461,5.4461,5.4461,5.4461,10.96832001
1555448700000,5.4478,5.4478,5.4478,5.4478,5.79078327
1555465500000,5.4675,5.4675,5.4675,5.4675,286.28889374
1555497900000,5.4424,5.4424,5.4424,5.4424,206.64603366
1555525560000,5.3627,5.3627,5.3627,5.3627,73.36207803
1555534080000,5.4287,5.4287,5.4287,5.4287,95.2
1555540080000,5.4291,5.4291,5.4291,5.4291,13.0
1555550400000,5.4458,5.4458,5.4458,5.4458,80.4361
