time,open,close,high,low,volume
1530873480000,1.3e-06,1.3e-06,1.3e-06,1.3e-06,44.18
1530874320000,1.3e-06,1.3e-06,1.3e-06,1.3e-06,20789.39692308
1530874380000,1e-06,1e-06,1e-06,1e-06,13840.25
1530884340000,4.23e-06,4.23e-06,4.23e-06,4.23e-06,100.0
1530884880000,5.9e-05,5.9e-05,5.9e-05,5.9e-05,44.0
1530884940000,5.6999999999999996e-05,5.6999999999999996e-05,5.6999999999999996e-05,5.6999999999999996e-05,44.0
1530885720000,5.23e-06,5.23e-06,5.23e-06,5.23e-06,100.0
1530885840000,2.959e-05,2.959e-05,2.959e-05,2.959e-05,82.054
1530885960000,1e-05,1e-05,1e-05,1e-05,44.39157143
1530887940000,8.8e-06,8.8e-06,8.8e-06,8.8e-06,1440.14014014
1530888000000,8.8e-06,8.8e-06,8.8e-06,8.8e-06,191.98298298
1530893700000,8.5e-06,8.5e-06,8.5e-06,8.5e-06,1630.0
1530907680000,8.25e-06,9.99e-06,9.99e-06,8.25e-06,6769.06479371
1530910980000,8.25e-06,8.25e-06,8.25e-06,8.25e-06,618.0
1530912060000,9.99e-06,9.99e-06,9.99e-06,9.99e-06,7859.49700499
1530912120000,2.215e-05,2.215e-05,2.215e-05,2.215e-05,1180.0
1530912480000,7.499999999999999e-06,7.499999999999999e-06,7.499999999999999e-06,7.499999999999999e-06,7333.1101555000005
1530912540000,2.3199999999999998e-05,2.3199999999999998e-05,2.3199999999999998e-05,2.3199999999999998e-05,2902.184
1530924120000,3.64e-06,3.64e-06,3.64e-06,3.64e-06,931.243
1530945240000,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,6787.13638835
1530960960000,9.1e-06,9.1e-06,9.1e-06,9.1e-06,2140.0
1531093200000,6.5000000000000004e-06,6.5000000000000004e-06,6.5000000000000004e-06,6.5000000000000004e-06,2300.0
1531242780000,4.2000000000000004e-06,4.2000000000000004e-06,4.2000000000000004e-06,4.2000000000000004e-06,2349.14805412
1531286940000,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,309.86052631
1531376580000,5e-06,5e-06,5e-06,5e-06,432.936
1531376640000,4.51e-06,4.51e-06,4.51e-06,4.51e-06,890.28596697
1531376940000,4.51e-06,4.51e-06,4.51e-06,4.51e-06,4109.71403303
1531378440000,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,7.000000000000001e-06,1032.57532467
1531422900000,3.48e-06,3.48e-06,3.48e-06,3.48e-06,699.3
1531429080000,6.4e-06,6.4e-06,6.4e-06,6.4e-06,334.0
1531470300000,6e-06,6e-06,6e-06,6e-06,1002.5
1531505700000,5e-06,5e-06,5e-06,5e-06,14083.4923
1531549740000,3.54e-06,3.54e-06,3.54e-06,3.54e-06,6500.0
1531668660000,4.49e-06,4.49e-06,4.49e-06,4.49e-06,3979.31875
1531689420000,3.55e-06,3.55e-06,3.55e-06,3.55e-06,2295.4
1531689720000,4e-06,4e-06,4e-06,4e-06,6891.89681894
1531714980000,3.54e-06,3.54e-06,3.54e-06,3.54e-06,2500.0
1531723980000,3.87e-06,3.87e-06,3.87e-06,3.87e-06,7501.29198966
1531726020000,3.91e-06,3.9e-06,3.91e-06,3.9e-06,1936.0
1531728240000,3.9e-06,3.9e-06,3.9e-06,3.9e-06,56.75384615
1531728480000,3.81e-06,3.81e-06,3.81e-06,3.81e-06,577.0
1531739460000,3.73e-06,3.55e-06,3.73e-06,3.55e-06,15000.0
1531749780000,3.49e-06,3.49e-06,3.49e-06,3.49e-06,5195.13684545
1531778400000,2.77e-06,2.77e-06,2.77e-06,2.77e-06,86970.89835975
1531778460000,2.78e-06,2.78e-06,2.78e-06,2.78e-06,4348.54491798
1531813980000,2.96e-06,2.96e-06,2.96e-06,2.96e-06,4356.0
1531826340000,3.29e-06,3.29e-06,3.29e-06,3.29e-06,6317.13083
1531845480000,3.33e-06,3.35e-06,3.35e-06,3.33e-06,88240.51058809
1531849920000,3.49e-06,3.49e-06,3.49e-06,3.49e-06,807.09640459
1531849980000,3.49e-06,3.43e-06,3.49e-06,3.43e-06,1002.15359541
1531850040000,3.18e-06,3.18e-06,3.18e-06,3.18e-06,885.79145183
1531854540000,3.45e-06,3.45e-06,3.45e-06,3.45e-06,4863.67526949
1531857300000,3.51e-06,3.51e-06,3.51e-06,3.51e-06,1632.647644
1531887300000,3.36e-06,3.34e-06,3.36e-06,3.34e-06,19018.87742425
1531887360000,3.33e-06,3.33e-06,3.33e-06,3.33e-06,91554.83718106
1531887600000,3.33e-06,3.33e-06,3.33e-06,3.33e-06,8228.0
1531888920000,3.33e-06,3.33e-06,3.33e-06,3.33e-06,217.16216216
1531921260000,4.7e-06,4.9000000000000005e-06,4.9000000000000005e-06,4.7e-06,20825.0
1531923120000,3.33e-06,3.33e-06,3.33e-06,3.33e-06,13400.48757467
1532010660000,3.35e-06,3.35e-06,3.35e-06,3.35e-06,1058.4740205
1532013240000,3.35e-06,3.34e-06,3.35e-06,3.34e-06,8941.5259795
1532019660000,2.56e-06,2.56e-06,2.56e-06,2.56e-06,1592.08783784
1532032500000,4.25e-06,4.25e-06,4.25e-06,4.25e-06,500.0
1532131260000,4.17e-06,4.17e-06,4.17e-06,4.17e-06,650.0620525
1532135640000,4.23e-06,4.23e-06,4.23e-06,4.23e-06,560.0
1532196600000,2.2e-06,2.2e-06,2.2e-06,2.2e-06,59186.93693695
1532219340000,2.41e-06,2.41e-06,2.41e-06,2.41e-06,3559.3532
1532220480000,2.43e-06,2.43e-06,2.43e-06,2.43e-06,1147.21907746
1532223660000,2.58e-06,2.58e-06,2.58e-06,2.58e-06,977.97021829
1532223840000,2.55e-06,2.55e-06,2.55e-06,2.55e-06,9811.96193883
1532223960000,2.55e-06,2.55e-06,2.55e-06,2.55e-06,986.63100544
1532224140000,2.65e-06,2.65e-06,2.65e-06,2.65e-06,1499.69515072
1532226120000,2.82e-06,2.82e-06,2.82e-06,2.82e-06,3537.4
1532226960000,2.72e-06,2.72e-06,2.72e-06,2.72e-06,2840.58691044
1532289000000,2.7000000000000004e-06,2.7000000000000004e-06,2.7000000000000004e-06,2.7000000000000004e-06,1283.10646387
1532418840000,2.2e-06,2.2e-06,2.2e-06,2.2e-06,2.41306305
1532422440000,2.15e-06,2.15e-06,2.15e-06,2.15e-06,560.0
1532438640000,1.96e-06,1.94e-06,1.96e-06,1.94e-06,5729.7075509
1532465400000,2e-06,2e-06,2e-06,2e-06,10270.0
1532503440000,2.04e-06,2.04e-06,2.04e-06,2.04e-06,998.0
1532573940000,1.94e-06,1.93e-06,1.94e-06,1.93e-06,16770.28876838
1532578740000,2e-06,2e-06,2e-06,2e-06,10000.0
1532579100000,2e-06,2e-06,2e-06,2e-06,1000.0
1532628060000,1.82e-06,1.82e-06,1.82e-06,1.82e-06,1630.491
1532883900000,2e-06,2e-06,2e-06,2e-06,584.0
1533118020000,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1998.0
1533200280000,1.9e-06,1.9e-06,1.9e-06,1.9e-06,750.0
1533200460000,1.9e-06,1.7e-06,1.9e-06,1.7e-06,1500.0
1533212040000,1.38e-06,1.38e-06,1.38e-06,1.38e-06,12460.03
1533272640000,2.29e-06,2.29e-06,2.29e-06,2.29e-06,2977.44541484
1533681300000,2.3e-06,2.3e-06,2.3e-06,2.3e-06,5000.0
1533681360000,2.98e-06,3.2e-06,3.2e-06,2.98e-06,24711.38218352
1533681420000,3.48e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.48e-06,1019.48857143
1533719040000,3.1e-06,3.1e-06,3.1e-06,3.1e-06,4118.83548387
1533732060000,3.1e-06,3.1e-06,3.1e-06,3.1e-06,3392.04516129
1533732420000,3.1e-06,3.1e-06,3.1e-06,3.1e-06,3401.08064516
1533745380000,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2200.21666666
1533745560000,2.8e-06,2.8e-06,2.8e-06,2.8e-06,2207.07
1533803040000,2e-06,2e-06,2e-06,2e-06,2586.58658659
1533905940000,1.83e-06,1.83e-06,1.83e-06,1.83e-06,798.0
1533906120000,1.85e-06,1.87e-06,1.87e-06,1.85e-06,801.51869455
1533906300000,1.84e-06,1.84e-06,1.84e-06,1.84e-06,798.0
1533906720000,1.85e-06,1.87e-06,1.87e-06,1.85e-06,1617.59280836
1533906840000,1.83e-06,1.84e-06,1.84e-06,1.83e-06,13377.0
1533906960000,1.82e-06,1.83e-06,1.83e-06,1.82e-06,1095.07103825
1533907260000,1.83e-06,1.83e-06,1.83e-06,1.83e-06,798.7987988
1533910680000,1.78e-06,1.79e-06,1.79e-06,1.78e-06,801.84910907
1533910920000,1.79e-06,1.79e-06,1.79e-06,1.79e-06,798.0
1533911160000,1.77e-06,1.77e-06,1.77e-06,1.77e-06,798.0
1533911220000,1.78e-06,1.78e-06,1.78e-06,1.78e-06,798.0
1533911520000,1.77e-06,1.77e-06,1.77e-06,1.77e-06,798.0
1533911580000,1.82e-06,1.83e-06,1.83e-06,1.82e-06,2676.0989010900007
1533912000000,1.77e-06,1.78e-06,1.78e-06,1.77e-06,802.16444522
1533912060000,1.77e-06,1.77e-06,1.77e-06,1.77e-06,798.0
1533912900000,1.78e-06,1.78e-06,1.78e-06,1.78e-06,798.0
1533912960000,1.78e-06,1.78e-06,1.78e-06,1.78e-06,1596.0
1533913140000,1.77e-06,1.78e-06,1.78e-06,1.77e-06,893.9926966200002
1533913260000,1.76e-06,1.77e-06,1.77e-06,1.76e-06,1596.0
1533913380000,1.78e-06,1.82e-06,1.82e-06,1.78e-06,29853.43469166
1533913440000,1.81e-06,1.81e-06,1.82e-06,1.81e-06,2397.32891725
1533914640000,1.76e-06,1.76e-06,1.76e-06,1.76e-06,798.0
1533915060000,1.75e-06,1.75e-06,1.75e-06,1.75e-06,798.0
1533919200000,1.79e-06,1.79e-06,1.79e-06,1.79e-06,798.0
1533919440000,1.78e-06,1.78e-06,1.78e-06,1.78e-06,798.0
1533919980000,1.79e-06,1.8000000000000001e-06,1.8000000000000001e-06,1.79e-06,801.02406912
1533920700000,1.78e-06,1.79e-06,1.79e-06,1.78e-06,1596.0
1533920880000,1.79e-06,1.8000000000000001e-06,1.8000000000000001e-06,1.79e-06,802.2836367000001
1533920940000,1.79e-06,1.79e-06,1.79e-06,1.79e-06,1595.999995
1533923340000,2.6e-06,2.75e-06,2.75e-06,2.6e-06,6697.12195121
1533923460000,1.83e-06,1.83e-06,1.83e-06,1.83e-06,798.0
1533923580000,1.72e-06,1.73e-06,1.73e-06,1.72e-06,3192.0
1533925500000,1.76e-06,1.77e-06,1.77e-06,1.75e-06,15239.56291181
1533925560000,1.77e-06,1.78e-06,1.78e-06,1.75e-06,5586.0
1533925620000,1.77e-06,1.79e-06,1.79e-06,1.77e-06,8875.7094972
1533925680000,1.79e-06,1.8000000000000001e-06,1.8000000000000001e-06,1.79e-06,809.37575572
1533927660000,2.75e-06,2.75e-06,2.75e-06,2.75e-06,1002.5
1533932100000,1.66e-06,1.66e-06,1.66e-06,1.66e-06,5000.0
1533963780000,1.68e-06,1.68e-06,1.68e-06,1.68e-06,1724.0
1533964440000,1.68e-06,1.68e-06,1.68e-06,1.68e-06,1724.0
1533966420000,1.62e-06,1.63e-06,1.63e-06,1.62e-06,1596.0
1533966600000,1.62e-06,1.64e-06,1.64e-06,1.61e-06,3320.0
1533966720000,1.63e-06,1.62e-06,1.63e-06,1.62e-06,1724.0
1533966840000,1.63e-06,1.63e-06,1.63e-06,1.63e-06,2081.37583848
1533966900000,1.63e-06,1.63e-06,1.63e-06,1.62e-06,11077.999995
1533966960000,1.62e-06,1.63e-06,1.63e-06,1.62e-06,4309.995481980001
1533967140000,1.58e-06,1.58e-06,1.58e-06,1.58e-06,862.0
1533970980000,1.55e-06,1.55e-06,1.55e-06,1.55e-06,3356.10701024
1533971040000,1.56e-06,1.56e-06,1.56e-06,1.56e-06,862.0
1533971100000,1.55e-06,1.55e-06,1.55e-06,1.55e-06,862.0
1533971340000,1.55e-06,1.55e-06,1.55e-06,1.55e-06,1723.81507733
1533973500000,1.55e-06,1.55e-06,1.55e-06,1.55e-06,14.13644403
1533986100000,1.99e-06,1.99e-06,1.99e-06,1.99e-06,1007.53768844
1533988740000,1.54e-06,1.54e-06,1.54e-06,1.54e-06,905.48461645
1533992340000,1.5e-06,1.5e-06,1.5e-06,1.5e-06,862.0
1534007760000,1.57e-06,1.57e-06,1.57e-06,1.57e-06,862.0
1534015920000,1.57e-06,1.57e-06,1.57e-06,1.57e-06,862.0
1534019880000,1.58e-06,1.59e-06,1.59e-06,1.58e-06,1596.0
1534020660000,1.59e-06,1.59e-06,1.59e-06,1.59e-06,862.0
1534021140000,1.59e-06,1.59e-06,1.59e-06,1.59e-06,862.0
1534021200000,1.59e-06,1.59e-06,1.59e-06,1.59e-06,862.0
1534059060000,1.6e-06,1.6e-06,1.6e-06,1.6e-06,146.45235
1534059120000,1.58e-06,1.59e-06,1.59e-06,1.58e-06,3038.69854885
1534059480000,1.58e-06,1.58e-06,1.58e-06,1.58e-06,895.36863761
1534060320000,1.59e-06,1.58e-06,1.59e-06,1.56e-06,5024.39643491
1534060620000,1.58e-06,1.59e-06,1.59e-06,1.58e-06,2792.819711580001
1534068480000,1.56e-06,1.56e-06,1.56e-06,1.56e-06,862.0
1534070880000,1.54e-06,1.54e-06,1.54e-06,1.54e-06,862.0
1534072020000,1.55e-06,1.55e-06,1.55e-06,1.55e-06,1723.999995
1534072440000,1.55e-06,1.56e-06,1.56e-06,1.55e-06,2580.56992218
1534072500000,1.56e-06,1.57e-06,1.57e-06,1.56e-06,7315.78589216
1534080480000,1.55e-06,1.55e-06,1.55e-06,1.55e-06,2716.51053646
1534090380000,1.63e-06,1.63e-06,1.63e-06,1.63e-06,864.70131659
1534090500000,1.63e-06,1.63e-06,1.63e-06,1.63e-06,859.29868341
1534090620000,1.64e-06,1.64e-06,1.64e-06,1.64e-06,24136.0
1534103220000,1.52e-06,1.52e-06,1.52e-06,1.52e-06,1109.24503
1534103340000,1.58e-06,1.58e-06,1.58e-06,1.58e-06,1105.390062
1534144020000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,1276.21245872
1534250040000,2.6e-06,2.6e-06,2.6e-06,2.6e-06,1000.0
1534323360000,2.4e-06,2.4e-06,2.4e-06,2.4e-06,7692.3076
1534323480000,1.65e-06,1.65e-06,1.65e-06,1.65e-06,2118.14545454
1534323540000,1.17e-06,1.17e-06,1.17e-06,1.17e-06,5700.0
1534344060000,1.39e-06,1.39e-06,1.39e-06,1.39e-06,900.0
1534504920000,2.4e-06,2.4e-06,2.4e-06,2.4e-06,1200.0
1534505100000,2.4e-06,2.4e-06,2.4e-06,2.4e-06,17000.0
1534724760000,1.6e-06,1.6e-06,1.6e-06,1.6e-06,60000.0
1534729920000,2e-06,2e-06,2e-06,2e-06,1003.0
1534730520000,1.61e-06,1.61e-06,1.61e-06,1.61e-06,3891.46910887
1534731720000,1.61e-06,1.61e-06,1.61e-06,1.61e-06,1347.18380336
1534733280000,1.64e-06,1.64e-06,1.64e-06,1.64e-06,1962.73918137
1534749180000,1.68e-06,1.68e-06,1.68e-06,1.68e-06,7488.03645815
1534792020000,1.58e-06,1.58e-06,1.58e-06,1.58e-06,2397.55103217
1534792740000,1.62e-06,1.62e-06,1.62e-06,1.62e-06,9191.77201894
1534796460000,1.56e-06,1.56e-06,1.56e-06,1.56e-06,4391.57105824
1534933740000,1.51e-06,1.51e-06,1.51e-06,1.51e-06,22000.0
1534934100000,1.51e-06,1.51e-06,1.51e-06,1.51e-06,6000.0
1535052900000,1.41e-06,1.41e-06,1.41e-06,1.41e-06,11041.03829145
1535054100000,1.4e-06,1.4e-06,1.4e-06,1.4e-06,1996.28199629
1535107140000,1.4e-06,1.4e-06,1.4e-06,1.4e-06,3.71800371
1535135520000,1.35e-06,1.35e-06,1.35e-06,1.35e-06,3223.831416
1535135580000,1.35e-06,1.35e-06,1.35e-06,1.35e-06,2742.07985001
1535226600000,2.29e-06,2.29e-06,2.29e-06,2.29e-06,3861.003861
1535441520000,1.38e-06,1.38e-06,1.38e-06,1.38e-06,32768.3387227
1535441580000,1.38e-06,1.38e-06,1.38e-06,1.38e-06,1295.09219365
1535441640000,1.38e-06,1.38e-06,1.38e-06,1.38e-06,65937.06312819
1535467380000,1.42e-06,1.42e-06,1.42e-06,1.42e-06,8075.68131512
1535545680000,1.35e-06,1.35e-06,1.35e-06,1.35e-06,114.08873399
1535569920000,1.27e-06,1.27e-06,1.27e-06,1.27e-06,3841.6988417
1535622000000,1.27e-06,1.26e-06,1.27e-06,1.26e-06,12316.59849593
1535804940000,1.21e-06,1.21e-06,1.21e-06,1.21e-06,8509.7
1535805960000,1.19e-06,1.18e-06,1.19e-06,1.18e-06,21804.0
1535881920000,1.18e-06,1.17e-06,1.18e-06,1.17e-06,3468.32991192
1535894400000,1.15e-06,1.15e-06,1.15e-06,1.15e-06,8614.70165818
1535916420000,1.78e-06,1.25e-06,1.78e-06,1.14e-06,19980.0
1535916480000,1.66e-06,1.76e-06,1.76e-06,1.26e-06,61428.60055816
1535916540000,1.26e-06,1.67e-06,1.74e-06,1.26e-06,39330.22125697
1535916600000,1.31e-06,1.31e-06,1.63e-06,1.31e-06,40637.15063182
1535964900000,1.14e-06,1.14e-06,1.14e-06,1.14e-06,4988.14168583
1535967780000,1.09e-06,1.09e-06,1.09e-06,1.09e-06,3763.48803751
1535967840000,1.08e-06,1.09e-06,1.09e-06,1.08e-06,9868.71521639
1535967900000,1.12e-06,1.12e-06,1.12e-06,1.12e-06,11515.77470328
1536028200000,1.03e-06,1.03e-06,1.03e-06,1.03e-06,1121.48543689
1536088740000,1e-06,1e-06,1e-06,1e-06,33604.66
