time,open,close,high,low,volume
1528993800000,0.006,0.006,0.006,0.006,26.8908664
1528993920000,4.5,4.5,4.5,4.5,60.0
1528994760000,4.0,1.6,4.0,1.6,59.88
1528995660000,2.71,4.48,4.48,2.71,0.15414599
1528996320000,4.98,4.7001,4.98,4.7001,0.002
1528996440000,4.98,4.98,4.98,4.98,0.001
1528996500000,4.6001,4.6001,4.6001,4.6001,0.001
1528998720000,4.8,4.8,4.8,4.8,0.00185326
1528998900000,4.6,4.6,4.6,4.6,79.0
1528999020000,4.7,4.6,4.7,4.6,1.16451065
1528999320000,4.968999999999999,4.968999999999999,4.968999999999999,4.968999999999999,0.03296
1528999380000,4.7010000000000005,4.7010000000000005,4.7010000000000005,4.7010000000000005,0.01
1529000160000,4.968999999999999,4.968999999999999,4.968999999999999,4.968999999999999,0.015
1529000700000,4.6819999999999995,4.6819999999999995,4.6819999999999995,4.6819999999999995,50.0
1529001000000,4.6819999999999995,4.6819999999999995,4.6819999999999995,4.6819999999999995,56.0
1529001060000,4.75,4.749,4.75,4.749,78.28213398
1529001240000,4.968999999999999,4.968999999999999,4.968999999999999,4.968999999999999,0.007581999999999999
1529001300000,4.692,4.692,4.692,4.692,55.0
1529001360000,4.968999999999999,4.968999999999999,4.968999999999999,4.968999999999999,0.0946776
1529001480000,4.967,4.967,4.967,4.967,200.0
1529001600000,4.692,4.692,4.692,4.692,51.0
1529003760000,4.391,4.391,4.391,4.391,0.001
1529004780000,4.9488,4.9488,4.9488,4.9488,0.00790656
1529004840000,4.692,4.692,4.692,4.692,50.0
1529004900000,4.9488,4.9488,4.9488,4.9488,0.001
1529005020000,4.691,4.691,4.691,4.691,49.0
1529005080000,4.939,4.939,4.939,4.939,0.001
1529009820000,4.39,4.39,4.39,4.39,4.93626315
1529012760000,4.39,4.39,4.39,4.39,39.88
1529013120000,4.8839999999999995,4.8839999999999995,4.8839999999999995,4.8839999999999995,5.0
1529014080000,4.888999999999999,4.888999999999999,4.888999999999999,4.888999999999999,12.0
1529014140000,4.8839999999999995,4.8839999999999995,4.8839999999999995,4.8839999999999995,0.01
1529025000000,4.391,4.391,4.391,4.391,39.017624
1529025240000,4.8489,4.8489,4.8489,4.8489,20.0
1529030460000,4.39,4.39,4.39,4.39,16.459657
1529030640000,4.39,4.39,4.39,4.39,26.12740925
1529031720000,4.843999999999999,4.843999999999999,4.843999999999999,4.843999999999999,2.2
1529032980000,4.843999999999999,4.843999999999999,4.843999999999999,4.843999999999999,14.0
1529057100000,4.65,4.65,4.65,4.65,10.0
1529057280000,4.65,4.65,4.65,4.65,115.0
1529057640000,2.71,2.71,2.71,2.71,5.0
1529060040000,4.7999,4.8,4.8,4.7999,218.75
1529060700000,4.8,4.843999999999999,4.843999999999999,4.8,593.81898789
1529060880000,4.843999999999999,4.957,4.957,4.843999999999999,565.91311662
1529066340000,4.5,4.5,4.5,4.5,13.972000000000001
1529066520000,5.3999,4.5,5.3999,4.5,4.8454893499999985
1529074560000,4.95,4.95,4.95,4.95,40.0
1529076420000,4.95,4.95,4.95,4.95,6.73
1529081460000,5.0,5.0,5.0,5.0,10.0
1529094540000,5.0,5.18,5.18,5.0,10.0
1529095920000,5.18,5.18,5.18,5.18,4.9
1529096340000,5.18,5.18,5.18,5.18,36.24505242
1529099580000,5.14,5.14,5.14,5.14,8.0
