time,open,close,high,low,volume
1515451200000,1e-05,1.025e-05,1.025e-05,1e-05,86320.01237143
1515451260000,1.025e-05,1.05e-05,1.05e-05,1.025e-05,404500.0
1515451320000,1.05e-05,1.058e-05,1.058e-05,1.05e-05,227821.94471068
1515451380000,1.058e-05,1.1e-05,1.1e-05,1.058e-05,145551.69252508
1515451440000,1.1e-05,1.099e-05,1.1e-05,1.05e-05,33803.84924782
1515451500000,1.1e-05,1.1e-05,1.1e-05,1.1e-05,14129.74379157
1515451560000,1.199e-05,1.199e-05,1.199e-05,1.051e-05,28816.79591113
1515451620000,1.199e-05,1.199e-05,1.2e-05,1.109e-05,51381.3118899
1515451680000,1.199e-05,1.15e-05,1.2e-05,1.15e-05,66668.02193817
1515451740000,1.2e-05,1.053e-05,1.2e-05,1.053e-05,16701.38665629
1515451800000,1.199e-05,1.199e-05,1.199e-05,1.199e-05,500.0
1515451860000,1.199e-05,1.289e-05,1.289e-05,1.158e-05,27521.23498529
1515451920000,1.284e-05,1.18e-05,1.299e-05,1.158e-05,24807.49330881
1515451980000,1.158e-05,1.289e-05,1.297e-05,1.158e-05,8923.02099169
1515452040000,1.274e-05,1.28e-05,1.29e-05,1.176e-05,132364.99569378
1515452100000,1.28e-05,1.294e-05,1.294e-05,1.007e-05,16013.70633898
1515452160000,1.293e-05,1.297e-05,1.299e-05,1.291e-05,79871.28321786
1515452220000,1.2e-05,1.2e-05,1.2e-05,1.2e-05,2800.0
1515452280000,1.163e-05,1.291e-05,1.291e-05,1.1599999999999999e-05,2754.560571
1515452340000,1.287e-05,1.282e-05,1.287e-05,1.101e-05,108203.31778716
1515452400000,1.282e-05,1.179e-05,1.282e-05,1.179e-05,10139.20483114
1515452460000,1.179e-05,1.17e-05,1.271e-05,1.17e-05,137651.99805989
1515452520000,1.265e-05,1.267e-05,1.267e-05,1.181e-05,45424.51878922
1515452580000,1.2e-05,1.173e-05,1.2e-05,1.173e-05,35728.5
1515452640000,1.264e-05,1.173e-05,1.264e-05,1.172e-05,33457.85781991
1515452700000,1.172e-05,1.25e-05,1.255e-05,1.15e-05,32044.983630000002
1515452760000,1.15e-05,1.15e-05,1.246e-05,1.121e-05,24922.79661017
1515452820000,1.24e-05,1.24e-05,1.24e-05,1.1599999999999999e-05,44607.18108537
1515452880000,1.24e-05,1.24e-05,1.24e-05,1.24e-05,4852.22023206
1515452940000,1.24e-05,1.21e-05,1.243e-05,1.161e-05,72209.79753448
1515453000000,1.246e-05,1.24e-05,1.246e-05,1.24e-05,46962.51971928
1515453060000,1.24e-05,1.24e-05,1.24e-05,1.24e-05,63264.20979653001
1515453120000,1.243e-05,1.272e-05,1.272e-05,1.243e-05,102653.24986953
1515453180000,1.27e-05,1.276e-05,1.276e-05,1.27e-05,19403.06726749
1515453240000,1.276e-05,1.276e-05,1.276e-05,1.276e-05,49628.1700627
1515453300000,1.279e-05,1.279e-05,1.279e-05,1.278e-05,3461.41378231
1515453360000,1.279e-05,1.278e-05,1.279e-05,1.278e-05,5993.89906111
1515453420000,1.278e-05,1.277e-05,1.278e-05,1.277e-05,9928.61321975
1515453480000,1.277e-05,1.29e-05,1.291e-05,1.2e-05,120151.85413739
1515453540000,1.291e-05,1.29e-05,1.291e-05,1.29e-05,26348.04853583
