time,open,close,high,low,volume
1555507800000,30.0,30.0,30.0,30.0,0.18060206
1555507920000,28.0,28.0,28.0,28.0,0.03802149
1555508100000,27.0,27.0,27.0,27.0,0.001
1555508160000,27.0,13.0,27.0,13.0,0.002998
1555508280000,25.0,25.0,25.0,25.0,0.013999999999999999
1555508340000,24.0,24.0,24.0,24.0,0.002
1555508400000,13.4,13.4,13.4,13.4,0.001998
1555508880000,22.0,22.0,22.0,22.0,0.002
1555517280000,19.7,20.0,20.0,19.7,8.33366999
1555530300000,16.500999999999998,16.500999999999998,16.500999999999998,16.500999999999998,0.001
1555530360000,19.9,19.9,19.9,16.500999999999998,0.006
1555542420000,19.7,19.9,19.9,19.7,16.44856646
1555542480000,19.921,19.921,19.921,19.921,0.9
1555542540000,20.0,20.0,20.0,20.0,7.11255208
1555571700000,14.3,14.3,14.3,14.3,0.001998
1555608540000,17.5,17.5,17.5,17.5,4.18759413
1555608780000,17.5,17.5,17.5,17.5,0.81240587
1555611060000,17.5,17.5,17.5,17.5,2.78971788
1555611120000,17.5,17.5,17.5,17.5,2.20818725
1555611180000,17.5,17.5,17.5,17.5,0.00209487
1555612020000,17.4,17.4,17.4,17.4,2.5
1555612980000,17.4,17.4,17.4,17.4,0.46686236
1555613520000,17.317999999999998,17.317999999999998,17.317999999999998,17.317999999999998,0.53313764
1555613580000,17.38,17.38,17.38,17.38,0.575
1555613640000,17.38,17.38,17.38,17.38,0.00162593
1555613880000,17.37,17.37,17.37,17.37,0.92337407
1555614060000,17.37,17.37,17.37,17.37,0.01823807
1555614120000,17.358,17.358,17.358,17.358,0.98176193
1555614180000,17.358,17.358,17.358,17.358,1.0
1555634460000,19.2,19.2,19.2,19.2,0.47600000000000003
1555636500000,19.2,19.2,19.2,19.2,0.025994
1555636560000,20.4,20.4,20.4,20.4,0.2
1555688100000,18.89,19.241,19.241,18.89,3.83941631
1555690980000,15.082,15.082,15.082,15.082,0.61327035
1555722180000,19.2,20.0,20.0,19.2,1.1333157699999998
1555726500000,15.002,15.002,15.002,15.002,1.049374
1555853400000,15.0,15.0,15.0,15.0,3.83183748
1555937160000,17.0,16.518,17.0,16.518,0.51054788
1555937220000,16.518,16.518,16.518,16.518,4.33183748
1555937520000,16.518,16.518,16.518,16.518,2.63571699
1556936940000,16.0,16.0,16.0,16.0,1.0
1556937000000,16.135,16.135,16.135,16.135,0.4
1556969040000,17.0,19.0,19.0,17.0,3.4
1556969100000,19.0,19.0,19.0,19.0,0.3
1556969160000,11.11,11.11,11.11,11.11,3.69
1556969220000,19.979,19.979,19.979,19.979,2.5
1556969340000,11.11,11.11,11.11,11.11,2.5
1556975100000,19.0,19.0,19.0,19.0,1.0
1557013440000,15.0,16.0,16.0,15.0,2.0
1557013560000,16.2,16.2,16.2,16.2,6.0
1557013740000,16.2,16.2,16.2,16.2,2.0
1557013800000,16.242,16.242,16.242,16.242,2.0
1557105360000,16.5,16.5,16.6,16.5,6.0
1557105420000,16.5,16.5,16.5,16.5,2.47071146
1557226860000,19.973,20.0,20.0,19.973,12.8933446
1557226980000,22.5,22.5,22.5,22.5,0.4
1557407520000,16.0,16.0,16.0,16.0,1.1808731000000001
1557561540000,23.4,23.4,23.4,23.4,0.4
1557561660000,27.180999999999997,28.0,28.0,27.180999999999997,9.64075916
1557561720000,11.3,11.11,11.3,11.11,4.83
1557562680000,11.633,11.633,11.633,11.633,3.82738026
