time,open,close,high,low,volume
1536242700000,0.8,0.8,0.8,0.8,38.75479169
1536242880000,0.80502,0.80502,0.80502,0.80502,39.999092700000006
1536243000000,0.81003,0.81505,0.81505,0.81003,72.28324078
1536243120000,0.81,0.8,0.81,0.8,100.0
1536243180000,0.8,0.76,0.8,0.76,42.56828958
1536243240000,0.76,0.76,0.76,0.76,178.67782603
1536243420000,0.75011,0.75011,0.75011,0.75011,23.16389945
1536243660000,0.75011,0.74486595,0.75011,0.74486595,572.1386742999999
1536244200000,0.7490000000000001,0.7490000000000001,0.7490000000000001,0.7490000000000001,50.0
1536244260000,0.7450654000000001,0.7450654000000001,0.7450654000000001,0.7450654000000001,27.8613257
1536244500000,0.7450654000000001,0.7450654000000001,0.7450654000000001,0.7450654000000001,150.0
1536252660000,0.4,0.4,0.4,0.4,120.0
1536253860000,0.5,0.5,0.5,0.5,243.57881040000004
1536253920000,0.5,0.5,0.5,0.5,121.0788
1536253980000,0.5,0.5,0.5,0.5,121.08739594
1536254040000,0.5,0.5,0.5,0.5,14.25499366
1536254160000,0.55,0.55,0.55,0.55,16.35800834
1536254220000,0.55,0.6,0.6,0.55,983.64199166
1536254280000,0.65,0.67,0.67,0.65,2000.04569937
1536254460000,0.67,0.67,0.67,0.67,200.0
1536254520000,0.67,0.69,0.69,0.67,528.3435669099998
1536254580000,0.69,0.69,0.69,0.69,35.49134785
1536254640000,0.69,0.695,0.695,0.69,2248.43732413
1536255120000,0.695,0.695,0.695,0.695,1614.68503712
1536255180000,0.695,0.695,0.695,0.695,0.06714792
1536262140000,0.6885,0.6885,0.6885,0.6885,10.0
1536272100000,0.53247,0.53247,0.53247,0.53247,34.0
1536273420000,0.58,0.53247,0.58,0.53247,1.02946782
1536273480000,0.2,0.2,0.2,0.2,0.02
1536275040000,0.58,0.58,0.58,0.58,499.0
1536275700000,0.5670000000000001,0.5670000000000001,0.5670000000000001,0.5670000000000001,119.88
1536276300000,0.61381431,0.61381431,0.61381431,0.61381431,50.0
1536276360000,0.61381431,0.61381431,0.61381431,0.61381431,50.0
1536277920000,0.61365736,0.61365736,0.61365736,0.61365736,264.20379055
1536281520000,0.6136431,0.6136431,0.6136431,0.6136431,9.21558154
1536284280000,0.61333659,0.639,0.639,0.61333659,235.05426458
1536297960000,0.639,0.639,0.639,0.639,2.05844578
1536298020000,0.639,0.639,0.639,0.639,1.0
1536298200000,0.58611,0.58611,0.58611,0.58611,0.1996
1536298260000,0.58611,0.58611,0.58611,0.58611,0.001996
1536298500000,0.58611,0.58611,0.58611,0.58611,0.89525345
1536298560000,0.58611,0.58611,0.58611,0.58611,404.64
1536298680000,0.5861,0.5710000000000001,0.5861,0.5710000000000001,7595.36
1536298920000,0.57101,0.57101,0.57101,0.57101,1.26380075
