time,open,close,high,low,volume
1560515880000,0.7,0.7,0.7,0.7,507.0
1560516060000,0.6909,0.6909,0.6909,0.6909,27.0
1560516360000,0.6909,0.6909,0.6909,0.6909,34.0
1560516420000,0.6909,0.6909,0.6909,0.6909,58.0
1560516660000,0.6909,0.6909,0.6909,0.6909,38.0
1560516720000,0.6909,0.6909,0.6909,0.6909,27.0
1560518460000,0.7,0.7,0.7,0.7,2383.38338339
1560518820000,0.7,0.71,0.71,0.7,1430.61661661
1560518880000,0.71,0.71,0.71,0.71,230.80098219
1560518940000,0.71,0.71,0.71,0.71,117.89998729999999
1560519120000,0.71,0.71,0.71,0.71,352.11267605
1560519240000,0.71,0.71,0.71,0.71,109.06683799999999
1560519360000,0.71,0.71,0.71,0.71,5.577429
1560520920000,0.71,0.71,0.71,0.71,949.7489300000001
1560522180000,0.71,0.71,0.71,0.71,218.78097363
1560522240000,0.71,0.71,0.71,0.71,176.82297420999996
1560522300000,0.71,0.71,0.71,0.71,206.79297509000003
1560522360000,0.71,0.71,0.71,0.71,154.84497456
1560522420000,0.71,0.71,0.71,0.71,217.78197269
1560522480000,0.71,0.71,0.71,0.71,64.1718758
1560522540000,0.71,0.71,0.71,0.71,238.90573336
1560522600000,0.71,0.71,0.71,0.71,158.90498668
1560522660000,0.71,0.71,0.71,0.71,39.420185
1560522780000,0.71,0.71,0.71,0.71,32.80663
1560522840000,0.71,0.71,0.71,0.71,2187.1847
1560522900000,0.71,0.71,0.71,0.71,6.676774000000001
1560525360000,0.71,0.71,0.71,0.71,2200.8073
1560527280000,0.71,0.71,0.71,0.71,2229.0418
1560527640000,0.71,0.71,0.71,0.71,408.0
1560527700000,0.71,0.71,0.71,0.71,431.0
1560527760000,0.71,0.71,0.71,0.71,404.0
1560527820000,0.71,0.71,0.71,0.71,236.0
1560529140000,0.71,0.71,0.71,0.71,45.0
1560531240000,0.71,0.69091,0.71,0.69091,37.0
1560564300000,0.705,0.705,0.705,0.705,10.0
1560564360000,0.705,0.71,0.71,0.705,1690.0
1560565260000,0.71,0.71,0.71,0.71,216.0
1560583980000,0.71,0.71,0.71,0.71,689.1457
1560586020000,0.71,0.71,0.71,0.71,2313.1383
1560588240000,0.71,0.71,0.71,0.71,2091.716
1560658200000,0.715,0.721,0.721,0.715,1000.0
1560994860000,0.72,0.721,0.721,0.72,751.06102
1560995040000,0.721,0.721,0.721,0.721,130.20646641000002
1560995100000,0.721,0.721,0.721,0.721,119.19845544
1560995160000,0.721,0.721,0.721,0.721,119.19845544
1560995220000,0.721,0.721,0.721,0.721,110.16606424
1560995280000,0.721,0.721,0.721,0.721,30.47012312
1560995340000,0.73,0.73,0.73,0.73,399.0
1560997080000,0.73,0.73,0.73,0.73,9.26269536
1561386000000,0.693,0.693,0.693,0.693,19.36713
1561572060000,0.73,0.73,0.73,0.73,1050.0
1561617600000,0.69091,0.6909,0.69091,0.6909,580.0
1561617660000,0.6909,0.6909,0.6909,0.6909,3667.0
1561617720000,0.6909,0.6909,0.6909,0.6909,2629.0
1561617960000,0.6909,0.6909,0.6909,0.6909,349.0
1561618020000,0.6909,0.69,0.6909,0.69,3658.0
1561618080000,0.69,0.688,0.69,0.688,684.0
1561625700000,0.68801,0.688,0.68801,0.688,2475.0
1561625760000,0.688,0.688,0.68801,0.688,537.0
1561625820000,0.688,0.688,0.68801,0.688,1710.0
1561625880000,0.688,0.688,0.68801,0.688,60.0
1561655160000,0.68801,0.688,0.68801,0.688,7.0
1561718460000,0.68801,0.688,0.68801,0.688,4.57230177
1561718640000,0.66001,0.66,0.66001,0.66,19.1108843
1562245800000,0.73,0.73,0.73,0.73,189.63170117
1562245860000,0.73,0.73,0.73,0.73,91.1238514
1562245920000,0.73,0.73,0.73,0.73,173.44789183
1562245980000,0.73,0.73,0.73,0.73,86.53386024
1562246340000,0.74,0.74,0.74,0.74,104.0
1562246400000,0.74,0.74,0.74,0.74,304.0
1562247780000,0.7829999999999999,0.7829999999999999,0.7829999999999999,0.7829999999999999,12.99625406
1562251440000,0.7829999999999999,0.7829999999999999,0.7829999999999999,0.7829999999999999,273.0
1562251500000,0.7829999999999999,0.7829999999999999,0.7829999999999999,0.7829999999999999,4.00374594
1562252460000,0.8,0.8,0.8,0.8,920.0
