time,open,close,high,low,volume
1531410000000,5.5e-05,5.5e-05,5.5e-05,5.5e-05,50.90274074
1531410300000,1.1e-06,1.1e-06,1.1e-06,1.1e-06,50.80093526
1531417380000,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,271.40877193
1531424520000,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,411.18070175
1531429140000,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,233.0
1531451640000,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,5.7000000000000005e-06,310.0
1531453560000,6.99e-06,6.99e-06,6.99e-06,6.99e-06,1500.0
1531479660000,4.85e-06,4.85e-06,4.85e-06,4.85e-06,3999.999994530001
1531479780000,4.85e-06,4.9000000000000005e-06,4.9000000000000005e-06,4.85e-06,6736.84175308
1531479840000,4.89e-06,4.89e-06,4.89e-06,4.89e-06,1564.38112813
1531486680000,4.9000000000000005e-06,4.92e-06,4.92e-06,4.9000000000000005e-06,2817.57365023
1531486800000,4.92e-06,4.92e-06,4.92e-06,4.92e-06,768.4375577999999
1531512120000,4.92e-06,4.92e-06,4.92e-06,4.92e-06,2846.40207408
1531528200000,4.89e-06,4.89e-06,4.89e-06,4.89e-06,4000.0
1531528260000,4.87e-06,4.78e-06,4.87e-06,4.78e-06,19003.00300301
1531528320000,4.78e-06,4.78e-06,4.78e-06,4.78e-06,4000.0
1531534260000,4.81e-06,4.81e-06,4.81e-06,4.81e-06,458.36698544
1531539480000,4.76e-06,4.76e-06,4.76e-06,4.76e-06,7486.7375312899985
1531561260000,4.73e-06,4.73e-06,4.73e-06,4.73e-06,4000.0
1531561320000,4.71e-06,4.69e-06,4.71e-06,4.69e-06,7500.0
1531584840000,4.69e-06,4.66e-06,4.69e-06,4.66e-06,400.41390192
1531609260000,4.66e-06,4.62e-06,4.66e-06,4.62e-06,17676.92287558
1531609380000,4.6e-06,4.6e-06,4.6e-06,4.6e-06,1359.18527223
1531609440000,4.6e-06,4.6e-06,4.6e-06,4.6e-06,714.84528007
1531609500000,4.6e-06,4.6e-06,4.6e-06,4.6e-06,1566.78417548
1531610280000,4.55e-06,4.55e-06,4.55e-06,4.55e-06,4000.0
1531614120000,4.5e-06,4.5e-06,4.5e-06,4.5e-06,709.29
1531655400000,4.57e-06,4.57e-06,4.57e-06,4.57e-06,930.21663019
1531655820000,4.5e-06,4.5e-06,4.5e-06,4.5e-06,1123.27398913
1531655880000,4.57e-06,4.6e-06,4.6e-06,4.57e-06,7069.78336981
1531655940000,4.6e-06,4.6e-06,4.6e-06,4.6e-06,4000.0
1531659600000,4.6e-06,4.6e-06,4.6e-06,4.6e-06,3999.999995
1531660140000,4.6e-06,4.6e-06,4.6e-06,4.6e-06,3999.99841122
1531671420000,4.55e-06,4.54e-06,4.55e-06,4.54e-06,5907.41838392
1531672740000,4.53e-06,4.53e-06,4.53e-06,4.53e-06,4000.0
1531680420000,4.55e-06,4.55e-06,4.55e-06,4.55e-06,4000.0
1531680720000,4.57e-06,4.57e-06,4.57e-06,4.57e-06,4000.0
1531689120000,4.6e-06,4.6e-06,4.64e-06,4.6e-06,14300.0
1531689180000,4.6e-06,4.62e-06,4.62e-06,4.56e-06,8560.77444845
1531708680000,4.6e-06,4.6e-06,4.6e-06,4.6e-06,1339.78260869
1531711260000,4.6e-06,4.6e-06,4.6e-06,4.6e-06,864.98894316
1531712460000,4.6e-06,4.62e-06,4.62e-06,4.6e-06,4454.3499999999985
1531713360000,4.62e-06,4.64e-06,4.64e-06,4.62e-06,4000.0
1531732740000,4.62e-06,4.62e-06,4.62e-06,4.62e-06,2369.48379312
1531733340000,4.62e-06,4.6e-06,4.62e-06,4.6e-06,9630.51620688
1531735920000,4.55e-06,4.55e-06,4.55e-06,4.55e-06,376.246
1531739280000,4.85e-06,4.85e-06,4.85e-06,4.85e-06,2543.29896906
1531739340000,4.85e-06,4.73e-06,4.9000000000000005e-06,4.73e-06,25246.57612233
1531739400000,4.73e-06,4.92e-06,4.92e-06,4.73e-06,6688.61788616
1531739460000,4.76e-06,4.85e-06,4.85e-06,4.76e-06,8000.0
1531739520000,4.78e-06,4.73e-06,4.78e-06,4.73e-06,11002.85754302
1531739580000,4.73e-06,4.71e-06,4.73e-06,4.71e-06,4309.13
1531739640000,4.71e-06,4.76e-06,4.76e-06,4.69e-06,4030.22277311
1531744440000,4.74e-06,4.76e-06,4.76e-06,4.74e-06,6318.06722123
1531747980000,4.76e-06,4.78e-06,4.78e-06,4.76e-06,4000.0
1531752780000,4.78e-06,4.81e-06,4.81e-06,4.78e-06,3000.0
1531754580000,4.81e-06,4.81e-06,4.81e-06,4.81e-06,1000.00000566
1531754760000,4.83e-06,4.83e-06,4.83e-06,4.83e-06,4000.0
1531754880000,4.85e-06,4.85e-06,4.85e-06,4.85e-06,4000.0
1531754940000,4.85e-06,4.85e-06,4.85e-06,4.85e-06,4005.151949
1531757040000,4.83e-06,4.83e-06,4.83e-06,4.83e-06,4000.0
1531757520000,4.8e-06,4.8e-06,4.8e-06,4.8e-06,3308.78008376
1531762560000,4.8e-06,4.78e-06,4.8e-06,4.78e-06,4691.21991624
1531785060000,4.76e-06,4.76e-06,4.76e-06,4.76e-06,2717.93243079
1531786020000,4.76e-06,4.71e-06,4.76e-06,4.71e-06,9282.06756921
1531790640000,4.74e-06,4.74e-06,4.74e-06,4.74e-06,22500.0
1531793520000,4.71e-06,4.71e-06,4.71e-06,4.71e-06,4000.0
1531794060000,4.74e-06,4.74e-06,4.74e-06,4.74e-06,4347.65400843
1531794780000,4.71e-06,4.71e-06,4.71e-06,4.71e-06,4000.0
1531801200000,4.73e-06,4.73e-06,4.73e-06,4.73e-06,5245.48676532
1531801260000,4.73e-06,4.8e-06,4.8e-06,4.73e-06,8000.0
1531801320000,4.73e-06,4.71e-06,4.73e-06,4.71e-06,8000.0
1531801440000,4.74e-06,4.74e-06,4.74e-06,4.74e-06,3041.98312236
1531802580000,4.69e-06,4.69e-06,4.69e-06,4.69e-06,3632.58747239
1531802700000,4.69e-06,4.69e-06,4.69e-06,4.69e-06,367.41252761
1531804860000,4.66e-06,4.66e-06,4.66e-06,4.66e-06,4000.0
1531806600000,4.58e-06,4.58e-06,4.58e-06,4.58e-06,4000.0
1531806660000,4.57e-06,4.57e-06,4.57e-06,4.57e-06,4000.0
1531806720000,4.58e-06,4.62e-06,4.62e-06,4.58e-06,7999.9173864099985
1531806780000,4.57e-06,4.57e-06,4.57e-06,4.57e-06,4000.0
1531806840000,4.58e-06,4.6e-06,4.6e-06,4.58e-06,8000.0
1531806900000,4.59e-06,4.59e-06,4.59e-06,4.59e-06,2995.80626379
1531808400000,4.59e-06,4.59e-06,4.59e-06,4.59e-06,1004.19373621
1531815840000,4.57e-06,4.57e-06,4.57e-06,4.57e-06,4000.0
1531830120000,4.55e-06,4.55e-06,4.55e-06,4.55e-06,7500.0
1531831200000,4.55e-06,4.55e-06,4.55e-06,4.55e-06,9752.1261912
1531834560000,4.53e-06,4.53e-06,4.53e-06,4.53e-06,4000.0
1531841760000,4.51e-06,4.51e-06,4.51e-06,4.51e-06,4000.0
1531843140000,4.5e-06,4.5e-06,4.5e-06,4.5e-06,4000.0
1531849020000,4.48e-06,4.48e-06,4.48e-06,4.48e-06,3712.4666729999994
1531849080000,4.48e-06,4.44e-06,4.48e-06,4.44e-06,8287.533327000001
1531849140000,4.42e-06,4.42e-06,4.42e-06,4.42e-06,6124.5257522
1531849200000,4.42e-06,4.42e-06,4.42e-06,4.42e-06,2440.3
1531849380000,4.42e-06,4.42e-06,4.42e-06,4.42e-06,1559.7
1531849440000,4.44e-06,4.39e-06,4.44e-06,4.39e-06,7287.65643317
1531849500000,4.42e-06,4.39e-06,4.42e-06,4.39e-06,6375.9
1531849560000,4.4e-06,4.4e-06,4.4e-06,4.4e-06,4000.0
1531849800000,4.39e-06,4.39e-06,4.39e-06,4.39e-06,2026.0346260000001
1531850580000,4.39e-06,4.39e-06,4.39e-06,4.39e-06,4000.0
1531850940000,4.4e-06,4.4e-06,4.4e-06,4.4e-06,2824.25
1531851000000,4.4e-06,4.4e-06,4.4e-06,4.4e-06,1175.75
1531851720000,4.39e-06,4.37e-06,4.39e-06,4.37e-06,7114.92211095
1531851840000,4.39e-06,4.4e-06,4.4e-06,4.39e-06,2433.7200000000007
1531852080000,4.4e-06,4.4e-06,4.4e-06,4.4e-06,2390.53
1531852200000,4.44e-06,4.44e-06,4.44e-06,4.44e-06,4000.0
1531852260000,4.42e-06,4.42e-06,4.42e-06,4.42e-06,4000.0
1531855980000,4.46e-06,4.46e-06,4.46e-06,4.46e-06,22500.0
1531856340000,4.47e-06,4.47e-06,4.47e-06,4.47e-06,4000.0
1531862100000,4.51e-06,4.53e-06,4.53e-06,4.51e-06,11500.0
1531862160000,4.51e-06,4.51e-06,4.51e-06,4.51e-06,2548.46170621
1531871280000,4.51e-06,4.51e-06,4.51e-06,4.51e-06,1451.53829379
