time,open,close,high,low,volume
1531405860000,0.05,0.05,0.05,0.05,5.0
1531407360000,0.05,0.5,0.5,0.05,1719.1548
1531407420000,0.5,0.5,0.5,0.5,35.07
1531407600000,0.1,0.1,0.1,0.1,12.1581954
1531408560000,0.05,0.05,0.05,0.05,28.851375800000003
1531408620000,0.05,0.05,0.05,0.05,743.94229725
1531408680000,0.099,0.15,0.15,0.099,948.7451532
1531409520000,0.09,0.09,0.09,0.09,2000.0
1531411680000,0.035019999999999996,0.035,0.035019999999999996,0.035,600.0
1531413300000,0.03833,0.03833,0.03833,0.03833,10000.0
1531413420000,0.0351,0.035,0.0351,0.035,2000.0
1531413660000,0.035,0.035,0.035,0.035,14273.617
1531414140000,0.035,0.035,0.035,0.035,35912.05
1531414320000,0.035,0.035,0.035,0.035,50000.0
1531414620000,0.035,0.035,0.035,0.035,40733.97
1531414920000,0.035,0.035,0.035,0.035,29784.0
1531414980000,0.035,0.035,0.035,0.035,8677.0
1531415220000,0.035,0.035,0.035,0.035,0.05353475
1531415640000,0.0441,0.0441,0.0441,0.0441,2880.0
1531415880000,0.034,0.034,0.034,0.034,912.71139117
1531417200000,0.0386,0.0386,0.0386,0.0386,130.0
1531418160000,0.034,0.034,0.034,0.034,126.49829412
1531420380000,0.038,0.038,0.038,0.038,3000.0
1531429320000,0.035,0.035,0.035,0.035,4000.0
1531431360000,0.03499,0.03499,0.03499,0.03499,48.0
1531431840000,0.03499,0.03499,0.03499,0.03499,952.0
1531432260000,0.034910000000000004,0.034910000000000004,0.034910000000000004,0.034910000000000004,4865.664511
1531436820000,0.0349,0.0349,0.0349,0.0349,1600.0
1531440420000,0.03477,0.03477,0.03477,0.03477,185.50221333
1531441680000,0.0281,0.0281,0.0281,0.0281,10596.5
1531449960000,0.0333,0.03365,0.03365,0.0333,2019.908096
1531450020000,0.03365,0.03365,0.03365,0.03365,1019.2987759
1531451640000,0.0331,0.0331,0.0331,0.0331,332.13399946
1531453320000,0.0331,0.0331,0.0331,0.0331,1000.0
1531453500000,0.0331,0.0331,0.0331,0.0331,700.0
1531458180000,0.0331,0.0331,0.0331,0.0331,1290.8336299
1531459140000,0.0331,0.0331,0.0331,0.0331,426.85571510000005
1531459980000,0.031076999999999997,0.030816000000000003,0.031076999999999997,0.030815,24099.12772747
1531460040000,0.030801,0.030801,0.030801,0.030801,2988.0
1531460880000,0.0308,0.0308,0.0308,0.0308,10000.0
1531461360000,0.0308,0.0308,0.0308,0.0308,10000.0
1531462320000,0.0307,0.0307,0.0307,0.0307,3252.50897742
1531462620000,0.0307,0.0307,0.0307,0.0307,11639.44470786
1531465080000,0.030501,0.0305,0.030501,0.0305,15000.0
1531465380000,0.0304,0.0304,0.0304,0.0304,10000.0
1531468740000,0.0302,0.0302,0.0302,0.0302,10000.0
1531479660000,0.030299,0.0304,0.0304,0.030299,24104.39246525
1531479780000,0.030489999999999996,0.03075,0.03075,0.030489999999999996,38350.25569438
1531479840000,0.03075,0.03075,0.03075,0.03075,1562.816747
1531485660000,0.031,0.031,0.031,0.031,5180.57276096
1531486080000,0.031,0.031,0.031,0.031,955.44647387
1531486680000,0.031,0.031,0.031,0.031,3863.98076517
1531486800000,0.031,0.031,0.031,0.031,1552.8589021999999
1531489080000,0.0311,0.0311,0.0311,0.0311,550.0
1531489260000,0.031,0.0308,0.031,0.0308,889.3276172300001
1531490580000,0.0308,0.0308,0.0308,0.0308,1774.39441442
1531490640000,0.0308,0.0308,0.0308,0.0308,2996.9998141
1531490760000,0.0308,0.0308,0.0308,0.0308,4339.28023449
1531498440000,0.031,0.031,0.031,0.031,775.0892887
1531500420000,0.0304,0.0304,0.0304,0.0304,2290.19581261
1531510680000,0.0304,0.0304,0.0304,0.0304,548.53839879
1531510920000,0.0304,0.0304,0.0304,0.0304,310.0
1531510980000,0.0304,0.0304,0.0304,0.0304,2996.999995
1531512120000,0.0304,0.0304,0.0304,0.0304,2843.555672
1531512180000,0.0304,0.0304,0.0304,0.0304,2236.84063235
1531512420000,0.0302,0.0302,0.0302,0.0302,575.274673
1531518540000,0.0305,0.0305,0.0305,0.0305,1000.0
1531527240000,0.0305,0.0305,0.0305,0.0305,3003.00300301
1531528200000,0.0305,0.0305,0.0305,0.0305,4004.00400401
1531528260000,0.0302,0.0299,0.0302,0.0299,16933.31714867
1531528380000,0.0299,0.0299,0.0299,0.0299,2491.40817833
1531532940000,0.0298,0.0298,0.0298,0.0298,2160.20361605
1531533780000,0.0298,0.0298,0.0298,0.0298,4054.89110604
1531534080000,0.0298,0.0298,0.0298,0.0298,3818.91470346
1531534260000,0.0298,0.0298,0.0298,0.0298,1142.90926769
1531534320000,0.0298,0.0298,0.0298,0.0298,1437.72981618
1531534380000,0.0298,0.0298,0.0298,0.0298,769.65759711
1531535880000,0.029800999999999998,0.029800999999999998,0.029800999999999998,0.029800999999999998,2627.06345406
1531536720000,0.029800999999999998,0.029800999999999998,0.029800999999999998,0.029800999999999998,3726.43180209
1531536960000,0.0298,0.0298,0.0298,0.0298,1205.06616902
1531540500000,0.029501,0.029501,0.029501,0.029501,3853.82222697
1531543200000,0.029501,0.029501,0.029501,0.029501,3827.06046296
1531544760000,0.029504000000000002,0.029504000000000002,0.029504000000000002,0.029504000000000002,4140.95497248
1531553220000,0.029501,0.029501,0.029501,0.029501,6183.17539359
1531555800000,0.029501,0.029501,0.029501,0.029501,1760.18639978
1531556760000,0.029501,0.029501,0.029501,0.029501,7784.14787517
1531557060000,0.0295,0.0295,0.0295,0.0295,2778.33833991
1531559100000,0.0295,0.0295,0.0295,0.0295,7221.66166009
1531559700000,0.0294,0.0294,0.0294,0.0294,10000.0
1531561260000,0.0292,0.0292,0.0292,0.0292,10000.0
1531561320000,0.0289,0.0289,0.0289,0.0289,436.68486173
1531568760000,0.0292,0.0292,0.0292,0.0292,1000.0
1531570800000,0.0292,0.0292,0.0292,0.0292,478.0
1531577280000,0.0289,0.0289,0.0289,0.0289,7358.53987408
1531584300000,0.0292,0.0292,0.0292,0.0292,377.50220051
1531584840000,0.0292,0.0292,0.0292,0.0292,401.21633459
1531585020000,0.0292,0.0292,0.0292,0.0292,1238.71647227
1531585740000,0.0289,0.0289,0.0289,0.0289,934.42665142
1531591020000,0.0292,0.0292,0.0292,0.0292,1712.75942258
1531595340000,0.0292,0.0292,0.0292,0.0292,4837.21012109
1531595400000,0.0292,0.0292,0.0292,0.0292,2280.428636
1531604760000,0.0295,0.0295,0.0295,0.0295,6590.15497322
1531609260000,0.0292,0.0289,0.0292,0.0289,4152.70963629
1531609380000,0.0286,0.0286,0.0286,0.0286,3000.0
1531609500000,0.028600999999999998,0.0285,0.028600999999999998,0.0285,23049.35996484
1531609620000,0.0285,0.0285,0.0285,0.0285,799.2
1531609860000,0.0285,0.0285,0.0285,0.0285,2085.15215648
1531614420000,0.028599,0.028599,0.028599,0.028599,689.23372753
1531621320000,0.02841,0.02841,0.02841,0.02841,2177.02880937
1531622580000,0.02841,0.02841,0.02841,0.02841,1792.82628467
1531632720000,0.02841,0.02841,0.02841,0.02841,1997.0
1531638120000,0.02841,0.02841,0.02841,0.02841,2287.27169645
1531644600000,0.02841,0.02841,0.02841,0.02841,3885.0073840000005
1531650780000,0.028319999999999998,0.028205,0.028319999999999998,0.028205,1996.0
1531651740000,0.028595999999999996,0.028595999999999996,0.028595999999999996,0.028595999999999996,694.0
1531655880000,0.0286,0.0288,0.0288,0.0286,20000.0
1531655940000,0.0291,0.0291,0.0291,0.0291,4004.00400401
1531656000000,0.0291,0.0291,0.0291,0.0291,1991.99198599
1531658520000,0.0291,0.0292,0.0292,0.0291,10000.0
1531658580000,0.029199,0.0295,0.0295,0.029199,10000.0
1531658640000,0.029499,0.0295,0.0295,0.029499,10000.0
1531659600000,0.0292,0.0292,0.0292,0.0292,3995.999995
1531660140000,0.0292,0.0292,0.0292,0.0292,3995.9984127999996
1531661460000,0.02922,0.0292,0.02922,0.0292,12348.0015922
1531662120000,0.028901,0.028901,0.028901,0.028901,351.4660372
1531671420000,0.0289,0.0289,0.0289,0.0289,10000.0
1531672860000,0.029097,0.029098000000000002,0.029098000000000002,0.029097,10000.0
1531675440000,0.029099,0.029099,0.029099,0.029099,377.0
1531680720000,0.0291,0.029133999999999997,0.029133999999999997,0.0291,15000.0
1531689120000,0.029197000000000004,0.029197000000000004,0.029197000000000004,0.029197000000000004,450.13493994
1531700040000,0.02918,0.02918,0.02918,0.02918,18580.7036077
1531701240000,0.02918,0.02918,0.02918,0.02918,5414.16879372
1531702860000,0.02918,0.02918,0.02918,0.02918,5348.12461042
1531703340000,0.02918,0.02918,0.02918,0.02918,10351.69281157
1531705020000,0.02918,0.02918,0.02918,0.02918,5391.59795775
1531705620000,0.02918,0.02918,0.02918,0.02918,2569.1559769
1531706340000,0.02918,0.02918,0.02918,0.02918,3714.00570617
1531706400000,0.02918,0.02918,0.02918,0.02918,8377.64159426
1531708860000,0.0292,0.0292,0.0292,0.0292,1213.64359589
1531709820000,0.0292,0.0292,0.0292,0.0292,5387.71779426
1531711260000,0.029200999999999998,0.029200999999999998,0.029200999999999998,0.029200999999999998,863.25896527
1531711800000,0.0293,0.0293,0.0293,0.0293,5408.45868631
1531714020000,0.0295,0.0295,0.0295,0.0295,2447.16568101
1531716060000,0.0295,0.0295,0.0295,0.0295,7552.8343189900015
1531733340000,0.0298,0.0298,0.0298,0.0298,8942.30093979
1531733460000,0.029481,0.029481,0.029481,0.029481,998.0
1531735140000,0.0298,0.0298,0.0298,0.0298,1177.57690391
1531739340000,0.0307,0.0305,0.0308,0.0301,30666.69618475
1531739400000,0.0305,0.0305,0.0305,0.0302,13760.75506203
1531739460000,0.030799,0.031,0.031,0.030799,3088.62374192
1531739520000,0.031,0.0311,0.0311,0.031,11109.20223511
1531739580000,0.0311,0.0311,0.0311,0.0311,4237.54031812
1531739640000,0.0311,0.0311,0.0311,0.0311,3006.43295819
1531740540000,0.0308,0.0308,0.0308,0.0308,4918.45637269
1531740780000,0.0311,0.0311,0.0311,0.0311,1551.27597898
1531741020000,0.0311,0.0314,0.0314,0.0311,19174.26666051
1531744380000,0.0314,0.0317,0.0317,0.0314,19895.85705317
1531744440000,0.0317,0.03184,0.03184,0.0317,1858.66889629
1531744560000,0.0314,0.0314,0.0314,0.0314,10000.0
1531744680000,0.0316,0.0316,0.0316,0.0316,3003.00300301
1531745940000,0.0316,0.0322,0.0322,0.0316,9089.738362200002
1531750500000,0.0315,0.0315,0.0315,0.0315,5985.3092
1531754220000,0.032,0.032,0.032,0.032,10000.0
1531755300000,0.032199,0.0322,0.0322,0.032199,9425.21118012
1531756920000,0.0318,0.0318,0.0318,0.0318,19598.3904561
1531757040000,0.032,0.032,0.032,0.032,6687.907824059998
1531757220000,0.032,0.032,0.032,0.032,3312.09217594
1531758540000,0.0318,0.0318,0.0318,0.0318,13685.23690922
1531758960000,0.032,0.032,0.032,0.032,1139.0
1531762560000,0.0319,0.0319,0.0319,0.0319,4698.07306027
1531763700000,0.0318,0.0318,0.0318,0.0318,3000.0
1531764780000,0.0319,0.0319,0.0319,0.0319,3190.26326719
1531765380000,0.0319,0.0319,0.0319,0.0319,1449.53059254
1531766280000,0.0319,0.0319,0.0319,0.0319,11198.28870871
1531766400000,0.0319,0.0319,0.0319,0.0319,1010.0
1531769880000,0.0316,0.0316,0.0316,0.0316,429.455422
1531783440000,0.0319,0.032,0.032,0.0319,11000.0
1531785060000,0.032,0.032,0.032,0.032,2723.37918917
1531785180000,0.032,0.032,0.032,0.032,1283.35092014
1531786320000,0.031501,0.031501,0.031501,0.031501,1958.99597322
1531788000000,0.0317,0.0317,0.0317,0.0317,10000.0
1531788060000,0.0317,0.0317,0.0317,0.0317,10000.0
1531799400000,0.031508999999999995,0.031508,0.031508999999999995,0.031508,5066.60016024
1531801200000,0.031501999999999995,0.031998,0.031998,0.031501999999999995,37932.22615298
1531801260000,0.031997000000000005,0.031999,0.031999,0.031501999999999995,22370.72548787
1531801320000,0.031636000000000004,0.031999,0.031999,0.031501999999999995,23084.11381605
1531801380000,0.031999,0.031999,0.031999,0.031999,3069.26444576
1531801440000,0.031998,0.031998,0.031998,0.031998,3024.81095693
1531803060000,0.0314,0.0314,0.0314,0.0314,3657.43228244
1531803480000,0.0314,0.0314,0.0314,0.0314,5248.28694368
1531803960000,0.0314,0.0314,0.0314,0.0314,1094.28077388
1531828980000,0.0305,0.0305,0.0305,0.0305,2897.48015337
1531829640000,0.0305,0.030400999999999997,0.0305,0.030400999999999997,10978.0
1531834500000,0.0304,0.0304,0.0304,0.0304,10000.0
1531834560000,0.0303,0.0303,0.0303,0.0303,10000.0
1531846260000,0.030202,0.030202,0.030202,0.030202,2442.27134965
1531849020000,0.0304,0.0304,0.0304,0.0304,10000.0
1531849080000,0.0305,0.0306,0.0306,0.0305,18459.72359309
1531849140000,0.0306,0.0307,0.0307,0.0306,11540.27640691
1531849200000,0.030999000000000002,0.031,0.031,0.030999000000000002,5855.54763274
1531849260000,0.031,0.0311,0.0311,0.031,24615.94839793
1531849380000,0.0313,0.0313,0.0313,0.0313,6852.16027794
1531849440000,0.0313,0.0315,0.0315,0.0313,13147.83972206
1531849500000,0.0317,0.0317,0.0317,0.0317,4018.84864353
1531850340000,0.0317,0.0317,0.0317,0.0317,3003.00300301
1531850460000,0.0317,0.0317,0.0317,0.0317,1276.93
1531850520000,0.0317,0.0319,0.0319,0.0317,3003.00300301
1531850580000,0.0319,0.0319,0.0319,0.0319,6997.00624262
1531850640000,0.0321,0.0321,0.0321,0.0321,5298.31374307
1531850700000,0.0321,0.0321,0.0321,0.0321,4701.68625693
1531851000000,0.0322,0.0322,0.0322,0.0322,825.07507508
1531851060000,0.0322,0.0322,0.0322,0.0322,9174.92492492
1531851660000,0.0325,0.0325,0.0325,0.0325,4004.00400401
1531851720000,0.0325,0.0325,0.0325,0.0325,5995.995995990002
1531852080000,0.0326,0.0326,0.0326,0.0326,6058.0
1531852200000,0.0326,0.0329,0.0329,0.0326,13942.0
1531852260000,0.0328,0.0333,0.0333,0.0328,30000.0
1531852320000,0.0329,0.0328,0.0329,0.0328,20000.0
1531854060000,0.0329,0.0328,0.0329,0.0328,15560.15279053
1531856760000,0.0329,0.0329,0.0329,0.0329,15440.72948328
1531857540000,0.032532,0.032532,0.032532,0.032532,15409.84802431
1531857840000,0.0329,0.0329,0.0329,0.0329,3458.1074234
1531858860000,0.0328,0.0328,0.0328,0.0328,1000.0
1531861500000,0.0329,0.0329,0.0329,0.0329,500.0
1531861800000,0.0329,0.0329,0.0329,0.0329,4811.8708079
1531862100000,0.0329,0.033,0.033,0.0329,11230.0217687
1531862460000,0.0333,0.0334,0.0334,0.0333,14750.0
1531864260000,0.033399,0.033399,0.033399,0.033399,1000.0
1531864320000,0.0334,0.0334,0.0334,0.0334,2250.0
1531865460000,0.0332,0.0332,0.0332,0.0332,4802.24706628
1531867800000,0.03321,0.03321,0.03321,0.03321,11238.27284221
1531868580000,0.0332,0.0332,0.0332,0.0332,5197.75293372
1531868640000,0.032901,0.032901,0.032901,0.032901,1262.43529004
1531870860000,0.033299,0.033299,0.033299,0.033299,1966.90528033
1531873500000,0.0329,0.032895999999999995,0.0329,0.032895999999999995,17005.80886323
1531874280000,0.033,0.033,0.033,0.033,10000.0
1531882500000,0.0332,0.0334,0.0334,0.0332,39135.91812719
1531883100000,0.0337,0.0337,0.0337,0.0337,4004.00400401
1531883280000,0.0337,0.0337,0.0337,0.0337,5995.99599599
1531887900000,0.0336,0.0336,0.0336,0.0336,10000.0
1531888020000,0.0333,0.0333,0.0333,0.0333,10000.0
1531888860000,0.0332,0.0332,0.0332,0.0332,7880.559999999998
1531891500000,0.0332,0.0332,0.0332,0.0332,2119.44
1531898460000,0.033,0.0329,0.033,0.0329,10400.0
1531899660000,0.032997000000000005,0.0333,0.0333,0.032997000000000005,30000.0
1531899780000,0.0333,0.0333,0.0334,0.0333,16668.5833816
1531899840000,0.0333,0.0332,0.0333,0.0332,16981.4166184
1531901160000,0.0333,0.0334,0.0334,0.0333,16377.3
1531901220000,0.0332,0.0332,0.0332,0.0332,2820.15
1531901280000,0.0332,0.0332,0.0332,0.0332,956.65
1531901520000,0.0332,0.0332,0.0332,0.0332,3995.999995
1531901580000,0.0332,0.0332,0.0332,0.0332,2227.200005
1531901700000,0.033,0.033,0.033,0.033,30000.0
1531901820000,0.0329,0.0329,0.0329,0.0329,10000.0
1531902060000,0.0328,0.0328,0.0328,0.0328,11133.28963415
1531902540000,0.0325,0.0325,0.0325,0.0325,6231.60918014
1531903020000,0.032799,0.032799,0.032799,0.032799,6097.7468825199985
1531903260000,0.0325,0.0325,0.0325,0.0325,12169.79820786
1531903560000,0.0324,0.0324,0.0324,0.0324,10000.0
1531904220000,0.032133999999999996,0.032133999999999996,0.032133999999999996,0.032133999999999996,1962.97146977
1531909200000,0.032101,0.032101,0.032101,0.032101,1377.42014465
1531910100000,0.0321,0.0321,0.0321,0.0321,9812.38760763
1531912500000,0.0321,0.0321,0.0321,0.0321,10000.0
1531912560000,0.0321,0.0321,0.0321,0.0321,4004.00400401
