time,open,close,high,low,volume
1523116980000,5.0999999999999995e-06,5.0999999999999995e-06,5.0999999999999995e-06,5.0999999999999995e-06,629.8745097999999
1523117040000,4.9000000000000005e-06,4.9000000000000005e-06,4.9000000000000005e-06,4.9000000000000005e-06,628.61476078
1523117160000,4.9000000000000005e-06,4.9000000000000005e-06,4.9000000000000005e-06,4.9000000000000005e-06,100.0
1523118720000,5e-06,5e-06,5e-06,5e-06,2.0
1523119200000,4.85e-06,4.85e-06,4.85e-06,4.85e-06,6116.639120000001
1523119380000,4.85e-06,4.85e-06,4.85e-06,4.85e-06,150000.0
1523119500000,4.85e-06,4.85e-06,4.85e-06,4.85e-06,5225.67216494
1523119620000,4.85e-06,4.85e-06,4.85e-06,4.85e-06,1030.92783505
1523119920000,4.85e-06,4.85e-06,4.85e-06,4.85e-06,6270.07216495
1523120040000,5e-06,5e-06,5e-06,5e-06,1996.00798403
1523124060000,4.91e-06,4.91e-06,4.91e-06,4.91e-06,407.88187372
1523124540000,4.11e-06,4.11e-06,4.11e-06,4.11e-06,18.59780297
1523124600000,4.95e-06,4.11e-06,4.95e-06,4.11e-06,30.82424242
1523124660000,4.95e-06,4.95e-06,4.95e-06,4.95e-06,12.73939393
1523125680000,4.95e-06,4.95e-06,4.95e-06,4.95e-06,1561.56156157
1523125740000,4.95e-06,4.95e-06,4.95e-06,4.95e-06,478.92525252
1523128260000,4.95e-06,4.95e-06,4.95e-06,4.95e-06,20000.0
1523128440000,4.94e-06,4.94e-06,4.94e-06,4.94e-06,1626.51619433
1523128500000,4.94e-06,4.94e-06,4.94e-06,4.94e-06,224.23076923
1523131680000,4.94e-06,4.94e-06,4.94e-06,4.94e-06,6720.86234817
1523131800000,4.94e-06,4.94e-06,4.94e-06,4.94e-06,2020.25099598
1523131980000,4.94e-06,4.94e-06,4.94e-06,4.94e-06,27746.84286384
1523133360000,4.94e-06,4.94e-06,4.94e-06,4.94e-06,1209.25101214
1523134020000,4.11e-06,4.11e-06,4.11e-06,4.11e-06,400.0
1523135220000,4.94e-06,4.94e-06,4.94e-06,4.94e-06,332.12753036
1523138340000,4.94e-06,4.94e-06,4.94e-06,4.94e-06,2.0
1523139600000,4.94e-06,4.94e-06,4.94e-06,4.94e-06,1214.57489879
