time,open,close,high,low,volume
1531495740000,2e-08,2e-08,2e-08,2e-08,54.4455
1531502580000,1.21e-06,1.21e-06,1.21e-06,1.21e-06,272.5
1531510560000,6.35e-06,6.35e-06,6.35e-06,6.35e-06,0.001
1531510800000,7e-05,7e-05,7e-05,7e-05,100.0
1531512000000,5.9999999999999995e-05,2.9999999999999997e-05,5.9999999999999995e-05,2.9999999999999997e-05,2000.0
1531512060000,1e-05,1e-05,1e-05,1e-05,1000.0
1531512120000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,58.61041315
1531513800000,4.89e-06,4.89e-06,4.89e-06,4.89e-06,4631.02177704
1531514220000,4.89e-06,4.89e-06,4.89e-06,4.89e-06,0.001
1531514340000,6.8e-05,6.8e-05,6.8e-05,6.8e-05,0.001
1531515780000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,300.0
1531515960000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,1000.0
1531516020000,4.89e-06,4.89e-06,4.89e-06,4.89e-06,1000.0
1531516620000,5.689e-05,5.689e-05,5.689e-05,5.689e-05,0.001
1531516920000,4.9000000000000005e-06,4.9000000000000005e-06,4.9000000000000005e-06,4.9000000000000005e-06,1802.0999317
1531517340000,5.086e-05,5.086e-05,5.086e-05,5.086e-05,100.0
1531521360000,5.72e-06,5.72e-06,5.72e-06,5.72e-06,525.60449847
1531523520000,3.8799999999999994e-05,3.8799999999999994e-05,3.8799999999999994e-05,3.8799999999999994e-05,116.56425532
1531524060000,2.907e-05,2.907e-05,2.907e-05,2.907e-05,1698.49573184
1531525620000,6.17e-06,6.17e-06,6.17e-06,6.17e-06,0.17654507
1531526880000,6.32e-06,6.32e-06,6.32e-06,6.32e-06,0.2
1531547340000,6.33e-06,6.33e-06,6.33e-06,6.33e-06,1000.0
1531547400000,6.33e-06,6.33e-06,6.33e-06,6.33e-06,7000.0
1531547460000,6.33e-06,6.33e-06,6.33e-06,6.33e-06,2000.0
1531561140000,1.098e-05,1.098e-05,1.098e-05,1.098e-05,214.92
1531561320000,1.098e-05,1.099e-05,1.099e-05,1.098e-05,339.11707764
1531564080000,6.35e-06,6.35e-06,6.35e-06,6.35e-06,1000.0
1531564680000,5.6e-06,5.76e-06,5.76e-06,5.6e-06,20663.46274416
1531574520000,9.85e-06,9.9e-06,9.9e-06,9.85e-06,3708.93090909
1531576080000,9.9e-06,9.9e-06,9.9e-06,9.9e-06,5000.0
1531576320000,8e-06,8e-06,8e-06,8e-06,4999.37437438
1531582500000,8e-06,8e-06,8e-06,8e-06,1985.0
1531582800000,6.55e-06,6.55e-06,6.55e-06,6.55e-06,1939.24835321
1531583760000,9.9e-06,9.9e-06,9.9e-06,9.9e-06,200.2179878
1531583820000,6.56e-06,6.56e-06,6.56e-06,6.56e-06,370.9222547
1531594080000,6.56e-06,6.56e-06,6.56e-06,6.56e-06,3086.01284212
1531594200000,6.55e-06,6.55e-06,6.55e-06,6.55e-06,2999.11529681
1531603920000,6.61e-06,6.61e-06,6.61e-06,6.61e-06,199.2008
1531607400000,6.6e-06,6.6e-06,6.6e-06,6.6e-06,299.4
1531607940000,6.6e-06,6.6e-06,6.6e-06,6.6e-06,1699.74393939
1531610280000,7.78e-06,7.78e-06,7.78e-06,7.78e-06,454.69280205
1531621440000,6.55e-06,6.55e-06,6.55e-06,6.55e-06,0.88470319
1531629840000,6.32e-06,6.32e-06,6.32e-06,6.32e-06,1093.93708501
1531636260000,6.4e-06,6.4e-06,6.4e-06,6.4e-06,385.0
1531636320000,7.699999999999999e-06,7.699999999999999e-06,7.699999999999999e-06,7.699999999999999e-06,318.53238342
1531639020000,6.4e-06,6.4e-06,6.4e-06,6.4e-06,1092.56999415
1531641300000,6.56e-06,6.4e-06,6.56e-06,6.4e-06,9808.1315626
1531641540000,7.699999999999999e-06,7.72e-06,7.72e-06,7.699999999999999e-06,4999.288812360001
1531642800000,7.78e-06,7.78e-06,7.78e-06,7.78e-06,45.30719795
1531642860000,8.88e-06,8.88e-06,8.88e-06,8.88e-06,1781.15888889
1531645680000,8.88e-06,8.88e-06,8.88e-06,8.88e-06,300.0
1531649880000,6.64e-06,6.64e-06,6.64e-06,6.64e-06,546.14715818
1531651980000,8.87e-06,8.88e-06,8.88e-06,8.87e-06,1011.23595506
1531653060000,6.93e-06,6.93e-06,6.93e-06,6.93e-06,271.955
1531669140000,8.88e-06,8.88e-06,8.88e-06,8.88e-06,2776.94606742
1531670640000,7.91e-06,7.91e-06,7.91e-06,7.91e-06,293.47104633
1531671960000,8.88e-06,8.88e-06,8.88e-06,8.88e-06,3147.1
1531672200000,7.8e-06,7.8e-06,7.8e-06,7.8e-06,51350.0
1531679280000,8.599999999999999e-06,8.599999999999999e-06,8.599999999999999e-06,8.599999999999999e-06,330.0
1531680780000,8.88e-06,8.88e-06,8.88e-06,8.88e-06,696.37078652
1531692360000,7.9e-06,7.9e-06,7.9e-06,7.9e-06,2660.73483146
1531692720000,7.9e-06,7.9e-06,7.9e-06,7.9e-06,30.76511943
1531692780000,8e-06,8e-06,8e-06,8e-06,20000.0
1531698240000,8.88e-06,8.900000000000001e-06,8.900000000000001e-06,8.88e-06,17780.73932584
