time,open,close,high,low,volume
1525962300000,2.79,2.79,2.79,2.79,5.0
1525962360000,2.79,2.98,2.98,2.79,696.59724198
1525962480000,2.5001,2.5001,2.5001,2.5001,825.17
1525963500000,2.55,2.55,2.55,2.55,10.0
1525964640000,2.53,2.53,2.53,2.53,206.44846004
1525965060000,2.53,2.53,2.53,2.53,22.51461407
1525965480000,2.5,2.49,2.5,2.49,206.24201158
1525965600000,2.4901,2.4901,2.4901,2.4901,167.0
1525965660000,2.53,2.53,2.53,2.53,7.0
1525965960000,2.4902,2.4902,2.4902,2.4902,2700.0
1525966380000,2.4902,2.4902,2.4902,2.4902,186.0
1525967280000,2.53,2.6425,2.6425,2.53,400.0
1525967580000,2.65,2.65,2.65,2.65,22.49209946
1525967640000,2.6698,2.6698,2.6698,2.6698,51.7
1525967760000,2.6698,2.6698,2.6698,2.6698,12.0
1525968060000,2.65,2.65,2.65,2.65,77.50790054
1525969380000,2.533,2.5267,2.533,2.5267,40.0
1525970400000,2.6203,2.6212,2.6212,2.6203,1.0
1525972440000,2.55,2.55,2.55,2.55,33.0
1525972560000,2.499,2.4733,2.499,2.4733,340.0
1525976940000,2.4411,2.4411,2.4411,2.4411,50.0
1525977840000,2.4391,2.4391,2.4391,2.4391,3.998999
1525978440000,2.4391,2.4391,2.4391,2.4391,100.0
1525978500000,2.381,2.38,2.381,2.38,98.92530188
1525978980000,2.38,2.38,2.38,2.38,38.0
1525979040000,2.38,2.38,2.38,2.38,62.0
1525982100000,2.38,2.42,2.42,2.38,3.0
1525983720000,2.4027,2.4027,2.4027,2.4027,105.0
1525984200000,2.4027,2.4027,2.4027,2.4027,8.80573045
1525984260000,2.4027,2.4021,2.4027,2.4021,48.96306211
1525985400000,2.3963,2.3963,2.3963,2.3963,150.0
1525988160000,2.3268,2.3268,2.3268,2.3268,155.16851461
1525988580000,2.3923,2.3923,2.3923,2.3923,5.0
1525989000000,2.3913,2.3913,2.3913,2.3913,30.0
1525993920000,2.3005,2.3,2.3005,2.3,200.00230459999997
1525995240000,2.2515,2.2515,2.2515,2.2515,0.0012024000000000002
1525995360000,2.2189,2.2189,2.2189,2.2189,0.005582999999999999
1526003280000,2.2189,2.1785,2.2189,2.1785,104.79
1526005620000,2.27,2.27,2.27,2.27,669.99
1526006400000,2.307,2.307,2.307,2.307,1.0
1526006640000,2.307,2.3076,2.3076,2.307,100.0
1526008140000,2.27,2.27,2.27,2.27,0.01
1526020800000,2.202,2.1784,2.202,2.1784,661.0
