time,open,close,high,low,volume
1558340700000,1.23,1.2,1.23,1.2,5692.61642652
1558340760000,1.15,1.15,1.15,1.15,10.0
1558340880000,1.2,1.2,1.2,1.2,5.5
1558340940000,1.2,1.12,1.2,1.12,15709.96214534
1558341000000,1.12,1.05,1.12,1.05,8459.61162572
1558341060000,1.06,1.04,1.14,1.04,50932.3016
1558341120000,1.03,1.0,1.03,1.0,5816.594
1558341180000,1.0,1.0,1.0,0.98,14220.421
1558341240000,1.0,1.03,1.03,0.99,15446.45848021
1558341300000,1.01,1.01,1.01,1.005,6605.0
1558341360000,1.03,1.03,1.03,1.03,45.0
1558341480000,1.03,1.03,1.03,1.03,3753.23664583
1558341540000,1.03,1.03,1.03,1.02,9553.35977477
1558341600000,1.025,1.0299,1.0490000000000002,1.025,51621.05689988
1558341660000,1.03,1.048,1.048,1.03,3335.13819931
1558341720000,1.0490000000000002,1.1,1.1,1.0490000000000002,35709.0
1558341780000,1.1,1.1,1.1,1.099,8495.599976000001
1558341840000,1.1,1.091,1.1,1.09,16090.3614
1558341900000,1.09,1.09,1.09,1.09,2530.0
1558341960000,1.0899,1.07,1.0899,1.061,10674.71258958
1558342020000,1.07,1.071,1.08,1.061,5625.15309216
1558342080000,1.07,1.06,1.078,1.06,6809.4843
1558342260000,1.06,1.06,1.06,1.06,3933.74885792
1558342320000,1.06,1.06,1.06,1.06,0.9990000000000001
1558342620000,1.07,1.07,1.07,1.07,2991.2505
1558342680000,1.07,1.07,1.1,1.0661,69620.79031354
1558342740000,1.07,1.0712,1.0712,1.069,22134.65414842
1558342800000,1.0712,1.069,1.0712,1.069,12040.7985912
1558342860000,1.07,1.105,1.105,1.0687,113535.948642
1558342920000,1.0997,1.1097,1.11,1.07,24449.86
1558342980000,1.1,1.0727,1.1,1.0725,22697.49581012
1558343040000,1.075,1.07,1.075,1.07,17543.23468948
1558343100000,1.07,1.07,1.07,1.0697,17391.3057779
1558343160000,1.07,1.08,1.08,1.07,19070.17575893
1558343220000,1.08,1.082,1.09,1.08,21739.70318974
1558343280000,1.082,1.0833,1.0835,1.08,8276.50738939
1558343340000,1.0833,1.0819,1.0835,1.0819,8607.89745695
1558343400000,1.0819,1.0821,1.0823,1.08,4268.0813
1558343460000,1.0823,1.0878,1.1066,1.0823,12214.90410292
1558343520000,1.0894,1.09,1.09,1.0802,16758.1008065
1558343580000,1.09,1.09,1.119,1.09,12814.5307
1558343640000,1.09,1.0807,1.09,1.0807,8284.22633568
1558343700000,1.0807,1.0815,1.0815,1.0802,2891.42741058
1558343760000,1.0815,1.0827,1.0842,1.0807,4227.86310297
1558343820000,1.0823,1.0802,1.0823,1.0802,1525.94979853
1558343880000,1.1189,1.0802,1.1189,1.0802,6719.67919927
1558343940000,1.081,1.0802,1.081,1.0802,12325.03806773
1558344000000,1.0802,1.0797,1.083,1.065,36472.13628918
1558344060000,1.0659999999999998,1.079,1.083,1.065,19742.1657
1558344120000,1.079,1.0659999999999998,1.08,1.065,14065.72980822
1558344180000,1.065,1.0659999999999998,1.08,1.065,35360.09190575
1558344240000,1.0661,1.0659999999999998,1.0789,1.0659999999999998,16317.9544
1558344300000,1.0659999999999998,1.062,1.078,1.062,19305.0322
1558344360000,1.075,1.0611,1.0759999999999998,1.0611,24504.95878163
1558344420000,1.0611,1.05,1.0611,1.0417,33719.51761682
1558344480000,1.05,1.045,1.05,1.0417,3000.00001072
