time,open,close,high,low,volume
1523180040000,5.904e-05,5.904e-05,5.904e-05,5.904e-05,207.47638699
1523182260000,5.904e-05,5.904e-05,5.904e-05,5.904e-05,169.03861653
1523184000000,5.905e-05,5.905e-05,5.905e-05,5.905e-05,205.59
1523185080000,5.904e-05,5.904e-05,5.904e-05,5.904e-05,236.00869918
1523185380000,5.904e-05,5.905e-05,5.905e-05,5.904e-05,120.27244636
1523187240000,5.905e-05,5.905e-05,5.905e-05,5.905e-05,26.0
1523187540000,5.905e-05,5.999e-05,5.999e-05,5.905e-05,1600.0
1523189340000,5.999e-05,5.999e-05,5.999e-05,5.999e-05,322.7204534
1523189700000,5.609e-05,5.507e-05,5.609e-05,5.507e-05,205.17882
1523189820000,5.7700000000000007e-05,5.7700000000000007e-05,5.7700000000000007e-05,5.7700000000000007e-05,40.0
1523190060000,5.7600000000000004e-05,5.7600000000000004e-05,5.7600000000000004e-05,5.7600000000000004e-05,46.0
1523193840000,5.8599999999999995e-05,5.8599999999999995e-05,5.8599999999999995e-05,5.8599999999999995e-05,39.25452949
1523202480000,5.999e-05,5.999e-05,5.999e-05,5.999e-05,21.5971553
1523203980000,5.999e-05,5.999e-05,5.999e-05,5.999e-05,78.4028447
1523207220000,5.755e-05,5.755e-05,5.755e-05,5.755e-05,182.0
1523209920000,6.048e-05,6.049e-05,6.049e-05,6.048e-05,796.1137378
1523215560000,5.792e-05,5.792e-05,5.792e-05,5.792e-05,182.0
1523225580000,6.049e-05,6.307e-05,6.307e-05,6.049e-05,10000.0
1523225640000,6.307e-05,8e-05,8e-05,6.307e-05,19946.6634175
1523226840000,6.101e-05,6.101e-05,6.101e-05,6.101e-05,7982.0
1523226900000,6.141e-05,6.154e-05,6.154e-05,6.141e-05,15478.0
1523227680000,6.832e-05,6.832e-05,6.832e-05,6.832e-05,7481.0
1523227740000,6.833e-05,5.794e-05,6.835e-05,5.794e-05,13297.0
1523228220000,6.878e-05,6.777e-05,6.978e-05,6.777e-05,20866.0
1523228280000,6.78e-05,6.78e-05,6.78e-05,6.78e-05,6083.0
1523228340000,5.878e-05,5.878e-05,5.878e-05,5.878e-05,95.50227273
1523228460000,7.3e-05,5.876e-05,7.3e-05,5.876e-05,52.0
1523229300000,6.676e-05,6.675e-05,6.677e-05,6.675e-05,18754.0
1523229360000,6.677e-05,6.677e-05,6.677e-05,6.677e-05,5836.0
1523229420000,6.678e-05,6.678e-05,6.678e-05,6.678e-05,5610.0
1523229660000,5.873e-05,5.873e-05,5.873e-05,5.873e-05,272.66363636
1523230020000,6.890000000000001e-05,6.481e-05,6.890000000000001e-05,6.481e-05,11131.0
1523230080000,6.482e-05,6.449e-05,6.482e-05,6.449e-05,10473.0
1523230140000,6.461e-05,6.556e-05,6.556e-05,6.461e-05,5604.81818178
1523230260000,5.887e-05,5.887e-05,5.887e-05,5.887e-05,31.81818182
1523231400000,6.602e-05,6.602e-05,6.602e-05,6.602e-05,4935.0
1523231460000,6.612e-05,6.603e-05,6.612e-05,6.202e-05,12266.0
1523231520000,5.894e-05,5.894e-05,5.894e-05,5.894e-05,31.81818182
1523231700000,6.475e-05,6.475e-05,6.475e-05,6.475e-05,4470.0
1523231760000,6.675e-05,6.679e-05,6.679e-05,6.476e-05,21302.0
1523231820000,6.969e-05,6.68e-05,6.969e-05,6.68e-05,3346.0
1523231880000,5.877e-05,5.877e-05,5.877e-05,5.877e-05,31.81818182
1523232540000,6.681e-05,6.691e-05,6.691e-05,6.681e-05,7543.0
1523232600000,6.281e-05,6.282e-05,6.282e-05,6.281e-05,7116.0
1523232660000,6.426e-05,6.425e-05,6.426e-05,6.425e-05,708.55356
1523232720000,6.326e-05,6.326e-05,6.326e-05,6.326e-05,5074.94416727
1523232780000,6.326e-05,6.326e-05,6.326e-05,6.326e-05,2976.8113636400008
1523233620000,6.279e-05,6.279e-05,6.279e-05,6.279e-05,3058.0
1523233680000,6.379e-05,6.351e-05,6.38e-05,6.351e-05,8864.0
1523233740000,6.252e-05,6.252e-05,6.252e-05,6.252e-05,2793.0
1523233800000,6.353e-05,6.353e-05,6.353e-05,6.353e-05,2151.82727276
1523234580000,6.299e-05,6.3e-05,6.3e-05,6.299e-05,52.0
1523234700000,6.201e-05,6.231e-05,6.231e-05,6.201e-05,5343.0
1523234760000,6.299e-05,5.891e-05,6.299e-05,5.891e-05,52.1
1523235060000,5.9e-05,5.9e-05,5.9e-05,5.9e-05,78.0
1523250300000,6.299e-05,6.3e-05,6.3e-05,6.299e-05,5467.0
1523255700000,6.085e-05,6.08e-05,6.085e-05,6.08e-05,3399.20390018
