time,open,close,high,low,volume
1523118360000,0.419,0.419,0.419,0.419,101.0
1523118780000,0.419,0.419,0.419,0.419,50.0
1523119380000,0.419,0.419,0.419,0.419,200.0
1523123940000,0.41700000000000004,0.41700000000000004,0.41700000000000004,0.41700000000000004,499.0
1523125620000,0.41700000000000004,0.41700000000000004,0.41700000000000004,0.41700000000000004,499.0
1523125680000,0.41799,0.41799,0.41799,0.41799,44.0
1523125740000,0.41700000000000004,0.41700000000000004,0.41700000000000004,0.41700000000000004,700.0
1523125860000,0.41700000000000004,0.41700000000000004,0.41700000000000004,0.41700000000000004,0.6
1523128320000,0.41698,0.41698,0.41698,0.41698,998.0
1523129100000,0.41698,0.41698,0.41698,0.41698,170.0
1523129220000,0.389,0.389,0.389,0.389,1165.664
1523133240000,0.41696000000000005,0.41698999999999997,0.41698999999999997,0.41696000000000005,1350.0
1523136240000,0.41696000000000005,0.41696000000000005,0.41696000000000005,0.41696000000000005,50.0
1523144220000,0.41696000000000005,0.41696000000000005,0.41696000000000005,0.41696000000000005,105.31646904
1523144820000,0.4,0.4,0.4,0.4,192.0
1523145240000,0.4,0.4,0.4,0.4,112.0
1523146980000,0.4,0.4,0.4,0.4,501.0
1523160540000,0.4,0.4,0.4,0.4,50.0
1523169300000,0.4,0.4,0.4,0.4,45.86067994
1523172720000,0.3999,0.3999,0.3999,0.3999,1031.36053096
1523173800000,0.3999,0.3999,0.3999,0.3999,1347.324678
1523174460000,0.41,0.41,0.41,0.41,1000.0
1523175420000,0.41,0.41,0.41,0.41,40.0
1523175780000,0.41,0.49700000000000005,0.49700000000000005,0.41,2000.0
1523176740000,0.40001,0.40001,0.40001,0.40001,30.0
1523179500000,0.49700000000000005,0.49700000000000005,0.49700000000000005,0.49700000000000005,1000.0
1523180040000,0.42,0.42,0.42,0.42,207.26891059
1523181360000,0.49700000000000005,0.49700000000000005,0.49700000000000005,0.49700000000000005,50.28038054
1523182260000,0.4201,0.4002,0.4201,0.4002,265.6728414
1523183160000,0.4003,0.4003,0.4003,0.4003,50.17981978
1523184900000,0.4785,0.4785,0.4785,0.4785,257.16852716
1523185080000,0.4185,0.4185,0.4185,0.4185,235.53668178
1523185380000,0.46,0.46,0.46,0.46,185.8548574
1523186160000,0.426,0.426,0.426,0.426,138.92839389
1523186280000,0.426,0.426,0.426,0.426,160.77160611
1523187240000,0.426,0.426,0.426,0.426,0.22839389
1523189340000,0.426,0.426,0.426,0.426,322.22042326
1523189520000,0.42601000000000006,0.426,0.42601000000000006,0.426,3249.475000000001
1523189820000,0.41115,0.41115,0.41115,0.41115,40.0
1523190060000,0.41115,0.41115,0.41115,0.41115,46.0
1523193360000,0.41501000000000005,0.41501000000000005,0.41501000000000005,0.41501000000000005,64.640622
1523193780000,0.415,0.415,0.415,0.415,1200.0
1523193840000,0.41116,0.41116,0.41116,0.41116,200.0
1523199420000,0.42799,0.428,0.428,0.42799,501.0
1523201460000,0.428,0.428,0.428,0.428,100.0
1523206860000,0.4122,0.41115,0.4122,0.41115,99.8
1523207220000,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,182.0
1523209680000,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.41100000000000003,199.32640763
1523214060000,0.42,0.42,0.42,0.42,500.0
1523214660000,0.42,0.42,0.42,0.42,501.0
1523214960000,0.41700000000000004,0.41700000000000004,0.41700000000000004,0.41700000000000004,1260.0
1523215560000,0.41,0.41,0.41,0.41,201.72463172
1523217480000,0.41,0.41,0.41,0.41,48.27536828
1523218500000,0.41,0.41,0.41,0.41,399.50212685
1523221980000,0.41,0.41,0.41,0.41,26.0
1523224980000,0.41,0.41,0.41,0.41,205.91290987
1523225100000,0.42,0.42,0.42,0.42,1000.0
1523225940000,0.42,0.445,0.445,0.42,3095.0
1523227680000,0.445,0.486,0.486,0.445,3917.0
1523227740000,0.41651000000000005,0.41651000000000005,0.41651000000000005,0.41651000000000005,26.0
1523228460000,0.486,0.4999,0.4999,0.486,27.26362417
1523228520000,0.4155,0.4155,0.4155,0.4155,26.0
1523228760000,0.4155,0.4155,0.4155,0.4155,26.0
1523235720000,0.495,0.495,0.495,0.495,26.0
1523236020000,0.4175,0.4169,0.4175,0.4169,500.0
1523236440000,0.4158,0.4158,0.4158,0.4158,499.996
1523243760000,0.4645,0.505,0.505,0.4645,5029.99
1523243820000,0.5049,0.5049,0.5049,0.5049,2000.0
1523250600000,0.4959,0.4959,0.4959,0.4959,45.71982613
1523251260000,0.4352,0.4352,0.4352,0.4352,47.99
1523252220000,0.43555,0.4355,0.43555,0.4355,698.6
1523253360000,0.495,0.495,0.495,0.495,114.06844108
1523254860000,0.44,0.4354,0.44,0.4354,4725.28559449
1523255400000,0.4354,0.4354,0.4354,0.4354,310.25694795
1523255700000,0.435,0.435,0.435,0.435,102.0
1523255940000,0.4325,0.4325,0.4325,0.4325,26.0
1523256120000,0.43917,0.43917,0.43917,0.43917,258.39869626
1523256240000,0.439,0.439,0.439,0.439,243.0
1523257440000,0.439,0.439,0.439,0.439,203.79661314
1523257800000,0.439,0.439,0.439,0.439,4747.97430508
1523258760000,0.4621,0.4601,0.4621,0.4601,7133.1
1523258820000,0.48100000000000004,0.48100000000000004,0.48100000000000004,0.48100000000000004,26.0
1523259060000,0.475,0.475,0.475,0.475,63.54387782
1523261400000,0.4335,0.4335,0.4335,0.4335,26.0
1523262720000,0.45899999999999996,0.45899999999999996,0.45899999999999996,0.45899999999999996,50.0
1523262960000,0.45899999999999996,0.4551,0.45899999999999996,0.4551,925.5
1523263080000,0.4551,0.4561,0.4561,0.4551,6000.0
1523263140000,0.4551,0.455,0.4551,0.4541,5100.0
1523263200000,0.45411,0.4541,0.45411,0.4541,5126.0
1523263260000,0.45399999999999996,0.43683,0.4541,0.43683,1063.7
1523264100000,0.4601,0.4601,0.4601,0.4601,2500.0
1523264160000,0.47700000000000004,0.47700000000000004,0.47700000000000004,0.47700000000000004,39.41
1523264220000,0.47939,0.4601,0.47939,0.4601,10111.0
1523264280000,0.4611,0.4749,0.4749,0.4611,2611.0
1523266020000,0.4697,0.4697,0.4697,0.4697,28.09337083
1523266080000,0.44991000000000003,0.44991000000000003,0.44991000000000003,0.44991000000000003,440.29855
1523266140000,0.44991000000000003,0.45201,0.45201,0.44991000000000003,721.06264
1523268780000,0.474,0.474,0.474,0.474,161.0
1523268840000,0.43485,0.4341,0.43485,0.4341,1730.16491245
1523268960000,0.44,0.4341,0.44,0.4341,105.1058361
1523269140000,0.4341,0.4341,0.4341,0.4341,1742.0
1523269200000,0.4341,0.4341,0.4341,0.4341,78.62203024
1523269260000,0.4341,0.4341,0.4341,0.4341,217.75
1523269860000,0.4341,0.43051000000000006,0.4341,0.43051000000000006,3008.54538427
1523269920000,0.43051000000000006,0.43051000000000006,0.43051000000000006,0.43051000000000006,0.00014055
1523269980000,0.4202,0.4202,0.4202,0.4202,40.5252888
1523270040000,0.4202,0.4202,0.4202,0.4202,1084.49836564
1523270100000,0.4202,0.4202,0.4202,0.4202,156.0
1523270520000,0.4201,0.4201,0.4201,0.4201,35.0
1523270700000,0.42,0.42,0.42,0.42,92.72791429
1523270880000,0.4161,0.414,0.4161,0.414,5456.664000000001
1523270940000,0.414,0.419,0.419,0.414,170.33599999999998
1523271480000,0.4159,0.41563999999999995,0.4159,0.41563999999999995,542.27208571
1523271540000,0.41403999999999996,0.41,0.41403999999999996,0.41,607.74994484
1523271720000,0.4048,0.4048,0.4048,0.4048,44.8673556
1523272500000,0.4062,0.4062,0.4062,0.4062,165.35325500000002
1523273220000,0.4064,0.4064,0.4064,0.4064,82.64673009
1523273700000,0.4065,0.4065,0.4065,0.4065,83.28737838
1523273940000,0.4064,0.40633,0.4064,0.40633,7544.1
1523274060000,0.40634000000000003,0.40613,0.40634000000000003,0.40613,19357.97888887
1523281560000,0.4238,0.424,0.424,0.4238,2627.87747826
1523282640000,0.3967,0.3967,0.3967,0.3967,28.9466778
1523291940000,0.41758999999999996,0.41758999999999996,0.41758999999999996,0.41758999999999996,26.0
1523292360000,0.41700000000000004,0.41700000000000004,0.41700000000000004,0.41700000000000004,500.0
1523292780000,0.41697,0.41697,0.41697,0.41697,146.85352571
1523304060000,0.3995,0.3995,0.3995,0.3995,30.393966600000002
1523305260000,0.41200000000000003,0.4126,0.4126,0.41200000000000003,3184.75548358
1523305320000,0.41268999999999995,0.41600000000000004,0.41600000000000004,0.41268999999999995,41916.3333
1523305560000,0.42,0.4214,0.4214,0.42,2858.05331692
1523308920000,0.418,0.418,0.418,0.418,84.73597159999998
1523326920000,0.40839000000000003,0.40839000000000003,0.40839000000000003,0.40839000000000003,377.29128383
1523335140000,0.41358999999999996,0.41358999999999996,0.41358999999999996,0.41358999999999996,5358.0
1523355480000,0.41200000000000003,0.41200000000000003,0.41200000000000003,0.41200000000000003,49.426
1523356380000,0.41200000000000003,0.41200000000000003,0.41200000000000003,0.41200000000000003,59.82524272
1523357100000,0.41239,0.41239,0.41239,0.41239,26.0
1523357460000,0.39843,0.3977,0.39843,0.3977,376.53670126
1523358540000,0.4126,0.4126,0.4126,0.4126,50.0
1523358600000,0.4126,0.4126,0.4126,0.4126,45.0
1523360400000,0.41268999999999995,0.41268999999999995,0.41268999999999995,0.41268999999999995,26.0
1523360880000,0.4131,0.41318999999999995,0.41318999999999995,0.4131,169.83481573
1523366520000,0.42,0.42,0.42,0.42,999.99989578
1523366760000,0.42,0.42,0.42,0.42,0.00010422
1523380560000,0.4149,0.4149,0.4149,0.4149,45.62838648
1523380860000,0.41453,0.41453,0.41453,0.41453,400.0
1523383020000,0.41921,0.41921,0.41921,0.41921,181.23089826
1523389800000,0.43438000000000004,0.43438000000000004,0.43438000000000004,0.43438000000000004,78.70884333
1523394240000,0.42668999999999996,0.42668999999999996,0.42668999999999996,0.42668999999999996,134.86744954
1523396940000,0.41386000000000006,0.41385,0.41386000000000006,0.41385,195.4431461
1523407560000,0.4189,0.41003999999999996,0.4189,0.41003999999999996,89.64689424
1523419140000,0.43813,0.43813,0.43813,0.43813,50.0
1523429220000,0.426,0.426,0.426,0.426,560.0
1523430360000,0.42,0.42,0.42,0.42,68.00799419
1523434020000,0.4323,0.4323,0.4323,0.4323,2500.0
1523448840000,0.4399,0.44618,0.44618,0.4399,67.57695527999999
1523452200000,0.45027,0.45027,0.45027,0.45027,400.0
1523453580000,0.45009,0.4501,0.4501,0.45009,742.44794088
1523455620000,0.42851999999999996,0.4285,0.42851999999999996,0.4285,490.0
1523456640000,0.4519,0.45577,0.45577,0.4519,60.431959
1523457420000,0.4296,0.42958,0.4296,0.42958,485.2000000000001
1523465160000,0.45297,0.45299999999999996,0.45299999999999996,0.45297,1500.0
1523465940000,0.43188999999999994,0.43186,0.43188999999999994,0.43186,1497.0
1523477940000,0.45477,0.45477,0.45477,0.45477,26.0
1523478120000,0.45419,0.45419,0.45419,0.45419,50.0
1523484060000,0.45408999999999994,0.45408999999999994,0.45408999999999994,0.45408999999999994,26.0
1523487360000,0.45408999999999994,0.4541,0.4541,0.45408999999999994,174.21757187
1523487600000,0.4541,0.4541,0.4541,0.4541,38.5628739
1523490000000,0.4523,0.4523,0.4523,0.4523,58.0
1523490840000,0.45418000000000003,0.45418000000000003,0.45418000000000003,0.45418000000000003,50.0
1523493120000,0.45418000000000003,0.45418000000000003,0.45418000000000003,0.45418000000000003,124.0
1523496000000,0.45418000000000003,0.45987,0.45987,0.45418000000000003,135.0
1523496600000,0.4595,0.46,0.46,0.4595,5428.794000780002
