time,open,close,high,low,volume
1533844800000,0.6,0.6,0.6,0.6,0.8181537
1533865320000,0.36699,0.36699,0.36699,0.36699,70.59656394
1533899460000,0.3,0.3,0.3,0.3,192.06210573
1533900660000,0.365,0.365,0.365,0.365,310.99376334
1533902040000,0.365,0.365,0.365,0.365,138.94046405
1533902100000,0.365,0.365,0.365,0.365,136.97753424
1533907080000,0.365,0.365,0.365,0.365,140.0
1533952380000,0.3488,0.3488,0.3488,0.3488,100.0
1533952740000,0.30001,0.3,0.30001,0.3,99.8
1533990540000,0.3,0.3,0.3,0.3,8.13789427
1534076880000,0.23501999999999998,0.23501999999999998,0.23501999999999998,0.23501999999999998,138.72
1534087980000,0.25555,0.25555,0.25555,0.25555,138.44256000000001
1534104840000,0.34799,0.34799,0.34799,0.34799,500.0
1534104900000,0.34799,0.34799,0.34799,0.34799,250.0
1534163820000,0.34799,0.34799,0.34799,0.34799,90.69563487
1534206960000,0.256,0.256,0.256,0.256,150.21295456
1534212300000,0.245,0.23456,0.245,0.23456,50.24072956
1534225680000,0.345,0.345,0.345,0.345,30.0
1534243080000,0.23458,0.23456,0.23458,0.23456,495.98138845
1534250220000,0.235,0.235,0.235,0.235,45.0
1534250700000,0.235,0.235,0.235,0.235,100.0
1534285860000,0.23399999999999999,0.23399999999999999,0.23399999999999999,0.23399999999999999,1050.0
1534315320000,0.2339,0.2339,0.2339,0.2339,200.0
1534315620000,0.2339,0.2339,0.2339,0.2339,41.0
1534315740000,0.2339,0.2339,0.2339,0.2339,50.0
1534318860000,0.2339,0.2339,0.2339,0.2339,1000.0
1534318920000,0.2339,0.235,0.235,0.2339,2649.0932000000007
1534338420000,0.235,0.235,0.235,0.235,100.0
1534350120000,0.235,0.235,0.235,0.235,446.0
1534390560000,0.2352,0.22899999999999998,0.2352,0.22899999999999998,80.05191471
1534396020000,0.25,0.25,0.25,0.25,131.52388021
1534396380000,0.25,0.25,0.25,0.25,30.0
1534484640000,0.249,0.249,0.249,0.249,100.0
1534735800000,0.25,0.251,0.251,0.25,200.0
1534735860000,0.2948,0.2948,0.2948,0.2948,100.0
1534735920000,0.2948,0.298,0.298,0.2948,2250.0
1534736040000,0.28756,0.28756,0.28756,0.28756,200.00460515
1534737840000,0.28756,0.28756,0.28756,0.28756,192.54927476
1534742220000,0.27146,0.27146,0.27146,0.27146,2000.0
1534742520000,0.27147,0.27147,0.27147,0.27147,8933.0
1534742880000,0.27145,0.27145,0.27145,0.27145,1660.0932
1534743360000,0.2715,0.2715,0.2715,0.2715,8933.0
1534743960000,0.2815,0.2815,0.2815,0.2815,7803.1
1534745520000,0.2899,0.2899,0.2899,0.2899,9870.0
1534745820000,0.2898,0.2898,0.2898,0.2898,13546.0
1534746600000,0.27999,0.27999,0.27999,0.27999,9236.32
1534747860000,0.278,0.26,0.28399,0.26,9684.75138051
1534748460000,0.26,0.26,0.26,0.26,1540.0
1534749600000,0.25,0.25,0.25,0.25,6118.3432
1534751340000,0.25,0.25,0.25,0.25,3496.0932
1534759500000,0.26,0.26,0.26,0.26,50.0
1534759560000,0.26,0.26,0.26,0.26,112.85
1534759680000,0.278,0.278,0.278,0.278,900.0
1534763160000,0.278,0.2832,0.2832,0.278,7894.255999999999
1534763760000,0.2831,0.2831,0.2831,0.2831,7965.415
1534764180000,0.2831,0.2831,0.2831,0.2831,5412.32
1534764600000,0.2831,0.2831,0.2831,0.2831,7456.25
1534766160000,0.2832,0.2832,0.2832,0.2832,8753.32
1534768260000,0.28300000000000003,0.2832,0.2832,0.28300000000000003,18963.0
1534770660000,0.25,0.25,0.25,0.25,285.55704369
1534770720000,0.25,0.25,0.25,0.25,60.00050607
1534771980000,0.25,0.25,0.25,0.25,129.99331752
1534788780000,0.28,0.28,0.28,0.28,790.0
1534794960000,0.252,0.252,0.252,0.252,1406.75599975
1534798440000,0.253,0.253,0.253,0.253,1071.8862980499996
