time,open,close,high,low,volume
1524753960000,1.2,1.2,1.2,1.2,752.6030000000001
1524754200000,1.25,1.25,1.25,1.25,800.0
1524754260000,1.3,1.3,1.3,1.3,11000.0
1524754320000,1.3,1.3,1.3,1.3,10260.18812855
1524754380000,1.3,1.3,1.3,1.3,6726.15978816
1524754440000,1.3,1.3,1.3,1.3,12013.65208329
1524754560000,1.35,1.35,1.35,1.35,30.0
1524754620000,1.3001,1.3,1.3001,1.3,16675.6027613
1524754800000,1.29,1.29,1.29,1.29,10.0
1524754860000,1.29,1.2890000000000001,1.29,1.2890000000000001,14293.0
1524755280000,1.278,1.2,1.278,1.2,416.66661147
1524755340000,1.13,1.13,1.13,1.13,408.92025927
1524755520000,1.278,1.278,1.278,1.278,225.0
1524755640000,1.2770000000000001,1.268,1.2770000000000001,1.268,335.6171399600001
1524755760000,1.268,1.268,1.268,1.268,48.15965303
1524755820000,1.268,1.268,1.268,1.268,115.72984056
1524755880000,1.1402,1.1402,1.1402,1.1402,16.21428656
1524756000000,1.2670000000000001,1.268,1.268,1.2670000000000001,339.0
1524756060000,1.268,1.268,1.268,1.268,1108.20146654
1524756180000,1.265,1.268,1.268,1.265,190.0
1524756240000,1.268,1.268,1.268,1.268,80.0
1524756300000,1.268,1.268,1.268,1.268,8340.73389991
1524756360000,1.276,1.276,1.276,1.276,5412.22131661
1524756420000,1.276,1.276,1.276,1.27,11858.28064712
1524756480000,1.276,1.3,1.3,1.275,32641.51673355
1524756540000,1.3,1.35,1.35,1.3,7754.150093749998
1524756600000,1.35,1.35,1.35,1.35,9075.90252913
1524756660000,1.2701,1.2701,1.2701,1.2701,34.19556584
1524756720000,1.34,1.45,1.45,1.34,20503.32591854
1524757080000,1.35,1.35,1.35,1.35,6053.86868071
1524757140000,1.35,1.35,1.35,1.35,220.0
1524757200000,1.2804,1.32,1.35,1.2804,3262.12250717
1524757260000,1.32,1.32,1.32,1.32,96.0
1524757320000,1.2804,1.2803,1.2804,1.2803,3062.13131929
1524757380000,1.2803,1.32,1.32,1.2803,1421.65548315
1524757440000,1.32,1.32,1.32,1.32,118.0
1524757620000,1.32,1.32,1.32,1.32,550.35332897
1524758100000,1.36,1.36,1.36,1.36,1195.0
1524758160000,1.36,1.36,1.36,1.36,25.0
1524759180000,1.348,1.348,1.348,1.348,304.91083587
1524759480000,1.339,1.339,1.339,1.339,751.8503969999999
1524759540000,1.339,1.339,1.339,1.339,520.17650233
1524759600000,1.339,1.339,1.339,1.33,127.24440382
1524759720000,1.3387,1.3387,1.3387,1.3387,126.0
1524760680000,1.31,1.31,1.31,1.31,141.98887958
1524760740000,1.3,1.3,1.3,1.3,65.0
1524760800000,1.3,1.31,1.31,1.3,3513.76152042
1524760860000,1.31,1.31,1.31,1.31,11597.03733767
1524760980000,1.31,1.31,1.31,1.31,8487.64457716
1524761040000,1.31,1.31,1.31,1.31,16.82794761
1524761160000,1.31,1.31,1.31,1.31,26.60903776
