time,open,close,high,low,volume
1525965660000,1182.0,1182.0,1182.0,1182.0,0.04549208
1525967220000,1496.0,1496.0,1496.0,1496.0,0.195
1525967700000,1496.0,1496.0,1496.0,1496.0,0.07
1525968600000,1100.2,1090.7,1100.2,1090.7,0.06986
1525972740000,1488.0,1488.0,1488.0,1488.0,0.001
1525973760000,1478.0,1478.0,1478.0,1478.0,0.02
1525974900000,1079.6,1000.0,1079.6,1000.0,0.0454011
1525977660000,1476.9,1476.9,1476.9,1476.9,0.015
1525979820000,1100.2,1050.1,1100.2,1050.1,0.971
1525979940000,1398.0,1398.0,1398.0,1398.0,0.05
1525980300000,1398.0,1398.0,1398.0,1398.0,0.02341387
1525983180000,1398.0,1399.9,1399.9,1398.0,1.015
1525984560000,1069.3,1069.3,1069.3,1069.3,0.09613052
1525984620000,1063.4,1063.4,1063.4,1063.4,0.02451206
1526002080000,1399.9,1399.9,1399.9,1399.9,0.001
1526018880000,1043.0,1043.0,1043.0,1043.0,0.01
1526019360000,1356.0,1397.9,1397.9,1356.0,0.2
1526023680000,1051.0,1045.0,1051.0,1045.0,1.3352892
1526023920000,1021.0,1021.0,1021.0,1021.0,0.5
1526046000000,1155.0,1155.0,1155.0,1155.0,0.01435607
1526046060000,1022.0,1022.0,1022.0,1022.0,0.03995028
1526047200000,1155.0,1155.0,1155.0,1155.0,0.04450884
1526047920000,1022.0,1022.0,1022.0,1022.0,4.972e-05
1526052960000,979.0,979.0,979.0,979.0,0.27570399
1526073600000,1008.1,1008.1,1008.1,1008.1,0.005
1526080860000,984.2,984.2,984.2,984.2,0.15240804
1526093220000,955.7,955.7,955.7,955.7,0.02
1526093280000,1018.8,1018.8,1018.8,1018.8,0.02
1526106000000,915.4,915.4,915.4,915.4,0.02334659
1526106540000,934.3,934.3,934.3,934.3,0.11168659
1526110140000,1050.9,1050.9,1050.9,1050.9,0.40736803
1526118780000,1094.9,1094.9,1094.9,1094.9,0.03
1526146200000,930.2,905.2,930.2,905.2,0.17865184
1526163000000,939.9,939.9,939.9,939.9,0.02
1526211480000,939.9,939.9,939.9,939.9,0.0089
1526231820000,961.47,961.47,961.47,961.47,0.02477747
1526234940000,976.32,976.32,976.32,976.32,2.4
1526235840000,950.38,949.85,950.38,949.85,2.4040822000000004
1526268180000,959.9,959.88,959.9,959.88,0.9116668
1526268360000,959.88,959.88,959.88,959.88,0.09989498
1526269140000,959.88,959.88,959.88,959.88,0.05208769
1526272860000,939.22,923.21,939.22,923.21,0.38441
1526287200000,935.59,935.59,935.59,935.59,0.04446433
1526301720000,935.25,935.2,935.25,935.2,0.4995000000000001
1526323320000,972.99,972.99,972.99,972.99,0.3
1526362980000,954.65,954.65,954.65,954.65,0.16016017
1526366820000,956.19,956.19,956.19,956.19,0.1000959
1526422440000,942.07,942.07,942.07,942.07,0.05
1526424420000,926.1,925.93,926.1,925.93,0.1220462
1526435160000,920.6,920.6,920.6,920.6,0.120324
1526435220000,920.6,920.6,920.6,920.6,0.25135438
1526437920000,915.58,915.58,915.58,915.58,0.11585798
1526450100000,894.44,894.44,894.44,894.44,0.058039
1526456160000,909.79,909.79,909.79,909.79,0.02
1526461800000,895.51,895.51,895.51,895.51,0.02
1526508060000,919.9,919.9,919.9,919.9,0.02
1526509920000,875.61,875.61,875.61,875.61,0.02339046
1526558580000,879.36,879.36,879.36,879.36,0.09946369999999999
1526578320000,902.68,902.68,902.68,902.68,0.133
1526584020000,951.49,951.49,951.49,951.49,0.48
1526589120000,896.04,896.04,896.04,896.04,0.26
1526691720000,872.92,872.91,872.92,872.91,0.84
1526705760000,881.0,881.0,881.0,881.0,0.025
1526731200000,923.59,923.59,923.59,923.59,0.15563205
1526737500000,950.2,951.3,951.3,950.2,0.5
1526744760000,923.9,923.9,923.9,923.9,0.59
1526769120000,925.69,925.69,925.69,925.69,0.43
1526769360000,914.2,914.2,914.2,914.2,0.13
1526786340000,905.9,919.89,919.89,905.9,1.0
1526791560000,888.8,885.12,888.8,885.12,0.58
1526798280000,886.5,886.4,886.5,886.4,0.5
1526802660000,884.1,950.69,950.69,884.1,0.61660673
1526809260000,898.88,895.01,927.39,895.01,2.03278612
1526809320000,927.29,885.9,953.79,883.1,13.42432415
1526809380000,951.4,886.72,951.4,886.7,1.04040731
1526822280000,926.37,926.37,926.37,926.37,0.056046900000000004
1526827620000,925.98,925.99,925.99,925.98,0.46
1526833560000,925.0,925.0,925.0,925.0,0.16125
1526880240000,935.4,935.41,935.41,935.4,0.45
1526880420000,935.4,935.4,935.4,935.4,0.08
1526904900000,941.44,941.45,941.45,941.44,0.0398
1526920500000,930.58,930.59,930.59,930.58,0.259
1526921160000,896.99,896.99,896.99,896.99,0.1998
1526921460000,896.99,896.99,896.99,896.99,0.5
1526936760000,898.69,898.69,898.69,898.69,0.33
1526938500000,899.63,899.63,899.63,899.63,0.5
1526948940000,934.09,934.09,934.09,934.09,0.02
1526949000000,901.65,901.65,901.65,901.65,0.03992
1526951820000,892.0,887.51,892.0,887.51,0.5
1526979900000,884.81,884.81,884.81,884.81,0.066149
1527022500000,883.0,883.0,883.0,883.0,0.30158
1527022680000,883.0,883.0,883.0,883.0,0.12066306
1527022740000,883.0,883.0,883.0,883.0,0.09775694
1527036420000,878.69,878.69,878.69,878.69,1.0
1527037740000,840.81,840.81,840.81,840.81,3.909
1527045120000,834.46,834.46,834.46,834.46,0.5
1527061320000,840.12,840.12,840.12,840.12,0.06085533
1527064560000,828.41,828.41,828.41,828.41,0.1
1527090240000,811.92,811.92,811.92,811.92,0.14
1527095940000,528.3,528.3,528.3,528.3,0.5
1527096960000,777.28,777.28,777.28,777.28,0.05
