time,open,close,high,low,volume
1539953880000,0.06,0.06,0.06,0.06,2.9937006
1539954300000,0.06,0.06,0.06,0.06,1.84901533
1539956580000,0.06,0.06,0.06,0.06,0.44220725
1539957840000,0.02408,0.02408,0.02408,0.02408,55.0
1539963120000,0.055,0.055,0.055,0.055,1.34407128
1540016880000,0.055,0.055,0.055,0.055,1.5
1540081680000,0.055,0.055,0.055,0.055,1.81
1540240500000,0.055,0.055,0.055,0.055,2.1
1540303320000,0.055,0.055,0.055,0.055,2.1
1540325040000,0.037002999999999994,0.037002999999999994,0.037002999999999994,0.037002999999999994,1.4969999999999999
1540462380000,0.047,0.047,0.047,0.047,11.54451569
1540497420000,0.06,0.06,0.06,0.06,5.0
1540497480000,0.05037,0.05037,0.05037,0.05037,2.0
1540497540000,0.050658,0.050658,0.050658,0.050658,2.99
1540500420000,0.059723000000000005,0.06,0.06,0.059723000000000005,13.07408471
1540500660000,0.06,0.06,0.06,0.06,2.0
1540500840000,0.06,0.06,0.06,0.06,2.0
1540502940000,0.051169,0.050363,0.051169,0.050363,16.0
1540563720000,0.0585,0.0585,0.0585,0.0585,19.9101
1540583160000,0.059000000000000004,0.059000000000000004,0.059000000000000004,0.059000000000000004,2.0
1540584240000,0.0585,0.0585,0.0585,0.0585,6.11911882
1540636860000,0.069997,0.07,0.07,0.069997,200.0
1540637400000,0.069994,0.07,0.07,0.069994,500.0
1540638000000,0.07,0.07,0.07,0.07,3.28550962
1540638180000,0.07,0.07,0.07,0.07,118.45869099999999
1540638360000,0.07,0.07,0.07,0.07,294.9633545
1540640280000,0.07,0.07,0.07,0.07,8.04321247
1540640640000,0.07,0.07,0.07,0.07,4.25639451
1540640880000,0.07,0.07,0.07,0.07,19.08109938
1540640940000,0.07,0.069961,0.07,0.069961,28.57964322
1540655100000,0.066069,0.066069,0.066069,0.066069,7.81176845
1540655160000,0.058534,0.058534,0.058534,0.058534,2.33244336
1540690680000,0.065,0.065,0.065,0.065,4.10924854
1540719600000,0.065,0.065,0.065,0.065,5.86436261
1540779960000,0.06696,0.06696,0.06696,0.06696,15.42734152
1540945380000,0.07,0.07,0.07,0.07,20.0
1541026980000,0.07,0.07,0.07,0.07,4.93975328
1541059680000,0.07,0.07,0.07,0.07,104.99
1541061300000,0.069,0.069,0.069,0.069,9.79523919
1541061600000,0.07,0.07,0.07,0.07,100.0
1541061840000,0.07,0.07,0.07,0.07,200.0
1541062920000,0.07,0.0699,0.07,0.0699,8.90786057
1541063160000,0.0699,0.0699,0.0699,0.0699,2.0
1541065200000,0.07,0.07,0.07,0.07,15.33142857
1541065560000,0.07,0.07,0.07,0.07,10.07364285
1541067240000,0.07,0.07,0.07,0.07,62.84966771
1541067300000,0.07,0.07,0.07,0.07,170.0
1541068860000,0.07,0.07,0.07,0.07,71.33142857
