time,open,close,high,low,volume
1539882420000,2900.0,2900.0,2900.0,2900.0,0.05898233
1539888120000,15.0,15.0,15.0,15.0,1.44717888
1539889500000,150.0,150.0,150.0,150.0,0.00666666
1539889680000,140.0,140.0,140.0,140.0,0.00666667
1539889740000,15.005,15.005,15.005,15.005,2.0
1539889800000,15.005,15.001,15.005,15.001,2.7
1539890400000,10.01,10.01,10.01,10.01,3.18304418
1539891480000,15.0,15.0,15.0,15.0,0.17667809
1539891540000,20.0,20.0,20.0,20.0,2.0
1539892500000,10.3,10.3,10.3,10.3,1.0
1539895980000,10.505,10.300999999999998,10.505,10.300999999999998,5.32755012
1539896040000,10.3,10.2,10.3,10.2,0.67244988
1539896100000,10.2,10.2,10.2,10.2,1.6942622999999999
1539898500000,9.8,9.8,9.8,9.8,1.21427876
1539921360000,9.99,9.99,9.99,9.99,10.01001001
1539921480000,9.99,9.99,9.99,9.99,2.002002
1539936240000,9.99,9.99,9.99,9.99,3.29150619
1539944820000,9.99,9.99,9.99,9.99,26.0
1539947400000,9.99,9.99,9.99,9.99,31.626481800000004
1539950220000,12.0,12.0,12.0,12.0,70.967
1539951240000,12.0,12.0,12.0,12.0,0.033
1539952860000,15.0,15.0,15.0,15.0,3.88003056
1539953880000,13.0,12.5,13.0,12.5,6.83356827
1539953940000,13.0,13.0,13.0,13.0,4.546553299999999
1539954000000,14.0,15.0,15.0,14.0,14.0
1539954060000,15.0,15.0,15.0,15.0,6.0
1539954180000,18.0,18.0,18.0,18.0,2.0
1539955500000,19.0,20.0,20.0,19.0,12.63433323
1539957840000,12.022,10.769,12.022,10.769,29.464215799999998
1539957900000,10.0,10.0,10.0,10.0,25.4257842
1539961560000,10.01,10.01,10.01,10.01,8.07361853
1539962880000,11.0,11.0,11.0,11.0,1.09653521
1539962940000,11.0,11.0,11.0,11.0,8.90346479
1539963060000,12.0,12.0,12.0,12.0,1.31503365
1539963120000,12.0,12.0,12.0,12.0,12.78195173
1539963180000,12.0,12.0,12.0,12.0,0.01160953
1539963240000,12.0,12.0,12.0,12.0,1.18740594
1539965580000,10.5,10.5,10.5,10.5,24.20134295
1539972120000,11.99,11.99,11.99,11.99,5.0
1540017900000,10.1,9.8,10.1,9.8,25.94
1540059300000,9.85,9.85,9.85,9.85,2.94849969
1540112880000,9.8,9.8,9.8,9.8,2.59024336
1540134960000,9.01,9.0,9.01,9.0,1.04
1540223880000,8.8,8.001,8.8,8.001,6.2195952499999985
1540223940000,8.001,8.001,8.001,8.001,5.572945
1540224060000,7.61,7.61,7.61,7.61,5.76640815
1540240140000,7.6999,7.7,7.7,7.6999,16.2465685
1540267260000,10.99,10.99,10.99,10.99,4.5940153
1540364760000,7.89,7.89,7.89,7.89,2.32235141
1540462380000,9.5092,9.5092,9.5092,9.5092,11.57344931
1540472880000,10.999,11.0,11.0,10.999,14.78941763
1540478880000,11.012,11.0,11.012,11.0,11.14086004
1540497480000,11.001,11.001,11.001,11.001,2.0
1540497540000,11.012,11.012,11.012,11.012,2.98402
1540500300000,18.0,18.0,18.0,18.0,5.0
1540500360000,13.0,13.0,13.0,13.0,4.9
1540500420000,17.499000000000002,17.4,17.5,17.4,17.93732112
1540500480000,17.2,17.2,17.2,17.2,3.97
1540500540000,13.2,13.2,13.2,13.2,13.7
1540500600000,16.88,17.1,17.1,16.88,16.68
1540500660000,13.481,13.481,13.481,13.481,9.36836493
1540500720000,13.6,16.9,16.9,13.6,29.3
1540500780000,16.899,16.8,16.9,16.8,14.8
1540500840000,13.800999999999998,14.171,14.171,13.800999999999998,31.29890749
1540500900000,16.2,16.2,16.2,16.2,19.97
1540501020000,14.3,14.3,14.3,14.3,20.0
1540501080000,15.915999999999999,16.0,16.0,15.915999999999999,19.9
1540501140000,15.8,14.530999999999999,15.8,14.530999999999999,13.3
1540501200000,14.6,15.6,15.6,14.6,57.9
1540501320000,14.901,15.0,15.0,14.901,29.0
1540501380000,17.6,17.0,17.6,17.0,29.0
1540501440000,15.2,15.2,15.2,15.2,2.0
1540501500000,15.4,16.982,16.982,15.4,28.9
1540501560000,16.8,15.700999999999999,16.8,15.700999999999999,28.8
1540501620000,15.75,15.5,15.75,15.5,26.8
1540501680000,16.65,16.65,16.65,16.65,20.0
1540501800000,16.0,16.0,16.0,16.0,7.0
1540501860000,16.0,17.5,18.0,16.0,38.6
1540501920000,16.2,16.2,16.2,16.2,13.0
1540501980000,16.2,16.95,16.95,16.2,14.7
1540502040000,16.9,16.2,16.9,16.2,28.0
1540502100000,15.5,15.5,15.5,15.5,19.9
1540502160000,15.999,15.0,16.0,15.0,48.0
1540502220000,15.8,15.8,15.8,15.8,14.66
1540502460000,14.562999999999999,16.74,16.74,14.562999999999999,16.6
1540502520000,16.4,16.4,16.4,16.4,12.57
1540502580000,14.5,14.5,14.5,14.5,14.6
1540502640000,14.3,14.3,14.3,14.3,5.0
1540502880000,12.001,12.001,12.001,12.001,3.96418511
1540503060000,13.9,13.7,13.9,13.485,18.0
1540503120000,11.625,11.0,11.625,11.0,35.33806014
1540503240000,10.0,10.999,10.999,10.0,7.0
1540503300000,10.999,11.383,11.383,10.999,4.3562
1540503360000,15.8,14.0,15.8,14.0,6.0
1540503420000,11.625,11.625,11.625,11.625,2.57548388
1540503480000,10.1,10.011000000000001,10.1,10.011000000000001,13.8
1540503540000,12.84,11.0,13.0,11.0,12.2
