time,open,close,high,low,volume
1515427200000,0.25,0.25,0.25,0.25,80.0
1515449100000,0.25,0.25,0.25,0.25,46261.14229604
1515449160000,0.25,0.2499,0.25,0.2499,8721.026416399998
1515449220000,0.2499,0.25,0.25,0.2499,8541.89529464
1515449280000,0.25,0.25,0.25,0.25,374.55409896
1515449340000,0.25,0.25,0.25,0.25,42021.38189396
1515449400000,0.25,0.25,0.2598,0.2499,51392.46148283
1515449460000,0.2598,0.2599,0.26,0.2393,47288.06553957
1515449520000,0.2499,0.217,0.2599,0.217,14174.57468597
1515449580000,0.24,0.2579,0.2598,0.215,36532.52510079
1515449640000,0.23,0.2578,0.2578,0.22,17350.70915234
1515449700000,0.2578,0.255,0.2578,0.233,49229.66396224
1515449760000,0.2549,0.25,0.2549,0.2401,50843.95781833
1515449820000,0.2499,0.2496,0.2499,0.24,67121.65326807
1515449880000,0.2497,0.24001999999999998,0.2497,0.2331,46478.86866927
1515449940000,0.2402,0.24,0.2499,0.24,101831.08126247
1515450000000,0.2499,0.2493,0.2699,0.24,130321.33158883
1515450060000,0.2409,0.24499,0.2698,0.2402,110476.67918704
1515450120000,0.24499,0.2449,0.2479,0.24,69658.95184115
1515450180000,0.244,0.2439,0.244,0.24,46476.36270692
1515450240000,0.2437,0.2389,0.2439,0.2389,22451.63583049
1515450300000,0.2389,0.2389,0.24,0.2389,61851.35188129
1515450360000,0.2389,0.24348000000000003,0.2435,0.2389,43125.84834261
1515450420000,0.2389,0.2389,0.25,0.231,66356.46147278
1515450480000,0.2361,0.2379,0.2561,0.235,43255.84385944
1515450540000,0.2379,0.2379,0.2537,0.2378,40343.422996
1515450600000,0.2379,0.2379,0.2538,0.2379,117222.10975144
1515450660000,0.2398,0.2398,0.265,0.23454,122193.61902426
1515450720000,0.2635,0.2494,0.2698,0.235,104493.27172156
1515450780000,0.2494,0.2351,0.2494,0.235,81448.74443503
1515450840000,0.237,0.237,0.248,0.235,79834.17717943
1515450900000,0.24100000000000002,0.237,0.24100000000000002,0.237,51599.72206685
1515450960000,0.2371,0.2419,0.242,0.237,48148.26865474
1515451020000,0.24100000000000002,0.2449,0.2449,0.24100000000000002,53840.87768586
1515451080000,0.2449,0.2451,0.2498,0.242,37602.26107503
1515451140000,0.242,0.24899000000000002,0.249,0.2411,116110.62465869
1515451200000,0.24520999999999998,0.24520999999999998,0.251,0.242,36878.3906677
1515451260000,0.24520999999999998,0.24799000000000002,0.24809,0.24111,18375.08723384
1515451320000,0.24799000000000002,0.25,0.251,0.245,32531.73308821
1515451380000,0.25,0.26399,0.2646,0.245,91622.8155051
1515451440000,0.2634,0.2583,0.264,0.2583,30112.85136288
1515451500000,0.2583,0.2583,0.2616,0.255,18158.955454299998
1515451560000,0.255,0.2616,0.2616,0.2526,30095.65543338
1515451620000,0.2616,0.2583,0.264,0.2533,59916.41409769
1515451680000,0.263,0.256,0.267,0.255,42571.16752934
1515451740000,0.255,0.26399,0.2669,0.2536,69097.98533953
1515451800000,0.26399,0.254,0.26399,0.2537,7034.33332231
1515451860000,0.262,0.254,0.262,0.2536,47478.07799297
1515451920000,0.26,0.25999,0.26,0.2541,29651.42465694
1515451980000,0.26,0.2597,0.26,0.25422,32312.79711161
1515452040000,0.2557,0.255,0.2557,0.25422,42896.44352739
1515452100000,0.255,0.255,0.255,0.25422,43270.84630759
1515452160000,0.2543,0.2549,0.2549,0.25422,102491.66842284
1515452220000,0.2549,0.2549,0.255,0.2549,92141.95995774
1515452280000,0.25489,0.25489,0.25489,0.25422,8381.71126872
1515452340000,0.25488,0.254,0.255,0.254,5314.0540734
1515452400000,0.255,0.25498000000000004,0.255,0.254,48439.88239366
1515452460000,0.254,0.253,0.25499,0.253,24370.78209242
1515452520000,0.253,0.2522,0.253,0.2522,20954.86492261
1515452580000,0.2523,0.2522,0.2523,0.2522,19466.89314697
1515452640000,0.25,0.25229,0.25229,0.25,15272.41401082
1515452700000,0.2501,0.2501,0.2501,0.25,5439.70231543
1515452760000,0.2501,0.249,0.2501,0.2351,77760.05012677
1515452820000,0.2361,0.249,0.249,0.23600000000000002,2715.0
