time,open,close,high,low,volume
1530252000000,2.29e-06,2.29e-06,2.29e-06,2.29e-06,11000.0
1530255300000,3e-08,3e-08,3e-08,3e-08,9980.0
1530306900000,1.623e-05,1.623e-05,1.623e-05,1.623e-05,2000.0
1530346560000,1.6e-05,1.6e-05,1.6e-05,1.6e-05,1222.0
1530349080000,1.55e-05,1.55e-05,1.55e-05,1.55e-05,1908.271875
1530427800000,4.9000000000000005e-06,4.9000000000000005e-06,4.9000000000000005e-06,4.9000000000000005e-06,1000.0
1530484800000,5.1e-07,5.1e-07,5.1e-07,5.1e-07,1219.556
1530485940000,4.61e-06,4.61e-06,4.61e-06,4.61e-06,2232.13295738
1530511380000,3.4e-06,3.4e-06,3.4e-06,3.4e-06,1000.0
1530513600000,3.4e-06,3.4e-06,3.4e-06,3.4e-06,998.23058353
1530590400000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,20000.0
1530590580000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,16351.27272727
1530591660000,5.5e-07,5.5e-07,5.5e-07,5.5e-07,29344.23636364
1530592020000,5.1e-07,5.1e-07,5.1e-07,5.1e-07,8478.76470588
1530592800000,6.6e-07,6.6e-07,6.6e-07,6.6e-07,31595.5
1530592920000,6.7e-07,6.7e-07,6.7e-07,6.7e-07,35826.02985074
1530593340000,7.5e-07,7.5e-07,7.5e-07,7.5e-07,8124.85377055
1530679560000,4.64e-06,4.64e-06,4.64e-06,4.64e-06,1238.76
1530680280000,4.5e-06,4.5e-06,4.5e-06,4.5e-06,787.3
1530704340000,1e-06,1e-06,1e-06,1e-06,772.0
1530880800000,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,1017.25428571
1530885180000,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,888.0
1530894060000,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,94.74571429
1531090980000,6.36e-06,6.36e-06,6.36e-06,6.36e-06,1000.0
1531132800000,1.55e-06,1.55e-06,1.55e-06,1.55e-06,1540.912
1531133760000,2.55e-06,2.55e-06,2.55e-06,2.55e-06,780.0
1531429200000,6.3e-06,6.3e-06,6.3e-06,6.3e-06,773.0
1531430520000,2.65e-06,2.65e-06,2.65e-06,2.65e-06,2271.79573326
1531440360000,2.65e-06,2.65e-06,2.65e-06,2.65e-06,728.20426674
1531643520000,5.93e-06,6.38e-06,6.38e-06,5.93e-06,7994.0
1531643580000,6.37e-06,6.38e-06,6.38e-06,6.37e-06,5000.0
1531690080000,2.75e-06,2.75e-06,2.75e-06,2.75e-06,4987.49501249
1531725660000,2.75e-06,1.9e-06,2.75e-06,1.9e-06,16960.50498751
1531917000000,6.03e-06,6.03e-06,6.03e-06,6.03e-06,6262.83307087
1531917840000,1.91e-06,1.91e-06,1.91e-06,1.91e-06,837.96422935
1532013480000,1.61e-06,1.24e-06,1.61e-06,1.24e-06,6250.30740473
1532787540000,2.5e-06,2.5e-06,2.5e-06,2.5e-06,1502.0
1532882100000,2.2e-06,2.2e-06,2.2e-06,2.2e-06,1875.1788
1532882160000,2.37e-06,2.37e-06,2.37e-06,2.37e-06,1446.9665272
1533136980000,2.4e-06,2.4e-06,2.4e-06,2.4e-06,886.7197669
1533137100000,2.4e-06,2.4e-06,2.4e-06,2.4e-06,4704.8376450000005
1533137160000,2.4e-06,2.5e-06,2.5e-06,2.4e-06,4023.99876342
1533137820000,3e-06,3e-06,3e-06,3e-06,3000.0
1533137880000,3e-06,3e-06,3e-06,3e-06,51727.55095471
1533138540000,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,49997.57919757
1533141660000,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,3.5000000000000004e-06,2.42080243
1533147600000,1.32e-06,1.32e-06,1.32e-06,1.32e-06,5480.79425239
1533147840000,1.33e-06,1.33e-06,1.33e-06,1.33e-06,6603.36292807
1533218280000,3.9e-06,3.9e-06,3.9e-06,3.9e-06,1000.0
1533229620000,3.8e-06,3.9e-06,3.9e-06,3.8e-06,2933.33333333
1533267060000,1.32e-06,1.32e-06,1.32e-06,1.32e-06,11233.0
1533314220000,2.15e-06,2.15e-06,2.15e-06,2.15e-06,11229.68503915
1533316920000,1.32e-06,1.32e-06,1.32e-06,1.32e-06,0.14393939
1533319620000,1e-06,1e-06,1e-06,1e-06,9937.47
1533319980000,6.3e-07,6.3e-07,6.3e-07,6.3e-07,2333.07837737
1533333540000,2e-06,2e-06,2e-06,2e-06,1000.0
1533390660000,1.46e-06,1.46e-06,1.46e-06,1.46e-06,1246.80435661
1533457380000,1.47e-06,1.47e-06,1.47e-06,1.47e-06,2876.0
1533560880000,7.6e-07,7.6e-07,7.6e-07,7.6e-07,4995.0
1533582840000,1.46e-06,1.06e-06,1.46e-06,1.06e-06,37981.0
1533582900000,1.47e-06,1.1e-06,1.47e-06,1.1e-06,75696.53154415
1533582960000,1.3e-06,1.3e-06,1.3e-06,1.3e-06,18829.60693691
1533583020000,1.11e-06,1.11e-06,1.11e-06,1.11e-06,18791.94772304
1533669600000,1.28e-06,1.28e-06,1.28e-06,1.28e-06,33000.0
1533669660000,1.28e-06,1.28e-06,1.28e-06,1.28e-06,5273.63350055
1533776880000,1.12e-06,1.12e-06,1.12e-06,1.12e-06,4137.10318639
1533905400000,1.01e-06,1.01e-06,1.01e-06,1.01e-06,1352.0
1533905460000,1e-06,1.01e-06,1.01e-06,1e-06,1604.96278904
1533905940000,9.9e-07,1e-06,1e-06,9.9e-07,2506.4545446800007
1533906000000,9.9e-07,1e-06,1e-06,9.9e-07,2644.89978698
1533906780000,9.5e-07,9.5e-07,9.5e-07,9.5e-07,1352.0
1533907200000,9.6e-07,9.7e-07,9.7e-07,9.6e-07,2059.22676072
1533908280000,1.06e-06,1.06e-06,1.06e-06,1.06e-06,1641.44408179
1533908340000,1.04e-06,1.04e-06,1.04e-06,1.04e-06,1351.3239999999998
1533909900000,1.07e-06,1.07e-06,1.07e-06,1.07e-06,2702.6479999999997
1533910020000,1.07e-06,1.07e-06,1.07e-06,1.07e-06,1351.3239999999998
1533911520000,1.07e-06,1.07e-06,1.07e-06,1.07e-06,1352.0
1533913260000,1.02e-06,1.03e-06,1.03e-06,1.02e-06,2691.30987587
1533919680000,1.05e-06,1.05e-06,1.05e-06,1.05e-06,1351.3239999999998
1533921300000,1.21e-06,1.07e-06,1.21e-06,1.06e-06,8126.26431352
