time,open,close,high,low,volume
1530251820000,2.99e-05,2.99e-05,2.99e-05,2.99e-05,20000.0
1530257040000,2.99e-05,2.99e-05,2.99e-05,2.99e-05,9215.37072736
1530257100000,2.99e-05,3.1e-05,3.1e-05,2.99e-05,37379.01918408
1530306900000,3.09e-05,3.09e-05,3.09e-05,3.09e-05,772.0
1530402720000,3.1e-05,3.2e-05,3.2e-05,3.1e-05,53405.61007779
1530423660000,3.2e-05,3.2e-05,3.2e-05,3.2e-05,1.077e-05
1530433800000,3.019e-05,3.019e-05,3.019e-05,3.019e-05,5000.0
1530433920000,3.019e-05,2.9999999999999997e-05,3.032e-05,2.9999999999999997e-05,47550.85912826
1530433980000,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,92029.6891103
1530442680000,2.787e-05,2.787e-05,2.787e-05,2.787e-05,1000.0
1530484380000,3.19e-05,3.2e-05,3.2e-05,3.19e-05,52000.0
1530485640000,3.4e-05,3.6e-05,3.6e-05,3.4e-05,131662.41488468
1530507540000,3.11e-05,3.11e-05,3.11e-05,3.11e-05,24628.16514264
1530513600000,3.5799999999999996e-05,3.59e-05,3.59e-05,3.5799999999999996e-05,2328.69072932
1530537060000,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1675.84250918
1530539100000,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,1678.17817818
1530550020000,3.1e-05,2.9999999999999997e-05,3.1e-05,2.9999999999999997e-05,2229.90082442
1530565260000,3.6e-05,3.6e-05,3.6e-05,3.6e-05,1935.61494994
1530565920000,3.6e-05,3.6e-05,3.6e-05,3.6e-05,62.38505006
1530580980000,3.3e-05,3.3e-05,3.3e-05,3.3e-05,1000.0
1530582300000,3.3e-05,3.3e-05,3.3e-05,3.3e-05,1000.0
1530587160000,3.2e-05,3.1e-05,3.2e-05,3.1e-05,4590.0
1530587400000,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,87661.45248822
1530593640000,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,20000.0
1530613800000,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,30752.48996751
1530665640000,3.15e-05,3.15e-05,3.15e-05,3.15e-05,1145.98317508
1530670020000,3.15e-05,3.15e-05,3.15e-05,3.15e-05,3864.11269794
1530712140000,3.6e-05,3.6e-05,3.6e-05,3.6e-05,1095.39972222
1530751320000,2.65e-05,2.65e-05,2.65e-05,2.65e-05,14970.0
1530816240000,2.65e-05,2.65e-05,2.65e-05,2.65e-05,1065.97122314
1530828360000,2.65e-05,2.65e-05,2.65e-05,2.65e-05,772.0
1530874140000,2.65e-05,2.65e-05,2.65e-05,2.65e-05,1767.241795
1530889560000,2.65e-05,2.65e-05,2.65e-05,2.65e-05,19756.06179668
1531298460000,3.2e-05,3.2e-05,3.2e-05,3.2e-05,775.0
1531415040000,3.59e-05,3.6e-05,3.6e-05,3.59e-05,2276.34843012
1531486800000,3.7e-05,3.7e-05,3.7e-05,3.7e-05,1460.06378378
1531690080000,2.198e-05,2.198e-05,2.198e-05,2.198e-05,4999.995
1531734420000,2.386e-05,2.386e-05,2.386e-05,2.386e-05,1000.0
1531974720000,3.629e-05,3.63e-05,3.63e-05,2.9600000000000005e-05,8820.34799414
1532001660000,3.628e-05,3.628e-05,3.628e-05,3.628e-05,2794.84840132
1532144880000,2.8000000000000003e-05,2.8000000000000003e-05,2.8000000000000003e-05,2.8000000000000003e-05,1000.0
1532145180000,2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,900.0
1532296920000,3.5e-05,3.628e-05,3.628e-05,3.5e-05,3000.0
1532570820000,2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,997.9002
1532835120000,2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,1497.75075
1533136980000,4.147e-05,4.147e-05,4.147e-05,4.147e-05,1460.89009934
1533137100000,4.147e-05,4.15e-05,4.15e-05,4.147e-05,16002.10990066
1533137160000,4.15e-05,4.15e-05,4.15e-05,4.15e-05,24054.01360867
1533137220000,4.15e-05,4.15e-05,4.15e-05,4.15e-05,3322.69484674
1533137280000,4.15e-05,4.15e-05,4.15e-05,4.15e-05,1553.1896462000002
1533137400000,4.15e-05,4.15e-05,4.15e-05,4.15e-05,3423.59678038
1533138000000,4.15e-05,5.628e-05,5.628e-05,4.15e-05,1659.20399547
1533138600000,5.628e-05,5.628e-05,5.628e-05,5.628e-05,348.0
1533140400000,4.15e-05,4.15e-05,4.15e-05,4.15e-05,1000.0
1533141000000,3.5e-05,3.5e-05,3.5e-05,3.5e-05,1000.0
1533141300000,3.4e-05,3.4e-05,3.4e-05,3.4e-05,1000.0
1533147600000,2.4e-05,2.4e-05,2.4e-05,2.4e-05,3000.0
1533173460000,2.5e-05,2.5e-05,2.5e-05,2.5e-05,997.0
1533173520000,2.5e-05,2.5e-05,2.5e-05,2.5e-05,2000.0
1533206220000,4.146e-05,4.15e-05,4.15e-05,4.146e-05,11989.0
