time,open,close,high,low,volume
1561815120000,1.0300000000000001e-05,1.0300000000000001e-05,1.0300000000000001e-05,1.0300000000000001e-05,23.0
1562077980000,1.031e-05,1.031e-05,1.031e-05,1.031e-05,23.0
1562230260000,3.64e-06,3.64e-06,3.64e-06,3.64e-06,82.66492652
1562399040000,3.9e-06,3.9e-06,3.9e-06,3.9e-06,8924.24492131
1562615580000,1.75e-05,1.75e-05,1.75e-05,1.75e-05,28.0
1562615640000,3.9e-06,3.9e-06,3.9e-06,3.9e-06,28.0932244
1562695860000,4.72e-06,4.72e-06,4.72e-06,4.72e-06,44.0
1562695920000,4.72e-06,4.72e-06,4.72e-06,4.72e-06,28.0
1562695980000,4.72e-06,4.72e-06,4.72e-06,4.72e-06,1519.48525423
1562696100000,7.72e-06,7.72e-06,7.72e-06,7.72e-06,35.0
1562696220000,4.72e-06,4.72e-06,4.72e-06,4.72e-06,32.0
1562696280000,7.72e-06,4.72e-06,7.72e-06,4.72e-06,80.0
1562696520000,7.72e-06,7.72e-06,7.72e-06,7.72e-06,539.8987658799998
1562696880000,3.91e-06,3.9e-06,3.91e-06,3.9e-06,1100.0
1562696940000,3.9e-06,3.64e-06,3.9e-06,3.64e-06,1154.50907348
1562697060000,3.64e-06,3.64e-06,3.64e-06,3.64e-06,0.49092652
1562697180000,7.72e-06,7.72e-06,7.72e-06,7.72e-06,45.0
1562697300000,4.22e-06,4.22e-06,4.22e-06,4.22e-06,1029.96838862
1562697420000,4.22e-06,4.22e-06,4.22e-06,4.22e-06,602.6273952500002
1562697540000,7.72e-06,7.72e-06,7.72e-06,7.72e-06,259.11713334
1562701440000,4.22e-06,4.22e-06,4.22e-06,4.22e-06,65.54744807
1562701500000,7.72e-06,7.72e-06,7.72e-06,7.72e-06,147.76064971
1562701560000,7.72e-06,7.72e-06,7.72e-06,7.72e-06,149.30460292
1562701740000,7.72e-06,7.72e-06,7.72e-06,7.72e-06,150.9948521
1562788440000,8.04e-06,8.04e-06,8.04e-06,8.04e-06,39.0
1562788500000,8.04e-06,8.04e-06,8.04e-06,8.04e-06,309.0395832
1562877300000,6.94e-06,6.94e-06,6.94e-06,6.94e-06,44.0
1562877420000,6.94e-06,6.94e-06,6.94e-06,6.94e-06,49.0
1562877600000,6.94e-06,6.94e-06,6.94e-06,6.94e-06,1491.80806559
1562877660000,6.94e-06,6.94e-06,6.94e-06,6.94e-06,3046.06854801
1563103440000,5.61e-06,5.61e-06,5.61e-06,5.61e-06,77.0
1563103500000,5.61e-06,5.61e-06,5.61e-06,5.61e-06,1573.31542782
1564226580000,1.77e-05,1.77e-05,1.77e-05,1.77e-05,186.88586999999998
1564233240000,1.25e-06,1.25e-06,1.25e-06,1.25e-06,186.51209
1564600320000,1.07e-05,1.07e-05,1.07e-05,1.07e-05,57.33647394
1564600380000,1.07e-05,1.07e-05,1.07e-05,1.07e-05,257.47164485
1564600440000,1.05e-05,1.05e-05,1.05e-05,1.05e-05,500.96534436
1564600680000,5.17e-06,5.17e-06,5.17e-06,5.17e-06,162.28668594
1564600920000,1.052e-05,1.052e-05,1.052e-05,1.052e-05,1196.95460817
1564601040000,5.22e-06,5.22e-06,5.22e-06,5.22e-06,1479.2881240999998
1564601100000,1.052e-05,1.052e-05,1.052e-05,1.052e-05,738.12575568
1564601220000,5.22e-06,5.22e-06,5.22e-06,5.22e-06,2928.4736399000008
1564601280000,5.22e-06,5.22e-06,5.22e-06,5.22e-06,1766.21712688
1564601400000,1.052e-05,1.052e-05,1.052e-05,1.052e-05,910.02488144
1564601460000,1.052e-05,1.052e-05,1.052e-05,1.052e-05,3233.07961976
1564601760000,5.22e-06,1.052e-05,1.052e-05,5.22e-06,2359.49621555
1564601880000,5.22e-06,1.052e-05,1.052e-05,5.22e-06,1186.6002750799996
1564601940000,1.052e-05,1.052e-05,1.052e-05,1.052e-05,427.82847225
1564602000000,5.22e-06,1.052e-05,1.052e-05,5.22e-06,640.7090699099998
1564602060000,1.052e-05,1.052e-05,1.052e-05,1.052e-05,731.5069670400002
1564602120000,5.22e-06,5.22e-06,5.22e-06,5.22e-06,398.78367237
1564602180000,5.22e-06,5.22e-06,5.22e-06,5.22e-06,1074.35803899
1564602240000,1.052e-05,1.052e-05,1.052e-05,1.052e-05,127.89377756
1564602300000,1.052e-05,1.052e-05,1.052e-05,1.052e-05,137.82849756
1569053640000,1.05e-05,1.05e-05,1.05e-05,1.05e-05,1938.75588915
1569355680000,5.43e-06,5.42e-06,5.43e-06,5.42e-06,4380.706587
1569357660000,5.33e-06,5.33e-06,5.33e-06,5.33e-06,998.2379890000001
1569488640000,1.662e-05,1.663e-05,1.663e-05,1.662e-05,456.0
