time,open,close,high,low,volume
1523158020000,1.89e-05,1.89e-05,1.89e-05,1.89e-05,3045.85566502
1523159400000,1.75e-05,3.6000000000000003e-06,1.75e-05,3.6000000000000003e-06,219.84773434
1523198460000,1.875e-05,1.875e-05,1.875e-05,1.875e-05,200.0
1523202540000,1.875e-05,1.875e-05,1.875e-05,1.875e-05,502.8973545
1523225820000,9e-06,9e-06,9e-06,9e-06,4000.0
1523226240000,9e-06,9e-06,9e-06,9e-06,1308.87555555
1523241780000,8e-06,8e-06,8.01e-06,8e-06,7349.9749999999985
1523268180000,8.7e-06,8.7e-06,8.7e-06,8.7e-06,1000.0
1523269380000,8.11e-06,8.1e-06,8.11e-06,8.1e-06,6477.03703703
1523271000000,7.94e-06,7.94e-06,7.94e-06,7.94e-06,1392.0
1523271780000,8.7e-06,1.2e-05,1.2e-05,8.7e-06,9951.99667998
1523272740000,7.71e-06,7.71e-06,7.71e-06,7.71e-06,552.8568755
1523272920000,8.23e-06,8.23e-06,8.23e-06,8.23e-06,4308.32292147
1523285280000,7.97e-06,7.97e-06,7.97e-06,7.97e-06,924.4830000000001
1523291760000,8.04e-06,8.04e-06,8.04e-06,8.04e-06,864.83217784
1523293440000,8.04e-06,1.35e-06,8.04e-06,1.35e-06,100000.0
1523294820000,9e-06,9e-06,9e-06,9e-06,300.0
1523294880000,9e-06,9e-06,9e-06,9e-06,300.0
1523299680000,7.6e-06,7.6e-06,7.6e-06,7.6e-06,9996.0
1523360400000,9.15e-06,9.15e-06,9.15e-06,9.15e-06,413.20008534
1523362620000,7.77e-06,7.77e-06,7.77e-06,7.77e-06,1000.0
1523362980000,7.87e-06,7.71e-06,7.87e-06,7.71e-06,14718.8
1523363220000,7.71e-06,7.699999999999999e-06,7.71e-06,7.699999999999999e-06,7097.0
1523363400000,7.44e-06,7.44e-06,7.44e-06,7.44e-06,13746.0
1523363460000,7.43e-06,7.46e-06,7.46e-06,7.42e-06,3342.9
1523365440000,9.17e-06,9.17e-06,9.17e-06,9.17e-06,1000.0
1523366460000,7.6e-06,7.6e-06,7.6e-06,7.6e-06,1218.0
1523366700000,7.6e-06,7.6e-06,7.6e-06,7.6e-06,3132.0
1523368140000,7.24e-06,7.23e-06,7.24e-06,7.23e-06,34096.0
1523368860000,7.36e-06,7.37e-06,7.37e-06,7.35e-06,48070.36
1523371560000,9e-06,9.19e-06,9.19e-06,9e-06,500.0
1523417220000,7.41e-06,7.41e-06,7.41e-06,7.41e-06,295.704
1523448300000,8.99e-06,8.99e-06,8.99e-06,8.99e-06,200.0
1523449560000,7.82e-06,7.81e-06,7.82e-06,7.81e-06,9932.09
1523457240000,8.05e-06,7.41e-06,8.05e-06,7.41e-06,7392.8139572
1523466300000,9.14e-06,1.115e-05,1.115e-05,9.14e-06,7633.43845996
1523470680000,8.5e-06,8.51e-06,8.51e-06,8.5e-06,2414.6326891999997
1523471160000,8.5e-06,8.5e-06,8.5e-06,8.5e-06,3215.600000000001
1523471880000,8.71e-06,8.71e-06,8.71e-06,8.71e-06,998.35771478
1523472000000,8.95e-06,8.96e-06,8.96e-06,8.95e-06,1667.47375759
1523473440000,1.115e-05,1.115e-05,1.115e-05,1.115e-05,251.0
1523505720000,1.099e-05,1.099e-05,1.099e-05,1.099e-05,554.74054054
1523521260000,1.099e-05,1.099e-05,1.099e-05,1.099e-05,4504.06373429
1523521680000,8.5e-06,8.5e-06,8.5e-06,8.5e-06,5000.0
1523521740000,8.8e-06,1.099e-05,1.099e-05,8.8e-06,5246.70591345
1523523720000,9.95e-06,9.95e-06,9.95e-06,9.95e-06,1000.0
1523528160000,9.2e-06,9.2e-06,9.2e-06,9.2e-06,6760.755
1523532720000,9.01e-06,8.95e-06,9.01e-06,8.95e-06,2313.98
1523533020000,8.599999999999999e-06,8.599999999999999e-06,8.599999999999999e-06,8.599999999999999e-06,522.0
1523541480000,9.38e-06,9.38e-06,9.38e-06,9.38e-06,3626.21576804
1523541660000,9.35e-06,9.35e-06,9.35e-06,9.35e-06,6141.0
1523545740000,9.88e-06,9.88e-06,9.88e-06,9.88e-06,3500.0
1523546820000,9.5e-06,9.5e-06,9.5e-06,9.5e-06,357.58495338
1523548020000,9.64e-06,9.66e-06,9.66e-06,9.64e-06,3702.78245142
1523548080000,9.699999999999999e-06,9.699999999999999e-06,9.699999999999999e-06,9.699999999999999e-06,1855.713539
1523548260000,9.5e-06,9.5e-06,9.5e-06,9.5e-06,574.13544611
1523550420000,9.72e-06,9.72e-06,9.72e-06,9.72e-06,5912.40005439
1523550660000,9.61e-06,9.61e-06,9.61e-06,9.61e-06,5035.60167869
1523550720000,9.66e-06,9.66e-06,9.66e-06,9.66e-06,1924.4867
1523550960000,9.51e-06,9.51e-06,9.51e-06,9.51e-06,1608.62477059
1523554680000,9.93e-06,9.53e-06,9.95e-06,9.53e-06,6986.12030133
1523556840000,9.96e-06,9.99e-06,9.99e-06,9.96e-06,10308.0
1523556900000,9.99e-06,1e-05,1e-05,9.99e-06,6756.0
1523558760000,9.77e-06,9.77e-06,9.77e-06,9.77e-06,655.46571136
1523562180000,9.78e-06,9.800000000000001e-06,9.800000000000001e-06,9.78e-06,30000.0
1523562360000,1e-05,1e-05,1e-05,1e-05,200.0
1523562540000,1.099e-05,1.099e-05,1.099e-05,1.099e-05,12111.0
1523562840000,1.1e-05,1.121e-05,1.121e-05,1.1e-05,30567.0
