time,open,close,high,low,volume
1560422100000,1.48,1.48,1.48,1.48,5.0
1560748140000,6.83,6.83,6.83,6.83,3.28216691
1560748200000,6.83,6.83,6.83,6.83,5.68478921
1560748740000,4.952,4.952,4.952,4.952,0.93699515
1560748800000,3.952,3.952,3.952,3.952,1.0
1560751500000,2.9521,2.952,2.9521,2.952,1.0
1560753420000,2.9521,2.952,2.9521,2.952,0.1
1560753480000,2.9521,2.952,2.9521,2.952,0.25
1560753900000,2.9521,2.952,2.9521,2.952,0.32261999999999996
1560754200000,2.9521,2.952,2.9521,2.952,0.3
1560754260000,2.9521,2.952,2.9521,2.952,0.5
1560754380000,2.9521,2.952,2.9521,2.952,0.5
1560754440000,2.952,2.952,2.952,2.952,0.3
1560754500000,2.9521,2.952,2.9521,2.952,0.5
1560754560000,2.9521,2.952,2.9521,2.952,0.2
1560754620000,2.952,2.8126,2.952,2.8126,0.2
1560754980000,2.8127,2.8126,2.8127,2.8126,0.4
1560755100000,2.8127,2.8126,2.8127,2.8126,0.3
1560756900000,2.8127,2.8126,2.8127,2.8126,0.3
1560760320000,2.8127,2.8126,2.8127,2.8126,1.41
1560760380000,2.8126,2.6731,2.8126,2.6731,2.84235113
1560760440000,2.6731,2.5337,2.6731,2.5337,2.80580258
1560760500000,2.3944,2.3301,2.3944,2.3301,2.54172569
1560760560000,2.3301,2.2549,2.3301,2.2549,1.87871117
1560760620000,2.1229,2.1154,2.1229,2.1154,2.51267695
1560768480000,1.9761,1.976,1.9761,1.976,0.27362000000000003
1560771480000,1.9761,1.976,1.9761,1.976,1.0
1560775020000,1.9761,1.9156,1.9761,1.9156,2.15425868
1560775080000,1.8367,1.8366,1.8367,1.8366,1.15377709
1560855960000,1.7084,1.7083,1.7084,1.7083,0.2
1560856020000,1.7084,1.7083,1.7084,1.7083,0.5
1561177620000,1.6521,1.652,1.6521,1.652,3.0
1561240560000,1.6,1.6,1.6,1.6,12.41699383
1561370280000,1.67,1.67,1.67,1.67,2.1
1562077980000,1.74,1.74,1.74,1.74,2.0
1562244000000,2.04,2.04,2.04,2.04,2.0
1562635260000,2.32,2.8649,2.8649,2.32,3.0
1562635320000,1.2701,1.27,1.2701,1.27,4.8185
1562731380000,2.3699,2.3699,2.3699,2.3699,2.0
1563036000000,2.0,2.0,2.0,2.0,2.3156814999999997
1563300960000,2.25,2.865,2.865,2.25,58.24642234
1563301080000,1.2801,1.28,1.2801,1.28,37.9375
1564120620000,3.2999,3.2999,3.2999,3.2999,2.0
1564237440000,3.06,3.06,3.06,3.06,2.13
1564298520000,4.845,4.845,4.845,4.845,2.92835072
1564298640000,1.2601,1.26,1.2601,1.26,5.04823401
1564517160000,4.845,4.845,4.845,4.845,10.0
1565449020000,3.3999,3.4,3.4,3.3999,5.04380952
1569386760000,2.2,2.2,2.2,2.2,2.0
