time,open,close,high,low,volume
1560609120000,500.0,500.0,500.0,500.0,0.01
1560609180000,2.0001,2.0,2.0001,2.0,4.904
1560750120000,7.317,7.317,7.317,7.317,1.0
1560750180000,6.31,5.31,6.31,5.31,2.0
1560750420000,4.31,4.31,4.31,4.31,1.0
1560751080000,3.3101,3.31,3.3101,3.31,0.48462
1560751260000,3.3101,3.31,3.3101,3.31,0.5
1560752040000,3.3101,3.31,3.3101,3.31,0.02738
1560753360000,2.3101,2.31,2.3101,2.31,0.30000000000000004
1560760680000,2.3101,2.31,2.3101,2.31,0.5
1560764040000,2.3101,2.31,2.3101,2.31,0.2
1560774960000,2.3101,2.31,2.3101,2.31,0.016
1561445220000,1.68,1.68,1.68,1.68,2.5411
1561796100000,1.68,1.68,1.68,1.68,112.29262
1561898940000,1.9,1.9,1.9,1.9,2.0
1562238960000,1.75,1.75,1.75,1.75,2.2
1562635020000,1.36,1.3119999999999998,1.36,1.3119999999999998,10.8309951
1562635080000,1.3119999999999998,1.3119999999999998,1.3121,1.3119999999999998,7.64
