time,open,close,high,low,volume
1549151400000,1.107,1.107,1.107,1.107,131.04944896
1549152540000,1.1083,1.1132,1.1132,1.1083,255.45452808
1549205580000,1.1175,1.1175,1.1175,1.1175,250.0
1549210080000,1.1232,1.1232,1.1232,1.1232,213.49602296
1549242780000,1.1146,1.1146,1.1146,1.1146,112.35939822
1549270440000,1.1259,1.1259,1.1259,1.1259,47.85138324
1549310280000,1.0901,1.0901,1.0901,1.0901,85.84266822
1549416660000,1.0359,1.0359,1.0359,1.0359,193.05780168
1549434120000,1.0381,1.0382,1.0382,1.0381,377.24727584
1549440000000,1.0477,1.0477,1.0477,1.0477,60.64281605
1549466700000,1.02,1.02,1.02,1.02,46.20205228
1549497000000,1.0338,1.0339,1.0342,1.0338,516.11317281
1549508340000,1.0317,1.0317,1.0317,1.0317,139.35718395
1549644960000,1.1262,1.1262,1.1262,1.1262,88.6130478
1550400540000,1.2115,1.2115,1.2115,1.2115,249.67697504
1550520900000,1.3176,1.3175,1.3176,1.3175,344.93788647
1550592900000,1.307,1.3063,1.3072,1.3063,850.66380813
1550592960000,1.3066,1.3062,1.3066,1.3062,1176.25099321
1550599740000,1.297,1.297,1.297,1.297,374.66681684
1550652060000,1.3358,1.337,1.337,1.3358,746.88176862
1550653860000,1.3004,1.3004,1.3004,1.3004,111.77656200000001
1550687280000,1.3249,1.3249,1.3249,1.3249,375.10336014
1550698020000,1.3081,1.308,1.3081,1.308,523.63632196
1550762940000,1.2478,1.2484,1.2484,1.2452,480.04798006
1550763060000,1.2484,1.2418,1.2484,1.2415,289.45369809
1550763840000,1.2436,1.2436,1.2436,1.2436,43.503227
1550764920000,1.2735,1.2735,1.2735,1.2735,37.482475
1550765160000,1.2682,1.2682,1.2682,1.2682,43.870894
1550774400000,1.271,1.271,1.271,1.271,10.0
1550791680000,1.3157,1.3157,1.3157,1.3157,20.0
1550796420000,1.3077,1.3077,1.3077,1.3077,76.46897261
1550806320000,1.3058,1.3058,1.3058,1.3058,76.57666691
1550806560000,1.3045,1.3045,1.3045,1.3045,76.65587155
1550806680000,1.3044,1.3044,1.3044,1.3044,76.65873634
1550806740000,1.3038,1.3037,1.3038,1.3036,230.09308024
1550807280000,1.3017,1.3017,1.3017,1.3017,68.73987220000001
1550887800000,1.3171,1.3171,1.3171,1.3171,40.06259581
1550940900000,1.314,1.314,1.314,1.314,245.53417028
1550971500000,1.3997,1.3997,1.3997,1.3997,5.0
1550972280000,1.4374,1.4374,1.4374,1.4374,69.56534627
1550972340000,1.4374,1.4374,1.4374,1.4374,69.56534627
1550976960000,1.4402,1.4396,1.4402,1.4396,138.89079819
1550980800000,1.4202,1.4202,1.4202,1.4202,70.40811500000001
1550981040000,1.4191,1.4191,1.4191,1.4191,70.46659677
1550981100000,1.4181,1.4181,1.4181,1.4181,70.51227193
1550981160000,1.4177,1.4177,1.4177,1.4177,70.53512526
1550981220000,1.4169999999999998,1.4169999999999998,1.4169999999999998,1.4169999999999998,48.79449841
1551009960000,1.4927,1.4927,1.4927,1.4927,51.09581602
1551017040000,1.4491,1.4479,1.4491,1.4479,731.1691876
1551017460000,1.4077,1.4074,1.4077,1.4074,512.15895414
1551017520000,1.4077,1.3873,1.4077,1.3873,766.5374751300002
1551017580000,1.3873,1.3873,1.3873,1.3873,72.07764971
1551017700000,1.3433,1.3351,1.3433,1.3351,99.83378579
1551017760000,1.3351,1.3056,1.3351,1.3056,344.04134548
1551017820000,1.304,1.3004,1.304,1.3004,277.67650298
1551018780000,1.2947,1.2947,1.2947,1.2947,68.8413983
1551020160000,1.3143,1.3039,1.3143,1.3039,457.96671169999996
1551020220000,1.3081,1.3061,1.3081,1.3009,459.74150413
1551020280000,1.3054,1.2982,1.3056,1.298,614.01884865
1551020340000,1.2978,1.3052,1.3052,1.2978,383.88024905
1551029460000,1.2925,1.2825,1.2925,1.2825,233.02290606
1551029520000,1.2825,1.2825,1.2825,1.2825,77.81232423
1551058680000,1.3614,1.3614,1.3614,1.3614,73.30210964
1551058740000,1.3594,1.3594,1.3594,1.3562,220.41586372
1551079860000,1.3426,1.3423,1.3426,1.3423,148.97433529
1551090180000,1.32,1.32,1.32,1.32,65.86824169
1551097920000,1.3317,1.3347,1.3347,1.3317,500.0
1551097980000,1.3361,1.3386,1.3386,1.3331,1000.0
1551157680000,1.3292,1.3292,1.3292,1.3292,62.83085598
1551165720000,1.3136,1.3136,1.3136,1.3136,250.0
1551174540000,1.3306,1.3306,1.3306,1.3306,250.0
1551174600000,1.3379,1.3379,1.3379,1.3379,138.71437388
1551175260000,1.3426,1.3426,1.3426,1.3426,250.0
1551175680000,1.3471,1.3471,1.3471,1.3471,250.0
1551175800000,1.3473,1.3473,1.3473,1.3473,250.0
1551179340000,1.3669,1.3669,1.3669,1.3669,39.19402524
1551190620000,1.3453,1.3453,1.3453,1.3453,250.0
1551299760000,1.3067,1.3067,1.3067,1.3067,250.0
1551302460000,1.3074,1.3074,1.3074,1.3074,82.08311763
1551302520000,1.3136,1.3138,1.3138,1.3136,499.9999822
1551352200000,1.3336,1.3336,1.3336,1.3336,69.91472273
1551367920000,1.3319999999999999,1.3319999999999999,1.3319999999999999,1.3319999999999999,559.81537128
1551368040000,1.3373,1.3394,1.3394,1.3373,1000.0
1551431640000,1.3365,1.3365,1.3365,1.3365,250.0
1551431700000,1.3365,1.3466,1.3466,1.3365,993.16290131
1551600840000,1.3062,1.3062,1.3062,1.3062,249.999995
1551602520000,1.3062,1.3096,1.3096,1.3062,41.43660717
1551765240000,1.2494,1.2494,1.2494,1.2494,18.14381977
1551801960000,1.2869,1.2869,1.2869,1.2869,68.50799999
1552148100000,1.4284,1.4284,1.4284,1.4284,54.92423085
1552315800000,1.3584,1.3584,1.3584,1.3584,68.50799999
1552360080000,1.2846,1.285,1.285,1.2846,233.47662512
1552360140000,1.285,1.2848,1.285,1.2848,466.95055208
1552360200000,1.2847,1.284,1.2847,1.284,389.31288767
1552371660000,1.3314,1.3314,1.3314,1.3314,250.0
1552398180000,1.3845,1.3845,1.3845,1.3845,72.22470647
1552406460000,1.4452,1.4448,1.4452,1.4448,207.56968875
1552408500000,1.4529,1.4529,1.4529,1.4529,68.82704096
1552515900000,1.443,1.443,1.443,1.443,172.80726858
1552571880000,1.4708,1.4627,1.4708,1.4627,251.98565592
1552572120000,1.484,1.484,1.484,1.484,67.38308493
1552573380000,1.4774,1.4580000000000002,1.4774,1.4580000000000002,184.68736069
1552573440000,1.4466,1.4466,1.4466,1.4466,69.12291319
1552574220000,1.5454,1.5454,1.5454,1.5454,129.41410161
1552574280000,1.567,1.567,1.567,1.567,63.73372059
1552574520000,1.63,1.6,1.63,1.6,185.19154909
1552608720000,1.5390000000000001,1.5390000000000001,1.5390000000000001,1.5390000000000001,12.999981800000002
1552608780000,1.5390000000000001,1.5390000000000001,1.5390000000000001,1.5390000000000001,1.82e-05
1552611720000,1.5943,1.5943,1.5943,1.5943,19.97999129
1552792680000,1.5108,1.5111,1.5111,1.5108,500.0
1552792860000,1.5115,1.5119,1.5119,1.5115,500.0
1552818480000,1.5073,1.5073,1.5073,1.5073,187.38166867
1552818720000,1.5151,1.5151,1.5151,1.5151,98.3097917
1552831980000,1.5236,1.5236,1.5236,1.5236,162.32305115
1552832040000,1.5236,1.5359,1.5359,1.5236,184.2364255
1552890600000,1.5202,1.5202,1.5202,1.5202,82.52956584
1552890660000,1.5202,1.5202,1.5202,1.5202,137.39646678
1552994220000,1.5209,1.5209,1.5209,1.5209,145.52535875
1553101080000,1.5866,1.5863,1.5868,1.5863,448.43453302
1553101200000,1.5871,1.5868,1.5871,1.5867,597.84566841
1553101440000,1.5904,1.5909,1.5909,1.5904,191.18847497
1553101560000,1.5925,1.5918,1.5925,1.5918,172.23851976
1553101620000,1.5917,1.5917,1.5917,1.5917,79.04709681
1553128140000,1.62,1.62,1.62,1.62,13.985999999999999
1553170680000,1.7157,1.7157,1.7157,1.7157,72.9094764
1553502480000,1.7488,1.7488,1.7488,1.7488,57.63985786
1553533560000,1.72,1.72,1.72,1.72,32.759
1553650740000,1.6827,1.6827,1.6827,1.6827,14.57110995
1553880060000,1.9369999999999998,1.9369999999999998,1.9369999999999998,1.9369999999999998,33.06336963
1553881200000,2.0112,2.0112,2.0112,2.0112,23.99515156
1553902860000,2.0489,2.0489,2.0489,2.0489,68.50799999
1554086940000,1.92,1.9484,1.9484,1.92,47.38065068
1554101880000,1.8782,1.8681,1.8782,1.8681,130.0
1554180960000,1.9631,1.9503,1.9631,1.9503,162.81247456
1554181200000,1.9669,1.9669,1.9669,1.9669,190.38967451
1554182820000,1.9948,1.9948,1.9948,1.9932,120.84441207
1554182880000,1.9929,1.9929,1.9929,1.992,165.71032623999997
1554192600000,2.0076,2.0076,2.0076,2.0076,216.1232898
1554192660000,2.0265,2.0265,2.0265,2.0265,124.52679817
1554214200000,2.0066,2.0046,2.0066,2.0046,250.21112173
1554214260000,2.0046,2.0054,2.0071,2.0046,371.53367198
1554250980000,2.1535,2.1535,2.1535,2.1535,66.18867917
1554322980000,2.3618,2.3766,2.3969,2.3618,1223.65091575
1554331380000,2.0944,2.0944,2.0944,2.0944,17.24881414
1554331440000,2.1016,2.1016,2.1016,2.1016,36.33020820000001
1554331620000,2.096,2.0971,2.0971,2.096,136.86503994
1554332820000,2.0375,2.0375,2.0375,2.0375,190.697
1554339540000,2.0754,2.0754,2.0754,2.0754,68.50799999
1554362700000,2.2397,2.2397,2.2397,2.2397,68.50799999
1554422700000,2.2085,2.2085,2.2085,2.2085,40.68845563
1554430440000,2.28,2.28,2.28,2.28,10.97
1554461040000,2.3464,2.3464,2.3464,2.3464,68.50799999
1554470700000,2.5093,2.5261,2.5261,2.5091,231.12227435
1554470760000,2.5261,2.5261,2.5261,2.5261,68.50799999
1554481620000,2.4421,2.4421,2.4421,2.4421,22.07135645
1554664080000,2.423,2.423,2.423,2.423,26.50508114
1554667320000,2.471,2.4711,2.4711,2.471,189.29909355
1554671220000,2.5004,2.5005,2.5005,2.5004,154.94812426
1554736800000,2.4566,2.4566,2.4566,2.4566,62.43612859
1554776640000,2.4271,2.4274,2.4274,2.4271,173.90170206000005
1554910740000,2.3903,2.4036,2.4036,2.3903,175.65045559
1554954660000,2.1054,2.1054,2.1054,2.1054,21.06771267
1555065300000,2.0941,2.0941,2.0941,2.0941,14.28389527
1555526400000,2.0219,2.0247,2.0247,2.0219,300.35622709
