time,open,close,high,low,volume
1540931100000,4000.0,4000.0,4000.0,4000.0,0.006
1540931160000,4000.0,4000.0,4000.0,4000.0,0.02485233
1540931880000,39.0,39.0,39.0,39.0,0.0032229
1540932960000,4.8,4.5,4.8,4.5,14.989543609999998
1540933800000,31.0,31.0,31.0,31.0,0.30058736
1540933860000,9.1,9.1,9.1,9.1,3.58941264
1540934700000,9.1,9.1,9.1,9.1,5.4
1540934760000,9.1,9.1,9.1,9.1,10.8
1540934820000,9.1,9.0,9.1,9.0,20.83989776
1540934940000,9.1,9.1,9.1,9.1,4.4
1540935120000,20.0,20.0,20.0,20.0,0.1
1540935180000,9.1,9.1,9.1,9.1,0.05054945
1540935600000,29.0,6.7,29.0,6.7,5.584199999999999
1540935660000,6.7,6.7,6.7,6.7,1.9
1540936080000,6.71,6.71,6.71,6.71,4.0
1540936140000,6.71,5.3,6.71,5.3,21.36411847
1540936260000,5.0,5.0,5.0,5.0,0.01
1540936620000,9.98,9.98,9.98,9.98,0.11
1540936920000,9.0,9.0,9.0,9.0,0.001
1540937220000,8.98,8.98,8.98,8.98,0.02044348
1540937460000,8.96,8.96,8.96,8.96,0.01
1540938300000,8.5,8.5,8.5,8.5,0.01
1540938480000,8.0,7.5,8.0,7.5,0.02
1540938540000,7.0,7.0,7.0,7.0,0.09979547
1540938600000,6.02,6.0,6.02,6.0,6.24876972
1540939080000,6.0,6.0,6.0,6.0,3.0
1540939200000,6.0,6.0,6.0,6.0,2.51987364
1540939440000,6.0,6.0,6.0,6.0,9.93387817
1540939680000,5.6,6.0,6.0,5.6,0.025
1540939980000,6.0,6.0,6.0,6.0,9.985
1540942980000,5.9998,5.9998,5.9998,5.9998,0.00231219
1540943040000,6.0,6.0,6.0,6.0,0.004
1540944780000,5.0016,5.0016,5.0016,5.0016,0.1
1540982580000,5.3,5.3,5.3,5.3,3.0
1540983480000,5.5,5.5,5.5,5.5,4.262999400000001
1540983540000,6.0,6.0,6.0,6.0,8.41724819
1540983720000,5.9999,5.5,5.9999,5.35,40.0
1540983780000,5.4,5.4,5.4,5.35,40.0
1540983840000,5.36,5.36,5.36,5.36,10.0
1540983900000,5.31,5.31,5.31,5.31,20.0
1540983960000,5.31,5.31,5.31,5.31,17.0
1540984080000,5.3001,5.3001,5.3001,5.3001,17.0
