time,open,close,high,low,volume
1528997700000,4e-05,4e-05,4e-05,4e-05,100.0
1529021520000,1e-05,1e-05,1e-05,1e-05,400.0
1529043300000,9.9e-06,1e-05,1e-05,9.9e-06,88777.20000000003
1529043360000,1e-05,1e-05,1e-05,1e-05,5442.0
1529045340000,5e-06,4.02e-06,5e-06,4.02e-06,764.15454104
1529048280000,7.43e-06,7.43e-06,7.43e-06,7.43e-06,608.45967742
1529048700000,7.09e-06,7.09e-06,7.09e-06,7.09e-06,820.42595204
1529051520000,5.99e-06,6e-06,6e-06,5.99e-06,10052.56969519
1529053320000,5e-06,5e-06,5e-06,5e-06,2246.0
1529069880000,4.5e-06,4.5e-06,4.5e-06,4.5e-06,377.0
1529070060000,4.6e-06,4.6e-06,4.6e-06,4.6e-06,500.0
1529070840000,5.81e-06,5.81e-06,5.81e-06,5.81e-06,359.28
1529071140000,6.39e-06,6.4e-06,6.4e-06,6.39e-06,1000.0
1529071320000,6.4e-06,6.4e-06,6.4e-06,6.4e-06,500.0
1529071980000,4.5e-06,4.5e-06,4.5e-06,4.5e-06,5000.0
1529072700000,4.5e-06,4.5e-06,4.5e-06,4.5e-06,905.98444444
1529077260000,6.01e-06,6.35e-06,6.35e-06,6.01e-06,4998.0
1529079180000,6.11e-06,6.11e-06,6.11e-06,6.11e-06,1000.0
1529079240000,6.11e-06,6.11e-06,6.11e-06,6.11e-06,3000.0
1529079300000,6.11e-06,6.3e-06,6.3e-06,6.11e-06,2000.0
1529079840000,6.11e-06,6.11e-06,6.11e-06,6.11e-06,2000.0
1529079900000,6.11e-06,6.3e-06,6.3e-06,6.11e-06,3000.0
1529088360000,6.09e-06,6.09e-06,6.09e-06,6.09e-06,1270.27027027
1529089320000,4.6e-06,4.02e-06,4.6e-06,4.02e-06,1603.45024763
1529094900000,4.69e-06,4.69e-06,4.69e-06,4.69e-06,926.19806854
1529143440000,5.91e-06,5.91e-06,5.91e-06,5.91e-06,1000.0
1529143560000,5.91e-06,6.11e-06,6.11e-06,5.91e-06,10000.0
1529143980000,6.19e-06,6.2e-06,6.2e-06,6.19e-06,12039.92031755
1529144040000,6.29e-06,6.5000000000000004e-06,6.5000000000000004e-06,6.29e-06,13392.13076207
1529144400000,7.19e-06,7.2000000000000005e-06,7.2000000000000005e-06,7.19e-06,5314.38528644
1529145000000,6.99e-06,6.99e-06,6.99e-06,6.99e-06,500.50050051
1529146800000,5.55e-06,5.55e-06,5.55e-06,5.55e-06,350.0
1529147520000,5.55e-06,5.55e-06,5.55e-06,5.55e-06,1723.54
1529149440000,5.48e-06,5.48e-06,5.48e-06,5.48e-06,17300.0
1529169060000,5.24e-06,5.24e-06,5.24e-06,5.24e-06,7157.97709923
1529177460000,5.13e-06,5.13e-06,5.13e-06,5.13e-06,8899.4
1529187120000,5.29e-06,5.29e-06,5.29e-06,5.29e-06,4285.8
1529207940000,6.48e-06,6.5000000000000004e-06,6.5000000000000004e-06,6.48e-06,10190.18783429
1529231220000,6.45e-06,6.45e-06,6.45e-06,6.45e-06,434.0
1529242080000,6.14e-06,6.14e-06,6.14e-06,6.14e-06,3466.56102982
1529287680000,5e-06,5e-06,5e-06,5e-06,350.0
1529287800000,5e-06,5e-06,5e-06,5e-06,999.99850623
1529288820000,5e-06,5e-06,5e-06,5e-06,4330.726713399999
1529288940000,5e-06,5e-06,5e-06,5e-06,0.00039186
1529351460000,6.11e-06,6.11e-06,6.11e-06,6.11e-06,2000.0
1529354040000,4.75e-06,4.75e-06,4.75e-06,4.75e-06,998.0
1529406060000,4.8e-06,4.8e-06,4.8e-06,4.8e-06,7000.0
1529504280000,6.96e-06,6.99e-06,6.99e-06,6.96e-06,5000.0
1529577120000,5e-06,5e-06,5e-06,5e-06,1000.0
1529577180000,4.31e-06,4.31e-06,4.31e-06,4.31e-06,1320.0
1529590200000,6.87e-06,6.87e-06,6.87e-06,6.87e-06,350.0
