time,open,close,high,low,volume
1530811920000,1.3,0.01,1.3,0.01,335223.14657358
1530812220000,0.3,0.0028863000000000005,1.2,0.002,240760.44729239997
1530812280000,0.0029517,1.0,1.0,0.0029517,150310.09806877
1530812340000,1.0,0.7,1.0,0.7,51000.0
1530812400000,0.7,0.7,1.0,0.7,4326.01578435
1530812460000,0.5,0.69,0.69,0.5,1100.0
1530812520000,0.68,0.7,0.7,0.01,25909.209728
1530812580000,0.69,0.7,0.7,0.69,10537.43806731
1530812640000,0.68,0.68,0.68,0.68,450.0
1530812760000,0.65,0.65,0.65,0.65,20713.85767299
1530812820000,0.65,0.65,0.65,0.65,346.0
1530812880000,0.647,0.65,0.65,0.647,20000.0
1530812940000,0.63,0.65,0.65,0.63,100000.0
1530813000000,0.65,0.69,0.69,0.65,38725.59862293
1530813060000,0.69,1.3412,1.3412,0.69,8158.35796322
1530813120000,0.72,0.72,0.72,0.72,321.76598223
1530813180000,0.7,0.7,0.7,0.7,1676.23401777
1530813240000,1.3,1.36,1.36,1.3,50020.0
1530813960000,1.2,1.3614,1.3614,1.2,15000.0
1530814020000,1.3614,1.4466,1.4466,1.3614,110000.0
1530814140000,1.3159999999999998,1.4755,1.4755,1.3159999999999998,20000.27386679
1530814320000,1.4,1.4,1.4,1.4,30.0
1530814380000,1.2126,1.4631,1.4631,1.21,24254.5113284
1530814440000,1.4737,1.4737,1.4737,1.4737,65.83729658
1530814560000,1.4737,1.4737,1.4737,1.4737,236.03079623
1530814680000,1.4737,1.4737,1.4737,1.4737,500.0
1530814860000,1.4737,1.4737,1.4737,1.4737,500.0
1530815040000,1.4737,1.4699,1.4737,1.2225,2707.09831985
1530815100000,1.4699,1.4755,1.4755,1.4699,21000.0
1530815160000,1.4755,1.4755,1.4755,1.4755,133.27214832
1530815400000,1.3988,1.4984,1.4984,1.3988,51530.20560402
1530815520000,1.4,1.5,1.5,1.4,55553.77884551
1530815580000,1.4,1.4,1.4,1.4,25.0
1530815880000,1.2723,1.2723,1.2723,1.2723,150.1569358
