time,open,close,high,low,volume
1525959900000,85.0,85.0,85.0,0.51002,2.44059135
1525960080000,84.0,84.0,84.0,84.0,0.001
1525960740000,40.0,27.0,40.0,27.0,20.0
1525960800000,89.0,89.0,89.0,89.0,0.001
1525960860000,89.0,89.0,89.0,89.0,0.001
1525960920000,2.0,2.0,2.0,2.0,0.001996
1525961040000,2.1,2.1,2.1,2.1,1.3356629999999998
1525961100000,2.1,2.1,2.1,2.1,9.981993999999998
1525961460000,2.2,2.2,2.2,2.2,64.35973589
1525961520000,2.2,2.2,2.2,2.2,35.64026411
1525962840000,1.5,1.5,1.5,1.5,64.02565188
1525962900000,1.38,1.22,1.38,1.22,600.0
1525962960000,1.12,1.08,1.12,1.08,600.0
1525963020000,1.1,1.1,1.1,1.1,3.0
1525963080000,1.1,1.1,1.1,1.1,12.81321501
1525963200000,1.0,1.0,1.0,1.0,204.84532519
1525963260000,0.99,0.99,0.99,0.99,50.0
1525963320000,0.99,0.99,0.99,0.99,48.35657216
1525963380000,0.99,0.99,0.99,0.99,26.64342784
1525963500000,0.95,1.09,1.09,0.95,1000.0
1525963620000,1.08,1.08,1.08,1.08,1000.0
1525963860000,0.95,1.0,1.0,0.95,302.0
1525963980000,0.99,0.98,0.99,0.98,1109.99234245
1525964040000,0.91,0.91,0.91,0.91,1498.0
1525964100000,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,442.38432628
1525964160000,0.9109999999999999,0.9109999999999999,0.9109999999999999,0.9109999999999999,342.28859824
1525964400000,0.91001,0.91,0.91001,0.91,252.89416101
1525964880000,0.91,0.91,0.91,0.91,70.89046053999998
1525965000000,0.91,0.91,0.91,0.91,310.98901099
1525965060000,0.88,0.88,0.88,0.88,100.0
1525965420000,1.24,1.2499,1.2499,1.24,1734.0
1525965480000,1.2499,0.9,1.2499,0.9,2291.93768499
1525965540000,1.2399,1.2399,1.2399,1.2399,20.1
1525965600000,1.2398,0.89,1.2398,0.89,24.06551094
1525965720000,0.8901,0.8901,0.8901,0.8901,233.0
1525965840000,0.89,0.89,0.89,0.89,500.0
1525966260000,0.92,0.92,0.92,0.92,44.56637394
1525966320000,0.9,0.9,0.9,0.9,100.0
1525966440000,0.882,0.8999,0.8999,0.882,72.58710899
1525966560000,0.8801,0.8800100000000001,0.8801,0.8800100000000001,150.0
1525966860000,0.9872,0.9872,0.9872,0.9872,1100.0
1525966920000,1.0,1.0,1.0,1.0,1000.0
1525967640000,1.0,1.0,1.0,1.0,5000.0
1525967700000,1.0,1.0,1.0,1.0,31.91875836
1525967760000,0.9999,0.9999,0.9999,0.9999,31.0
1525967820000,0.87502,0.875,0.87502,0.875,468.91672677
1525967940000,0.8701,0.87,0.8701,0.87,261.33788199
1525968000000,0.9994,0.9994,0.9994,0.9994,50.0
1525968060000,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001,100.0
1525968180000,0.9619,0.971,0.971,0.9619,1000.0
1525968240000,0.91212,0.91212,0.91212,0.91212,43.35673951
1525968360000,0.9,0.9,0.9,0.9,640.14121952
1525968600000,0.9999,0.9997,0.9999,0.9997,98.68809836
1525968720000,0.9499,0.9499,0.9499,0.9499,25.29044897
1525968780000,0.8723,0.8723,0.8723,0.8723,25.18938833
1525968840000,0.9499,0.95,0.95,0.9499,757.4709768800002
1525968900000,0.95,0.95,0.95,0.95,1181.70518069
1525969260000,0.9389,0.95,0.95,0.9389,1000.0
1525969440000,0.9449,0.8723,0.9449,0.8723,1828.0
1525969500000,0.88,0.8723,0.88,0.8723,1314.63686905
1525969860000,0.929,0.87,0.929,0.87,111.60963851
1525969980000,0.87,0.87,0.87,0.87,567.8289937000001
1525970040000,0.86,0.86,0.86,0.86,1880.0
1525970100000,0.851,0.851,0.851,0.851,200.0
1525970220000,0.851,0.85001,0.851,0.85001,108.58790811
1525970280000,0.8997,0.8997,0.8997,0.8997,100.0
1525970520000,0.87,0.87,0.87,0.87,74.94128458
1525970880000,0.8698,0.8699,0.8699,0.8698,507.83695797
1525971180000,0.85101,0.85101,0.85101,0.85101,10.98875509
1525971240000,0.899,0.9486,0.9486,0.899,950.0
1525971360000,0.9482,0.9487,0.9487,0.9482,2000.0
1525971540000,0.87,0.85,0.87,0.85,1867.77066992
1525971720000,0.852,0.845,0.852,0.845,4670.68924129
1525972020000,0.899,0.899,0.899,0.899,20.0
1525972140000,0.88,0.88,0.88,0.88,300.98129826
1525972200000,0.899,0.915,0.915,0.899,32.050000000000004
1525972260000,0.915,0.915,0.915,0.915,0.16
1525972320000,0.915,0.915,0.915,0.915,0.004
1525972440000,0.8407,0.8405,0.8407,0.8405,1000.0
1525972680000,0.81,0.9099799999999999,0.9099799999999999,0.81,11.0
1525972800000,0.91,0.91,0.91,0.91,0.001
1525973040000,0.9049,0.9049,0.9049,0.9049,380.0
1525973100000,0.9049,0.9049,0.9049,0.9049,184.39688761
1525973220000,0.89,0.9,0.9,0.89,562.08112782
1525973400000,0.9,0.9039,0.9039,0.9,100.0
1525973520000,0.81,0.81,0.81,0.81,50.0
1525973580000,0.9029,0.9029,0.9029,0.9029,1.0
1525973760000,0.899,0.9,0.9,0.899,500.0
1525973820000,0.8999799999999999,0.8999799999999999,0.8999799999999999,0.8999799999999999,11.0
1525974060000,0.8999799999999999,0.8999799999999999,0.8999799999999999,0.8999799999999999,100.0
1525975080000,0.89994,0.89994,0.89994,0.89994,644.3735134899998
1525975260000,0.89979,0.89979,0.89979,0.89979,122.17899496
1525975440000,0.89979,0.82053,0.89979,0.82053,600.0
1525975500000,0.82053,0.8205,0.82053,0.8205,1380.55023802
1525975680000,0.8207,0.8207,0.8207,0.8207,100.0
1525975860000,0.81,0.81,0.81,0.81,30.0
1525975980000,0.81,0.81,0.81,0.81,2205.35006453
1525976340000,0.87,0.83,0.87,0.83,93.0
1525976700000,0.865,0.865,0.865,0.865,102.0
1525976940000,0.862,0.862,0.862,0.862,23.22337598
1525977000000,0.861,0.861,0.861,0.861,25.4
1525977060000,0.858,0.8969,0.8969,0.858,1450.0
1525977540000,0.8967,0.8967,0.8967,0.8967,14.0
1525977660000,0.83,0.83,0.83,0.83,512.07046297
1525978260000,0.8977,0.8977,0.8977,0.8977,3.0
1525979820000,0.8300200000000001,0.83,0.8300200000000001,0.83,1057.61740118
1525980420000,0.8590000000000001,0.8598,0.8598,0.8590000000000001,418.42853604
1525980480000,0.8598,0.8598,0.8598,0.8598,500.0
1525980720000,0.8598,0.9009,0.9009,0.8598,5287.16130151
1525980780000,0.8999,0.9,0.9,0.8999,735.08167282
1525980900000,0.9,0.9,0.9,0.9,332.98473496
1525981020000,0.9,0.9,0.9,0.9,81.07107002000002
1525981080000,0.9,0.9,0.9,0.9,200.0
1525981200000,0.9,0.83,0.9,0.83,2176.91055226
1525981260000,0.83,0.8305,0.8305,0.83,1049.9
1525981380000,0.83,0.83,0.83,0.826,1036.9999
