time,open,close,high,low,volume
1528994880000,4.001e-05,4.001e-05,4.001e-05,4.001e-05,1.0
1528995060000,5.084e-05,5.084e-05,5.084e-05,5.084e-05,1.0
1528997640000,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,1.0
1528998000000,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,1.0218289
1528998060000,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,1.01258356
1528999260000,6.35e-05,7e-05,7e-05,6.35e-05,3.01031174
1529000940000,6.379e-05,6.379e-05,6.379e-05,6.379e-05,1.00571207
1529017620000,0.00011938,0.00011938,0.00011938,0.00011938,1.0
1529017920000,0.00011938,0.00011939,0.00011939,0.00011938,10.0
1529021820000,9.967e-05,9.967e-05,9.967e-05,9.967e-05,33.0
1529054100000,5.588e-05,5.588e-05,5.588e-05,5.588e-05,100.0
1529060460000,7.42e-05,7.42e-05,7.42e-05,7.42e-05,573.99962527
1529060760000,7.587e-05,7.587e-05,7.587e-05,7.587e-05,1346.99999401
1529061120000,7.587e-05,7.587e-05,7.587e-05,7.587e-05,1303.987995
1529061360000,7.5e-05,7.5e-05,7.5e-05,7.5e-05,509.5044995
1529061600000,7.3e-05,7.3e-05,7.3e-05,7.3e-05,393.99435371
1529062560000,7.5e-05,7.5e-05,7.5e-05,7.5e-05,1628.19439476
1529063760000,7.5e-05,7.5e-05,7.5e-05,7.5e-05,1651.4
1529065080000,7.4e-05,7.390000000000001e-05,7.4e-05,7.390000000000001e-05,2869.03758408
1529065140000,7.3e-05,7.3e-05,7.3e-05,7.3e-05,999.99386474
1529065200000,7.3e-05,7.3e-05,7.3e-05,7.3e-05,501.50198966
1529065260000,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,108.85329632
1529065320000,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,863.03583113
1529065800000,7.01e-05,7.01e-05,7.01e-05,7.01e-05,499.999995
1529065860000,7e-05,7e-05,7e-05,7e-05,1022.14970772
1529065980000,6.9e-05,6.9e-05,6.9e-05,6.9e-05,362.0
1529066040000,6.850000000000001e-05,6.850000000000001e-05,6.850000000000001e-05,6.850000000000001e-05,499.99368723
1529067420000,6.8e-05,6.8e-05,6.8e-05,6.8e-05,1350.0
1529067480000,6.829999999999999e-05,6.832e-05,6.832e-05,6.829999999999999e-05,1340.02163717
1529068740000,6.82e-05,6.82e-05,6.82e-05,6.82e-05,1049.99419891
1529068860000,6.82e-05,6.82e-05,6.82e-05,6.82e-05,777.7944003700002
1529069280000,7.099e-05,7.099e-05,7.099e-05,7.099e-05,983.13903252
1529069340000,6.7e-05,6.7e-05,6.7e-05,6.7e-05,2739.59915485
1529070780000,6.7e-05,7.199e-05,7.199e-05,6.014e-05,929.66387036
1529070960000,7.189e-05,7.190000000000001e-05,7.190000000000001e-05,7.189e-05,2255.6668047
1529071020000,7.499e-05,7.499e-05,7.499e-05,7.499e-05,379.35791972
1529071800000,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,7.099999999999999e-05,710.72212366
1529071860000,7.099999999999999e-05,6.003e-05,7.103e-05,6.003e-05,17747.33595857
1529078280000,6.838e-05,6.838e-05,6.838e-05,6.838e-05,88.42112
1529078340000,6.753e-05,6.753e-05,6.753e-05,6.753e-05,4442.47001333
1529078400000,5.379e-05,5.379e-05,5.379e-05,5.379e-05,271.00630715
1529078580000,6.002e-05,6.002e-05,6.002e-05,6.002e-05,5000.0
1529082120000,5.524e-05,5.524e-05,5.524e-05,5.524e-05,713.96145901
1529082540000,7e-05,7e-05,7e-05,7e-05,100.0
1529097360000,6.001e-05,6.002e-05,6.002e-05,5.9999999999999995e-05,1144.0
1529103240000,7e-05,7e-05,7e-05,7e-05,1324.06154454
1529138100000,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,22.0
1529138160000,6.9e-05,7e-05,7e-05,6.8e-05,66.93532991
1529138340000,6.8e-05,7e-05,7e-05,6.8e-05,66.53806279
1529138400000,7e-05,7e-05,7e-05,7e-05,88.0
1529157720000,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,22.0
1529165700000,7e-05,7e-05,7e-05,7e-05,843.29774614
1529167020000,7e-05,7e-05,7e-05,7e-05,677.37656595
1529172120000,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,6.2e-05,300.0
1529172180000,6.012e-05,6.012e-05,6.012e-05,6.012e-05,2948.0
1529172360000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,50.0
1529176140000,7e-05,7e-05,7e-05,7e-05,147.97864768
1529177220000,7e-05,7e-05,7e-05,7e-05,45.14300777
1529183760000,5.98e-05,5.98e-05,5.98e-05,5.98e-05,154.0
1529184780000,5.901e-05,5.9e-05,5.901e-05,5.9e-05,1040.0
1529187420000,6.056e-05,5.914e-05,6.056e-05,5.912e-05,4519.7505
1529231220000,7e-05,7e-05,7e-05,7e-05,60.0
1529231760000,7e-05,7e-05,7e-05,7e-05,34.0
1529314860000,5.991e-05,5.99e-05,5.993e-05,5.9499999999999996e-05,73.76787356
1529314920000,5.91e-05,5.91e-05,5.91e-05,5.91e-05,22.0
1529318640000,5.908e-05,5.993e-05,6.076e-05,5.908e-05,910.0
1529318700000,6.076e-05,5.876e-05,6.076e-05,5.876e-05,60022.0
1529318760000,5.9e-05,5.9e-05,5.9e-05,5.9e-05,39.80773852
1529319060000,7.566e-05,7.567e-05,7.567e-05,7.566e-05,2048.68761732
1529319720000,7.567e-05,7.588e-05,7.588e-05,7.567e-05,308.44955952
1529320920000,5.769e-05,5.769e-05,5.769e-05,5.769e-05,22.0
1529321160000,7.482e-05,7.482e-05,7.482e-05,7.482e-05,22.0
1529322720000,5.885e-05,5.886e-05,5.886e-05,5.885e-05,1188.0
1529341140000,5.9999999999999995e-05,5.883e-05,5.9999999999999995e-05,5.883e-05,631.6666
1529342700000,5.907e-05,5.856e-05,5.907e-05,5.856e-05,5251.8012295
1529344440000,5.848e-05,5.848e-05,5.848e-05,5.848e-05,12000.0
1529345220000,5.848e-05,5.848e-05,5.848e-05,5.848e-05,528.3459
1529350800000,5.9999999999999995e-05,5.9e-05,5.9999999999999995e-05,5.9e-05,52.0
1529351340000,7.49e-05,7.49e-05,7.49e-05,7.49e-05,334.15809594
1529355060000,5.9e-05,5.9e-05,5.9e-05,5.9e-05,236.29305084
1529427180000,5.607e-05,5.607e-05,5.607e-05,5.607e-05,603.52225779
1529508360000,5.01e-05,5.01e-05,5.01e-05,5.01e-05,198.88151625
1529508480000,5e-05,5e-05,5e-05,5e-05,378.63863864
1529510280000,8.109e-05,8.113e-05,8.113e-05,8.109e-05,200.0
1529513700000,8.113e-05,8.113e-05,8.113e-05,8.113e-05,222.85258227
1529513820000,8.113e-05,8.113e-05,8.113e-05,8.113e-05,165.50992234
1529538960000,6.53e-05,6.53e-05,6.53e-05,6.53e-05,55.0
1529580180000,5.429999999999999e-05,5.429999999999999e-05,5.429999999999999e-05,5.429999999999999e-05,365.66
1529580240000,5.429e-05,5.429999999999999e-05,5.429999999999999e-05,5.429e-05,156.84900000000005
1529580300000,5.429999999999999e-05,5.44e-05,5.44e-05,5.429999999999999e-05,365.66
1529589960000,6.49e-05,6.49e-05,6.49e-05,6.49e-05,27.0
1529705760000,5.405e-05,5.405e-05,5.405e-05,5.405e-05,275.0
1529890800000,5e-05,5e-05,5e-05,5e-05,0.10136136
1529939220000,4.8e-05,4.8e-05,4.8e-05,4.8e-05,200.0
1529939280000,4.6e-05,4.6e-05,4.6e-05,4.6e-05,153.04202494
1529939520000,4.8e-05,4.8e-05,4.8e-05,4.8e-05,993.635
1529939580000,4.8e-05,4.8e-05,4.8e-05,4.8e-05,297.43390473
1529940000000,4.8e-05,4.8e-05,4.8e-05,4.8e-05,200.0
1529942760000,4.8e-05,4.8e-05,4.8e-05,4.8e-05,199.4
1529942820000,4.8e-05,4.8e-05,4.8e-05,4.8e-05,400.0
1529943300000,4.8e-05,4.8e-05,4.8e-05,4.8e-05,278.96166665
1529943360000,4.8e-05,4.8e-05,4.8e-05,4.8e-05,453.22756992
1529945280000,4.8e-05,4.8e-05,4.8e-05,4.8e-05,244.3638
1529945580000,4.8e-05,4.8e-05,4.8e-05,4.8e-05,496.20928093
1529945640000,4.8e-05,4.8e-05,4.8e-05,4.8e-05,589.13051362
1529953560000,4.802e-05,4.802e-05,4.802e-05,4.802e-05,15000.0
1529955900000,4.802e-05,4.802e-05,4.802e-05,4.802e-05,415.95
1529956020000,4.803e-05,4.804e-05,4.805e-05,4.802e-05,23208.72748246
1529967480000,6.49e-05,6.49e-05,6.49e-05,6.49e-05,243.0
1529970780000,4.033e-05,4.033e-05,4.033e-05,4.033e-05,274.72
1529971260000,6.43e-05,6.43e-05,6.43e-05,6.43e-05,30.0
1529989560000,4.9e-05,4.9e-05,4.9e-05,4.9e-05,399.5001
1529989800000,4.9e-05,4.9e-05,4.9e-05,4.9e-05,499.5
1529989980000,4.9e-05,4.9e-05,4.9e-05,4.9e-05,3400.5768000000007
1529990700000,4.91e-05,4.91e-05,4.91e-05,4.91e-05,4393.1
1530012180000,4.209e-05,4.209e-05,4.209e-05,4.209e-05,2375.66199771
1530022980000,4.225e-05,4.225e-05,4.225e-05,4.225e-05,78.128866
1530030120000,4.592e-05,4.592e-05,4.592e-05,4.592e-05,34.18846497
1530041340000,4.558e-05,4.332e-05,4.5600000000000004e-05,4.332e-05,3878.57782833
1530172380000,5.2300000000000004e-05,5.2300000000000004e-05,5.2300000000000004e-05,5.2300000000000004e-05,180.0
1530172440000,4e-05,4e-05,4e-05,4e-05,37.01925
1530172560000,2.62e-05,2.62e-05,2.62e-05,2.62e-05,172.56
1530174900000,4.4e-05,4.4e-05,4.4e-05,4.4e-05,131.81818182
1530174960000,4.4e-05,4.4e-05,4.4e-05,4.4e-05,322.30613636
1530375600000,5.003e-05,5.003e-05,5.003e-05,5.003e-05,414.16
1530432480000,4.8100000000000004e-05,4.8100000000000004e-05,4.8100000000000004e-05,4.8100000000000004e-05,36.0
1530432540000,4.815e-05,4.815e-05,4.815e-05,4.815e-05,36.0
1530471180000,4.869e-05,4.869e-05,4.869e-05,4.869e-05,36.0
1530471600000,4.904e-05,4.904e-05,4.904e-05,4.904e-05,63.998999999999995
1530493200000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,30.0
1530493560000,5.581e-05,5.581e-05,5.581e-05,5.581e-05,2475.0
1530504660000,4.943e-05,4.943e-05,4.943e-05,4.943e-05,36.0
1530511620000,6.607e-05,6.607e-05,6.607e-05,6.607e-05,50.0
1530582660000,5.59e-05,5.59e-05,5.59e-05,5.59e-05,227.0
1530603780000,6.283e-05,6.283e-05,6.283e-05,6.283e-05,102.0
1530610740000,5.920000000000001e-05,5.920000000000001e-05,5.920000000000001e-05,5.920000000000001e-05,134.48226351
1530848460000,5.4000000000000005e-05,5.4000000000000005e-05,5.4000000000000005e-05,5.4000000000000005e-05,100.0
1530885120000,7.3e-05,7.3e-05,7.3e-05,7.3e-05,44.0
1530889920000,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,83.17615384
1530895620000,6.493e-05,6.493e-05,6.493e-05,6.493e-05,285.55111364
1530902520000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,1454.864
1530902700000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,596.3820000000002
1530903240000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,170.607
1530904020000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,8800.74
1530904320000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,83.61320686
1530921120000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,586.73098363
1530922380000,6.645e-05,6.646e-05,6.646e-05,6.645e-05,500.0
1530924000000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,2307.06280951
1530974880000,6.53e-05,6.53e-05,6.53e-05,6.53e-05,308.44941159
1530997380000,5.199e-05,5.199e-05,5.199e-05,5.199e-05,356.38326
1531048260000,7e-05,7e-05,7e-05,7e-05,222.0
1531055100000,6.993e-05,6.993e-05,6.993e-05,6.993e-05,143.00013732
1531143480000,5.199e-05,5.199e-05,5.199e-05,5.199e-05,300.0
1531172820000,5.749e-05,5.748e-05,5.749e-05,5.748e-05,612.0
1531182000000,5.502e-05,5.502e-05,5.502e-05,5.502e-05,1817.52090149
1531182420000,5.502e-05,5.503e-05,5.503e-05,5.502e-05,15000.0
1531182480000,5.501e-05,5.501e-05,5.501e-05,5.501e-05,77.24359207
1531367640000,5.199e-05,5.199e-05,5.199e-05,5.199e-05,36.4758
1531390620000,5.199e-05,5.199e-05,5.199e-05,5.199e-05,1311.1875
1531390740000,5.199e-05,5e-05,5.199e-05,5e-05,983.390625
1531390860000,5.001e-05,5e-05,5.001e-05,5e-05,1145.5464
1531431300000,4.825e-05,4.825e-05,4.825e-05,4.825e-05,387.58577961
1531469160000,6.753e-05,6.753e-05,6.753e-05,6.753e-05,100.0
1531475460000,6.746e-05,6.746e-05,6.746e-05,6.746e-05,75.91980432
1531477980000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,72.52535555
1531478040000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,180.0
1531478100000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,108.0
1531478700000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,124.46408673
1531479000000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,144.0
1531479660000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,404.08332862
1531479720000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,249.64587229
1531481220000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,113.77415152
1531481340000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,108.0
1531481400000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,252.0
1531486200000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,216.0
1531486380000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,437.71401591
1531486440000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,282.62224489
1531486500000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,331.67515919
1531515900000,7.3e-05,7.3e-05,7.3e-05,7.3e-05,200.0
1531549260000,4.819e-05,4.819e-05,4.819e-05,4.819e-05,55.06742751
1531607400000,4.77e-05,4.77e-05,4.77e-05,4.77e-05,199.6
1531656660000,7.205e-05,7.205e-05,7.205e-05,7.205e-05,444.0
1531675680000,7.271e-05,7.271e-05,7.271e-05,7.271e-05,334.00343831
1531678020000,7.264e-05,7.264e-05,7.264e-05,7.264e-05,284.57378854
1531765440000,7.097e-05,7.097e-05,7.097e-05,7.097e-05,152.73707199999998
1531895100000,6.96e-05,6.96e-05,6.96e-05,6.96e-05,122.96770953
1531901340000,6.949e-05,6.968e-05,6.968e-05,6.949e-05,1685.25749802
1531913940000,6.945e-05,6.945e-05,6.945e-05,6.945e-05,50.0
1531917480000,6.944e-05,6.944e-05,6.944e-05,6.944e-05,1450.0
1531923780000,6.935e-05,6.935e-05,6.935e-05,6.935e-05,80.0
1531994580000,6.08e-05,6.08e-05,6.08e-05,6.08e-05,100.0
1532013900000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,142.71413705
1532054460000,5.4000000000000005e-05,5.4000000000000005e-05,5.4000000000000005e-05,5.4000000000000005e-05,72.0
1532071740000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,99.89036656
1532071800000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,699.69064425
1532071860000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,491.67940999999996
1532071920000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,371.90980154
1532071980000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,316.0
1532072040000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,200.0
1532072100000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,300.1595672800001
1532072160000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,1104.23971215
1532072220000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,60.6
1532072280000,5.3e-05,5.3e-05,5.3e-05,5.3e-05,72.0
1532072460000,5.3e-05,5.25e-05,5.3e-05,5.25e-05,1241.11636117
1532099640000,5.24e-05,5.232e-05,5.24e-05,5.232e-05,12797.10267954
1532099700000,5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,85.47692307
1532165280000,5.1e-05,5.1e-05,5.1e-05,5.1e-05,300.0
1532200440000,5.3e-05,5.406e-05,5.407e-05,5.3e-05,5283.74289605
1532220900000,5.474e-05,5.474e-05,5.474e-05,5.474e-05,850.0
1532221860000,5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,198.71846153
1532357460000,5.195e-05,5.195e-05,5.195e-05,5.195e-05,89.2879692
1532438160000,3.261e-05,3.261e-05,3.261e-05,3.261e-05,499.0
1532438280000,4.795e-05,4.795e-05,4.795e-05,4.795e-05,1288.31138699
1532489880000,4.795e-05,4.795e-05,4.795e-05,4.795e-05,380.4225599
1532809440000,4.795e-05,4.795e-05,4.795e-05,4.795e-05,227.73659866000003
1532813700000,4.795e-05,4.795e-05,4.795e-05,4.795e-05,70.13555787
1532815800000,4.795e-05,4.795e-05,4.795e-05,4.795e-05,63.09091042
1532906400000,4.059e-05,4.059e-05,4.059e-05,4.059e-05,985.46440009
1532906460000,4.5e-05,4.5e-05,4.5e-05,4.5e-05,661.35998582
1532906580000,4.5e-05,4.5e-05,4.5e-05,4.5e-05,66.64001418
1532978100000,5.02e-05,5.02e-05,5.02e-05,5.02e-05,97.29154825
1533008280000,6.469e-05,6.469e-05,6.469e-05,6.469e-05,170.80046154
1533008580000,6.469e-05,6.469e-05,6.469e-05,6.469e-05,128.59953846
1533009360000,6.500000000000001e-05,6.502e-05,6.502e-05,6.500000000000001e-05,2360.4746
1533009540000,6.503e-05,6.774e-05,6.774e-05,6.500000000000001e-05,1932.0906
1533009600000,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,6.500000000000001e-05,520.7638
1533009960000,6.500000000000001e-05,6.374e-05,6.500000000000001e-05,6.374e-05,761.94671931
1533010260000,6.401e-05,6.4e-05,6.401e-05,6.4e-05,1420.60375
1533010380000,6.306e-05,6.268e-05,6.4e-05,6.268e-05,3089.69556427
1533010500000,6.301e-05,6.301e-05,6.301e-05,6.3e-05,2206.39555555
1533010620000,6.53e-05,6.302e-05,6.53e-05,6.3e-05,2672.7947619
1533010680000,6.301e-05,6.3e-05,6.301e-05,6.3e-05,2244.6895
1533010740000,6.301e-05,6.303e-05,6.303e-05,6.3e-05,1520.04735079
1533010800000,6.301e-05,6.302e-05,6.302e-05,6.3e-05,2638.84269841
1533011820000,6.4e-05,6.4e-05,6.4e-05,6.4e-05,146.47585571
1533011940000,6.351e-05,6.353e-05,6.353e-05,6.35e-05,435.4815748
1533012000000,6.42e-05,6.3e-05,6.42e-05,6.3e-05,881.33679164
1533012060000,6.301e-05,6.302e-05,6.302e-05,6.301e-05,10000.0
1533012120000,6.301e-05,6.302e-05,6.302e-05,6.3e-05,856.45857142
1533012360000,6.301e-05,6.3e-05,6.301e-05,6.3e-05,871.30396825
1533019680000,7.342e-05,7.41e-05,7.41e-05,7.342e-05,639.92182315
1533031260000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,499.99999401
1533031320000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,304.00496288
1533031380000,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,5.9999999999999995e-05,78.3
1533031440000,5.9e-05,5.9e-05,5.9e-05,5.9e-05,1000.0
1533031500000,5.9e-05,5.9e-05,5.9e-05,5.9e-05,136.81495966
1533031560000,5.85e-05,5.85e-05,5.85e-05,5.85e-05,1000.0
1533031620000,5.85e-05,5.85e-05,5.85e-05,5.85e-05,1000.0
1533031680000,5.85e-05,5.85e-05,5.85e-05,5.85e-05,227.4
