time,open,close,high,low,volume
1528995060000,0.3965,0.3965,0.3965,0.3965,0.9975
1528995840000,0.59,0.59,0.59,0.59,1.0
1528995900000,0.4966,0.4966,0.4966,0.4966,1.0
1528996860000,0.47741000000000006,0.47741000000000006,0.47741000000000006,0.47741000000000006,1.0
1528996980000,0.46113999999999994,0.46113999999999994,0.46113999999999994,0.46113999999999994,1.0
1528997160000,0.45674,0.45674,0.45674,0.45674,1.0
1528997580000,0.44925,0.44925,0.44925,0.44925,1.0
1528997640000,0.4427,0.4427,0.4427,0.4427,1.0
1528998000000,0.44013,0.44013,0.44013,0.44013,1.0
1528998060000,0.43551999999999996,0.43551999999999996,0.43551999999999996,0.43551999999999996,1.0
1528999260000,0.42599,0.42599,0.42599,0.42599,1.0
1529000940000,0.42403,0.42022,0.42403,0.42022,1.00370064
1529001420000,0.44168999999999997,0.44168999999999997,0.44168999999999997,0.44168999999999997,0.01
1529002020000,0.41916000000000003,0.41301000000000004,0.41916000000000003,0.41301000000000004,480.08768832
1529002080000,0.43381000000000003,0.4104,0.43381000000000003,0.4104,1083.25177193
1529002140000,0.43525,0.4185,0.43525,0.4185,610.29262323
1529003640000,0.40946,0.40946,0.40946,0.40946,1.0
1529004900000,0.41131,0.41295,0.41295,0.41131,64.33
1529005200000,0.41263,0.41263,0.41263,0.41263,32.165
1529005320000,0.41176999999999997,0.41176999999999997,0.41176999999999997,0.41176999999999997,225.1671952
1529005380000,0.41176999999999997,0.41176999999999997,0.41176999999999997,0.41176999999999997,5.77e-06
1529006760000,0.65,0.65,0.65,0.65,0.001
1529007120000,0.65,0.65,0.65,0.65,0.01
1529007180000,0.36,0.36,0.36,0.36,0.00999
1529007240000,0.639,0.639,0.639,0.639,2.0
1529007480000,0.365,0.365,0.365,0.365,0.00997002
1529007540000,0.35,0.35,0.35,0.35,0.00995008
1529013060000,0.639,0.639,0.639,0.639,70.0
1529013600000,0.639,0.639,0.639,0.639,70.0
1529014200000,0.3602,0.36,0.3602,0.36,1.996
1529016540000,0.38,0.598,0.598,0.38,3.0
1529016600000,0.38,0.598,0.598,0.38,5.1
1529017800000,0.597,0.597,0.597,0.597,0.0023
1529017860000,0.597,0.597,0.597,0.597,0.0023
1529018700000,0.5879,0.5879,0.5879,0.5879,0.002
1529019600000,0.5789,0.5789,0.5789,0.5789,0.002
1529022240000,0.37,0.3601,0.37,0.3601,41.895
1529029860000,0.547,0.547,0.547,0.547,37.94426396
1529033040000,0.547,0.547,0.547,0.547,123.55548382
1529038020000,0.547,0.547,0.547,0.547,30.0
1529041620000,0.3605,0.3603,0.3605,0.3603,123.30837285
1529147400000,0.4,0.544,0.544,0.4,277.79694738
1529168700000,0.4002,0.4,0.4002,0.4,296.3386
1529183280000,0.5439,0.5439,0.5439,0.5439,67.4434679
1529239680000,0.3712,0.3712,0.3712,0.3712,32.2354
1529261160000,0.3843,0.38372,0.3843,0.38372,66.0
1529261220000,0.38361999999999996,0.38361999999999996,0.38361999999999996,0.38361999999999996,34.0
1529322720000,0.38301,0.3831,0.3831,0.38301,1188.0
1529322780000,0.38321,0.38299999999999995,0.38321,0.38299999999999995,9880.0
1529331300000,0.53888,0.53888,0.53888,0.53888,30.0
1529335440000,0.43,0.43,0.43,0.43,22.0
1529336100000,0.43,0.391,0.43,0.391,1530.69240124
1529336280000,0.3882,0.3866,0.3882,0.3865,9322.95394835
1529345340000,0.50854,0.50854,0.50854,0.50854,100.0
1529346000000,0.4987,0.4987,0.4987,0.4987,100.0
1529347380000,0.486,0.486,0.486,0.486,26.0
1529353920000,0.4788,0.4849,0.4849,0.4788,497.49561417
1529357100000,0.4501,0.4501,0.4501,0.4501,22.0
1529357160000,0.484,0.4849,0.4849,0.484,70.0
1529357640000,0.41,0.41,0.41,0.41,32.3565321
1529357940000,0.392,0.392,0.392,0.392,22.0
1529373420000,0.3939,0.3939,0.3939,0.3939,80.0
1529375760000,0.478,0.47994,0.47996000000000005,0.478,4899.14975149
1529378760000,0.479,0.479,0.479,0.479,50.0
1529381460000,0.3939,0.3939,0.3939,0.3939,189.4903758
1529402880000,0.42,0.42,0.42,0.42,29.99272709
1529403060000,0.4215,0.4215,0.4215,0.4215,29.99309205
1529403180000,0.4215,0.42,0.4215,0.42,55.01418086
1529404800000,0.41,0.39399999999999996,0.41,0.39399999999999996,2118.89
1529404860000,0.39799999999999996,0.39399999999999996,0.39799999999999996,0.39399999999999996,2286.64232612
1529407320000,0.461,0.475,0.475,0.461,739.2459069399998
1529409240000,0.46,0.46,0.46,0.46,50.0
1529410200000,0.4594,0.4778,0.4778,0.4594,8264.09032102
1529413500000,0.46,0.46,0.46,0.46,300.0
1529417340000,0.39621999999999996,0.3941,0.39621999999999996,0.3941,10000.0
1529417400000,0.475,0.475,0.475,0.475,39.0
1529418660000,0.4375,0.4375,0.4375,0.4375,100.0
1529418780000,0.4369,0.4369,0.4369,0.4369,115.5
1529418840000,0.4375,0.4375,0.4375,0.4375,38.5
1529420580000,0.402,0.402,0.402,0.402,250.0
1529422380000,0.405,0.405,0.405,0.405,22.0
1529422440000,0.405,0.405,0.405,0.405,906.91797738
1529427180000,0.387,0.387,0.387,0.387,602.01345215
1529428200000,0.40494,0.40494,0.40494,0.40494,286.75880511
1529432460000,0.40399999999999997,0.40399999999999997,0.40399999999999997,0.40399999999999997,76.64340341
1529435100000,0.3902,0.3902,0.3902,0.3902,24.2726
1529435760000,0.3877,0.3877,0.3877,0.3877,25.3759
1529435820000,0.3875,0.3875,0.3875,0.3875,128.0
1529435940000,0.3875,0.3875,0.3875,0.3875,184.55435514
1529437200000,0.39,0.39,0.39,0.39,298.8012
1529442780000,0.39,0.39,0.39,0.39,158.8738
1529450580000,0.4015,0.4025,0.4025,0.4015,600.0
1529459280000,0.3917,0.375,0.3917,0.375,3341.4624926999995
1529459340000,0.375,0.375,0.375,0.375,3366.0
1529479140000,0.375,0.375,0.375,0.375,1012.0
1529498340000,0.375,0.375,0.375,0.375,2332.0
1529498520000,0.375,0.37,0.375,0.37,704.0
1529498640000,0.3986,0.4028,0.4028,0.3986,30.0
1529498700000,0.4028,0.4039,0.4039,0.4028,48.1
1529498760000,0.435,0.435,0.435,0.435,30.0
1529499300000,0.39998,0.39998,0.39998,0.39998,22.0
1529506560000,0.37200000000000005,0.37200000000000005,0.37200000000000005,0.37200000000000005,361.33337429
1529506680000,0.3662,0.3645,0.3662,0.3645,432.95765441
1529506800000,0.3645,0.3645,0.3645,0.3645,32.57370114
1529506920000,0.3645,0.3603,0.3645,0.3603,172.99997108000005
1529507160000,0.3605,0.3605,0.3605,0.3605,30.89237149
1529507520000,0.3605,0.3605,0.3605,0.3605,1323.01093199
1529507760000,0.3605,0.3603,0.3605,0.3603,6.784e-05
1529507820000,0.34,0.34,0.34,0.34,115.38
1529507880000,0.34,0.34,0.34,0.34,184.61996968
1529508000000,0.3402,0.3402,0.3402,0.3402,35.30557857
1529508120000,0.3402,0.3402,0.3402,0.3402,2334.67004533
1529511240000,0.3402,0.34,0.3402,0.34,6.003e-05
1529530920000,0.376,0.376,0.376,0.376,22.0
1529538960000,0.376,0.376,0.376,0.376,55.0
1529542200000,0.376,0.37784,0.37784,0.376,429.89417989
1529556900000,0.361,0.361,0.361,0.361,1321.68791319
1529563200000,0.3789,0.3789,0.3789,0.3789,32.42117181
1529575800000,0.3789,0.3789,0.3789,0.3789,2.77882819
