time,open,close,high,low,volume
1516808820000,0.5,0.5,0.5,0.5,50.0
1516809000000,1.45,0.99,1.45,0.99,139.25522808
1516809060000,0.5,0.5,0.55,0.5,7950.0
1516809120000,0.505,0.505,0.505,0.505,5000.0
1516809180000,0.504,0.48,0.504,0.35,2874.54858101
1516809240000,0.48,0.48,0.48,0.48,44.0
1516809300000,0.4788,0.4788,0.4788,0.4788,40.0
1516809420000,0.46,0.46,0.46,0.46,46.2925076
1516809600000,0.42,0.42,0.42,0.42,1144.85462374
1516809660000,0.4188,0.4188,0.4188,0.4188,629.0
1516809840000,0.3998,0.3998,0.3998,0.3998,200.0
1516809900000,0.3998,0.38,0.3998,0.38,3292.14623684
1516810020000,0.375,0.375,0.375,0.375,228.31368677
1516810080000,0.375,0.35508,0.375,0.35508,5160.76202485
1516810320000,0.3649,0.3643,0.3649,0.3643,250.0
1516810380000,0.3643,0.3643,0.3643,0.3643,3000.0
1516810440000,0.36359,0.3635,0.36359,0.3635,2000.0
1516810500000,0.3436,0.3436,0.3436,0.3436,1352.29
1516810560000,0.3619,0.3619,0.3619,0.3619,203.90443601
1516810740000,0.35,0.35,0.35,0.35,4776.79319268
1516810800000,0.34899,0.34899,0.34899,0.34899,500.0
1516810860000,0.34899,0.34899,0.34899,0.34899,47.25412409
1516810920000,0.34899,0.34899,0.34899,0.34899,2000.0
1516811040000,0.34859,0.3488,0.3499,0.34859,6812.51846374
1516811100000,0.3397,0.3489,0.3499,0.3397,24595.77337288
1516811160000,0.3489,0.3489,0.3489,0.3489,228.47634813
1516811220000,0.33371,0.33371,0.33371,0.33371,1532.5
1516811280000,0.3365,0.3457,0.3457,0.33641,30981.84399999
1516811340000,0.33721,0.34,0.34001,0.33721,24505.03551051
1516811400000,0.34001,0.34589000000000003,0.34589000000000003,0.34,1694.32555548
1516811460000,0.345,0.345,0.345,0.34,7000.0
1516811520000,0.34001,0.3452,0.3452,0.34,13979.67826088
1516811580000,0.34299999999999997,0.34299999999999997,0.34299999999999997,0.3425,8381.91483321
1516811640000,0.3425,0.3425,0.3425,0.3425,500.0
1516811700000,0.3425,0.3425,0.3425,0.3425,762.6063044499998
1516811760000,0.341,0.341,0.341,0.341,850.0
1516811820000,0.3425,0.3425,0.3425,0.3425,1200.0
1516811880000,0.34001,0.34001,0.35888000000000003,0.34,15129.31999847
1516812120000,0.33671,0.33671,0.33671,0.33671,249.5
1516812180000,0.34479,0.3448,0.345,0.33851,3274.2765239
1516812240000,0.3396,0.34368000000000004,0.34368000000000004,0.3396,1250.0
1516812300000,0.34368000000000004,0.34368000000000004,0.34368000000000004,0.34368000000000004,8299.32411212
1516812420000,0.3399,0.34339000000000003,0.34339000000000003,0.3399,14473.28831543
1516812480000,0.34199,0.34199,0.34199,0.34199,5000.0
1516812540000,0.33551,0.33551,0.33551,0.33551,9949.0
1516812600000,0.34199,0.34199,0.34199,0.33523000000000003,2182.44956242
1516812660000,0.34198,0.3444,0.3444,0.34198,11579.15351
1516812720000,0.33523000000000003,0.33523000000000003,0.33523000000000003,0.33523000000000003,593.68224738
1516813200000,0.3429,0.3424,0.3429,0.3424,10200.0
1516813260000,0.3429,0.34239,0.3429,0.34239,1194.7238251899996
1516813380000,0.3424,0.3424,0.3424,0.3424,80.0
1516813440000,0.34219,0.34219,0.34219,0.34219,75.0
1516813620000,0.34,0.34,0.34,0.34,785.0
1516813680000,0.34,0.335,0.34,0.335,4174.82266879
1516813740000,0.33399999999999996,0.33401,0.335,0.33399999999999996,1771.66198226
1516813860000,0.33399999999999996,0.33399999999999996,0.33399999999999996,0.33399999999999996,50.0
1516813920000,0.33959,0.33959,0.33959,0.33959,50.0
1516813980000,0.3397,0.3397,0.3397,0.3397,250.0
1516814160000,0.3392,0.3392,0.3392,0.3392,100.0
1516814220000,0.3392,0.3374,0.3392,0.3374,589.3401426600002
1516814340000,0.3389,0.335,0.3389,0.335,698.09376699
1516814400000,0.335,0.335,0.335,0.335,5652.7503244
1516814460000,0.335,0.32800999999999997,0.33929000000000004,0.32800999999999997,348.70612552
1516814580000,0.3399,0.3396,0.3399,0.3396,4006.0
1516814640000,0.3398,0.3398,0.3398,0.3398,1500.0
1516814760000,0.33899999999999997,0.33899999999999997,0.33899999999999997,0.33899999999999997,1000.0
1516814820000,0.3399,0.3399,0.3399,0.3399,900.0
1516814880000,0.3399,0.3399,0.3399,0.3399,7291.80827849
1516814940000,0.3399,0.3399,0.3399,0.3399,97.0
1516815000000,0.3399,0.3399,0.3399,0.3399,1611.19172151
1516815060000,0.35788000000000003,0.3798,0.3798,0.35788000000000003,30000.0
1516815120000,0.34001,0.34001,0.34001,0.34001,111.03838973
1516815240000,0.37929,0.37929,0.37929,0.37929,964.32976298
1516815300000,0.37639,0.3761,0.37639,0.3761,564.02503277
1516815360000,0.34212,0.37499,0.37499,0.3421,6663.0
1516815420000,0.36989,0.36989,0.36989,0.36989,50.0
1516815600000,0.35809,0.34214,0.35809,0.34214,2940.0
1516815660000,0.34214,0.34214,0.34214,0.34214,1419.0
1516815720000,0.34309,0.34214,0.34309,0.34214,2237.79790971
1516815840000,0.34279,0.34279,0.34279,0.34279,100.0
1516815960000,0.34189,0.34189,0.34189,0.34189,250.0
1516816020000,0.3418,0.3418,0.3418,0.3418,250.0
1516816080000,0.34239,0.34239,0.34239,0.34239,250.0
1516816260000,0.34,0.34,0.34,0.34,201.0
1516816320000,0.34,0.34279,0.34279,0.34,456.08494062
1516816380000,0.34,0.34,0.3402,0.34,1103.0
