time,open,close,high,low,volume
1523115840000,0.00019999,0.1,0.1,0.00019999,20.0
1523116740000,1.5,1.5,1.5,1.5,157.885
1523117520000,2.9998,2.9998,2.9998,2.9998,1.27459835
1523117640000,1.33,1.33,1.33,1.33,75.0
1523119320000,1.9999,2.2,2.2,1.9999,276.28640099999996
1523119380000,2.9999,3.0,3.0,2.9999,131.3036545
1523119440000,4.0,4.0,4.0,4.0,10.0
1523119560000,3.63,1.5,3.63,1.5,23.17583978
1523119620000,1.5,2.2,9.9999,1.5,124.26200437
1523119680000,2.2,1.5,9.0,1.5,179.93123
1523119740000,3.0,3.0,3.0,2.2,108.0
1523119800000,1.5,1.5,1.5,1.5,155.0
1523119860000,2.2,2.2,2.2,2.2,262.0
1523119920000,1.501,3.2,3.2,1.5,318.04262179
1523119980000,1.5,2.1,2.1,1.5,399.0
1523120040000,1.45,1.3,1.45,1.3,213.75380213
1523120580000,1.3,1.3,1.3,1.3,9.6956425
1523120940000,1.3,1.3,1.3,1.3,10.0
1523121060000,1.3,1.3,1.3,1.3,61.42784415
1523121360000,1.88,1.88,1.88,1.88,0.8
1523121420000,1.88,1.79,1.88,1.79,0.43
1523121480000,1.79,1.79,1.79,1.79,0.01
1523121720000,1.296,1.2879,1.296,1.2879,4.0
1523122200000,1.7499,1.79,1.79,1.7499,500.0
1523122380000,1.79,1.79,1.79,1.79,2.29
1523122440000,1.2921,1.2921,1.2921,1.2921,0.22
1523122500000,1.2922,1.2922,1.2922,1.2922,0.002
1523122740000,1.79,1.89,1.89,1.79,161.35616364999996
1523122800000,1.89,2.0,2.0,1.89,300.0
1523122860000,2.0,2.0,2.0,2.0,460.67162344
1523122980000,1.8,1.8,1.8,1.8,382.5
1523123040000,1.8,1.8,1.8,1.8,97.5
1523123160000,1.8,1.8,1.8,1.8,40.0
1523123220000,1.8,1.8,1.8,1.8,7.0
1523123340000,1.55,1.5,1.55,1.5,917.78798818
1523123400000,1.5,1.5,1.5,1.5,130.0
1523124300000,1.5199,1.52,1.52,1.5199,132.09680416
1523124480000,1.52,1.52,1.52,1.52,31.89533994
1523125080000,1.4986,1.4986,1.4986,1.4986,100.0
1523126700000,1.3033,1.3033,1.3033,1.3033,100.0
1523127480000,1.4962,1.6544,1.6544,1.4962,928.29207994
1523128200000,1.64,1.7116,1.7116,1.64,65.0
1523128680000,1.7,1.7116,1.7116,1.7,179.10971733
1523129040000,1.32,1.31,1.32,1.31,77.76825549
1523129100000,1.31,1.3033,1.31,1.3033,219.34951983
1523129940000,1.3101,1.3101,1.3101,1.3101,141.0
1523130120000,1.3101,1.3101,1.3101,1.3101,370.0
1523130420000,1.3033,1.301,1.3033,1.301,14.71119056
1523130840000,1.3,1.3,1.3,1.3,35.5
1523131080000,1.3,1.3,1.3,1.3,43.0
1523131500000,1.24,1.24,1.24,1.24,34.49878184
1523131800000,1.25,1.25,1.25,1.25,0.49050659999999996
1523134680000,1.25,1.25,1.25,1.25,30.0
1523136180000,1.3419,1.3419,1.3419,1.3419,20.0
1523138760000,1.3,1.3,1.3,1.3,100.0
1523142300000,1.31,1.31,1.31,1.31,154.0
1523144100000,1.3419,1.3419,1.3419,1.3419,17.0
1523147040000,1.395,1.395,1.395,1.395,251.0
1523151420000,1.385,1.385,1.385,1.385,35.84229391
1523151960000,1.3847,1.3847,1.3847,1.3847,80.0
1523155620000,1.3847,1.5,1.5,1.3847,1410.06133161
1523155680000,1.4999,1.4999,1.4999,1.4999,8.0
1523155800000,1.31,1.3,1.31,1.3,100.0
1523160000000,1.325,1.325,1.325,1.325,678.8505044999999
1523160600000,1.3,1.2112,1.3,1.2112,925.2792949999999
1523166000000,1.3499,1.3499,1.3499,1.3499,14.31050448
1523167920000,1.3496,1.3497,1.3497,1.3496,258.97154838
1523168400000,1.3497,1.3497,1.3497,1.3497,10.32122852
1523169600000,1.25,1.25,1.25,1.25,19.15419135
1523169840000,1.25,1.24,1.25,1.24,136.726
1523173740000,1.3497,1.4,1.4,1.3497,9.89163246
1523176740000,1.4,1.4,1.4,1.4,95.0
1523176800000,1.4,1.49,1.49,1.4,511.0
1523176860000,1.49,1.57,1.57,1.49,14.76332961
1523176920000,1.59,1.59,1.59,1.59,34.6
1523177040000,1.59,1.59,1.59,1.59,68.8
1523177100000,1.59,1.59,1.59,1.59,34.4
1523177160000,1.59,1.59,1.59,1.59,68.8
1523177280000,1.59,1.5999,1.5999,1.59,5774.27589842
1523177520000,1.62,1.62,1.62,1.62,10000.0
1523177700000,1.62,1.63,1.63,1.62,50061.0
1523177760000,1.63,1.67,1.67,1.63,1986.42655553
1523178120000,1.675,1.73,1.73,1.675,743.69652515
1523178240000,1.7398,1.74,1.74,1.7398,300.0
1523178300000,1.75,1.75,1.75,1.75,375.033049
1523178360000,1.7688,1.82,1.82,1.7688,4377.420105
1523178420000,1.8259999999999998,1.8259999999999998,1.8259999999999998,1.8259999999999998,105.07598827
1523178480000,1.8833,1.9405,1.9405,1.8833,190.17198654
1523178540000,1.9977,2.0549,2.0549,1.9977,190.17198654
1523178600000,2.1121,2.2,2.2,2.1121,424.04298654
1523178660000,2.2,2.2265,2.2265,2.2,882.00599327
1523178720000,2.24,2.24,2.24,2.24,85.9
1523178780000,2.2640000000000002,2.3409,2.3409,2.2640000000000002,122.71558193
1523178840000,2.3409,2.3409999999999997,2.3409999999999997,2.3409,190.90997561
1523178900000,2.3221,2.4553,2.4553,2.3221,256.67882016
1523178960000,2.5126,2.513,2.513,2.5126,395.08599327
1523179020000,2.569,2.569,2.569,2.569,300.0
1523179080000,2.55,2.55,2.569,2.55,285.8141
1523179140000,2.5698,2.5698,2.5698,2.5698,135.0860037
1523179200000,2.4395,2.627,2.627,2.4395,1008.99997844
1523179260000,2.6842,2.7986,2.7986,2.6842,633.15084573
1523179320000,2.799,2.8560000000000003,2.8560000000000003,2.799,1003.08599327
1523179380000,2.9130000000000003,2.971,2.971,2.9130000000000003,1000.0
1523179440000,2.97,2.4395,2.97,2.4395,179.878
1523179560000,2.9,2.4395,2.9,2.4395,138.0210129
1523179620000,2.9,1.5002,2.9,1.5002,140.0
1523179680000,1.5002,2.9,2.9,1.5002,1220.0
1523179740000,1.7,2.8,2.8,1.7,1180.0
1523179800000,1.99,1.5,1.99,1.5,1382.46303592
