time,open,close,high,low,volume
1516809780000,3.5,3.5,3.5,3.5,7.5
1516809840000,3.49,3.49,3.49,3.49,10.0
1516809900000,3.2,3.2,3.2,3.2,98.47117181
1516809960000,3.2,3.2,3.2,3.2,100.0
1516810140000,2.6,3.1999,3.1999,2.6,11.48
1516810200000,3.1999,3.1999,3.1999,3.1999,5.0
1516810680000,3.0,3.0,3.0,3.0,4.0
1516810980000,2.7102,2.2201,2.7102,2.22,4711.03689744
1516811160000,2.79,2.9999,2.9999,2.79,1231.29857117
1516811280000,2.9956,2.9956,2.9956,2.9956,19.0
1516811880000,2.9365,2.9365,2.9365,2.9365,10.0
1516812240000,2.85,2.9139999999999997,2.9139999999999997,2.85,48.79278328
1516812360000,2.9103,2.9103,2.9103,2.9103,40.0
1516812540000,2.8979,2.8979,2.8979,2.8979,66.5600427
1516812660000,2.73,2.73,2.73,2.73,999.2
1516812720000,2.8979,2.8979,2.8979,2.8979,46.17761085
1516812780000,2.8979,2.8979,2.8979,2.8979,5.0
1516812960000,2.908,2.98,2.98,2.908,135.72984523
1516813320000,2.9,2.9,2.9,2.9,192.34589412000003
1516813500000,2.7515,2.7514,2.7515,2.7514,1322.06211776
1516813620000,2.85,2.85,2.85,2.85,164.0
1516813680000,2.8472,2.8474,2.8474,2.8472,200.0
1516813740000,2.8471,2.8471,2.8471,2.8471,126.36481699999999
1516813800000,2.8471,2.8478,2.8478,2.8471,38.73043404000001
1516813980000,2.7515,2.7515,2.7515,2.7515,296.4611981
1516814160000,2.7515,2.7515,2.7515,2.7515,1218.7448019
1516814220000,2.7518,2.8197,2.8197,2.6,1949.69865731
1516814280000,2.8167,2.8167,2.8167,2.8167,8.0
1516814460000,2.8165,2.8165,2.8165,2.8165,50.0
1516814520000,2.8165,2.8165,2.8165,2.8165,25.61143064
1516814700000,2.8479,2.8479,2.8479,2.8479,5.776562
1516814940000,2.8165,2.8165,2.8165,2.8165,10.978
1516815120000,2.8165,2.8165,2.8165,2.8165,3.41056936
1516815420000,2.7519,2.7519,2.7519,2.7519,10.0
1516815480000,2.7519,2.8165,2.8165,2.7519,996.07586388
1516815540000,2.8999,2.8999,2.8999,2.8999,11.6
1516815900000,2.7546,2.9382,2.9382,2.7546,954.82211314
1516816020000,2.9142,2.9142,2.9142,2.9142,227.35302431
1516816320000,2.9004,2.9005,2.9005,2.9004,500.0
1516816620000,2.8909,2.8909,2.8909,2.8909,15.67705141
1516816860000,2.8838,2.8838,2.8838,2.8838,5.0
1516818000000,2.93,2.93,2.93,2.93,7.85066954
1516818420000,2.92,2.92,2.92,2.92,200.0
1516818480000,2.9163,2.9163,2.9163,2.9163,10.0
1516819080000,2.91,2.91,2.91,2.91,4.0
1516819200000,2.8535,2.8469,2.8535,2.8469,2138.8622
1516819320000,2.91,2.91,2.91,2.91,19.0
1516819560000,2.91,2.91,2.91,2.91,107.0
1516819920000,2.91,2.91,2.91,2.91,100.0
1516820400000,2.8469,2.8423,2.8469,2.8423,225.000023
1516820460000,2.8423,2.8392,2.8423,2.8392,134.55
1516820580000,2.91,2.91,2.91,2.91,100.0
1516820760000,2.85,2.85,2.85,2.85,10.0
1516820820000,2.91,2.8269,2.91,2.8269,510.58278924
1516820880000,2.8269,2.91,2.91,2.8007,1374.13988117
1516820940000,2.91,2.91,2.91,2.91,62.58278924
1516821000000,2.91,2.91,2.91,2.91,14.0
1516821660000,2.9,2.821,2.9,2.821,5.00660788
1516821780000,2.91,2.91,2.91,2.91,5.0
1516821900000,2.91,2.91,2.91,2.91,35.0
1516822500000,2.8901,2.8211,2.8901,2.8211,38.75585964
1516822620000,2.821,2.8,2.821,2.8,462.18591412
1516823040000,2.8001,2.8001,2.8001,2.8001,12.085358
1516823160000,2.8501,2.8501,2.8501,2.8501,6.54427541
1516823520000,2.9,2.9,2.9,2.9,17.0
1516824000000,2.8965,2.8965,2.8965,2.8965,10.0
1516824120000,2.82,2.82,2.82,2.82,250.0
1516824720000,2.8491,2.8491,2.8491,2.8491,30.0
1516825140000,2.8452,2.8452,2.8452,2.8452,450.0
1516825320000,2.8476,2.8476,2.8476,2.8476,81.46419398
1516825440000,2.9,2.9,2.9,2.9,4.0
1516825560000,2.9,2.9,2.9,2.9,2000.0
1516825740000,2.88,2.9,2.9,2.88,41.0
1516825800000,2.9,2.9,2.9,2.9,20.0
1516825980000,2.8133,2.8905,2.8905,2.81,14.97028712
1516826280000,2.8499,2.8499,2.8499,2.8499,103.077596
1516826340000,2.81,2.8499,2.8499,2.81,461.816
1516826520000,2.83,2.83,2.83,2.83,16.922229
1516826580000,2.82,2.82,2.82,2.82,160.0477341
1516827000000,2.91,2.9117,2.9117,2.91,35.0
1516827120000,2.8052,2.805,2.8052,2.805,111.608669
1516827480000,2.81,2.805,2.81,2.805,91.22934637
1516827540000,2.841,2.841,2.841,2.841,10.0
1516828080000,2.8318,2.8318,2.8318,2.8318,30.0
1516828260000,2.8248,2.8235,2.8248,2.8235,8.01853368
1516829220000,2.8248,2.825,2.825,2.8248,195.88515269
1516829520000,2.85,2.85,2.85,2.85,296.1
1516829700000,2.85,2.8883,2.8883,2.85,231.482
1516829820000,2.8501,2.8516,2.8516,2.85,128.57281190999998
1516829880000,2.86,2.82,2.86,2.82,119.96
1516830000000,2.82,2.82,2.82,2.82,30.94
1516830060000,2.8012,2.8012,2.8012,2.8012,104.65411539
1516830360000,2.8813,2.8813,2.8813,2.8813,48.57157071
1516830540000,2.8703,2.8703,2.8703,2.8703,15.0
1516830600000,2.8014,2.8,2.8014,2.8,279.9
1516831020000,2.8,2.8,2.8,2.8,166.015
1516831320000,2.8844,2.8848,2.8848,2.8844,100.0
1516831860000,2.8502,2.8502,2.8502,2.8502,207.0
1516831920000,2.8489999999999998,2.8462,2.8489999999999998,2.8462,24.0
1516832100000,2.8386,2.8386,2.8386,2.8386,30.0
1516832520000,2.8,2.79,2.8,2.79,58.361313
1516833060000,2.79,2.79,2.79,2.79,4.0
1516833240000,2.79,2.79,2.79,2.79,14.052314
1516833540000,2.79,2.79,2.79,2.79,74.57408154000002
1516833780000,2.8045,2.8045,2.8045,2.8045,18.0
1516833840000,2.79,2.79,2.79,2.79,37.709984000000006
