time,open,close,high,low,volume
1538746920000,3.5e-05,3.5e-05,3.5e-05,3.5e-05,123.0
1538747220000,4e-05,4e-05,4e-05,4e-05,123.0
1538747640000,3.59e-05,3.59e-05,3.59e-05,3.59e-05,775.0
1538747700000,3.65e-05,3.524e-05,3.65e-05,3.524e-05,2937.0
1538747760000,3.524e-05,3.524e-05,3.524e-05,3.524e-05,2734.0
1538748300000,3.524e-05,3.488e-05,3.524e-05,3.488e-05,1665.0
1538748360000,4.999e-05,4.999e-05,4.999e-05,4.999e-05,100.0
1538748720000,3.488e-05,3.488e-05,3.488e-05,3.488e-05,3330.0
1538748840000,3.488e-05,3.487e-05,3.488e-05,3.487e-05,944.0
1538748960000,3.487e-05,3.414e-05,3.487e-05,3.414e-05,5000.0
1538750460000,3.47e-05,3.45e-05,3.47e-05,3.45e-05,675.82511316
1538750880000,4.3e-05,4.3e-05,4.3e-05,4.3e-05,111.0
1538751060000,3.47e-05,3.47e-05,3.47e-05,3.47e-05,564.14928805
1538756520000,3.414e-05,3.388e-05,3.414e-05,3.388e-05,1827.0
1538757060000,3.388e-05,3.388e-05,3.388e-05,3.388e-05,207.76987086
1538757420000,3.388e-05,3.309e-05,3.388e-05,3.309e-05,3302.4672600000004
1538759820000,3.309e-05,3.309e-05,3.309e-05,3.309e-05,6.93521427
1538762160000,3.309e-05,3.309e-05,3.309e-05,3.309e-05,0.01387042
1538763060000,4e-05,4e-05,4e-05,3.999e-05,1414.1439699999999
1538763180000,4e-05,4e-05,4e-05,4e-05,1400.07575248
1538763240000,4e-05,4e-05,4e-05,4e-05,1390.6072399999996
1538763360000,4e-05,4e-05,4e-05,4e-05,691.42678
1538763420000,4e-05,4e-05,4e-05,4e-05,1377.57747
1538763540000,4e-05,4e-05,4e-05,4e-05,1374.23947
1538763600000,4e-05,4e-05,4e-05,4e-05,1393.32318
1538763720000,3.3100000000000005e-05,4.45e-05,4.45e-05,3.3100000000000005e-05,51307.80352489
1538763900000,4e-05,4e-05,4e-05,4e-05,707.70447
1538764020000,4e-05,4e-05,4e-05,4e-05,684.28756
1538764200000,4e-05,3.999e-05,4e-05,3.999e-05,1412.4706199999998
1538764260000,3.9899999999999994e-05,3.9899999999999994e-05,3.9899999999999994e-05,3.9899999999999994e-05,2074.3623199999997
1538764320000,3.9899999999999994e-05,4e-05,4e-05,3.9899999999999994e-05,2073.6046
1538764380000,4e-05,3.999e-05,4e-05,3.999e-05,1388.1570499999998
1538764500000,3.999e-05,3.999e-05,3.999e-05,3.999e-05,706.95424
1538764560000,3.999e-05,3.999e-05,3.999e-05,3.999e-05,690.0187599999999
1538764680000,3.999e-05,3.999e-05,3.999e-05,3.999e-05,690.76961
