time,open,close,high,low,volume
1530346980000,2.8e-06,2.8e-06,2.8e-06,2.8e-06,14596.7
1530527340000,1.2e-06,1.2e-06,1.2e-06,1.2e-06,844.13774454
1530573780000,1.2e-06,1.2e-06,1.2e-06,1.2e-06,1024.81764351
1530679380000,2.2e-06,2.2e-06,2.2e-06,2.2e-06,1992.90199292
1530679440000,2.2e-06,2.2e-06,2.2e-06,2.2e-06,1001.5489980000001
1530688500000,2.4e-06,2.4e-06,2.4e-06,2.4e-06,500.0
1530704520000,2.2e-06,2.2e-06,2.2e-06,2.2e-06,352.12173635
1530745080000,2.78e-06,2.79e-06,2.79e-06,2.78e-06,32586.141840210006
1530753120000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,454.0
1530754980000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,1625.12259754
1530757440000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,3942.65232975
1530757680000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,6068.90262371
1530758220000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,750.75075076
1530758340000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,771.13753494
1530766980000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,674.23901736
1530767040000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,538.77855713
1530768240000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,2794.12984228
1530774720000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,7000.0
1530789360000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,562.37854029
1530792060000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,3998.80224154
1530793800000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,1671.21217958
1530793980000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,592.34575881
1530796680000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,7000.0
1530808680000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,24847.54353374
1530849480000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,1000.0
1530849540000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,1000.0
1530849660000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,1000.0
1530849720000,2.79e-06,2.79e-06,2.79e-06,2.79e-06,1000.0
1530947160000,2.6e-06,2.6e-06,2.6e-06,2.6e-06,15448.0
1530961380000,2.41e-06,2.42e-06,2.42e-06,2.41e-06,423618.59833403
1530984900000,2.84e-06,2.84e-06,2.84e-06,2.84e-06,3623.38747198
1530987000000,2.82e-06,2.82e-06,2.82e-06,2.82e-06,30007.42077772
1531133880000,2.36e-06,2.36e-06,2.36e-06,2.36e-06,14567.5066
1531166640000,2.52e-06,2.52e-06,2.52e-06,2.52e-06,40884.0
1531166700000,2.52e-06,2.52e-06,2.52e-06,2.52e-06,9314.69574093
1531167900000,2.52e-06,2.52e-06,2.52e-06,2.52e-06,22724.0
1531246260000,2.52e-06,2.52e-06,2.68e-06,2.52e-06,224234.58055166
1531340700000,2.31e-06,2.31e-06,2.31e-06,2.31e-06,12000.0
1531366500000,2.31e-06,2.31e-06,2.31e-06,2.31e-06,26709.64643036
1531729560000,1.31e-06,1.31e-06,1.31e-06,1.31e-06,6000.0
1531749840000,2.19e-06,2.19e-06,2.19e-06,2.19e-06,6097.37051437
1531766640000,2.13e-06,2.13e-06,2.13e-06,2.13e-06,1972.0
1531916340000,5.89e-06,6e-06,6e-06,5.89e-06,6758.25901639
1531942860000,5.79e-06,5.99e-06,5.99e-06,5.79e-06,10955.42070117
1532346420000,1.72e-06,1.72e-06,1.72e-06,1.72e-06,11627.90697674
1532346480000,1.66e-06,1.67e-06,1.67e-06,1.66e-06,36000.28857946
1532346540000,1.67e-06,1.41e-06,1.67e-06,1.41e-06,62497.77044380001
1532412360000,1.87e-06,1.87e-06,1.87e-06,1.87e-06,3321.4383
1532588520000,1.52e-06,1.52e-06,1.52e-06,1.52e-06,1080.28939385
1532700900000,2.12e-06,2.12e-06,2.12e-06,2.12e-06,800.0
1532787420000,2.59e-06,2.59e-06,2.59e-06,2.59e-06,2002.0
1533065940000,1.5e-06,1.5e-06,1.5e-06,1.5e-06,75000.0
1533082140000,1.61e-06,1.61e-06,1.61e-06,1.61e-06,6813.55525988
1533105900000,1.53e-06,1.53e-06,1.53e-06,1.53e-06,998.999274
1533106020000,1.39e-06,1.35e-06,1.39e-06,1.35e-06,42924.73118278
1533194040000,1.56e-06,1.56e-06,1.56e-06,1.56e-06,2102.0
1533215940000,1.5e-06,1.5e-06,1.5e-06,1.5e-06,35916.51096872
1533243240000,1.96e-06,1.95e-06,1.96e-06,1.95e-06,4204.0
1533243300000,1.95e-06,1.95e-06,1.95e-06,1.95e-06,6306.0
1533243360000,1.95e-06,1.95e-06,1.95e-06,1.95e-06,2102.0
1533243420000,1.95e-06,1.95e-06,1.95e-06,1.95e-06,2102.0
1533519780000,2e-06,1.9e-06,2e-06,1.9e-06,2000.0
1533560880000,1.35e-06,1.35e-06,1.35e-06,1.35e-06,4995.0
1533571200000,1.5e-06,1.5e-06,1.5e-06,1.5e-06,72450.77208605
1533571800000,1.66e-06,1.66e-06,1.66e-06,1.66e-06,6788.49168813
1533580380000,1.68e-06,1.68e-06,1.68e-06,1.67e-06,20799.40742617
1533581460000,1.68e-06,1.68e-06,1.68e-06,1.68e-06,107672.57464266
1533597360000,1.81e-06,1.82e-06,1.82e-06,1.81e-06,12766.83991668
1533638760000,1.55e-06,1.54e-06,1.55e-06,1.54e-06,6711.06847429
1533638880000,1.45e-06,1.45e-06,1.45e-06,1.45e-06,14622.55329672
1533825540000,1.4e-06,1.4e-06,1.4e-06,1.4e-06,3355.4983555
1533826320000,1.4e-06,1.4e-06,1.4e-06,1.4e-06,10517.87508347
1533895440000,1.4e-06,1.4e-06,1.4e-06,1.4e-06,23675.00088656
1533898440000,1.41e-06,1.4e-06,1.41e-06,1.4e-06,23645.74961905
1533908160000,1.36e-06,1.3e-06,1.36e-06,1.3e-06,96364.61775878
1533908220000,1.29e-06,1.29e-06,1.29e-06,1.29e-06,39152.90546795
1533910860000,1.3e-06,1.29e-06,1.3e-06,1.29e-06,54622.95782153
1533910920000,1.29e-06,1.29e-06,1.29e-06,1.29e-06,1419.1505078599996
1533911280000,1.25e-06,1.25e-06,1.25e-06,1.25e-06,38958.0
1533911340000,1.25e-06,1.25e-06,1.25e-06,1.25e-06,11778.0
1533911400000,1.25e-06,1.25e-06,1.25e-06,1.25e-06,28576.0
1533911820000,1.23e-06,1.23e-06,1.23e-06,1.23e-06,3624.0
1533911880000,1.23e-06,1.21e-06,1.23e-06,1.21e-06,86726.72331109
1533911940000,1.21e-06,1.21e-06,1.21e-06,1.21e-06,11778.0
1533912060000,1.21e-06,1.21e-06,1.21e-06,1.21e-06,57078.0
1533912180000,1.21e-06,1.21e-06,1.21e-06,1.21e-06,7314.0
1533912600000,1.2e-06,1.2e-06,1.2e-06,1.2e-06,71283.4
1533912660000,1.19e-06,1.2e-06,1.2e-06,1.18e-06,2736.94892828
1533912720000,1.18e-06,1.18e-06,1.19e-06,1.18e-06,2240.86957983
1533919320000,1.24e-06,1.25e-06,1.25e-06,1.24e-06,1808.1951624
1533919620000,1.28e-06,1.29e-06,1.29e-06,1.28e-06,914.10388237
1533919680000,1.27e-06,1.29e-06,1.29e-06,1.26e-06,3948.51227835
