time,open,close,high,low,volume
1514388960000,8.8e-06,8.8e-06,8.8e-06,8.8e-06,21546.51332373
1514389020000,8.8e-06,8.8e-06,8.8e-06,8.8e-06,15573.54291296
1514389080000,8.8e-06,8.900000000000001e-06,8.900000000000001e-06,8.8e-06,12982.26207552
1514389140000,8.900000000000001e-06,8.900000000000001e-06,8.900000000000001e-06,8.900000000000001e-06,20955.68871637
1514389200000,8.900000000000001e-06,8.599999999999999e-06,8.900000000000001e-06,8.599999999999999e-06,25376.14866821
1514389260000,8.900000000000001e-06,9e-06,9e-06,8.900000000000001e-06,50259.96196176
1514389320000,9e-06,9.1e-06,9.1e-06,9e-06,94207.98614438
1514389380000,9.1e-06,1e-05,1e-05,9.1e-06,79922.49235166
1514389440000,1e-05,1e-05,1e-05,8.599999999999999e-06,96409.14225288
1514389500000,1e-05,1e-05,1e-05,1e-05,111.15
1514389560000,1e-05,1e-05,1.01e-05,1e-05,3200.0
1514389620000,1.09e-05,1.09e-05,1.09e-05,1.09e-05,238.26272727
1514389680000,1.09e-05,8.7e-06,1.09e-05,8.7e-06,11264.09156601
1514389740000,1.1e-05,1.1e-05,1.1e-05,1.1e-05,2430.38
1514389860000,1.09e-05,1.09e-05,1.09e-05,1.089e-05,9811.31645588
1514389920000,1.28e-05,1.28e-05,1.28e-05,1.28e-05,2521.13
1514389980000,1.26e-05,1.25e-05,1.26e-05,1.24e-05,97660.06909781
1514390040000,1.25e-05,1.25e-05,1.25e-05,8.7e-06,133563.12092269
1514390100000,1.26e-05,1.28e-05,1.28e-05,1.24e-05,57162.26103784
1514390160000,1.7e-05,1.7e-05,1.7e-05,1.7e-05,116.12823529
1514390220000,1.25e-05,1.25e-05,1.25e-05,1.25e-05,7092.66806171
1514390280000,1.58e-05,1.6e-05,1.6e-05,1.53e-05,53737.70182888
1514390340000,1.6e-05,1.7e-05,1.7e-05,1.59e-05,32007.96092163
1514390460000,1.8e-05,1.6899999999999997e-05,1.8e-05,1.3000000000000001e-05,70613.16508847
1514390520000,1.64e-05,1.4499999999999998e-05,1.64e-05,1.4499999999999998e-05,79513.26009409
1514390580000,1.4400000000000001e-05,1.4000000000000001e-05,1.4400000000000001e-05,1.311e-05,47912.16894086
1514390640000,1.4000000000000001e-05,1.4000000000000001e-05,1.4499999999999998e-05,1.3000000000000001e-05,79445.40425483
1514390700000,1.39e-05,1.4499999999999998e-05,1.4499999999999998e-05,1.39e-05,59082.12267705
1514390760000,1.39e-05,1.25e-05,1.4499999999999998e-05,1.25e-05,97465.16314625
1514390820000,1.4499999999999998e-05,1.4300000000000002e-05,1.4499999999999998e-05,1.4099999999999999e-05,123331.2856062
1514390880000,1.4300000000000002e-05,1.4000000000000001e-05,1.4300000000000002e-05,1.4000000000000001e-05,120295.37356642
1514391000000,1.398e-05,1.379e-05,1.398e-05,1.3699999999999998e-05,86956.79134183
1514391060000,1.3699999999999998e-05,1.349e-05,1.3699999999999998e-05,1.25e-05,15820.92274676
1514391120000,1.329e-05,1.32e-05,1.329e-05,1.261e-05,24024.35445377
1514391180000,1.3000000000000001e-05,1.29e-05,1.3000000000000001e-05,1.29e-05,27000.96737465
1514391240000,1.29e-05,1.29e-05,1.29e-05,1.28e-05,2442.06860465
1514391300000,1.28e-05,1.273e-05,1.285e-05,1.273e-05,26212.29818275
1514391360000,1.27e-05,1.268e-05,1.279e-05,1.2e-05,85458.88077442
1514391420000,1.258e-05,1.259e-05,1.26e-05,1.258e-05,24363.7
1514391480000,1.25e-05,1.25e-05,1.25e-05,1.25e-05,1500.0
1514391540000,1.249e-05,1.24e-05,1.249e-05,1.24e-05,1769.3967903900002
1514391600000,1.239e-05,1.239e-05,1.239e-05,1.239e-05,75.0
1514391660000,1.071e-05,1.071e-05,1.071e-05,1.071e-05,10900.0
1514391720000,1.059e-05,1.06e-05,1.061e-05,1.05e-05,68052.60548853
1514391780000,1.058e-05,1.089e-05,1.1e-05,1.058e-05,81851.45977742
1514391840000,1.089e-05,1.075e-05,1.089e-05,1.058e-05,93431.909604
1514391900000,1.059e-05,1.058e-05,1.075e-05,1.058e-05,55460.09316340001
1514391960000,1.059e-05,1.05e-05,1.06e-05,1.05e-05,55280.06800276
1514392020000,1.051e-05,1.045e-05,1.051e-05,1.039e-05,180500.1003484
1514392080000,1.045e-05,1.06e-05,1.06e-05,1.038e-05,98364.78347174
1514392140000,1.06e-05,1.04e-05,1.062e-05,1.039e-05,80298.99967267
1514392200000,1.217e-05,1.118e-05,1.217e-05,1.118e-05,2617.7899918000007
1514392260000,1.119e-05,1.12e-05,1.12e-05,1.118e-05,26484.08621008
1514392320000,1.11e-05,1.1e-05,1.12e-05,1.1e-05,41324.19960411
1514392380000,1.12e-05,1.124e-05,1.124e-05,1.055e-05,22626.77334753
1514392440000,1.056e-05,1.109e-05,1.12e-05,1.056e-05,29395.82784524
1514392500000,1.1e-05,1.11e-05,1.11e-05,1.07e-05,74444.55151419
1514392560000,1.11e-05,1.118e-05,1.118e-05,1.07e-05,50912.687999999995
1514392620000,1.11e-05,1.118e-05,1.118e-05,1.0800000000000002e-05,34319.39588919
1514392680000,1.081e-05,1.116e-05,1.117e-05,1.081e-05,24594.07132732
1514392740000,1.116e-05,1.09e-05,1.117e-05,1.09e-05,98529.03266198
1514392800000,1.091e-05,1.082e-05,1.1e-05,1.082e-05,38585.88007214
1514392860000,1.099e-05,1.0800000000000002e-05,1.099e-05,1.0800000000000002e-05,54752.62992786
1514392920000,1.0800000000000002e-05,1.0800000000000002e-05,1.085e-05,1.0800000000000002e-05,43266.04
1514392980000,1.0800000000000002e-05,1.07e-05,1.0800000000000002e-05,1.07e-05,30000.0
1514393040000,1.0800000000000002e-05,1.07e-05,1.179e-05,1.07e-05,42008.154
1514393100000,1.07e-05,1.057e-05,1.109e-05,1.057e-05,57180.44
1514393160000,1.057e-05,1.0800000000000002e-05,1.09e-05,1.053e-05,38728.35014671
1514393220000,1.0800000000000002e-05,1.053e-05,1.0800000000000002e-05,1.053e-05,8219.85833333
1514393280000,1.0800000000000002e-05,1.0800000000000002e-05,1.0800000000000002e-05,1.0800000000000002e-05,9397.07777777
1514393340000,1.0800000000000002e-05,1.0800000000000002e-05,1.088e-05,1.0800000000000002e-05,61669.81303542
1514393400000,1.087e-05,1.0800000000000002e-05,1.087e-05,1.0800000000000002e-05,13674.39561361
1514393460000,1.085e-05,1.0800000000000002e-05,1.085e-05,1.0800000000000002e-05,41685.18289417
1514393520000,1.083e-05,1.087e-05,1.087e-05,1.0800000000000002e-05,81339.50029811
1514393580000,1.087e-05,1.091e-05,1.091e-05,1.0800000000000002e-05,54266.94310648
1514393640000,1.186e-05,1.186e-05,1.186e-05,1.186e-05,2572.0
1514393700000,1.186e-05,1.188e-05,1.188e-05,1.186e-05,62913.48516962
1514393760000,1.188e-05,1.247e-05,1.248e-05,1.188e-05,13711.88522353
1514393820000,1.246e-05,1.25e-05,1.25e-05,1.246e-05,83355.75232524
1514393880000,1.25e-05,1.309e-05,1.309e-05,1.25e-05,46685.82421344
1514393940000,1.309e-05,1.3000000000000001e-05,1.309e-05,1.3000000000000001e-05,72183.82494865
1514394000000,1.3000000000000001e-05,1.34e-05,1.34e-05,1.3000000000000001e-05,10509.91421867
1514394060000,1.34e-05,1.389e-05,1.389e-05,1.34e-05,6890.24501554
1514394120000,1.389e-05,1.399e-05,1.399e-05,1.388e-05,91085.07315082
1514394180000,1.399e-05,1.486e-05,1.486e-05,1.399e-05,168396.92490738
1514394240000,1.486e-05,1.501e-05,1.8e-05,1.486e-05,61574.45308076
1514394300000,1.501e-05,1.4999999999999999e-05,1.798e-05,1.487e-05,21890.53710274
1514394360000,1.499e-05,1.346e-05,1.499e-05,1.346e-05,51759.70308346
1514394420000,1.486e-05,1.346e-05,1.498e-05,1.3000000000000001e-05,56953.36004555
1514394480000,1.417e-05,1.346e-05,1.4499999999999998e-05,1.102e-05,51275.45760259
1514394540000,1.346e-05,1.2e-05,1.346e-05,1.2e-05,50528.64143965
1514394600000,1.344e-05,1.339e-05,1.344e-05,1.2e-05,29962.38524603
1514394660000,1.329e-05,1.2e-05,1.329e-05,1.2e-05,9169.82338794
1514394720000,1.329e-05,1.201e-05,1.329e-05,1.201e-05,53049.35795838
1514394780000,1.299e-05,1.299e-05,1.299e-05,1.299e-05,212.0
1514394840000,1.24e-05,1.289e-05,1.299e-05,1.231e-05,68289.6089576
1514394900000,1.289e-05,1.308e-05,1.32e-05,1.201e-05,153407.98595950002
1514394960000,1.308e-05,1.25e-05,1.308e-05,1.25e-05,36107.05852899
1514395020000,1.25e-05,1.25e-05,1.27e-05,1.2e-05,114306.13456298
1514395080000,1.25e-05,1.249e-05,1.25e-05,1.23e-05,9323.0131996
1514395140000,1.249e-05,1.249e-05,1.249e-05,1.248e-05,43361.64872809
1514395200000,1.249e-05,1.2e-05,1.249e-05,1.2e-05,106317.76222901
1514395260000,1.248e-05,1.15e-05,1.248e-05,1.15e-05,61313.75521832
1514395320000,1.21e-05,1.208e-05,1.21e-05,1.154e-05,30693.98056198
1514395380000,1.154e-05,1.179e-05,1.199e-05,1.15e-05,40689.08415221
1514395440000,1.178e-05,1.166e-05,1.178e-05,1.103e-05,78849.48790845
1514395500000,1.166e-05,1.166e-05,1.166e-05,1.11e-05,57382.25881007
1514395560000,1.149e-05,1.169e-05,1.169e-05,1.149e-05,52111.71416339
1514395620000,1.169e-05,1.219e-05,1.22e-05,1.1599999999999999e-05,89430.57709073
1514395680000,1.219e-05,1.15e-05,1.219e-05,1.15e-05,102393.39235529999
1514395740000,1.151e-05,1.103e-05,1.188e-05,1.103e-05,51248.25244849
1514395800000,1.103e-05,1.1e-05,1.103e-05,1.1e-05,91926.24747773
1514395860000,1.098e-05,1.099e-05,1.099e-05,1.056e-05,86680.23104088
1514395920000,1.099e-05,1.099e-05,1.099e-05,1.099e-05,32153.43356052
1514395980000,1.099e-05,1.099e-05,1.099e-05,1.098e-05,65396.00751757
1514396040000,1.099e-05,1.1e-05,1.1e-05,1.09e-05,67507.10249057
1514396100000,1.1e-05,1.1e-05,1.1e-05,1.1e-05,22181.36952815
1514396160000,1.1e-05,1.178e-05,1.184e-05,1.1e-05,14025.85357632
1514396220000,1.178e-05,1.176e-05,1.178e-05,1.176e-05,1840.03392706
1514396280000,1.101e-05,1.167e-05,1.167e-05,1.101e-05,7389.52
1514396340000,1.11e-05,1.099e-05,1.1400000000000001e-05,1.099e-05,256845.51544159
1514396400000,1.099e-05,1.139e-05,1.1400000000000001e-05,1.099e-05,26349.421110299998
1514396460000,1.136e-05,1.099e-05,1.136e-05,1.099e-05,44713.2477883
1514396520000,1.099e-05,1.123e-05,1.123e-05,1.098e-05,9683.95488
1514396580000,1.091e-05,1.097e-05,1.119e-05,1.09e-05,93051.93613926
1514396640000,1.095e-05,1.097e-05,1.097e-05,1.0800000000000002e-05,77944.50763725
1514396700000,1.097e-05,1.091e-05,1.097e-05,1.091e-05,20149.7705864
1514396760000,1.09e-05,1.088e-05,1.09e-05,1.088e-05,1278.68131868
1514396820000,1.088e-05,1.087e-05,1.088e-05,1.0800000000000002e-05,8616.25575714
1514396880000,1.083e-05,1.077e-05,1.083e-05,1.077e-05,57115.68167669
1514396940000,1.076e-05,1.06e-05,1.076e-05,1.06e-05,88609.96819927
1514397000000,1.072e-05,1.091e-05,1.091e-05,1.072e-05,61205.09993107
1514397060000,1.09e-05,1.119e-05,1.119e-05,1.09e-05,51052.85032962001
1514397120000,1.123e-05,1.126e-05,1.126e-05,1.123e-05,4040.10206039
1514397180000,1.123e-05,1.135e-05,1.137e-05,1.119e-05,87144.18998019
1514397240000,1.132e-05,1.135e-05,1.135e-05,1.132e-05,30418.62296672
1514397300000,1.135e-05,1.134e-05,1.135e-05,1.134e-05,7698.42157534
