time,open,close,high,low,volume
1515456240000,4.999e-05,4.999e-05,4.999e-05,4.999e-05,1000.0
1515456420000,4.999e-05,4.999e-05,4.999e-05,4.999e-05,206.50230046
1515456480000,4.999e-05,4.999e-05,4.999e-05,4.999e-05,2942.09621924
1515456540000,4.998e-05,4.999e-05,4.999e-05,4.997e-05,7482.22224446
1515456600000,4.997e-05,4.998e-05,4.998e-05,4.997e-05,1000.0
1515456660000,4.998e-05,4.998e-05,4.998e-05,4.998e-05,1009.64035568
1515456780000,4.994e-05,4.991e-05,4.994e-05,4.991e-05,250.0
1515456900000,4.977e-05,4.970000000000001e-05,4.978e-05,4.970000000000001e-05,1477.0
1515456960000,4.969e-05,4.969e-05,4.969e-05,4.969e-05,67.0
1515457140000,4.987e-05,4.987e-05,4.987e-05,4.987e-05,100.0
1515457260000,4.987e-05,4.987e-05,4.987e-05,4.987e-05,227.84198917
1515457320000,4.9e-05,4.9e-05,4.9e-05,4.9e-05,2959.18367347
1515457380000,4.987e-05,4.9e-05,4.988e-05,4.9e-05,2100.0
1515457440000,4.987e-05,4.987e-05,4.987e-05,4.987e-05,1000.0
1515457560000,4.899e-05,4.9e-05,4.9e-05,4.899e-05,1200.0
1515457620000,4.399e-05,4.399e-05,4.399e-05,4.399e-05,50.0
1515457680000,3.852e-05,3.7e-05,4.9e-05,3.7e-05,26553.89639739
1515457800000,3.899e-05,3.4e-05,3.899e-05,3.4e-05,10962.0
1515457980000,3.402e-05,3.887e-05,3.999e-05,3.402e-05,16376.69907716
1515458040000,3.403e-05,3.886e-05,3.886e-05,3.402e-05,3214.50112528
1515458100000,3.886e-05,3.888e-05,3.888e-05,3.886e-05,4250.0
1515458160000,3.888e-05,3.888e-05,3.888e-05,3.888e-05,26.0
1515458220000,4.098e-05,4.098e-05,4.098e-05,4.098e-05,2000.0
1515458280000,4.098e-05,4.098e-05,4.098e-05,4.098e-05,100.0
1515458400000,4.096e-05,4.745e-05,4.746e-05,4.096e-05,12500.0
1515458460000,4.744e-05,4.746e-05,4.746e-05,4.744e-05,2060.0
1515458580000,4.6e-05,4.488e-05,4.6e-05,4.488e-05,4160.306153510001
1515458640000,4.488e-05,3.762e-05,4.488e-05,3.755e-05,19168.81655017
1515458760000,4.311e-05,3.764e-05,4.311e-05,3.763e-05,1803.68620324
1515458820000,3.764e-05,3.762e-05,3.764e-05,3.762e-05,2636.47337046
1515458880000,3.763e-05,3.763e-05,3.763e-05,3.763e-05,250.0
1515458940000,3.9e-05,3.9e-05,3.9e-05,3.9e-05,26.0
1515459060000,3.801e-05,3.801e-05,3.801e-05,3.801e-05,2949.24186205
1515459120000,4.35e-05,3.803e-05,4.35e-05,3.8e-05,10439.57196006
1515459180000,3.801e-05,3.803e-05,3.803e-05,3.801e-05,1140.37180079
1515459240000,3.9899999999999994e-05,3.681e-05,4.0600000000000004e-05,3.681e-05,10318.17278058
1515459300000,3.8e-05,3.801e-05,4.054e-05,3.8e-05,33620.009475290004
1515459360000,4.05e-05,4.048e-05,4.052e-05,4.048e-05,6245.88054454
1515459420000,4.045e-05,3.907e-05,4.05e-05,3.906e-05,12202.687
1515459480000,4.039e-05,4.07e-05,4.07e-05,4.039e-05,10743.62682242
1515459540000,4.039e-05,4.039e-05,4.039e-05,4.039e-05,599.99
1515459720000,4.294e-05,4.298e-05,4.298e-05,4.294e-05,2407.45310681
1515459780000,4.298e-05,4.299e-05,4.3e-05,4.298e-05,7776.71544904
1515459900000,4.036e-05,4e-05,4.036e-05,4e-05,4999.55340768
1515460020000,4e-05,4e-05,4.284e-05,4e-05,6467.567475
1515460080000,3.999e-05,4.178e-05,4.178e-05,3.999e-05,8737.250225
1515460140000,4e-05,4e-05,4e-05,3.999e-05,13989.0
1515460200000,4e-05,4e-05,4.144e-05,4e-05,15310.0
1515460260000,4e-05,4e-05,4e-05,3.999e-05,20000.0
1515460320000,4e-05,4e-05,4e-05,4e-05,10690.27
1515460380000,4.002e-05,4.148e-05,4.148e-05,4.002e-05,2793.0
1515460440000,4.001e-05,4.147e-05,4.147e-05,4e-05,4710.38264633
1515460500000,4.146e-05,4.146e-05,4.146e-05,4.146e-05,1170.519097
1515460620000,4.114e-05,3.945e-05,4.114e-05,3.944e-05,6027.93802648
1515460680000,3.948e-05,4.111e-05,4.114e-05,3.948e-05,3675.0
1515460800000,3.888e-05,3.745e-05,3.888e-05,3.745e-05,84.75435501
1515460860000,4.102e-05,4.102e-05,4.102e-05,4.102e-05,368.16220166
1515460920000,3.999e-05,3.998e-05,3.999e-05,3.998e-05,418.162202
1515460980000,3.999e-05,3.999e-05,3.999e-05,3.999e-05,3700.0
1515461040000,3.998e-05,3.998e-05,3.998e-05,3.998e-05,2792.99013219
1515461100000,3.998e-05,3.994e-05,3.998e-05,3.994e-05,200.0
1515461160000,3.987e-05,3.991e-05,3.991e-05,3.818e-05,2821.24665822
1515461220000,3.9e-05,3.9e-05,3.9e-05,3.9e-05,100.0
1515461280000,3.815e-05,3.517e-05,3.87e-05,3.517e-05,25271.50476362
1515461340000,3.862e-05,3.862e-05,3.862e-05,3.862e-05,1285.11636928
1515461520000,3.7e-05,3.7e-05,3.7e-05,3.7e-05,1084.0
1515461640000,3.599e-05,3.543e-05,3.599e-05,3.543e-05,8000.0
1515461700000,3.569e-05,3.569e-05,3.569e-05,3.569e-05,428.81211276
1515461760000,3.6e-05,3.501e-05,3.775e-05,3.501e-05,5980.55765676
1515461880000,3.501e-05,3.718e-05,3.718e-05,3.4e-05,9971.25637575
1515462000000,3.5499999999999996e-05,3.396e-05,3.5499999999999996e-05,3.318e-05,1236.99919101
1515462060000,3.32e-05,3.3e-05,3.321e-05,3.3e-05,2399.82512634
1515462300000,3.183e-05,3.2e-05,3.2e-05,3.182e-05,2204.463435
1515462360000,3.271e-05,3.185e-05,3.271e-05,3.183e-05,16928.48769538
1515462480000,3.21e-05,3.21e-05,3.234e-05,3.2e-05,10667.20999607
1515462540000,3.21e-05,3.176e-05,3.21e-05,3.176e-05,1168.92743537
1515462600000,3.102e-05,3.177e-05,3.193e-05,2.9999999999999997e-05,43657.54513744
1515462660000,3.1e-05,3.1e-05,3.1e-05,3.1e-05,200.0
1515462720000,3.087e-05,3.071e-05,3.087e-05,3.071e-05,2738.40531743
